Gene stable ID,Transcript stable ID
PVX_196290,EDL42594
PVX_037190,EDL42657
PVX_209290,EDL42684
PVX_228290,EDL42626
PVX_223290,EDL42550
PVX_147260,EDL42526
PVX_235290,EDL42577
PVX_249300,EDL42588
PVX_198290,EDL42640
PVX_227290,EDL42627
PVX_210290,EDL42549
PVX_206290,EDL42576
PVX_120330,EDL42794
PVX_240290,EDL42565
PVX_135260,EDL42529
PVX_212290,EDL42542
PVX_034190,EDL42712
PVX_213290,EDL42531
PVX_226290,EDL42555
PVX_208290,EDL42586
PVX_103660,EDL42817
PVX_211290,EDL42568
PVX_252300,EDL42589
PVX_222290,EDL42606
PVX_214290,EDL42575
PVX_108770,EDL42815
PVX_024690,EDL42758
PVX_193290,EDL42567
PVX_215290,EDL42574
PVX_251300,EDL42530
PVX_244295,EDL42532
PVX_052690,EDL42597
PVX_195290,EDL42630
PVX_201290,EDL42560
PVX_202290,EDL42622
PVX_187290,EDL42527
PVX_225290,EDL42553
PVX_230290,EDL42556
PVX_237290,EDL42571
PVX_250300,EDL42580
PVX_200290,EDL42562
PVX_192290,EDL42552
PVX_136260,EDL42544
PVX_231290,EDL42591
PVX_224290,EDL42541
PVX_216290,EDL42536
PVX_218290,EDL42538
PVX_137260,EDL42582
PVX_253300,EDL42585
PVX_217290,EDL42539
PVX_220290,EDL42590
PVX_191290,EDL42561
PVX_112700,EDL42880
PVX_221290,EDL42563
PVX_008085,EDL42754
PVX_254300,EDL42584
PVX_203290,EDL42603
PVX_094265,EDL44597
PVX_094310,EDL44605
PVX_094315,EDL44606
PVX_094325,EDL44607
PVX_094330,EDL44608
PVX_094335,EDL44609
PVX_094340,EDL44610
PVX_094345,EDL44611
PVX_094350,EDL44612
PVX_094365,EDL44614
PVX_094370,EDL44615
PVX_094375,EDL44616
PVX_094380,EDL44617
PVX_094385,EDL44618
PVX_094390,EDL44619
PVX_094395,EDL44620
PVX_094400,EDL44621
PVX_094405,EDL44622
PVX_094410,EDL44623
PVX_094420,EDL44625
PVX_094425,EDL44626
PVX_094430,EDL44627
PVX_094435,EDL44628
PVX_094440,EDL44629
PVX_094450,EDL44631
PVX_094460,EDL44633
PVX_094465,EDL44634
PVX_094475,EDL44636
PVX_094485,EDL44638
PVX_094490,EDL44639
PVX_094495,EDL44640
PVX_094500,EDL44641
PVX_094505,EDL44642
PVX_094510,EDL44643
PVX_094515,EDL44644
PVX_094520,EDL44645
PVX_094525,EDL44646
PVX_094530,EDL44647
PVX_094535,EDL44648
PVX_094540,EDL44649
PVX_094545,EDL44650
PVX_094550,EDL44651
PVX_094555,EDL44652
PVX_094560,EDL44653
PVX_094565,EDL44654
PVX_094570,EDL44655
PVX_094575,EDL44656
PVX_094580,EDL44657
PVX_094585,EDL44658
PVX_094590,EDL44659
PVX_094595,EDL44660
PVX_094600,EDL44661
PVX_094605,EDL44662
PVX_094610,EDL44663
PVX_094615,EDL44664
PVX_094620,EDL44665
PVX_094625,EDL44666
PVX_094635,EDL44667
PVX_094640,EDL44668
PVX_094660,EDL44672
PVX_094665,EDL44673
PVX_094670,EDL44674
PVX_094675,EDL44675
PVX_094680,EDL44676
PVX_094685,EDL44677
PVX_094690,EDL44678
PVX_094700,EDL44680
PVX_094705,EDL44681
PVX_094710,EDL44682
PVX_094715,EDL44683
PVX_094720,EDL44684
PVX_094725,EDL44685
PVX_094730,EDL44686
PVX_094735,EDL44687
PVX_094740,EDL44688
PVX_094745,EDL44689
PVX_094750,EDL44690
PVX_094755,EDL44691
PVX_094760,EDL44692
PVX_094765,EDL44693
PVX_094770,EDL44694
PVX_094775,EDL44695
PVX_094780,EDL44696
PVX_094785,EDL44697
PVX_094790,EDL44698
PVX_094795,EDL44699
PVX_094800,EDL44700
PVX_094805,EDL44701
PVX_094810,EDL44702
PVX_094815,EDL44703
PVX_094820,EDL44704
PVX_094825,EDL44705
PVX_094830,EDL44706
PVX_094835,EDL44707
PVX_094840,EDL44708
PVX_094845,EDL44709
PVX_094850,EDL44710
PVX_094855,EDL44711
PVX_094860,EDL44712
PVX_094865,EDL44713
PVX_094870,EDL44714
PVX_094875,EDL44715
PVX_094880,EDL44716
PVX_094885,EDL44717
PVX_094890,EDL44718
PVX_094895,EDL44719
PVX_094900,EDL44720
PVX_094902,EDL44721
PVX_094905,EDL44722
PVX_094910,EDL44723
PVX_094915,EDL44724
PVX_094920,EDL44725
PVX_094925,EDL44726
PVX_094935,EDL44728
PVX_094940,EDL44729
PVX_094945,EDL44730
PVX_094950,EDL44731
PVX_094955,EDL44732
PVX_094965,EDL44734
PVX_094970,EDL44735
PVX_094975,EDL44736
PVX_094980,EDL44737
PVX_094985,EDL44738
PVX_094990,EDL44739
PVX_094995,EDL44740
PVX_095000,EDL44741
PVX_095005,EDL44742
PVX_095015,EDL44744
PVX_095020,EDL44745
PVX_095025,EDL44746
PVX_095030,EDL44747
PVX_095035,EDL44748
PVX_095040,EDL44749
PVX_095045,EDL44750
PVX_095050,EDL44751
PVX_095055,EDL44752
PVX_095060,EDL44753
PVX_095065,EDL44754
PVX_095070,EDL44755
PVX_095075,EDL44756
PVX_095080,EDL44757
PVX_095085,EDL44758
PVX_095095,EDL44759
PVX_095100,EDL44760
PVX_095105,EDL44761
PVX_095115,EDL44762
PVX_095120,EDL44763
PVX_095125,EDL44764
PVX_095130,EDL44765
PVX_095135,EDL44766
PVX_095140,EDL44767
PVX_095145,EDL44768
PVX_095150,EDL44769
PVX_095155,EDL44770
PVX_095160,EDL44771
PVX_095165,EDL44772
PVX_095170,EDL44773
PVX_095175,EDL44774
PVX_095180,EDL44775
PVX_095185,EDL44776
