Gene stable ID,Transcript stable ID,Source (gene)
PVX_196290,EDL42594,ena
PVX_209290,EDL42684,ena
PVX_228290,EDL42626,ena
PVX_223290,EDL42550,ena
PVX_147260,EDL42526,ena
PVX_235290,EDL42577,ena
PVX_249300,EDL42588,ena
PVX_198290,EDL42640,ena
PVX_227290,EDL42627,ena
PVX_210290,EDL42549,ena
PVX_206290,EDL42576,ena
PVX_240290,EDL42565,ena
PVX_212290,EDL42542,ena
PVX_109280,EDL42776,ena
PVX_213290,EDL42531,ena
PVX_226290,EDL42555,ena
PVX_208290,EDL42586,ena
PVX_211290,EDL42568,ena
PVX_252300,EDL42589,ena
PVX_222290,EDL42606,ena
PVX_214290,EDL42575,ena
PVX_193290,EDL42567,ena
PVX_215290,EDL42574,ena
PVX_251300,EDL42530,ena
PVX_195290,EDL42630,ena
PVX_201290,EDL42560,ena
PVX_202290,EDL42622,ena
PVX_187290,EDL42527,ena
PVX_225290,EDL42553,ena
PVX_230290,EDL42556,ena
PVX_237290,EDL42571,ena
PVX_250300,EDL42580,ena
PVX_200290,EDL42562,ena
PVX_192290,EDL42552,ena
PVX_136260,EDL42544,ena
PVX_231290,EDL42591,ena
PVX_224290,EDL42541,ena
PVX_216290,EDL42536,ena
PVX_218290,EDL42538,ena
PVX_137260,EDL42582,ena
PVX_253300,EDL42585,ena
PVX_217290,EDL42539,ena
PVX_220290,EDL42590,ena
PVX_191290,EDL42561,ena
PVX_112700,EDL42880,ena
PVX_112105,EDL42860,ena
PVX_221290,EDL42563,ena
PVX_254300,EDL42584,ena
PVX_203290,EDL42603,ena
PVX_094255,EDL44595,ena
PVX_094265,EDL44597,ena
PVX_094295,EDL44602,ena
PVX_094300,EDL44603,ena
PVX_094305,EDL44604,ena
PVX_094310,EDL44605,ena
PVX_094315,EDL44606,ena
PVX_094325,EDL44607,ena
PVX_094330,EDL44608,ena
PVX_094335,EDL44609,ena
PVX_094340,EDL44610,ena
PVX_094345,EDL44611,ena
PVX_094350,EDL44612,ena
PVX_094360,EDL44613,ena
PVX_094365,EDL44614,ena
PVX_094370,EDL44615,ena
PVX_094375,EDL44616,ena
PVX_094380,EDL44617,ena
PVX_094385,EDL44618,ena
PVX_094390,EDL44619,ena
PVX_094395,EDL44620,ena
PVX_094400,EDL44621,ena
PVX_094405,EDL44622,ena
PVX_094410,EDL44623,ena
PVX_094415,EDL44624,ena
PVX_094420,EDL44625,ena
PVX_094425,EDL44626,ena
PVX_094430,EDL44627,ena
PVX_094435,EDL44628,ena
PVX_094440,EDL44629,ena
PVX_094450,EDL44631,ena
PVX_094460,EDL44633,ena
PVX_094465,EDL44634,ena
PVX_094470,EDL44635,ena
PVX_094475,EDL44636,ena
PVX_094485,EDL44638,ena
PVX_094490,EDL44639,ena
PVX_094495,EDL44640,ena
PVX_094500,EDL44641,ena
PVX_094505,EDL44642,ena
PVX_094510,EDL44643,ena
PVX_094515,EDL44644,ena
PVX_094520,EDL44645,ena
PVX_094525,EDL44646,ena
PVX_094530,EDL44647,ena
PVX_094535,EDL44648,ena
PVX_094540,EDL44649,ena
PVX_094545,EDL44650,ena
PVX_094550,EDL44651,ena
PVX_094555,EDL44652,ena
PVX_094565,EDL44654,ena
PVX_094575,EDL44656,ena
PVX_094580,EDL44657,ena
PVX_094585,EDL44658,ena
PVX_094590,EDL44659,ena
PVX_094595,EDL44660,ena
PVX_094600,EDL44661,ena
PVX_094605,EDL44662,ena
PVX_094615,EDL44664,ena
PVX_094620,EDL44665,ena
PVX_094625,EDL44666,ena
PVX_094635,EDL44667,ena
PVX_094640,EDL44668,ena
PVX_094660,EDL44672,ena
PVX_094665,EDL44673,ena
PVX_094670,EDL44674,ena
PVX_094675,EDL44675,ena
PVX_094680,EDL44676,ena
PVX_094685,EDL44677,ena
PVX_094690,EDL44678,ena
PVX_094695,EDL44679,ena
PVX_094700,EDL44680,ena
PVX_094705,EDL44681,ena
PVX_094720,EDL44684,ena
PVX_094725,EDL44685,ena
PVX_094730,EDL44686,ena
PVX_094735,EDL44687,ena
PVX_094740,EDL44688,ena
PVX_094745,EDL44689,ena
PVX_094750,EDL44690,ena
PVX_094755,EDL44691,ena
PVX_094760,EDL44692,ena
PVX_094765,EDL44693,ena
