Gene stable ID,Transcript stable ID
PBANKA_000290,CDR18530
PBANKA_000010,CDR18508
PBANKA_000450,CDR18548
PBANKA_000630,CDR18574
PBANKA_000240,CDR18521
PBANKA_000170,CDR18511
PBANKA_000180,CDR18513
PBANKA_000280,CDR18529
PBANKA_000360,CDR18537
PBANKA_000090,CDR18652
PBANKA_000150,CDR18507
PBANKA_000880,CDR18639
PBANKA_000040,CDR18556
PBANKA_000220,CDR18517
PBANKA_001030,CDR18681
PBANKA_000490,CDR18554
PBANKA_000430,CDR18546
PBANKA_000440,CDR18547
PBANKA_000300,CDR18531
PBANKA_000190,CDR18514
PBANKA_000200,CDR18515
PBANKA_000070,CDR18582
PBANKA_000230,CDR18519
PBANKA_000235,CDR18520
PBANKA_000080,CDR18614
PBANKA_000500,CDR18555
PBANKA_000510,CDR18557
PBANKA_000100,CDR18683
PBANKA_000520,CDR18561
PBANKA_000640,CDR18575
PBANKA_000460,CDR18549
PBANKA_000160,CDR18509
PBANKA_000570,CDR18567
PBANKA_000580,CDR18568
PBANKA_000600,CDR18570
PBANKA_000030,CDR18527
PBANKA_000110,CDR18690
PBANKA_000130,CDR18692
PBANKA_000250,CDR18522
PBANKA_000260,CDR18523
PBANKA_000378,CDR18540
PBANKA_000380,CDR18541
PBANKA_000390,CDR18542
PBANKA_000400,CDR18543
PBANKA_000530,CDR18563
PBANKA_000540,CDR18564
PBANKA_000550,CDR18565
PBANKA_000210,CDR18516
PBANKA_000410,CDR18544
PBANKA_000420,CDR18545
PBANKA_000480,CDR18552
PBANKA_000370,CDR18538
PBANKA_000050,CDR18559
PBANKA_000060,CDR18560
PBANKA_000310,CDR18532
PBANKA_000320,CDR18533
PBANKA_000330,CDR18534
PBANKA_000340,CDR18535
PBANKA_140010,CDS51310
PBANKA_140020,CDS51312
PBANKA_140030,CDS51314
PBANKA_140040,CDS51316
PBANKA_140060,CDS51320
PBANKA_140070,CDS51321
PBANKA_140080,CDS51324
PBANKA_140090,CDS51325
PBANKA_140100,CDS51327
PBANKA_140110,CDS51329
PBANKA_140120,CDS51332
PBANKA_140130,CDS51334
PBANKA_140140,CDS51336
PBANKA_140150,CDS51337
PBANKA_140160,CDS51340
PBANKA_140170,CDS51342
PBANKA_140180,CDS51343
PBANKA_140190,CDS51345
PBANKA_140200,CDS51347
PBANKA_140210,CDS51348
PBANKA_140220,CDS51350
PBANKA_140230,CDS51352
PBANKA_140240,CDS51354
PBANKA_140250,CDS51356
PBANKA_140260,CDS51358
PBANKA_140270,CDS51360
PBANKA_140280,CDS51362
PBANKA_140290,CDS51363
PBANKA_140300,CDS51365
PBANKA_140310,CDS51367
PBANKA_140320,CDS51369
PBANKA_140330,CDS51371
PBANKA_140340,CDS51373
PBANKA_140350,CDS51375
PBANKA_140360,CDS51377
PBANKA_140370,CDS51379
PBANKA_140380,CDS51380
PBANKA_140390,CDS51382
PBANKA_140400,CDS51384
PBANKA_140410,CDS51385
PBANKA_140420,CDS51387
PBANKA_140430,CDS51389
PBANKA_140440,CDS51391
PBANKA_140450,CDS51392
PBANKA_140460,CDS51394
PBANKA_140470,CDS51396
PBANKA_140480,CDS51398
PBANKA_140490,CDS51400
PBANKA_140500,CDS51402
PBANKA_140510,CDS51404
PBANKA_140520,CDS51406
PBANKA_140530,CDS51408
PBANKA_140540,CDS51410
PBANKA_140550,CDS51412
PBANKA_140560,CDS51414
PBANKA_140570,CDS51416
PBANKA_140580,CDS51418
PBANKA_140590,CDS51420
PBANKA_140600,CDS51422
PBANKA_140610,CDS51424
PBANKA_140620,CDS51426
PBANKA_140630,CDS51428
PBANKA_140640,CDS51430
PBANKA_140650,CDS51433
PBANKA_140660,CDS51435
PBANKA_140670,CDS51436
PBANKA_140680,CDS51439
PBANKA_140690,CDS51440
PBANKA_140700,CDS51442
PBANKA_140710,CDS51444
PBANKA_140720,CDS51446
PBANKA_140730,CDS51448
PBANKA_140740,CDS51450
PBANKA_140750,CDS51452
PBANKA_140760,CDS51454
PBANKA_140770,CDS51456
PBANKA_140780,CDS51457
PBANKA_140790,CDS51459
PBANKA_140800,CDS51461
PBANKA_140810,CDS51463
PBANKA_140820,CDS51464
PBANKA_140830,CDS51466
PBANKA_140840,CDS51468
PBANKA_140850,CDS51470
PBANKA_140860,CDS51472
PBANKA_140870,CDS51474
PBANKA_140880,CDS51475
PBANKA_140890,CDS51477
PBANKA_140900,CDS51479
PBANKA_140910,CDS51481
PBANKA_140920,CDS51483
PBANKA_140930,CDS51485
PBANKA_140940,CDS51487
PBANKA_140950,CDS51489
PBANKA_140960,CDS51491
PBANKA_140970,CDS51493
PBANKA_140980,CDS51495
PBANKA_140990,CDS51497
PBANKA_141000,CDS51499
PBANKA_141010,CDS51501
PBANKA_141020,CDS51503
PBANKA_141030,CDS51505
PBANKA_141040,CDS51507
