"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_020300",930.566134139996,-5.10950689636643,0.801439694384328,-3.8799012803517,0.000104498868665704,0.00942226991255848
"PBANKA_030130",768.169101341298,-5.8600359535468,0.707904317761472,-5.45276509366826,4.95925621352156e-08,1.36106646626165e-05
"PBANKA_051490",21924.7440650626,-8.31533569258586,1.05043607081986,-6.01210855950214,1.83125616862569e-09,1.20374572150995e-06
"PBANKA_051500",12484.3969776812,-7.75526169864998,0.917250505422196,-6.2744710028815,3.50825003397207e-10,3.45913453349647e-07
"PBANKA_052270",1458.85720644239,-6.70787256560054,0.840392227282812,-5.6019944173237,2.11899382435595e-08,1.04150078006847e-05
"PBANKA_060060",876.180689133035,-6.66586995067298,0.847325843399979,-5.50658284179168,3.65865835823009e-08,1.20247904707162e-05
"PBANKA_060430",1296.69097875206,-5.2592484527352,0.781095917752483,-4.17266097371668,3.01062751975329e-05,0.00416581469563488
"PBANKA_061160",2195.78911188117,-5.04086535535823,0.730803502902088,-4.16098902548042,3.1687231457669e-05,0.00416581469563488
"PBANKA_062200",433.264186338023,-5.08042486524213,0.783902968580099,-3.92959969372456,8.50873942437656e-05,0.00883117586572135
"PBANKA_070480",1313.48392443155,-6.10130442950058,1.06255050067472,-3.85986776806963,0.000113448398471855,0.00972696703419555
"PBANKA_071190",19020.6503409163,-5.02511367766344,0.777240129015108,-3.89212235026614,9.9371106871197e-05,0.00942226991255848
"PBANKA_071290",3663.09628641396,-7.30328083012182,0.953188457043834,-5.56372749893459,2.64072205899712e-08,1.04150078006847e-05
"PBANKA_081990",1682.55967953695,-5.04012851909281,0.657797545389813,-4.62167811418516,3.80648315373415e-06,0.000682398616287614
"PBANKA_094190",6501.57482839025,-6.05545516551947,1.00168300165441,-4.04864129552097,5.15158296052592e-05,0.0063493259988482
"PBANKA_101670",1295.79798560816,-5.62861321015888,0.811333807331866,-4.47240479487951,7.73448385327867e-06,0.00120529247452894
"PBANKA_102460",1824.63503085462,6.28003609847088,1.11341590472834,3.84405870285743,0.000121016037695187,0.00994348443062117
"PBANKA_111700",3104.13449338723,-6.29665642349446,0.961943010919949,-4.46664342348657,7.94564004506906e-06,0.00120529247452894
"PBANKA_120690",1847.87007679624,-6.34939550044565,0.800456942971233,-5.43364079559487,5.52156781444888e-08,1.36106646626165e-05
"PBANKA_123900",1315.61578744812,-5.25501277927867,0.821410055649946,-3.96271357635514,7.41026645569378e-05,0.0081183585836823
"PBANKA_130860",2555.2796872747,-6.9748554417492,0.677679787251992,-7.34101198727257,2.11984820689131e-13,4.18034066398967e-10
"PBANKA_135210",696.405976213357,-4.4960553059312,0.624172541160695,-3.99898287946087,6.36152811215139e-05,0.00737937261009561
"PBANKA_140960",397.167989193735,-5.10929992205501,0.618000735931792,-5.03122365601549,4.87359202240115e-07,0.000106785816313056
"PBANKA_143220",961.489753867171,-5.78839365345218,0.795844298978837,-4.76021962878057,1.93382403513441e-06,0.000381350099728505
"PBANKA_146130",2658.48273723507,-5.05421078895003,0.787478779412969,-3.87846741880056,0.000105116601458563,0.00942226991255848
