"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_031450",1120.79469619475,-4.84747549162288,0.728297228505501,-3.90977114860925,9.23836032122993e-05,0.00286081224614087
"PBANKA_040540",1469.80371205654,-4.78676439183521,0.733649396059245,-3.79849613017356,0.000145576701691751,0.00365515556409828
"PBANKA_040550",2145.50017227541,-4.83925972393625,0.81994669118788,-3.46273697357438,0.000534710824527072,0.00814338288501065
"PBANKA_041060",1114.31104121996,-4.47349034603876,0.59626485179411,-4.14830815298979,3.34941359944925e-05,0.0014143660154038
"PBANKA_041460",1747.84965973397,-4.82271583293098,0.678680258005611,-4.15912471246164,3.19469445734316e-05,0.0014143660154038
"PBANKA_050360",965.1808949029,-4.34154995104849,0.655801416889471,-3.57051676123953,0.000356277654165546,0.00604672161028668
"PBANKA_051190",2231.81026457066,-4.76559740572665,0.766324832457783,-3.60891007127712,0.000307486169212649,0.00581740935298637
"PBANKA_051370",1023.65652662485,6.82772976567224,1.33008903315245,3.62962902884027,0.000283828830069457,0.00581740935298637
"PBANKA_052280",1832.60752566368,-4.18652550542351,0.645086634314331,-3.3895067563252,0.000700184834285243,0.00956576045663221
"PBANKA_061710",1762.69678573134,-4.4845949951345,0.695555996751277,-3.57209916489723,0.000354131258796606,0.00604672161028668
"PBANKA_061910",2159.47110865114,-4.68690501554084,0.764379665474136,-3.51514455041683,0.000439514686416785,0.00716331831019637
"PBANKA_070390",1935.68567489017,-4.6981470582056,0.636250125206932,-4.24070181098677,2.22821991487664e-05,0.0012218001651696
"PBANKA_070910",1000.56925910681,-4.44012097254408,0.674297204550864,-3.61876181018634,0.000296015932468536,0.00581740935298637
"PBANKA_071140",2424.57494077432,6.61398511953022,1.14346653246921,4.035085407849,5.45824393758016e-05,0.00197936145503787
"PBANKA_071190",19020.6503409163,-6.12861559747269,0.777235430997213,-5.31192407450541,1.08473799263526e-07,2.51930398789539e-05
"PBANKA_071780",1882.03543975779,-4.9478183481307,0.697363360685353,-4.2270909461513,2.36732001862785e-05,0.0012218001651696
"PBANKA_080400",949.864986225403,-5.16957924606802,0.794976747868827,-3.98700874530611,6.69115601312449e-05,0.00230225330970098
"PBANKA_080570",7953.09324065244,-5.07726154814024,0.564945533105283,-5.44700571615417,5.12248176472559e-08,2.37939277971504e-05
"PBANKA_080760",1790.09724244834,-3.9692268285675,0.579103259924569,-3.40047615830033,0.000672686017997725,0.00946856531393768
"PBANKA_082340",996.315066180951,-4.4964383015802,0.731929077488908,-3.41076530275987,0.000647808268761099,0.00940334190123533
"PBANKA_090650",955.169173150411,-4.57239140003029,0.687571513061498,-3.74127105495746,0.000183091922197575,0.00425230989303867
"PBANKA_091800",3119.04849603651,-4.97601611392274,0.728202643532052,-4.08679663601325,4.37370173937897e-05,0.00169298704828461
"PBANKA_091810",776.047122185241,-4.53547687968038,0.66091996804873,-3.83628427382215,0.00012490981624512,0.00331546340833475
"PBANKA_092210",2230.20330827035,-4.72732733357329,0.647469624471269,-4.21228615288393,2.52799006428319e-05,0.00123605408932583
