"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_010600",789.250775877404,-4.5338353508548,0.614318574260133,-4.12462760694885,3.71335071938055e-05,0.00116071737052014
"PBANKA_010790",649.608923123743,-3.69364463757646,0.482662668414205,-3.50896132725771,0.000449860311591629,0.00953953782969582
"PBANKA_020170",1363.77474722244,6.58906667458299,1.22244494080015,3.75400684433216,0.000174030108131656,0.00431346053726318
"PBANKA_020290",446.64767638811,-4.46728060120553,0.583717612352536,-4.22683939801257,2.36996693670261e-05,0.000773176392939645
"PBANKA_020820",684.194408362222,-7.05341765275737,0.527616837174095,-9.57781726569486,9.91174488645441e-22,3.78331302315965e-18
"PBANKA_020910",1416.887871892,-7.40075168398135,0.86478785798903,-6.24517520000826,4.23325339410971e-10,5.04947756416148e-08
"PBANKA_021040",837.926720269736,-3.96757067330979,0.495479090300115,-3.97104683492903,7.15575088073016e-05,0.00202322230457385
"PBANKA_021130",1088.58631399135,-6.01436123175375,0.492208743991327,-8.15581047829675,3.46845981950675e-16,6.1256905941789e-13
"PBANKA_030260",356.137187969944,-4.73692840427386,0.712962847684501,-3.83880929162385,0.000123632408237256,0.00323222535781923
"PBANKA_030380",575.045416708337,-5.43840558499975,0.536545015978887,-6.408419578228,1.47035803317049e-10,1.92097072637877e-08
"PBANKA_030530",656.869094049226,-5.24401325822441,0.787824084129071,-4.1176873410904,3.82693405595198e-05,0.0011685925833255
"PBANKA_030700",1985.5169555791,-5.26670214024054,0.700892683847307,-4.66077363271809,3.15023042595747e-06,0.000139818948091624
"PBANKA_030950",874.641741763682,-6.31764703532982,0.740338703209943,-5.83198881351126,5.47705917713366e-09,5.36049612285107e-07
"PBANKA_031060",1179.06477136274,-4.97128752377685,0.688769783704068,-4.31390515971512,1.60395776360892e-05,0.000551559169702274
"PBANKA_031120",2169.1061805868,-6.46963655272912,1.09211259677801,-4.09265177044528,4.26467932436773e-05,0.00128175440796155
"PBANKA_031230",344.050279017361,-3.64362998096308,0.458351737149951,-3.58595778688052,0.00033584328674929,0.00743788600634475
"PBANKA_031410",302.280154874076,-4.52032139736852,0.501130308524314,-5.02927353324557,4.92341618290192e-07,2.72357674929516e-05
"PBANKA_031560",1992.34492365954,-6.47274357180278,0.635862822814092,-7.03413285275602,2.00504014993293e-12,6.95748932026726e-10
"PBANKA_031570",143.728851137227,-4.63337391185286,0.556133281864258,-4.73514892513772,2.18894306847969e-06,9.94666153855594e-05
"PBANKA_040190",365.391310917668,-3.75770921491701,0.502857673504249,-3.49544077286942,0.000473279476697298,0.00987162711777916
"PBANKA_040320",12716.63402268,-11.0092563898148,1.28742484050828,-6.99788920202749,2.59847446200554e-12,7.96888210653454e-10
"PBANKA_040380",1030.30472740134,-4.83709218088534,0.567802755981311,-4.99661572790731,5.83451672498133e-07,3.09310421378524e-05
"PBANKA_040450",549.152790972451,-5.00518612490122,0.509516442930984,-5.89811411701248,3.6767965946751e-09,3.79306286537159e-07
"PBANKA_040460",584.230598891143,-3.9568694365471,0.501513681896541,-3.90192632262182,9.54302071659523e-05,0.00262055468167223
"PBANKA_040930",6192.14745912736,-7.87898260201479,1.08094233448062,-5.43875692021957,5.36535976603491e-08,3.86407136357646e-06
"PBANKA_041020",125.236153180982,4.65746699358637,0.553919177253015,4.79757174460944,1.60600692948828e-06,7.47576640226437e-05
"PBANKA_041440",491.74037261715,-4.1487617623374,0.598487157164521,-3.59032225940768,0.000330269379556363,0.00741551895156845
"PBANKA_050180",919.805615437553,-5.43836234846698,0.888645455816013,-3.86921727440743,0.000109185310501444,0.00292194649701586
"PBANKA_050220",666.56345214415,-5.04209274070901,0.785865997143695,-3.87100695508622,0.000108386699162873,0.00292194649701586
"PBANKA_051020",2223.35436695862,-7.32613879772884,1.09131541925945,-4.88047607844034,1.05830050977677e-06,5.31517506028675e-05
"PBANKA_051140",2329.79008700013,-5.87113706938859,1.03695436678948,-3.73317977470315,0.000189077538853104,0.00461784849379516
"PBANKA_051150",236.025211803792,-3.82259331336974,0.444679026263709,-4.09867163892026,4.15528041264265e-05,0.00125878613770294
"PBANKA_051480",182.902448802098,-4.20561841524474,0.590996432731616,-3.73203338140344,0.000189940323166319,0.00461784849379516
"PBANKA_052280",1832.60752566368,-4.76016547346885,0.621480724415745,-4.44127285856482,8.94283115263528e-06,0.000341818505928268
"PBANKA_052290",2839.45718902942,-5.45049733142241,0.667467383657293,-5.16953699297769,2.34674679780844e-07,1.39961445738044e-05
"PBANKA_060190",1419.48418949488,-5.50567939096433,0.922711952774211,-3.79932153303553,0.000145092751623369,0.00369212688630932
"PBANKA_060370",3870.73720827462,-7.68981001916344,1.10367455113097,-5.15533316713057,2.5318036872238e-07,1.48675302678973e-05
"PBANKA_060590",2248.81746625826,-7.96982941731387,0.911958021973477,-6.54616689965088,5.90326059878789e-11,9.79684595894495e-09
"PBANKA_060910",7587.93833044787,-8.16817623302401,1.06282217723905,-5.80358254195204,6.49127743247798e-09,6.19430148994212e-07
"PBANKA_061180",650.391352186791,-3.33596657634241,0.371540992017769,-3.5957447631472,0.000323464831200719,0.00731164807570913
"PBANKA_061490",558.688391619703,-5.54582370359394,0.553655914179076,-6.4043815170862,1.50980146165478e-10,1.92097072637877e-08
"PBANKA_062020",422.09777002367,-4.50748793653725,0.575869469932803,-4.35426440792188,1.33514479785818e-05,0.000471874786428212
"PBANKA_062190",368.15999483846,-4.63194469399391,0.57697403472924,-4.56163455471444,5.07569328970225e-06,0.000206319070574812
"PBANKA_070190",3281.31868659106,-6.28903340123982,1.08836126300127,-3.94081776616375,8.12043008734306e-05,0.00226245851411595
"PBANKA_070240",1001.67872949228,-5.78142373238382,0.633503732320288,-5.96906306855348,2.38619867803205e-09,2.60232010115667e-07
"PBANKA_070300",1987.6853767458,-7.22572208463902,1.12877809781868,-4.62953887459149,3.66480923193154e-06,0.000158961100435031
"PBANKA_071120",1440.12595582096,-6.52759662099175,0.69892442158399,-6.47794880415073,9.29778874645224e-11,1.41958638580833e-08
"PBANKA_071190",19020.6503409163,-7.78934972934017,0.748076337146189,-7.73898256349847,1.00215522948948e-14,4.7815331387017e-12
"PBANKA_071220",2748.9993570739,-5.25335876953456,0.581131074053255,-5.59832181549531,2.16436701182096e-08,1.68599773145318e-06
"PBANKA_071300",129.07298257465,-4.14305369318495,0.567837718039686,-3.77406013215059,0.000160612020502708,0.00400690249842377
"PBANKA_071660",246.277912523358,-3.95683263958121,0.441713606089311,-4.43009364575822,9.4192176756908e-06,0.000352481900667763
"PBANKA_071920",1400.93727243019,-6.40996132526918,1.06831771992203,-4.12794924490351,3.66012874230119e-05,0.00115460424870774
"PBANKA_080230",13847.5127248482,-6.72692706834439,1.02967512286762,-4.59069755437036,4.41767094560878e-06,0.000189463483139199
"PBANKA_080510",687.456607822396,-4.59401940936306,0.730610353070642,-3.55048268678483,0.000384525426580161,0.00843525030607169
"PBANKA_080570",7953.09324065244,-4.51833975467592,0.543935687424393,-4.62984836792119,3.65933600139079e-06,0.000158961100435031
"PBANKA_081230",236.435619094727,-4.212516440958,0.624588544534262,-3.54235834185497,0.000396566356035659,0.00864967874850348
"PBANKA_081300",2454.88549517485,-6.93372827144649,0.650591025942993,-7.58345577284185,3.36470273947418e-14,1.427007817397e-11
"PBANKA_081620",359.051125066197,-4.84612725916058,0.535575852244828,-5.31414410719087,1.07159792469538e-07,7.43688959738593e-06
"PBANKA_081660",399.053134818696,-5.37989017207389,0.81209487884806,-4.16194001477782,3.15555252327516e-05,0.00100372866511177
"PBANKA_082020",11552.3088948655,-6.40207486106266,1.09933826629679,-4.00429512554987,6.22026712529689e-05,0.00177184773263121
"PBANKA_082260",935.895468746333,-5.37492652319453,0.784719782064922,-4.30080469529352,1.70178999394442e-05,0.000574843575830606
"PBANKA_082310",1704.90628217499,-5.40173131181169,0.867672471117145,-3.92052465077278,8.83563969172407e-05,0.00244388671763122
"PBANKA_082590",1562.76857315725,-5.97347404236378,1.0756326946498,-3.69408076021475,0.00022068366171077,0.00526468460468756
"PBANKA_082650",975.345539148814,-5.16562298499898,0.616017550442276,-5.13885194135489,2.7642208381802e-07,1.574780737214e-05
"PBANKA_082910",464.797836290253,-4.52570118307051,0.478129808432926,-5.28245915340127,1.27461259943324e-07,8.68785052149408e-06
"PBANKA_083340",286.439126903572,-4.38524527112683,0.394116067707025,-6.05213911983906,1.4293494386505e-09,1.60465494333205e-07
"PBANKA_090990",863.989382841478,-3.59200695649153,0.436170003052803,-3.64996892346768,0.000262272037602963,0.00614167096644485
"PBANKA_091090",3529.15674912193,-9.44975036808467,1.31020490484342,-5.68594297009976,1.30092806746181e-08,1.07948748554386e-06
"PBANKA_091200",1595.85822118996,-5.25066463900555,0.853574455739497,-3.80829653130766,0.000139927414885653,0.00360880366634146
"PBANKA_091280",174.276241027949,-4.57193204036955,0.667817284239331,-3.85125108479198,0.000117515936115412,0.0031149883899481
"PBANKA_091290",437.851750160603,-5.00568651009969,0.680790060235459,-4.41499764121135,1.01011091700734e-05,0.000374329453419127
"PBANKA_091440",1550.77253683489,-4.22595549465577,0.547151515893147,-4.06826158750967,4.73651904057207e-05,0.00139071485983566
"PBANKA_091600",1998.7842407866,-5.86789613380107,0.870956244108615,-4.44097640950917,8.95516127661169e-06,0.000341818505928268
"PBANKA_091800",3119.04849603651,-5.2009297487151,0.701299888054752,-4.56428099196445,5.01209112727803e-06,0.000206319070574812
"PBANKA_092120",4201.66444159854,-7.61076003458011,1.1390981624682,-4.92561591217275,8.409504140749e-07,4.33771314935661e-05
"PBANKA_092430",472.232186759471,-3.76648338592288,0.414978169815102,-4.25681039248392,2.07364074312683e-05,0.000688268410131747
"PBANKA_092800",346.20082524637,-4.48223965956311,0.68690803293746,-3.61364191498559,0.000301925975613424,0.00698455423585721
"PBANKA_092850",658.570046683502,-4.37187914638076,0.547818940884183,-4.32967714214578,1.49328109479178e-05,0.000522922379708277
"PBANKA_092890",644.97856505659,-6.88416517746202,0.734221303415071,-6.65217033984766,2.88802169490211e-11,5.01071764065517e-09
"PBANKA_092900",704.319703104821,-5.78892409469147,0.645587838750747,-5.86895208872471,4.38558134478548e-09,4.40520105080163e-07
"PBANKA_092920",618.531066865572,-5.58320998386068,0.536772645997955,-6.67547053780815,2.46440171620245e-11,4.47934350035464e-09
"PBANKA_093030",1267.16286586116,-4.83040920810335,0.618027850636839,-4.57974378531127,4.65545873132469e-06,0.000197248617858221
"PBANKA_093110",1473.99230691909,-5.336846864417,0.949499122809421,-3.5143232724047,0.000440875922825453,0.00940124803030588
"PBANKA_093560",951.399237915183,-7.13529534999735,0.757395408841344,-6.7802039595847,1.20006342472273e-11,2.54480116231481e-09
"PBANKA_094180",13646.654805788,-6.64431432333536,1.13902373831154,-4.07745173969769,4.55319766498087e-05,0.00134725236335132
"PBANKA_094190",6501.57482839025,-8.19528559701845,0.964739863190916,-6.42171618836946,1.34746473260094e-10,1.85275539671004e-08
"PBANKA_100170",166.556188448507,-4.74746142793953,0.716616090038612,-3.83393767755269,0.000126108105424647,0.00327452134969985
"PBANKA_100210",1035.99723057108,-6.55689905775389,0.943687113792945,-4.82882407860633,1.37341673155651e-06,6.55291458043901e-05
"PBANKA_100250",1687.35156000367,-6.76787406655821,1.05464426074262,-4.52083630853967,6.15958048435863e-06,0.000244907486549967
"PBANKA_100610",511.224891493694,-4.21744233231811,0.529970775494963,-4.18408417001324,2.86318019762963e-05,0.000926166001216298
"PBANKA_100630",1492.53876428642,-5.75483848126497,1.02058883234349,-3.67909030774231,0.000234067379244823,0.00554928687315212
"PBANKA_101210",496.578830749908,-3.91227429195128,0.468040543472195,-4.0857022294798,4.39437063452389e-05,0.00131041505562326
"PBANKA_101370",1644.9265301593,-7.66837591122424,0.978573572956704,-5.79248823785172,6.93511843492463e-09,6.45642611368471e-07
"PBANKA_101850",1221.97888355832,-4.59253186979409,0.732260274374345,-3.54045134021396,0.000399443285992243,0.00866292626495678
"PBANKA_101860",2155.77765972218,-4.9020434973078,0.732132470624812,-3.96382296066059,7.37589617134095e-05,0.00207013203573591
"PBANKA_101970",5979.45509107358,-6.98623136067954,1.03377955361479,-4.82330236000926,1.41200674703898e-06,6.65386389314542e-05
"PBANKA_102250",2748.55843003754,-5.46313634335285,0.965074047895358,-3.58846696883549,0.000332628125526576,0.00742480441599381
"PBANKA_102370",451.981622832788,-5.81183531277609,0.832707832560155,-4.57763835492772,4.7025476094048e-06,0.000197248617858221
"PBANKA_102680",366.357418754491,-4.99199086549038,0.478803271613861,-6.24889394637078,4.13369467412133e-10,5.04947756416148e-08
"PBANKA_102850",714.725027684553,-5.14637172162578,0.783283026117552,-4.0169027244484,5.89680505236181e-05,0.00169233871314775
"PBANKA_103480",336.088734163201,-5.4204156138538,0.635914035991712,-5.37873898084296,7.5009365676919e-08,5.30205090349629e-06
"PBANKA_103730",1130.1589351757,-5.68758527225665,1.02450835896846,-3.599370605399,0.000318988309096311,0.00729088847796778
"PBANKA_103740",943.149411192639,-6.48436554949843,1.02425473225819,-4.37817410871189,1.19677728237371e-05,0.000430952725171741
"PBANKA_103760",1879.79499799033,-7.05930880937411,0.927785100512419,-5.45310417959917,4.94980503227759e-08,3.70458937415756e-06
"PBANKA_103800",417.195846453929,-4.93677860839704,0.492902456969598,-5.95813343364645,2.55135168617122e-09,2.7051414961432e-07
"PBANKA_110560",256.263501143186,-4.51090240397584,0.571697440298287,-4.3920126748613,1.12306150298169e-05,0.000408259595893441
"PBANKA_110760",2770.39948426164,-7.09825685444322,0.828403957690897,-6.1543125272532,7.54038602522098e-10,8.72171316917227e-08
"PBANKA_111090",989.287952703411,-5.98670036290382,0.942441420715109,-4.23018372842609,2.33500522689994e-05,0.000768337495782505
"PBANKA_111690",579.251759069733,-5.50707916199556,0.721806457764583,-4.85875281977512,1.18127498616611e-06,5.78067515666157e-05
"PBANKA_111700",3104.13449338723,-6.63683230556468,0.92632594316107,-5.00561637056345,5.56835597274197e-07,2.99357954196565e-05
"PBANKA_111710",2531.20835294867,-6.89326897479369,0.730816087212551,-6.69562296234802,2.14754778071284e-11,4.20359535809799e-09
"PBANKA_112380",1346.6653053635,-5.95461349476505,0.758851289512687,-5.21131550992632,1.87506249348628e-07,1.19285225627286e-05
"PBANKA_112600",469.457407270262,-3.61883240704229,0.45023429271433,-3.59553333284061,0.00032372767220195,0.00731164807570913
"PBANKA_112810",2751.48820265595,-6.73092077337286,0.591951048190512,-7.99208108142462,1.32679726023412e-15,1.01287702846273e-12
"PBANKA_112900",1328.35633916723,-6.34119341144119,0.90636219085882,-4.78968943676667,1.67039637418894e-06,7.6818107955171e-05
"PBANKA_113700",1337.50744659413,-4.02782494953203,0.451725734381136,-4.48906226763933,7.15373860574912e-06,0.000278630818960657
"PBANKA_114170",2936.41448960956,-7.3186608527059,0.669937406931899,-7.93904146517759,2.03749657487867e-15,1.11101777518741e-12
"PBANKA_114560",572.081886224823,-3.94316259310118,0.482116431613131,-4.03048406087195,5.56621036291162e-05,0.00160956249660861
"PBANKA_120240",3448.14494536674,-5.1260796812338,0.711193175485396,-4.39554229285204,1.10496546582342e-05,0.000405543575293077
"PBANKA_120420",2298.20464743593,-6.76668631472349,0.918223307196435,-5.19120597066673,2.08936334735973e-07,1.30054395431648e-05
"PBANKA_120540",829.158648110803,-4.74821887810795,0.743501623846255,-3.69631859563529,0.000218748433407819,0.00525133817809839
"PBANKA_120630",14346.9090901721,-6.81828470680016,1.10396210470878,-4.36453813609048,1.27391625053157e-05,0.0004544428344186
"PBANKA_120680",583.258187165111,-5.87150665767359,1.07411357455528,-3.6043736429609,0.000312906633468374,0.00719496759005292
"PBANKA_120840",339.657534550378,-5.44314385995942,0.534318042459545,-6.44399699495477,1.16367389593191e-10,1.70836279260465e-08
"PBANKA_120960",225.155257799855,-4.81999435291329,0.741532524012729,-3.80292739912899,0.000142996271936277,0.00366319979852866
"PBANKA_120990",2777.76619701784,-5.05930021732127,0.845984650114781,-3.61625972398695,0.00029889049318338,0.00695649397854244
"PBANKA_121430",3022.95684796288,-4.52462130962809,0.716828113044915,-3.52193400856462,0.0004284107731785,0.00918676360237266
"PBANKA_121490",719.670912556563,-3.84772882871804,0.477623658922004,-3.86858731598087,0.000109467736199441,0.00292194649701586
"PBANKA_121550",577.038061262647,-4.75302634467011,0.667730340936004,-4.12296128525626,3.74032582064389e-05,0.00116071737052014
"PBANKA_122040",108.049474057955,-5.23319239128473,0.661154762452298,-4.89022022512921,1.00723225071299e-06,5.12614066796199e-05
"PBANKA_122080",1380.78924050394,-4.5098180404054,0.551813189566403,-4.54831107313244,5.40781603211905e-06,0.000217280355732615
"PBANKA_122280",762.893066690901,-4.37411394651907,0.508082900269951,-4.67269011662796,2.97280123741932e-06,0.00013349626262623
"PBANKA_122720",734.913331607398,-4.87930657084542,0.499051825812136,-5.7695542264769,7.94814997942524e-09,7.22335439796813e-07
"PBANKA_122730",237.555007809974,-4.62065616546451,0.522562224508213,-5.01501264836131,5.30299770776191e-07,2.89164889293246e-05
"PBANKA_123180",1454.55311277354,-4.29651055011398,0.655648149849905,-3.50265695196381,0.000460642306943418,0.00966083343737927
"PBANKA_123400",1571.93657032236,-4.85503453430586,0.661579731096249,-4.31548065956467,1.59255995546553e-05,0.000551559169702274
"PBANKA_124320",1037.92959006172,-5.97582918909699,0.882105691924315,-4.50720273715013,6.56878635230188e-06,0.000258485128935426
"PBANKA_130870",248.222233043531,-5.17964413935215,0.604639136032386,-5.25874682908689,1.45040408810453e-07,9.71261825314909e-06
"PBANKA_130950",832.908027716332,-4.14940848851372,0.558545017055366,-3.84822784713996,0.000118975372814952,0.00313192412437705
"PBANKA_131070",1496.9704945142,-6.34814300884592,0.593474506416359,-7.32658768293483,2.36086749980878e-13,9.01143124677009e-11
"PBANKA_131240",338.661625851017,-4.34345121207956,0.528846067863473,-4.43125392148051,9.36866869249387e-06,0.000352481900667763
"PBANKA_131270",8202.96198669272,-8.95079823470522,1.20575730041412,-5.76467439369265,8.18156398223694e-09,7.26256505120893e-07
"PBANKA_131410",61188.4946752887,-10.7970149764399,1.29070568407898,-6.81566300121877,9.38300169015584e-12,2.10675985007793e-09
"PBANKA_131820",540.156199932384,-5.79414977607078,0.66428448416535,-5.71163389558617,1.11896606761857e-08,9.70703063659106e-07
"PBANKA_132340",785.894667718841,-4.13275728769492,0.510141556523612,-4.18071662741751,2.90591820539567e-05,0.0009320915789912
"PBANKA_132500",1219.76640233358,-6.41754511661823,0.660130877591258,-6.69192317247354,2.20256502913178e-11,4.20359535809799e-09
"PBANKA_132980",1208.81196273398,-4.9585273155371,0.84441155849143,-3.50365563543754,0.000458918396899676,0.00966083343737927
"PBANKA_133110",267.671615618494,-5.01677122141749,0.595575428022671,-5.06530504697492,4.07746878517047e-07,2.28877916955819e-05
"PBANKA_133360",218.76175953129,-3.71011746629327,0.477023635194823,-3.58497428664062,0.000337111417107058,0.00743788600634475
"PBANKA_133760",2988.77007076048,-6.00363928577863,1.09223413841091,-3.66555040259365,0.000246807194727782,0.00581520408812312
"PBANKA_133860",2087.06277129396,-4.74138366505431,0.702904364656223,-3.90008058407073,9.61606761327029e-05,0.00262175214856091
"PBANKA_134010",2701.18802822969,-5.65553605668809,0.704770124025409,-5.18684877816458,2.13882265131479e-07,1.30054395431648e-05
"PBANKA_134260",370.698569809565,-4.28865919625558,0.605514367440145,-3.77969428856172,0.000157021029639007,0.00396920046445092
"PBANKA_134460",518.664798521408,-4.15333545517702,0.522777987080518,-4.1190247263517,3.80479322403806e-05,0.0011685925833255
"PBANKA_134980",6072.62227772173,-9.01202708102083,1.00642993700838,-6.9672282422998,3.23246030998753e-12,8.81307214515885e-10
"PBANKA_135030",657.066054829684,-4.45259158485211,0.381999415311185,-6.42040664605251,1.35910796719626e-10,1.85275539671004e-08
"PBANKA_135060",505.870553804439,-3.74611968751508,0.462357475949894,-3.77655770338254,0.000159010733934796,0.00399305244361261
"PBANKA_135560",2329.38448864859,-7.96258423960449,1.0618584482063,-5.61523454437505,1.9629579742051e-08,1.56096053907101e-06
"PBANKA_135650",369.759153319552,-4.08229397003287,0.562379930428179,-3.70264630255827,0.000213362245885612,0.00515445375028723
"PBANKA_136100",544.191297648208,-4.78880517239853,0.64793696834708,-4.30413035316214,1.6764294065052e-05,0.000571333128984852
"PBANKA_140080",7651.18045315977,-9.78590102729679,1.19226903835093,-6.53032224846311,6.56283334010398e-11,1.0437639524657e-08
"PBANKA_141230",281.655438281797,-3.66354499419786,0.471829089070836,-3.5257364005976,0.000422307080891676,0.00910704026985044
"PBANKA_142060",1533.09382531948,-5.94299133785841,0.69156071223848,-5.70158377721535,1.18699373107304e-08,1.00683446033462e-06
"PBANKA_142270",748.931792914101,-6.26605505846591,0.536103926985732,-7.9575150334227,1.75528801121256e-15,1.11101777518741e-12
"PBANKA_142520",918.886796051198,-6.52662711981828,0.929703259127229,-4.86889453745457,1.12224277229349e-06,5.56311774265487e-05
"PBANKA_143000",222.744469750256,-4.89264237212577,0.55298416826642,-5.23096778917572,1.68624892815315e-07,1.10972623426906e-05
"PBANKA_143200",340.322184929561,-6.12710926301335,0.513131375647505,-8.04298754447724,8.76742425214388e-16,8.36631459260829e-13
"PBANKA_143230",19741.4112045241,-9.65744548724799,1.37204387257015,-5.58105002349804,2.39070866604478e-08,1.82506699565859e-06
"PBANKA_143280",4799.2441247056,-7.10334411073667,1.11880670186406,-4.56141717978084,5.08095169872475e-06,0.000206319070574812
"PBANKA_143370",728.94270005082,-5.02631220464956,0.74515824045709,-4.06130139927485,4.87999215603495e-05,0.00142190305798362
"PBANKA_144220",22209.3369040298,-7.52414958672505,1.10857971109703,-4.98308739680834,6.25776684806225e-07,3.27204055603474e-05
"PBANKA_144710",519.531014376496,-4.85549778586178,0.591278399086691,-4.82936259851955,1.36970789795255e-06,6.55291458043901e-05
"PBANKA_144950",2272.17256214782,-6.60739980559594,0.658973074675516,-6.99178765060267,2.71405468653259e-12,7.96888210653454e-10
"PBANKA_144970",993.636340593754,-6.60536405528252,0.895076043671582,-5.14522099864434,2.67206055823514e-07,1.54534168951266e-05
"PBANKA_144990",3753.74094735871,-6.17547983608219,0.9760933775989,-4.27774630164327,1.88795012110612e-05,0.00063213207125106
"PBANKA_145200",1141.38490509535,-5.89206675900979,0.744629524732282,-5.22684990285486,1.72422358652866e-07,1.11548498809829e-05
"PBANKA_145280",1087.9612852729,-4.92780744469886,0.564540724861069,-5.18617579877764,2.1465619366502e-07,1.30054395431648e-05
"PBANKA_145490",1058.51379382103,-6.20476035590809,0.518077252415862,-8.11608758404416,4.81453282225222e-16,6.1256905941789e-13
"PBANKA_145550",132.298132873734,-4.72585419099528,0.501021501853247,-5.44059322985643,5.31034405097618e-08,3.86407136357646e-06
"PBANKA_145560",757.538793661174,-4.46223927826576,0.437370676011127,-5.62963960163419,1.80586558951794e-08,1.46659339472127e-06
"PBANKA_145670",3229.93783287587,-6.34475994436998,1.15871187240173,-3.74964652374221,0.000177084004081185,0.00436083641017989
"PBANKA_145690",3724.92571788472,-7.17829928346143,0.75606559214507,-6.84900799250741,7.43638427731178e-12,1.77404242415619e-09
"PBANKA_146020",497.656710523574,-5.96602041173745,0.570697372620456,-6.94942819436294,3.66769745028201e-12,9.33306744515094e-10
