"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_030700",1985.5169555791,5.02993137255641,0.570075271731722,5.314967203107,1.06676538753881e-07,4.07832613543682e-06
"PBANKA_031450",1120.79469619475,5.43806260893339,0.573804713306728,5.99169461177914,2.07665618064294e-09,2.17409901050253e-07
"PBANKA_031560",1992.34492365954,5.80057511869162,0.51955220790182,7.3150976184665,2.57194350873088e-13,1.66957651829158e-10
"PBANKA_040300",1326.13477449619,5.06279493890408,0.545853955116702,5.6110153827671,2.01142882137305e-08,1.03415185264387e-06
"PBANKA_040540",1469.80371205654,5.20409493335603,0.575856263514105,5.56405328267746,2.63579407538793e-08,1.3099896554678e-06
"PBANKA_040550",2145.50017227541,4.43733475271935,0.640857919021523,3.80323731731479,0.000142817420657734,0.00231457363261611
"PBANKA_041060",1114.31104121996,4.2511001823823,0.468823858739382,4.80159049165132,1.57410346041967e-06,4.10810837666607e-05
"PBANKA_041460",1747.84965973397,5.56834161223319,0.533786828470047,6.68495628200655,2.30993592104609e-11,4.30514307284965e-09
"PBANKA_041750",1884.02235571449,5.18961871345638,0.596191453716531,5.34999066754978,8.79587676360936e-08,3.53363244660371e-06
"PBANKA_050360",965.1808949029,4.55533320223202,0.515806510344546,4.95405379921459,7.26830962976621e-07,2.02596217412791e-05
"PBANKA_051090",2059.21137370603,4.21956075638675,0.540407532429873,4.10719803701992,4.00487837753103e-05,0.000701048189705222
"PBANKA_051190",2231.81026457066,4.80515109972526,0.599263071122568,4.68100110769469,2.85477396726751e-06,6.44919391696343e-05
"PBANKA_052280",1832.60752566368,4.38562973989457,0.50555713899206,4.71881327727041,2.37224433352465e-06,5.67666370563493e-05
"PBANKA_060190",1419.48418949488,5.08394079505158,0.751269274484219,4.10497394182512,4.04360458180074e-05,0.000701048189705222
"PBANKA_060320",1604.88895056841,5.8758933914837,0.59301036218014,6.53596233501618,6.32018209037764e-11,9.42339149675306e-09
"PBANKA_061710",1762.69678573134,4.91394941744534,0.545099666999028,5.34571857929704,9.00590429047224e-08,3.53363244660371e-06
"PBANKA_061720",1974.81830781142,4.86168045416878,0.541999411798875,5.27985896639809,1.29283359865489e-07,4.58955927522485e-06
"PBANKA_061860",836.667868275542,3.75218845792004,0.485875929204495,3.60624668274641,0.000310657831401155,0.00472643700631757
"PBANKA_061910",2159.47110865114,5.28980643224238,0.598549227329382,5.49630052472192,3.87841343618239e-08,1.86539175269289e-06
"PBANKA_070390",1935.68567489017,4.46505439465947,0.498127608201823,4.94864037662558,7.47336818088768e-07,2.02596217412791e-05
"PBANKA_070910",1000.56925910681,4.51134950024132,0.529774063427781,4.74041610114359,2.13279755461728e-06,5.21311664579404e-05
"PBANKA_071190",19020.6503409163,6.69866212370026,0.606768801782242,7.74374376187278,9.65314530060167e-15,1.43928396431971e-11
