"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_010450",894.531839124969,5.9949620757744,0.706070182114212,5.65802405620944,1.53125676592946e-08,8.80047291307793e-07
"PBANKA_010700",733.774726638808,6.36691432912404,0.727256688407746,6.00463962550135,1.91757335600425e-09,1.49715444285766e-07
"PBANKA_010720",344.091789576559,4.10397464343556,0.602472988125189,3.49223066412127,0.000479004402211703,0.0063466889555552
"PBANKA_011080",251.077314641652,4.7323901417441,0.67675823138126,4.03746864839355,5.40310628998617e-05,0.00104476887046555
"PBANKA_011090",374.602695258781,3.79524769742373,0.525913647197834,3.4135788393953,0.000641156049007495,0.00813835500243256
"PBANKA_020170",1363.77474722244,7.82404721845459,0.886605024770204,6.5689309847574,5.06777644284939e-11,6.19358029778427e-09
"PBANKA_020340",517.83785534736,5.85061171634465,0.64905549623055,5.93263863985043,2.98104477625624e-09,2.20277915788363e-07
"PBANKA_020360",325.49628290564,4.30536972331295,0.571707447113199,4.03242905957193,5.52032818197795e-05,0.00106247060544301
"PBANKA_020410",966.877410422951,6.48585722177261,0.637346888171637,7.03832921290513,1.94558576969922e-12,3.83373043572161e-10
"PBANKA_020460",3156.71545883248,7.95633291153546,1.23361023864006,4.82837506123631,1.37651653524593e-06,4.59119019654384e-05
"PBANKA_020910",1416.887871892,4.78777528629528,0.774672801090442,3.59864872288167,0.000319874906781887,0.00461199430056951
"PBANKA_021050",765.362230173222,-4.00987873922049,0.408989051305786,-4.91426049866988,8.91181923017955e-07,3.17906103228302e-05
"PBANKA_030130",768.169101341298,4.70593164825232,0.611355592252153,4.42611743892622,9.59443033356792e-06,0.000237735046229365
"PBANKA_030160",1344.07184422851,4.41140701210224,0.706891737804939,3.4112819306535,0.000646581982156116,0.00815272942335607
"PBANKA_030680",1524.79622140551,4.90119484963262,0.537527774964442,5.39729291165379,6.76538903285801e-08,3.49939747724581e-06
"PBANKA_030690",398.13204490854,5.75706259112994,0.552097183396648,6.80507472980661,1.00996796700985e-11,1.74135310311948e-09
"PBANKA_031000",890.971091478271,4.41646997265688,0.568618996620334,4.24971727469449,2.14040502990628e-05,0.000483643108572619
"PBANKA_031060",1179.06477136274,6.43255873663726,0.61742241045527,7.17913483796097,7.01539315191163e-13,1.67328060732498e-10
"PBANKA_031150",1872.86978118992,5.85786129803471,0.963364589055595,4.00457037954514,6.21302921641267e-05,0.00116861431352344
"PBANKA_031200",1650.0445322686,7.30929783414291,0.813854116914601,6.52364806394415,6.86176090775384e-11,7.88721295452372e-09
"PBANKA_031330",1416.42056888768,5.50796103358626,0.747709901356345,4.6916070353259,2.71067395659127e-06,8.30871765361087e-05
"PBANKA_031410",302.280154874076,3.54676920661391,0.450371337984759,3.43443082664877,0.000593799604984405,0.00760725314373209
"PBANKA_031580",493.305388608486,5.87330929561871,0.678987054324465,5.70454071392028,1.1665720890247e-08,6.89610757769175e-07
"PBANKA_040270",2133.95634284353,5.95804036283857,1.00983765647624,3.91948184686426,8.8739544509012e-05,0.00155595014906056
"PBANKA_040310",691.322745709531,5.58922050981324,0.641661299408001,5.59363719321185,2.223613653305e-08,1.26045387635289e-06
"PBANKA_040390",401.193653022726,4.40852078279288,0.622378190564024,3.86986693831637,0.000108894770495291,0.00184674819798982
"PBANKA_040440",306.155587734713,4.36850593490444,0.593505248062715,3.99070765192992,6.58764427508159e-05,0.00121694964331641
"PBANKA_040820",4867.74888017605,7.29098963860241,0.917088714004041,5.76933240787771,7.95861816909511e-09,5.27904457069779e-07
"PBANKA_040900",683.598558647105,5.55620541530264,0.661809594415692,5.37345702647662,7.72412203737586e-08,3.85089361333269e-06
"PBANKA_041020",125.236153180982,-3.4610525853888,0.432994312739419,-3.37429971341927,0.000740037464938335,0.00903325967526499
"PBANKA_041120",146.646909759196,-3.27452093954942,0.379152273040078,-3.36150151317883,0.000775199318724219,0.00932492668860703
"PBANKA_041290",11944.0880815035,7.12437409801682,1.02740607163668,4.98768134575414,6.11082504652188e-07,2.3035523876901e-05
"PBANKA_041430",843.824960402316,5.15708277583053,0.570153388017311,5.53725162768773,3.07254965133889e-08,1.69522806096538e-06
"PBANKA_041460",1747.84965973397,4.16204615654244,0.587152648069291,3.68225565132305,0.000231179408822428,0.00353087380876526
"PBANKA_041720",887.497286171245,5.21887246568182,0.894895684414237,3.59692478323746,0.000322001545799793,0.00462653609902619
"PBANKA_050180",919.805615437553,4.75667734881861,0.795811020313757,3.46398488893979,0.000532236408001082,0.00696960207692556
"PBANKA_050520",501.934899855721,3.77452403364339,0.530045278923524,3.34787253882781,0.000814344555821699,0.00973918431211038
"PBANKA_050790",92.9359019527651,-5.02270446244326,0.841824719274064,-3.59065776192679,0.000329844509153209,0.0047015150244785
"PBANKA_050800",53.7431850902111,-6.42814822186252,0.882789712837456,-5.01608498317182,5.27350099482917e-07,2.05865538835878e-05
"PBANKA_051090",2059.21137370603,4.65196151287321,0.595803224820329,4.45106941754627,8.54437137394859e-06,0.000216911710094474
"PBANKA_051170",971.777806992538,4.5342812313308,0.520337708404271,4.87045468817304,1.11341733174051e-06,3.87169825104388e-05
"PBANKA_051300",1450.28079490688,6.07950200196199,0.76618190036172,5.32445624209607,1.01255472299337e-07,4.65550160416285e-06
"PBANKA_051490",21924.7440650626,10.8114721042799,0.905416150523072,9.73195817104587,2.203104265311e-22,2.27911136246423e-19
"PBANKA_051500",12484.3969776812,9.92444984027654,0.790952161747499,10.0188737366474,1.25929745228951e-23,1.73699095252467e-20
"PBANKA_051850",231.26965891895,4.16549316231295,0.610055906610061,3.5496634633801,0.000385723909324058,0.00541059503994221
"PBANKA_052280",1832.60752566368,4.29604449320544,0.556917937624214,4.12276986983083,3.74343641755592e-05,0.000766129910821827
"PBANKA_052390",1735.34367410909,5.72393223765503,1.05443372169861,3.53168924800325,0.000412914281275162,0.00565774601296894
"PBANKA_060190",1419.48418949488,5.0085463890342,0.827273838796153,3.63669954003651,0.000276153734373052,0.00411051853538018
"PBANKA_060340",495.809302552985,5.02208962889162,0.572267225865988,5.28090635335339,1.28546385105864e-07,5.71962302761361e-06
"PBANKA_060390",864.738996892042,5.58092206123627,0.917834147970024,3.90149142865975,9.56018473271561e-05,0.00165523198426683
"PBANKA_060620",1033.05096048359,4.80199821944228,0.791200046881243,3.54145355588289,0.000397928906911108,0.00551515767289599
"PBANKA_060800",593.781344938264,4.78619279959622,0.657850595870145,4.2352972195927,2.28249599731277e-05,0.000507794001982808
"PBANKA_060860",1820.57695284934,5.08184491586144,0.851417651364567,3.61966293618903,0.000294987017260641,0.00434397251752502
"PBANKA_060960",2064.43052152899,7.60610839221871,1.00385818055316,5.58456214316004,2.34289733026098e-08,1.31012285846215e-06
"PBANKA_061030",488.146222830365,4.88731889203695,0.640701010249282,4.50649967121725,6.5905787485076e-06,0.000171520848184431
"PBANKA_061160",2195.78911188117,4.77189665030421,0.629525320647387,4.40315354981061,1.06688598107478e-05,0.000256672918005084
"PBANKA_061240",2835.75378047682,5.34768500150371,0.834789843971156,4.01021290050504,6.06640233247286e-05,0.00115150334182444
"PBANKA_061640",1740.08403689871,6.10413981436296,0.875414062621274,4.68822696550457,2.755822807586e-06,8.38499616014034e-05
"PBANKA_061650",1345.80930684044,6.9344526720047,0.621766667742209,7.93618077006756,2.08502061536316e-15,7.84346846033888e-13
"PBANKA_061660",443.912566240556,4.38081760033848,0.698765148592009,3.40717851360469,0.000656381822347595,0.00815642082658257
"PBANKA_061720",1974.81830781142,4.67136326147626,0.597134979982931,4.47363385335862,7.69013805887398e-06,0.000196430810417411
"PBANKA_061740",666.458699556779,-3.89050964564398,0.365222455445893,-5.1763236828795,2.2630071194905e-07,9.75450360463716e-06
"PBANKA_061750",574.445567618983,4.88268780607848,0.584244622687352,4.93404251256771,8.05448964289884e-07,2.90636859857793e-05
"PBANKA_061770",325.137696986593,4.18964914530315,0.59465946597307,3.68219001058046,0.000231238956543109,0.00353087380876526
"PBANKA_061840",503.208182823285,4.52107138591165,0.527136281414425,4.78257990352524,1.73059559419518e-06,5.63874375494462e-05
"PBANKA_061920",23538.3886180671,10.0089062420184,0.752184402978036,10.6475303267518,1.79052329864945e-26,7.40918540981144e-23
"PBANKA_062020",422.09777002367,4.78486676982353,0.517368284531702,5.38275509552014,7.33543117653755e-08,3.70170904981858e-06
"PBANKA_062050",502.079533664244,4.57500097612139,0.727558307529405,3.53923658004182,0.000401286044563443,0.00553507217467842
"PBANKA_062190",368.15999483846,4.55672272261197,0.518237717189192,4.93349410475,8.0771481110793e-07,2.90636859857793e-05
"PBANKA_062230",793.28391156558,4.85168313505566,0.644841043402029,4.42230401466206,9.76539172065226e-06,0.000239630968933996
"PBANKA_070190",3281.31868659106,6.18052897721095,0.973825444670755,4.292893557145,1.76359566362949e-05,0.000403191097022034
"PBANKA_070330",274.035847111281,3.98646218470942,0.567578772019078,3.49988809067483,0.000465453518990859,0.00621305374704573
"PBANKA_070480",1313.48392443155,5.40088829088649,0.915427751239735,3.71508104957575,0.00020313857248112,0.00316010305611606
