"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_040320",12716.63402268,-7.25251435055551,0.946474621148977,-5.54955646267535,2.86395247505955e-08,1.04706102488177e-05
"PBANKA_041240",662.477168951887,-6.71912368275831,0.859038646937499,-5.4934940349682,3.94058423509657e-08,1.30970690577391e-05
"PBANKA_050500",261.224452739725,-5.16903751963677,0.61458831717928,-5.15635821745101,2.51798979565205e-07,4.84514246994942e-05
"PBANKA_051370",1023.65652662485,-7.32808577397791,0.947372666038455,-5.62406533878362,1.86515049991838e-08,7.57665580855734e-06
"PBANKA_070300",1987.6853767458,-5.30657778539085,0.833440118178671,-3.9673849545625,7.26655696925323e-05,0.00916087319985855
"PBANKA_082020",11552.3088948655,-5.96062526806396,0.831170165037837,-4.76511962852235,1.88741635090875e-06,0.000313654280860108
"PBANKA_082040",476.497629050909,-5.74439393541709,0.717984938852882,-5.21514273182315,1.83675748994866e-07,3.73065854625128e-05
"PBANKA_082090",167.304997518622,-4.97998497036271,0.62898604642857,-4.73776006206065,2.16093450117452e-06,0.000329182355678919
"PBANKA_082380",213.527008314725,-5.30171410205827,0.669793764444549,-4.92944885026861,8.24619213754901e-07,0.000143562278356568
"PBANKA_090210",1808.04254248146,-4.40762463691947,0.487909858917373,-4.93456853333887,8.03281366815749e-07,0.000143562278356568
"PBANKA_092380",201.938730097775,-4.89142046842052,0.547930281393685,-5.27698608126943,1.31325856845103e-07,2.82636479809785e-05
"PBANKA_100220",309.540023629215,-8.52485647636277,1.22881212565885,-5.30988939652949,1.09691782352711e-07,2.77129462763022e-05
"PBANKA_100230",1521.42266022642,-6.25489419467766,0.650830061947814,-6.53764237924651,6.24961406309938e-11,3.80809816911522e-08
"PBANKA_100300",2891.70633159658,-6.52904759872588,0.829106549191137,-5.46256401320716,4.69306217935364e-08,1.42981961064307e-05
"PBANKA_101750",1336.5233564611,-5.148133850967,0.717927580597685,-4.38502982201372,1.15969889597242e-05,0.00169594366547007
"PBANKA_102460",1824.63503085462,-8.49070456218813,0.788423023428386,-8.23251524792349,1.833228057743e-16,6.70228177910841e-13
"PBANKA_102760",1157.12526682781,-6.04862299001436,0.934070907845076,-4.33438506221614,1.46168131990594e-05,0.00205534880983697
"PBANKA_112510",371.475577229606,-7.29397646938349,0.680325759992591,-7.78153170246139,7.16516695037014e-15,1.18826408580671e-11
"PBANKA_112810",2751.48820265595,-4.98088027692272,0.433516653991786,-6.87604559011751,6.15368139966735e-12,5.62446479929596e-09
"PBANKA_121080",707.134968316425,4.61606523425427,0.620263687307655,4.2176662728874,2.46843789190567e-05,0.0032230746188597
"PBANKA_134090",547.028606239698,-5.28551880974597,0.424350320412149,-7.74246807815514,9.75052586821696e-15,1.18826408580671e-11
"PBANKA_134690",131.850654855882,-4.14239462783553,0.450999154173123,-4.75032959155647,2.03085371277478e-06,0.000322817442343677
"PBANKA_135560",2329.38448864859,-5.12341267643507,0.792242589800097,-3.94249528698424,8.06382353572614e-05,0.00982711294887159
"PBANKA_136370",461.804435791258,-5.38641430406233,0.526836612442447,-6.42782643439054,1.29441413820372e-10,5.91547261159102e-08
"PBANKA_140080",7651.18045315977,-6.6174928959321,0.87067613382646,-5.30334152567049,1.13701913059227e-07,2.77129462763022e-05
"PBANKA_141150",344.554737078864,-5.2013506556513,0.599944943067523,-5.33607407253534,9.49806130027287e-08,2.67114708567674e-05
"PBANKA_143220",961.489753867171,5.6718234954148,0.569896854245441,6.4429615079669,1.17164418523581e-10,5.91547261159102e-08
"PBANKA_143590",691.014607203684,-7.02126364914908,0.739721921877358,-6.78804223674417,1.13665378591693e-11,8.31121248262457e-09
"PBANKA_145670",3229.93783287587,-5.71580708928842,0.873359543505663,-4.2546132539792,2.09410647408867e-05,0.00283557528491415
"PBANKA_146260",220.106699678818,-6.1045713293235,0.777844885140025,-5.27685070344663,1.31422870808708e-07,2.82636479809785e-05
