"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_010760",1645.15283507671,3.82910994528732,0.427723587848741,4.27638315316425,1.89954184275371e-05,0.00327512672721453
"PBANKA_021200",485.271078761431,4.18135990171257,0.51969053255652,4.19742089774423,2.69971907697121e-05,0.00391587520130898
"PBANKA_021390",60.1987452961376,-5.15031628773164,0.595201605547054,-5.29285582964138,1.20420853445423e-07,6.22876864446452e-05
"PBANKA_030130",768.169101341298,-4.07629357998678,0.525488977559838,-3.95116485530916,7.77717267583463e-05,0.00766236679347707
"PBANKA_030950",874.641741763682,4.43516357126036,0.577930189989308,4.2135946753455,2.51338160959219e-05,0.00385199003721944
"PBANKA_041660",379.533925170778,-4.12320993837573,0.515238826138561,-4.12082675191242,3.77515237131393e-05,0.00469756629151361
"PBANKA_051490",21924.7440650626,-5.38892578754761,0.783745563351277,-4.32401272302793,1.53216454125715e-05,0.00275656385727047
"PBANKA_051500",12484.3969776812,-4.67811180844563,0.683542140254684,-3.9179907875874,8.92901178452002e-05,0.00839732971916905
"PBANKA_052270",1458.85720644239,-4.90336104669296,0.627454275777787,-4.62720736597736,3.70629375802345e-06,0.000891954627968554
"PBANKA_060290",109.438721536833,-4.1509815348778,0.509436593326343,-4.22227528029164,2.41848477857363e-05,0.00385199003721944
"PBANKA_062200",433.264186338023,-4.78167978209123,0.585039945488419,-4.7546835110019,1.98757532179838e-06,0.000548305778773445
"PBANKA_070770",2666.1818290016,6.01351558853307,0.996459782211994,4.02777478848535,5.63072401862336e-05,0.00629727999704418
"PBANKA_071650",268.097496480087,-4.11747210520958,0.423760145508374,-4.99686468313178,5.82699259039133e-07,0.000219200866718539
"PBANKA_072070",440.433691037412,4.50211391476121,0.600856723911855,4.16424384580619,3.12386116875058e-05,0.0043088458387633
"PBANKA_080200",861.330289456673,4.35595503223615,0.574501259150503,4.10087009333943,4.11599586329659e-05,0.00486628310923465
"PBANKA_091520",549.197392468523,3.88152311453623,0.457155561256572,4.11571743623667,3.85976930670523e-05,0.00469756629151361
"PBANKA_092380",201.938730097775,4.72816014389615,0.601682286846357,4.53422047405693,5.78166129047921e-06,0.00119622572100015
"PBANKA_092740",72.3213029871508,-3.48782733360323,0.338149469300592,-4.39991030203467,1.08295632763612e-05,0.0021339396589325
"PBANKA_103010",283.1889001608,-5.42616465950473,0.588811880816639,-5.81877637175542,5.9279980520619e-09,9.10531384354463e-06
"PBANKA_110600",367.39523864442,-4.20542162851154,0.525888405946172,-4.19370650422226,2.74433013141519e-05,0.00391587520130898
"PBANKA_112580",49.4876641428754,-4.53867117653166,0.514321456950433,-4.93596201796482,7.97566294449103e-07,0.000253871486648491
"PBANKA_113360",34.34558895587,-4.26556374450521,0.521661752236197,-4.34297460910919,1.40566385393978e-05,0.00264392592163764
"PBANKA_113750",64.4140411786971,-4.34710244992564,0.589004865475866,-3.98486088570658,6.75196700794432e-05,0.0071318251272948
"PBANKA_120530",258.463733396041,-4.24474881937128,0.417757642646956,-5.37332795433332,7.72965560198217e-08,6.22876864446452e-05
"PBANKA_120690",1847.87007679624,-4.80191803020365,0.598032583332386,-4.68522637109615,2.79650677297146e-06,0.000723246564159744
"PBANKA_120890",284.288408020003,-4.67853886368548,0.673014037615361,-3.97991529742253,6.89398272333958e-05,0.0071318251272948
"PBANKA_121740",417.727561330553,3.82696283334271,0.46490861923252,3.92972459051994,8.50432117156513e-05,0.00818392581579919
