"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_030950",874.641741763682,5.11898085911762,0.580696651349738,5.37110185131607,7.82569910005771e-08,5.39712381267314e-05
"PBANKA_050180",919.805615437553,4.8042078670202,0.690914918823643,4.05868767719571,4.93492634935755e-05,0.00729311615487198
"PBANKA_050970",731.537931339653,4.64616066835071,0.576247433490087,4.59205631914755,4.38899881198134e-06,0.00113510481774867
"PBANKA_072070",440.433691037412,5.51919708029835,0.602379160052117,5.84216273350804,5.15274332212237e-09,2.13220518669424e-05
"PBANKA_080960",504.433217421363,3.96342292293825,0.448041855635248,4.38223103097019,1.17470143947476e-05,0.00243045727827328
"PBANKA_081840",341.830923646049,4.93909560706903,0.62678797417917,4.68913847767743,2.74357683922197e-06,0.000810922925764322
"PBANKA_081960",613.397860376718,5.14899561358748,0.589828875999938,5.3388291786308,9.35487320614775e-08,5.53006647529134e-05
"PBANKA_082370",791.578577260551,4.07909972117895,0.40349381996073,5.15274241717334,2.56704454207741e-07,0.000132780378938954
"PBANKA_091050",19.0046359139256,7.22523230327011,1.17042790754397,4.46437774560141,8.03017836039276e-06,0.00174888831870028
"PBANKA_091630",77.6312272824661,6.12937025968635,1.01175029281892,4.08141246807174,4.47628357130591e-05,0.00686031904372735
"PBANKA_093460",379.044430139601,5.46151699638196,0.737915287543227,4.69094089093416,2.71951535511037e-06,0.000810922925764322
"PBANKA_100220",309.540023629215,8.34850086448704,1.27848992810492,4.96562446440018,6.8480356345889e-07,0.000288249712194447
"PBANKA_100230",1521.42266022642,5.72742750537723,0.691142787959039,5.39313665759923,6.92382531982612e-08,5.39712381267314e-05
"PBANKA_101700",270.112670150483,4.77881916118296,0.661300367906959,4.20205294906765,2.64505243464716e-05,0.00456051123940414
"PBANKA_102610",198.534916750559,5.14739651327718,0.782711087616871,4.02114721903339,5.79153937907339e-05,0.00826392756917437
"PBANKA_111950",169.656812749943,4.42847065330931,0.58722140523502,4.13552815285637,3.54139193295833e-05,0.00563626146868522
"PBANKA_113590",337.193005700549,4.43965045685683,0.537278263212274,4.54075778586439,5.60523973607639e-06,0.00136438129575789
"PBANKA_122050",754.874053844644,3.64102110192502,0.392723556468385,4.17856549447175,2.93353522523302e-05,0.0048555875048057
"PBANKA_122060",1043.24963491824,4.89226660993237,0.529051488008858,5.46689060608774,4.57998506791806e-08,4.73799455276123e-05
"PBANKA_122700",424.175683759881,3.85076723460876,0.429559240376615,4.30852618369029,1.64346022785647e-05,0.00323839924898574
"PBANKA_122760",667.195279647643,4.00526845868727,0.366249863830561,5.4751377589999,4.37171381538447e-08,4.73799455276123e-05
"PBANKA_134050",666.501299255348,3.54838580264516,0.386652591020615,4.0045918186091,6.21246580286596e-05,0.00856906116408645
"PBANKA_134090",547.028606239698,4.20614535950272,0.450026104989379,4.90226085785576,9.47399137224074e-07,0.000356394329984838
"PBANKA_136080",119.009871794158,4.20564552204335,0.522524625626867,4.22113219907532,2.4307832039138e-05,0.00437329604251971
"PBANKA_140230",1020.7966983939,4.0227436532142,0.471881545196776,4.28654960933195,1.81469691166642e-05,0.00341327991839802
"PBANKA_141150",344.554737078864,5.52304248556575,0.635947711001699,5.5398304367139,3.02764654813267e-08,4.73799455276123e-05
"PBANKA_143590",691.014607203684,5.61529973690086,0.783253555154957,4.61574634817408,3.9168510895467e-06,0.00108052865390295
"PBANKA_144200",298.737144193628,3.5314824450171,0.32183333996186,4.75861961721739,1.94921367885036e-06,0.000672153850256898
"PBANKA_144450",413.841033054134,4.04811266597066,0.457061965800572,4.48103937588258,7.42804040575221e-06,0.00170762395550015
"PBANKA_145270",140.133023960775,4.79156592617017,0.562553553657889,4.96231142442988,6.96591861272227e-07,0.000288249712194447
