"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_010320",269.429106519927,-6.88789226239341,1.19962832910171,-4.07450553127026,4.61122173389282e-05,0.00140425200571792
"PBANKA_010410",227.655209787489,-4.86871893635096,0.798105564860425,-3.59441039212982,0.000325127016944171,0.00617144768860083
"PBANKA_010440",267.118252012223,-5.86422652979391,1.02954585881858,-3.75333113789431,0.000174500096264971,0.00362854974042437
"PBANKA_010450",894.531839124969,-7.25614696482397,1.03407792876078,-5.082931197577,3.71654352939148e-07,4.00904056910128e-05
"PBANKA_010620",257.80203497904,-5.23634046690419,0.77158044584548,-4.19443038548998,2.73558146289584e-05,0.000927855417496966
"PBANKA_010720",344.091789576559,-5.65702512977975,0.873338756291435,-4.18740735302876,2.8215913940065e-05,0.000941696479224393
"PBANKA_010980",256.252932879601,-7.78082288993005,1.48575927207348,-3.89082067235732,9.99057497851422e-05,0.0023356496757679
"PBANKA_011080",251.077314641652,-6.72364901382287,0.980918873632142,-4.81553484268497,1.46806143843822e-06,0.000102963359868769
"PBANKA_020930",647.999149162305,-5.88824120765634,1.01894367016388,-3.81595305168436,0.000135658298422185,0.00298592573867553
"PBANKA_021390",60.1987452961376,-8.76767975191848,1.06374241200533,-6.36214150675846,1.9896000951099e-10,1.64659303871295e-07
"PBANKA_030160",1344.07184422851,-6.52604552466461,1.02431051499953,-4.41862644031014,9.93301626627818e-06,0.000451679355053397
"PBANKA_030290",69.9789269275497,-7.82472832884013,1.15840756896218,-5.02822019201627,4.95053221523661e-07,4.65575052423843e-05
"PBANKA_031200",1650.0445322686,-7.33133724030151,1.19941686614146,-4.44494102992941,8.79159790587505e-06,0.000404218134827899
"PBANKA_031250",264.137944598828,-5.33910799046661,0.613518249485599,-5.44255691377766,5.2521171992741e-08,9.44924390025922e-06
"PBANKA_031360",113.893912395382,-7.85521496665546,1.12611615295168,-5.19947693788803,1.99850120607381e-07,2.58431187210419e-05
"PBANKA_031370",115.484594820328,-5.26599468769104,0.951122119744775,-3.43383317440608,0.000595110338033659,0.00977208959834635
"PBANKA_040240",108.475537095906,-5.36679324901271,0.888219408312465,-3.79049727747934,0.000150345980712382,0.00319041881121967
"PBANKA_040250",310.544463660534,-7.313965461935,1.06238672857264,-5.00191250419191,5.67643535795439e-07,4.79369173698271e-05
"PBANKA_040270",2133.95634284353,-8.39058408005089,1.46488861972366,-4.36250510380539,1.28581585510381e-05,0.000548526392620573
"PBANKA_040560",160.538859147049,-5.38453004979726,0.852529359181333,-3.96998650351157,7.18767031378457e-05,0.00181357193649028
"PBANKA_041130",403.368531779151,-4.9272640741823,0.810417534699586,-3.61204434608811,0.000303792597836584,0.00590184868473139
"PBANKA_041580",135.170702189292,-6.1046010722862,0.914467585475264,-4.48851456025417,7.17215229978242e-06,0.000366399582919749
"PBANKA_041720",887.497286171245,-8.1744375621913,1.29928884987293,-4.75216697410675,2.01248067687866e-06,0.000127612368230774
"PBANKA_050350",759.344303400601,-5.88405788530997,1.02559437321253,-3.78712869995933,0.000152398173478103,0.00321746756047137
"PBANKA_050440",1266.087351845,-7.66515908727555,1.331175119374,-4.2557579426061,2.08342014288976e-05,0.000749668917502421
"PBANKA_050690",311.376675981482,-7.07557866438015,1.004086158107,-5.05492344795302,4.30563436762224e-07,4.24207500314782e-05
"PBANKA_050780",237.924494798499,-5.11979108538147,0.782680779806142,-3.98603257659424,6.71872913261222e-05,0.00178218597120188
"PBANKA_050790",92.9359019527651,-7.46121553741107,1.22000555497742,-4.47638579605658,7.59172477032777e-06,0.000369583024701368
"PBANKA_051060",104.96840859858,-6.53013678430158,1.04519263898673,-4.3342601309299,1.46251156571659e-05,0.000605187285893524
"PBANKA_051490",21924.7440650626,-8.72558628850679,1.3062382809659,-5.14882038484859,2.62129742382087e-07,3.09912249707736e-05
"PBANKA_051500",12484.3969776812,-8.16175441431872,1.13964895677177,-5.40671263524239,6.4192009072712e-08,1.10677722309534e-05
"PBANKA_051600",137.698625957757,-5.58616175262041,1.03397942697068,-3.46831054765474,0.000523741669740213,0.00873888318300405
"PBANKA_051760",837.0287962452,-7.3310436987268,1.27030891316646,-4.1966514156295,2.70890379209929e-05,0.000926400321628668
"PBANKA_060060",876.180689133035,-8.6461146815549,1.05626741579578,-6.29207583436416,3.13248374093167e-10,1.85174538856789e-07
