"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,-2.4132861643262,1.90469549187484,-0.216982801759767,0.82822174786582,1
"PBANKA_010080",464.686995921719,2.18202054306026,0.638778295947989,0.284951045166827,0.7756816479364,1
"PBANKA_010090",918.061686166002,-0.401760024286208,0.778455229805521,0,1,1
"PBANKA_010100",208.357029211728,-0.137923232206313,0.493390440215476,0,1,1
"PBANKA_010110",105.291743326147,-0.724620716513213,0.652433251984654,0,1,1
"PBANKA_010120",191.338754446582,-0.586734476303547,0.526210697594691,0,1,1
"PBANKA_010130",115.649395130954,0.233115162528212,0.568044302812295,0,1,1
"PBANKA_010140",440.920323520482,-0.678997794754778,0.381329254946991,0,1,1
"PBANKA_010150",251.270364955803,4.02649729686348,0.670574674367004,3.02203076603872,0.00251085027201951,0.0206970088159696
"PBANKA_010160",190.344133628196,-3.07705798642421,0.490148148404312,-2.19741314933167,0.0279909530172477,0.153616132076089
"PBANKA_010170",256.792965388713,1.7415060068974,0.433759225889811,0,1,1
"PBANKA_010180",550.74220224868,-0.357298006894499,0.461390901648115,0,1,1
"PBANKA_010190",194.714464579416,0.0689611202221854,0.531885825256961,0,1,1
"PBANKA_010200",141.825560804924,-0.678214983923851,0.466566525873775,0,1,1
"PBANKA_010210",234.572536167893,-0.269359144440283,0.450456394310084,0,1,1
"PBANKA_010230",107.665175690093,0.552805154030881,0.553261206090489,0,1,1
"PBANKA_010240",176.971718922185,2.8230108657472,0.623031370986747,1.32097821084631,0.18650862955722,0.67800411603865
"PBANKA_010250",84.0747107519478,2.80395444785937,0.433950038653831,1.85264287647799,0.0639335626078194,0.300975064927368
"PBANKA_010260",645.040775265828,2.44113016034683,0.427266226192808,1.03244799917269,0.301862296071945,0.976627194015409
"PBANKA_010270",97.4045750805531,5.50962565655972,0.697512062403415,5.03163435549289,4.86316112799287e-07,1.49064894426922e-05
"PBANKA_010280",239.833598421598,2.48928969480739,0.44042904845112,1.11093874604342,0.266594716234985,0.892531501440426
"PBANKA_010290",373.728416286429,3.88596369702258,0.918098505513346,2.05420625967369,0.039955732818331,0.206155638905553
"PBANKA_010300",128.74510505325,-2.22136655568511,0.561935308588209,-0.393936014167301,0.693628280366615,1
"PBANKA_010310",126.093283120564,0.604279748637782,0.411137522675118,0,1,1
"PBANKA_010320",269.429106519927,6.7764977378724,0.91684391726348,5.20971743165281,1.8912844872794e-07,7.31414505454408e-06
"PBANKA_010330",1299.44964061188,0.745311090353869,0.508009393398478,0,1,1
"PBANKA_010340",197.57694170381,-1.65150071276798,0.50256948074244,0,1,1
"PBANKA_010350",138.10024568978,0.965350361153431,0.615734915318815,0,1,1
"PBANKA_010360",38.2967645836935,2.14110793996473,0.799008839341586,0.176603728290423,0.859819665367854,1
"PBANKA_010370",89.1147922168543,-0.232837842510844,0.557800262584911,0,1,1
"PBANKA_010380",174.312599726554,-2.24030918943331,0.633349570745913,-0.379425834536037,0.70437166910591,1
"PBANKA_010390",473.737220297503,-1.24748460142445,0.377318056689252,0,1,1
"PBANKA_010400",352.969854183932,-2.25747337714952,0.50883695520706,-0.506003690405589,0.612854058971113,1
"PBANKA_010410",227.655209787489,0.392772034997537,0.534695783799493,0,1,1
"PBANKA_010420",165.200542600176,4.8634979666049,0.852650291179911,3.35834983723789,0.00078409309973264,0.00787518749197491
"PBANKA_010430",74.118296857888,2.30068745973239,0.587156201673561,0.512108121953486,0.608575340552234,1
"PBANKA_010440",267.118252012223,3.82640117378256,0.661542437234571,2.76082239170841,0.00576560215348308,0.0414922812367182
"PBANKA_010450",894.531839124969,3.7983578164677,0.7007346615922,2.56638912706486,0.0102763472249068,0.0678206137426864
"PBANKA_010460",563.974020003931,3.65371608495897,0.449770312061229,3.6768013375099,0.000236176826524282,0.00290863008380202
"PBANKA_010470",240.715767926568,5.22558677918365,0.60704983772502,5.31354524576081,1.0751272511242e-07,4.58647068572366e-06
"PBANKA_010480",502.770310339127,1.91128270607634,0.804252329157633,0,1,1
"PBANKA_010490",398.57115328437,2.10623365107208,0.336103357004817,0.316074352897823,0.751946073019818,1
"PBANKA_010500",317.788076031697,-2.87832604954804,0.491203682025433,-1.78810966140634,0.0737583171803455,0.338194368590697
"PBANKA_010510",227.856952515446,5.90452984276985,0.908914530880976,4.2958162842719,1.74051684266151e-05,0.000312630458865904
"PBANKA_010520",271.597466159548,1.42869030188958,0.522866327315228,0,1,1
"PBANKA_010530",850.132508951516,-1.25912424777709,0.491477303706214,0,1,1
"PBANKA_010540",381.040276518993,1.31150709590895,0.369336975357626,0,1,1
"PBANKA_010550",361.182761661558,-2.05381385315145,0.529580157669774,-0.10161606769453,0.919061425293373,1
"PBANKA_010560",519.547484245769,0.410049589690626,0.524987860356852,0,1,1
"PBANKA_010570",297.382196225783,-1.73534093687368,0.708221187952276,0,1,1
"PBANKA_010580",387.481189161559,-3.99811211885647,0.703134276071739,-2.84172196812748,0.00448706041009075,0.0337590108671919
"PBANKA_010590",149.760112009728,1.73601279391036,0.547906489479261,0,1,1
"PBANKA_010600",789.250775877404,-4.40155699468844,0.499335824629255,-4.80950269584911,1.51306255597594e-06,3.83382932151603e-05
"PBANKA_010610",118.537502474569,-0.935722672454604,0.389765790744335,0,1,1
"PBANKA_010620",257.80203497904,3.52684265123392,0.526773044870336,2.89848287816197,0.00374972781802484,0.0291661159980955
"PBANKA_010640",422.437688037777,-0.955501846727529,0.508996858839514,0,1,1
"PBANKA_010650",391.707091789981,2.27891914207188,0.51360809070542,0.543058310644587,0.587089655222196,1
"PBANKA_010660",237.929037558469,-0.560560242238402,0.545043710743872,0,1,1
"PBANKA_010680",93.2538150985508,-1.12864043505548,0.472823033324554,0,1,1
"PBANKA_010690",269.890832810597,-0.254211293704337,0.448732059244976,0,1,1
"PBANKA_010700",733.774726638808,2.06826751116114,0.701136265503697,0.0973669663372786,0.92243497709615,1
"PBANKA_010710",288.774746544788,2.82450392996036,0.55797834493503,1.4776629549241,0.139498014597668,0.549023574720797
"PBANKA_010720",344.091789576559,4.17585497448967,0.616907920871419,3.52703361535081,0.000420243405457428,0.00463724589808756
"PBANKA_010730",557.173418925922,1.25472856376261,0.5071087383476,0,1,1
"PBANKA_010740",244.101474732357,-1.0870629264758,0.498219581515364,0,1,1
"PBANKA_010750",204.595248134404,-0.583346466128403,0.41710436758034,0,1,1
"PBANKA_010760",1645.15283507671,-0.813094808966173,0.487739980592862,0,1,1
"PBANKA_010770",693.385860749157,-0.515201085860934,0.648057306877274,0,1,1
"PBANKA_010790",649.608923123743,-3.50780342304515,0.391978892231145,-3.84664443144559,0.000119746553401399,0.00163535062037951
"PBANKA_010800",257.387919178176,-3.28854694143333,0.488392168806917,-2.63834480512064,0.00833118241940508,0.0568885030552776
"PBANKA_010810",211.31214976653,-0.149341336605138,0.735828250747137,0,1,1
"PBANKA_010820",423.956480341202,-0.15579684763246,0.64802180411205,0,1,1
"PBANKA_010830",228.975674491296,4.64761797162791,0.890309020978801,2.97381910015596,0.00294118414850852,0.0235864728808687
"PBANKA_010840",428.298804762481,0.99304007585159,0.412724248246636,0,1,1
"PBANKA_010850",164.868215858205,1.91819967892742,0.539758718043774,0,1,1
"PBANKA_010860",301.283578701335,-1.69500726255922,0.331638188974411,0,1,1
"PBANKA_010870",680.855876463506,2.4126489492362,0.490388300970953,0.841473885937261,0.400082508569666,1
"PBANKA_010880",572.654533324418,-0.829934395501155,0.732322512381796,0,1,1
"PBANKA_010890",102.547638202666,2.54655326229313,0.732857752010895,0.745783558669388,0.45579817337871,1
"PBANKA_010910",805.445354787323,-0.763636098357734,0.517505290295868,0,1,1
"PBANKA_010920",710.304264734282,0.579084460001655,0.583453629720306,0,1,1
"PBANKA_010930",99.4925837730619,2.49864566811519,0.596361357957253,0.83614684530068,0.403072297336869,1
"PBANKA_010940",55.0637591023445,1.87244342612883,0.577563600593587,0,1,1
"PBANKA_010950",309.537027844052,0.86259392221717,0.510468582000074,0,1,1
"PBANKA_010960",370.546512506797,1.34842896856626,0.575247605600829,0,1,1
"PBANKA_010970",379.536169072878,-1.99051794183133,0.538127909633787,0,1,1
"PBANKA_010980",256.252932879601,1.80626314876884,0.939972733502298,0,1,1
"PBANKA_010990",478.230923949824,4.94496278294758,0.904978979980724,3.25417810589402,0.00113720957474025,0.0105985883339531
"PBANKA_011020",159.250806357619,2.06307478092717,0.453531470225628,0.139074761219521,0.889391072014446,1
"PBANKA_011030",50.257591961385,1.55230685046327,0.85065351697071,0,1,1
"PBANKA_011040",323.810410822471,1.13060009865969,0.407408771827889,0,1,1
"PBANKA_011050",1069.92003407209,-1.17090968797767,0.666717455651625,0,1,1
"PBANKA_011070",50.9009006941465,4.23989756633011,0.6859586965758,3.26535340613265,0.00109327578898767,0.01021213366779
"PBANKA_011080",251.077314641652,7.33536425515716,0.861209318728361,6.19520032950319,5.82109446851241e-10,4.91585487973558e-08
