"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,2.54177603020979,1.33452534267355,0.405969083452858,0.684765316843857,1
"PBANKA_010080",464.686995921719,-2.60753654901359,0.443100975468489,-1.37110180895279,0.170343221156035,1
"PBANKA_010090",918.061686166002,1.85549294420642,0.540605405203618,0,1,1
"PBANKA_010100",208.357029211728,1.65132444585391,0.337491966369431,0,1,1
"PBANKA_010110",105.291743326147,1.37258241825486,0.45040035442261,0,1,1
"PBANKA_010120",191.338754446582,-0.0870715508798165,0.365300016066371,0,1,1
"PBANKA_010130",115.649395130954,1.00788500233058,0.386716582908094,0,1,1
"PBANKA_010140",440.920323520482,-0.647111201850689,0.265406768253698,0,1,1
"PBANKA_010150",251.270364955803,-3.36629078033425,0.454358147608844,-3.00707885953988,0.00263771326600605,0.0418193773744561
"PBANKA_010160",190.344133628196,0.594809993165105,0.343121576759882,0,1,1
"PBANKA_010170",256.792965388713,-0.926579105108277,0.296519451555877,0,1,1
"PBANKA_010180",550.74220224868,-1.66916606792117,0.321505954570128,0,1,1
"PBANKA_010190",194.714464579416,0.516310867907999,0.366770874747391,0,1,1
"PBANKA_010200",141.825560804924,0.786390780902325,0.32185687779888,0,1,1
"PBANKA_010210",234.572536167893,-0.0853160982219851,0.312007449224764,0,1,1
"PBANKA_010230",107.665175690093,-0.481494672091163,0.380066195940841,0,1,1
"PBANKA_010240",176.971718922185,-1.99798982768392,0.424108414823433,0,1,1
"PBANKA_010250",84.0747107519478,-0.450526098569671,0.255743173267202,0,1,1
"PBANKA_010260",645.040775265828,-1.37224048683679,0.291864060893294,0,1,1
"PBANKA_010270",97.4045750805531,-4.88389651354469,0.443215401697349,-6.50676060105412,7.67886368799339e-11,6.61982040435764e-09
"PBANKA_010280",239.833598421598,-0.895370128596466,0.291893093577587,0,1,1
"PBANKA_010290",373.728416286429,-1.73553922101988,0.625475337868251,0,1,1
"PBANKA_010300",128.74510505325,0.0254051760539448,0.393519430738751,0,1,1
"PBANKA_010310",126.093283120564,-0.544650423375612,0.279226947650024,0,1,1
"PBANKA_010320",269.429106519927,-4.72445021412719,0.563879162948865,-4.83162066120583,1.35426102655559e-06,4.75883054094565e-05
"PBANKA_010330",1299.44964061188,-0.684975602539105,0.352714319676598,0,1,1
"PBANKA_010340",197.57694170381,-1.0051984362815,0.35160348830333,0,1,1
"PBANKA_010350",138.10024568978,-0.697265560872376,0.421445107384414,0,1,1
"PBANKA_010360",38.2967645836935,-1.39468790010389,0.529882586620944,0,1,1
"PBANKA_010370",89.1147922168543,0.679714108035182,0.381686074601052,0,1,1
"PBANKA_010380",174.312599726554,1.57464086236391,0.441266251963744,0,1,1
"PBANKA_010390",473.737220297503,-0.788633651597689,0.263197023405642,0,1,1
"PBANKA_010400",352.969854183932,-1.29311341627831,0.355691966024656,0,1,1
"PBANKA_010410",227.655209787489,-1.95372586453779,0.372160631781065,0,1,1
"PBANKA_010420",165.200542600176,-5.37206588637543,0.544267403892568,-6.19560506886619,5.80615449266977e-10,4.14239091218405e-08
"PBANKA_010430",74.118296857888,-1.68706678307495,0.386512948840288,0,1,1
"PBANKA_010440",267.118252012223,-2.87463039653778,0.451533217040114,-1.93702337620065,0.0527424859441035,0.56541038040596
"PBANKA_010450",894.531839124969,-4.88162946772585,0.481463381509078,-5.98514773583361,2.16193538627098e-09,1.29653458382454e-07
"PBANKA_010460",563.974020003931,-1.42008579401666,0.298109054194222,0,1,1
"PBANKA_010470",240.715767926568,-2.02223186425198,0.387417859052367,-0.0573847171278141,0.954238736905397,1
"PBANKA_010480",502.770310339127,0.0422957296763102,0.553126986598548,0,1,1
"PBANKA_010490",398.57115328437,-0.250576150678316,0.219504768622509,0,1,1
"PBANKA_010500",317.788076031697,-0.0363629228673122,0.343770826049792,0,1,1
"PBANKA_010510",227.856952515446,-6.22817508749852,0.597813875657453,-7.07272825149555,1.51916810342696e-12,1.88761192998286e-10
"PBANKA_010520",271.597466159548,0.0105389874478807,0.354836043693668,0,1,1
"PBANKA_010530",850.132508951516,0.069618727687479,0.34205485107187,0,1,1
"PBANKA_010540",381.040276518993,-0.255675264885889,0.250914830326234,0,1,1
"PBANKA_010550",361.182761661558,2.59650235676499,0.368034578683984,1.6207780228096,0.105065253452742,1
"PBANKA_010560",519.547484245769,-0.141556312223235,0.363673472285986,0,1,1
"PBANKA_010570",297.382196225783,-0.86277471524098,0.494009489322109,0,1,1
"PBANKA_010580",387.481189161559,1.03850411310716,0.490274998698792,0,1,1
"PBANKA_010590",149.760112009728,0.664685117363277,0.363073315035904,0,1,1
"PBANKA_010600",789.250775877404,-0.244437658154079,0.348747750165756,0,1,1
"PBANKA_010610",118.537502474569,-0.755963190683204,0.27188723712415,0,1,1
"PBANKA_010620",257.80203497904,-2.68013311691063,0.358178080172408,-1.89886862027753,0.0575817520994686,0.606293359255983
"PBANKA_010640",422.437688037777,0.513753558595275,0.353180776845816,0,1,1
"PBANKA_010650",391.707091789981,-0.0138729048942978,0.333869128607321,0,1,1
"PBANKA_010660",237.929037558469,0.957089691529593,0.376979848758872,0,1,1
"PBANKA_010680",93.2538150985508,-1.2140411920092,0.33155298450088,0,1,1
"PBANKA_010690",269.890832810597,-0.150930676722489,0.310918803276231,0,1,1
"PBANKA_010700",733.774726638808,0.119201224301849,0.461901164142143,0,1,1
"PBANKA_010710",288.774746544788,0.954849342762031,0.362243960976971,0,1,1
"PBANKA_010720",344.091789576559,-4.28336434372436,0.413393401618464,-5.52346586758479,3.32376885862614e-08,1.56292676556761e-06
"PBANKA_010730",557.173418925922,0.815402184352115,0.348135048121626,0,1,1
"PBANKA_010740",244.101474732357,-1.51443055973224,0.348055023697474,0,1,1
"PBANKA_010750",204.595248134404,0.134937064651929,0.288799566903712,0,1,1
"PBANKA_010760",1645.15283507671,0.532317662277927,0.339078847980357,0,1,1
"PBANKA_010770",693.385860749157,1.48830056666329,0.449452141897907,0,1,1
"PBANKA_010790",649.608923123743,-0.642468298584071,0.274896800465384,0,1,1
"PBANKA_010800",257.387919178176,0.0925910331546326,0.34184671186554,0,1,1
"PBANKA_010810",211.31214976653,-1.71408720464444,0.512407929684986,0,1,1
"PBANKA_010820",423.956480341202,-0.562540596051913,0.45040368899892,0,1,1
"PBANKA_010830",228.975674491296,-2.85732548313122,0.593732120154833,-1.44396008574987,0.148750203253087,1
"PBANKA_010840",428.298804762481,-0.825143976813075,0.283864181998321,0,1,1
"PBANKA_010850",164.868215858205,0.609851597187507,0.348381559161899,0,1,1
"PBANKA_010860",301.283578701335,0.0375153901464436,0.231641156629109,0,1,1
"PBANKA_010870",680.855876463506,-0.566571425034434,0.334727554384732,0,1,1
"PBANKA_010880",572.654533324418,-0.599748055325115,0.509511578042555,0,1,1
"PBANKA_010890",102.547638202666,1.44684369450253,0.456116324512276,0,1,1
"PBANKA_010910",805.445354787323,1.01867314946521,0.359388310635527,0,1,1
"PBANKA_010920",710.304264734282,0.648049152412505,0.403287319397089,0,1,1
"PBANKA_010930",99.4925837730619,-0.445244131747162,0.38303192595048,0,1,1
"PBANKA_010940",55.0637591023445,0.668100630666082,0.354272204610604,0,1,1
"PBANKA_010950",309.537027844052,1.18708384085485,0.348301912585118,0,1,1
"PBANKA_010960",370.546512506797,1.23705683941543,0.388716282932497,0,1,1
"PBANKA_010970",379.536169072878,0.15701097767875,0.374992665965214,0,1,1
"PBANKA_010980",256.252932879601,-4.91458582537132,0.658127034846467,-4.42860674467089,9.4843775263343e-06,0.000286469738715119
"PBANKA_010990",478.230923949824,-3.49338202371123,0.618929006148104,-2.41284866095592,0.0158283903298258,0.19847842177218
"PBANKA_011020",159.250806357619,0.571427010539263,0.284683956113449,0,1,1
"PBANKA_011030",50.257591961385,1.09475485295082,0.550487471397755,0,1,1
"PBANKA_011040",323.810410822471,1.10489217060528,0.271544360732029,0,1,1
"PBANKA_011050",1069.92003407209,-2.27381044625429,0.464542882565557,-0.589419096773372,0.555580169090181,1
"PBANKA_011070",50.9009006941465,-1.54554317247331,0.386618060385955,0,1,1
"PBANKA_011080",251.077314641652,-6.52507525050813,0.492124247098571,-9.19498536637186,3.75045643019895e-20,2.21705552973761e-17
"PBANKA_011090",374.602695258781,0.363884617782444,0.33407124105295,0,1,1
"PBANKA_011100",219.740051733041,1.18733177449744,0.571938457625317,0,1,1
"PBANKA_011110",378.049787271073,1.22981491378211,0.359058773139893,0,1,1
"PBANKA_011120",894.677709995667,1.23991532382282,0.475793554935225,0,1,1
"PBANKA_011140",297.030340361456,-0.0857502472738353,0.299325027643161,0,1,1
"PBANKA_011160",364.936932797918,-0.77827533197282,0.512170447809962,0,1,1
"PBANKA_011180",413.425775695657,0.508972894094939,0.255785302543939,0,1,1
"PBANKA_011190",309.703850930637,-0.545079404708007,0.37359611072074,0,1,1
"PBANKA_011200",402.724750112492,0.924540755215826,0.302401866199486,0,1,1
"PBANKA_011210",1247.29360255429,-1.00408725538258,0.552592553868388,0,1,1
"PBANKA_011230",270.160093555038,-0.0722111610001639,0.311662508518351,0,1,1
"PBANKA_011250",398.069774290493,1.10374569889861,0.489660443994624,0,1,1
"PBANKA_020130",183.496863825099,0.765118031816868,0.647089144512779,0,1,1
"PBANKA_020170",1363.77474722244,-2.52072876005952,0.577028528499431,-0.902431568528656,0.366827657807327,1
"PBANKA_020180",142.956601146717,-0.188167085054881,0.381150772814672,0,1,1
