"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,1.81172976584814,1.17764682906051,0,1,1
"PBANKA_010080",464.686995921719,-1.25235881180891,0.395319572263408,0,1,1
"PBANKA_010090",918.061686166002,2.11571158868276,0.481802118799176,0.240164134128657,0.810203016880369,1
"PBANKA_010100",208.357029211728,3.36774220342544,0.308683500529793,4.43088859974046,9.38455640824821e-06,8.72658301513059e-05
"PBANKA_010110",105.291743326147,2.39224860776305,0.406405695559244,0.965165134369701,0.334462107120958,1
"PBANKA_010120",191.338754446582,-0.470579313912063,0.325823984261022,0,1,1
"PBANKA_010130",115.649395130954,1.57922447003025,0.347533991924632,0,1,1
"PBANKA_010140",440.920323520482,-0.395693991094999,0.237103780613005,0,1,1
"PBANKA_010150",251.270364955803,-3.56100818639605,0.40550054561953,-3.84958344263413,0.000118318872109508,0.000936144345677143
"PBANKA_010160",190.344133628196,2.54220797872573,0.314903984979234,1.72181999780501,0.0851021308320269,0.433612012336607
"PBANKA_010170",256.792965388713,0.640039307021834,0.266075244944529,0,1,1
"PBANKA_010180",550.74220224868,-2.33554823666709,0.28661194499452,-1.17074058680111,0.241703065764509,1
"PBANKA_010190",194.714464579416,1.16227762573891,0.328418825053921,0,1,1
"PBANKA_010200",141.825560804924,1.2309872490591,0.28923225771386,0,1,1
"PBANKA_010210",234.572536167893,-0.752923035855974,0.278089678725442,0,1,1
"PBANKA_010230",107.665175690093,-0.170596610439392,0.340123197650373,0,1,1
"PBANKA_010240",176.971718922185,0.0717201567324812,0.380391525452297,0,1,1
"PBANKA_010250",84.0747107519478,0.876068404694281,0.234734454990744,0,1,1
"PBANKA_010260",645.040775265828,-2.10797963192978,0.260161574465518,-0.415048348902472,0.678106509572373,1
"PBANKA_010270",97.4045750805531,-2.26355880831838,0.399516515659801,-0.659694400575947,0.509449960705637,1
"PBANKA_010280",239.833598421598,0.111486297808765,0.261899537198051,0,1,1
"PBANKA_010290",373.728416286429,-0.480693965039105,0.557981705738164,0,1,1
"PBANKA_010300",128.74510505325,-2.37375476942668,0.349167507959575,-1.07041680828431,0.284431736856536,1
"PBANKA_010310",126.093283120564,-0.356462346936045,0.250525211797287,0,1,1
"PBANKA_010320",269.429106519927,-5.88951999287568,0.503731478046537,-7.72141540163258,1.15044948920582e-14,2.55944085286757e-13
"PBANKA_010330",1299.44964061188,0.756645240234772,0.314738130970695,0,1,1
"PBANKA_010340",197.57694170381,-2.07563743411535,0.313394769337588,-0.241348744509117,0.809284834568802,1
"PBANKA_010350",138.10024568978,-2.31409664301568,0.375230160794367,-0.837077281716185,0.40254912940593,1
"PBANKA_010360",38.2967645836935,-0.681972699937225,0.475986732030942,0,1,1
"PBANKA_010370",89.1147922168543,-0.524390395416772,0.339201019176588,0,1,1
"PBANKA_010380",174.312599726554,-0.989157556546846,0.390949077580617,0,1,1
