"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,0.56983861817566,1.5522196743599,0,1,1
"PBANKA_010080",464.686995921719,-0.266459633461172,0.570636552892783,0,1,1
"PBANKA_010090",918.061686166002,1.30774846039841,0.69625174815828,0,1,1
"PBANKA_010100",208.357029211728,0.401255454956749,0.431493389734187,0,1,1
"PBANKA_010110",105.291743326147,3.23053098265798,0.580745643865228,2.11888112404602,0.0341005145589285,1
"PBANKA_010120",191.338754446582,-0.206585937801453,0.468630550742223,0,1,1
"PBANKA_010130",115.649395130954,0.263543214286331,0.494427070741672,0,1,1
"PBANKA_010140",440.920323520482,-0.959467840684306,0.340689571775883,0,1,1
"PBANKA_010150",251.270364955803,-0.201966636966338,0.584717563324537,0,1,1
"PBANKA_010160",190.344133628196,0.603835281257543,0.439176182092843,0,1,1
"PBANKA_010170",256.792965388713,0.677625102934191,0.381498470953892,0,1,1
"PBANKA_010180",550.74220224868,-0.701658770021141,0.413586467953352,0,1,1
"PBANKA_010190",194.714464579416,0.68846288336645,0.470904774856606,0,1,1
"PBANKA_010200",141.825560804924,0.413253507334346,0.411165948603806,0,1,1
"PBANKA_010210",234.572536167893,0.196634582244331,0.400397666883857,0,1,1
"PBANKA_010230",107.665175690093,0.0920275866994409,0.487460045199351,0,1,1
"PBANKA_010240",176.971718922185,0.228258867006009,0.545830679447142,0,1,1
"PBANKA_010250",84.0747107519478,0.665994482280757,0.326738099831475,0,1,1
"PBANKA_010260",645.040775265828,0.577664370532094,0.375746012483191,0,1,1
"PBANKA_010270",97.4045750805531,-1.19160141879516,0.568175483426062,0,1,1
"PBANKA_010280",239.833598421598,0.405916160906822,0.375000503366195,0,1,1
"PBANKA_010290",373.728416286429,0.626340690799705,0.805841069193912,0,1,1
"PBANKA_010300",128.74510505325,0.984190092377551,0.504132118493233,0,1,1
"PBANKA_010310",126.093283120564,-0.114205486541165,0.356688674682282,0,1,1
"PBANKA_010320",269.429106519927,-0.669394274193119,0.724932396555168,0,1,1
"PBANKA_010330",1299.44964061188,-1.5764908595144,0.454194888708183,0,1,1
"PBANKA_010340",197.57694170381,-0.1606608686814,0.451145883269937,0,1,1
"PBANKA_010350",138.10024568978,1.10485905509017,0.542095952230898,0,1,1
"PBANKA_010360",38.2967645836935,0.926983177864758,0.681975757091565,0,1,1
"PBANKA_010370",89.1147922168543,1.00471408930999,0.487778457589105,0,1,1
"PBANKA_010380",174.312599726554,0.139245104229628,0.564024700212614,0,1,1
"PBANKA_010390",473.737220297503,-0.797874307818731,0.337957628650342,0,1,1
"PBANKA_010400",352.969854183932,0.462103938575185,0.457622588884374,0,1,1
"PBANKA_010410",227.655209787489,1.67584699835155,0.480403869941464,0,1,1
"PBANKA_010420",165.200542600176,-2.21653935367228,0.692609865959301,-0.312642606342832,0.754552204445984,1
"PBANKA_010430",74.118296857888,0.202255152160772,0.49593394679415,0,1,1
"PBANKA_010440",267.118252012223,1.1275524583602,0.582290014827738,0,1,1
"PBANKA_010450",894.531839124969,-0.703934576044897,0.618579774705577,0,1,1
"PBANKA_010460",563.974020003931,0.145029926880005,0.38356756169978,0,1,1
"PBANKA_010470",240.715767926568,-0.212261966068127,0.498597774935987,0,1,1
"PBANKA_010480",502.770310339127,-0.216216430025046,0.712038706385215,0,1,1
"PBANKA_010490",398.57115328437,-1.48323510337809,0.280676396966773,0,1,1
"PBANKA_010500",317.788076031697,0.709037653911077,0.44112128316414,0,1,1
"PBANKA_010510",227.856952515446,-2.23658333354693,0.764491538093752,-0.309464947299286,0.756967872358432,1
"PBANKA_010520",271.597466159548,-0.912425840791192,0.455263572179562,0,1,1
"PBANKA_010530",850.132508951516,-0.364188436632096,0.439862595549428,0,1,1
"PBANKA_010540",381.040276518993,-0.777321088920847,0.321773656183884,0,1,1
"PBANKA_010550",361.182761661558,1.04225740606086,0.470295330455296,0,1,1
"PBANKA_010560",519.547484245769,-2.21800843097227,0.467646038556478,-0.4661825675787,0.641084826184165,1
