"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,3.05583972824773,1.01045417378991,1.0449159948418,0.296061796614455,NA
"PBANKA_010080",464.686995921719,-1.63328751015773,0.333729996928554,0,1,1
"PBANKA_010090",918.061686166002,0.734255770358004,0.406081728046117,0,1,1
"PBANKA_010100",208.357029211728,2.13252791388609,0.253367259772295,0.523066453042107,0.600928009681665,NA
"PBANKA_010110",105.291743326147,1.91180699386638,0.338368882755462,0,1,NA
"PBANKA_010120",191.338754446582,0.256542204493826,0.275044349942905,0,1,NA
"PBANKA_010130",115.649395130954,1.65975463789636,0.290826224479817,0,1,NA
"PBANKA_010140",440.920323520482,-0.737795577292788,0.199902999218216,0,1,1
"PBANKA_010150",251.270364955803,-1.24357745790559,0.34355075109454,0,1,NA
"PBANKA_010160",190.344133628196,0.267627674717598,0.257706704496994,0,1,NA
"PBANKA_010170",256.792965388713,0.57963014459491,0.223716400955041,0,1,NA
"PBANKA_010180",550.74220224868,0.194459810122105,0.242491699963951,0,1,1
"PBANKA_010190",194.714464579416,0.918603497552427,0.275852256171546,0,1,NA
"PBANKA_010200",141.825560804924,0.827403023796159,0.241736421108199,0,1,NA
"PBANKA_010210",234.572536167893,1.07704054303124,0.235281107921309,0,1,NA
"PBANKA_010230",107.665175690093,0.636640665910443,0.286964749520952,0,1,NA
"PBANKA_010240",176.971718922185,-1.33697841400119,0.31995953396388,0,1,NA
"PBANKA_010250",84.0747107519478,-0.0512948788744928,0.193356712316293,0,1,NA
"PBANKA_010260",645.040775265828,-1.40190711082865,0.219856933471191,0,1,1
"PBANKA_010270",97.4045750805531,-2.48977910317948,0.338848579283993,-1.44542174033727,0.148339460473117,NA
"PBANKA_010280",239.833598421598,-1.10777750648624,0.22004935401466,0,1,NA
"PBANKA_010290",373.728416286429,-2.76786754602086,0.470644362503098,-1.63152394291307,0.10277981198815,0.82373528928367
"PBANKA_010300",128.74510505325,0.903294062401769,0.297043823913863,0,1,NA
"PBANKA_010310",126.093283120564,-0.529736593577238,0.210723091960048,0,1,NA
"PBANKA_010320",269.429106519927,-1.73993659513518,0.428195108668656,0,1,NA
"PBANKA_010330",1299.44964061188,-1.5039653755929,0.265214549714123,0,1,1
"PBANKA_010340",197.57694170381,0.597229552768519,0.266012179461431,0,1,NA
"PBANKA_010350",138.10024568978,-0.408411455709571,0.3178031991029,0,1,NA
"PBANKA_010360",38.2967645836935,-0.717537652671456,0.401163048478495,0,1,NA
"PBANKA_010370",89.1147922168543,1.73137837716965,0.287915035998048,0,1,NA
"PBANKA_010380",174.312599726554,2.25388163756235,0.331527119073357,0.765794479413826,0.443798599557815,NA
"PBANKA_010390",473.737220297503,0.271108837728593,0.198504030580233,0,1,1
"PBANKA_010400",352.969854183932,0.982095796450965,0.268852171819776,0,1,NA
"PBANKA_010410",227.655209787489,0.63140243750356,0.281148496539094,0,1,NA
"PBANKA_010420",165.200542600176,-2.56818594117824,0.422550261177871,-1.3446588332342,0.178735434577673,NA
"PBANKA_010430",74.118296857888,-1.65076622285045,0.292892121071061,0,1,NA
"PBANKA_010440",267.118252012223,-1.98633806479485,0.340472403859589,0,1,NA
"PBANKA_010450",894.531839124969,-1.32370478627591,0.36717171719088,0,1,1
"PBANKA_010460",563.974020003931,-1.86179863782681,0.224591002875115,0,1,1
"PBANKA_010470",240.715767926568,0.602015424431397,0.292477415260985,0,1,NA
"PBANKA_010480",502.770310339127,-2.1961963838798,0.415731045813329,-0.471931037760164,0.636976013116969,1
"PBANKA_010490",398.57115328437,-0.759236889897525,0.165237039440508,0,1,1
"PBANKA_010500",317.788076031697,1.29301739379937,0.259506605240533,0,1,NA
"PBANKA_010510",227.856952515446,-2.45620248849379,0.458664821326489,-0.994631520190321,0.319915511463136,NA
"PBANKA_010520",271.597466159548,-0.0705707523030187,0.266952829765743,0,1,NA
"PBANKA_010530",850.132508951516,-0.893157503804041,0.257139902499609,0,1,1
"PBANKA_010540",381.040276518993,-0.406782484128662,0.188882341473563,0,1,1
"PBANKA_010550",361.182761661558,3.09620143301431,0.275934370385344,3.97268898210637,7.10658140243416e-05,0.00192343703203587
"PBANKA_010560",519.547484245769,0.119919845178502,0.273562240835061,0,1,1
"PBANKA_010570",297.382196225783,0.308469365714143,0.37224478422356,0,1,NA
"PBANKA_010580",387.481189161559,1.41692926193014,0.368461954559693,0,1,1
"PBANKA_010590",149.760112009728,1.14479597797301,0.273073676979059,0,1,NA
"PBANKA_010600",789.250775877404,0.108163159643099,0.262471995563836,0,1,1
"PBANKA_010610",118.537502474569,-0.290257644233041,0.205714431724994,0,1,NA
"PBANKA_010620",257.80203497904,-1.02248236923762,0.270416117219124,0,1,NA
"PBANKA_010640",422.437688037777,0.10966839860544,0.265336358432084,0,1,1
"PBANKA_010650",391.707091789981,-0.348292371180764,0.251187412992383,0,1,1
"PBANKA_010660",237.929037558469,1.22459516978553,0.283276634831431,0,1,NA
"PBANKA_010680",93.2538150985508,-0.270443457117284,0.251787815273625,0,1,NA
"PBANKA_010690",269.890832810597,-0.851302475829236,0.233893037675668,0,1,NA
"PBANKA_010700",733.774726638808,0.840747612386557,0.347954149826109,0,1,1
"PBANKA_010710",288.774746544788,1.96539033785703,0.272531309950067,0,1,NA
"PBANKA_010720",344.091789576559,-0.992750884273858,0.315514289533598,0,1,NA
"PBANKA_010730",557.173418925922,1.48186337360485,0.261738839588422,0,1,1
"PBANKA_010740",244.101474732357,-0.265135874923774,0.262862598042867,0,1,NA
"PBANKA_010750",204.595248134404,-0.349782255707681,0.217151142236767,0,1,NA
"PBANKA_010760",1645.15283507671,-1.65411233837193,0.254780899849803,0,1,1
"PBANKA_010770",693.385860749157,1.64327678771077,0.33763864919247,0,1,1
"PBANKA_010790",649.608923123743,-1.7726151474563,0.207036479105705,0,1,1
"PBANKA_010800",257.387919178176,0.00294962453451523,0.257183960879228,0,1,NA
"PBANKA_010810",211.31214976653,-0.199513473313908,0.386050106609586,0,1,NA
"PBANKA_010820",423.956480341202,-1.64706066862482,0.338755675599892,0,1,1
"PBANKA_010830",228.975674491296,-1.66582363118542,0.447978880970664,0,1,NA
"PBANKA_010840",428.298804762481,-2.10160930721189,0.21377154781309,-0.475317263926662,0.634560855780399,1
"PBANKA_010850",164.868215858205,1.05387020190007,0.26207688804768,0,1,NA
"PBANKA_010860",301.283578701335,-0.0991600398093505,0.174329836266709,0,1,NA
"PBANKA_010870",680.855876463506,-0.297878343538689,0.251858738126004,0,1,1
"PBANKA_010880",572.654533324418,0.664537911604722,0.383196414157007,0,1,1
"PBANKA_010890",102.547638202666,2.27466064578631,0.342940689815029,0.80089838839029,0.423190473184874,NA
"PBANKA_010910",805.445354787323,1.7863372244338,0.270179501114077,0,1,1
"PBANKA_010920",710.304264734282,-1.29462824472802,0.302958246383985,0,1,1
"PBANKA_010930",99.4925837730619,-0.387816213892457,0.288740451181663,0,1,NA
"PBANKA_010940",55.0637591023445,1.20821591922778,0.266668022325158,0,1,NA
"PBANKA_010950",309.537027844052,1.90614372141426,0.261848420163154,0,1,NA
"PBANKA_010960",370.546512506797,1.79935986628843,0.292138513890917,0,1,1
"PBANKA_010970",379.536169072878,0.230831339552564,0.282013381201652,0,1,1
"PBANKA_010980",256.252932879601,-2.58674666669325,0.498940474008005,-1.17598530738526,0.239600747347179,NA
"PBANKA_010990",478.230923949824,-2.63821556751788,0.466131749026863,-1.36917420632744,0.170944826737279,1
"PBANKA_011020",159.250806357619,0.872273842232434,0.214101115815012,0,1,NA
"PBANKA_011030",50.257591961385,0.210105139303287,0.412305753809873,0,1,NA
"PBANKA_011040",323.810410822471,0.723005399460996,0.203688693438708,0,1,NA
"PBANKA_011050",1069.92003407209,-2.85193109872975,0.349599560053245,-2.43687691883823,0.014814720935973,0.180332946083621
"PBANKA_011070",50.9009006941465,-0.926217196042395,0.293429856407163,0,1,NA
"PBANKA_011080",251.077314641652,-3.29336930889672,0.382073756243425,-3.38512993306113,0.000711445690738967,NA
"PBANKA_011090",374.602695258781,1.00774200511945,0.251497596601905,0,1,1
"PBANKA_011100",219.740051733041,-0.351704351118754,0.429193729158283,0,1,NA
"PBANKA_011110",378.049787271073,0.575122772766132,0.269117238857513,0,1,1
"PBANKA_011120",894.677709995667,-0.114471907658433,0.357408732953265,0,1,1
"PBANKA_011140",297.030340361456,1.32025452264592,0.226115689624913,0,1,NA
"PBANKA_011160",364.936932797918,-2.77699970015134,0.385387423625851,-2.01615219521455,0.0437840635086063,0.427736620430231
"PBANKA_011180",413.425775695657,-0.492722924969438,0.192006245898398,0,1,1
"PBANKA_011190",309.703850930637,-2.50965376871844,0.281214279172978,-1.81233246838416,0.069934840584855,NA
"PBANKA_011200",402.724750112492,-0.0412417927745038,0.22674305547204,0,1,1
"PBANKA_011210",1247.29360255429,-3.96872226469242,0.415531554086915,-4.73784059316138,2.16007617284627e-06,8.79534606434522e-05
"PBANKA_011230",270.160093555038,-1.58056429459408,0.234289949540747,0,1,NA
"PBANKA_011250",398.069774290493,-0.840743427028363,0.367612228470353,0,1,1
"PBANKA_020130",183.496863825099,-1.41988867292491,0.485927009259277,0,1,NA
"PBANKA_020170",1363.77474722244,-1.67029106004803,0.442327174088807,0,1,1
"PBANKA_020180",142.956601146717,0.721561226269699,0.287274377337043,0,1,NA
"PBANKA_020190",134.469527276994,0.42678467818053,0.250488553794412,0,1,NA
"PBANKA_020200",361.312661364898,-0.743157600137514,0.2251114136764,0,1,1
"PBANKA_020210",29.9265153840273,1.32001032649605,0.318573245953683,0,1,NA
"PBANKA_020220",80.7348255536976,0.807007320051049,0.237031394334724,0,1,NA
"PBANKA_020230",155.664529873999,0.785172150915476,0.233791621032836,0,1,NA
"PBANKA_020240",206.755441158779,-0.40496291953915,0.215952631849253,0,1,NA
"PBANKA_020250",297.32712773759,-1.78088799131535,0.245278408388646,0,1,NA
"PBANKA_020260",64.8699915729511,0.822959322263618,0.359274802593624,0,1,NA
"PBANKA_020270",332.374869862692,-2.18693146973691,0.334389003752428,-0.559023973991997,0.576145358682743,NA
"PBANKA_020280",138.720579894011,0.810934636972877,0.253255301354213,0,1,NA
"PBANKA_020290",446.64767638811,0.682906002424432,0.248665248830142,0,1,1
"PBANKA_020300",930.566134139996,0.257669368775343,0.363808680876407,0,1,1
"PBANKA_020320",511.691600407708,-1.39321122727744,0.295887402726663,0,1,1
"PBANKA_020330",198.883817765773,1.78317001404805,0.230749499097162,0,1,NA
"PBANKA_020340",517.83785534736,0.0816810960275946,0.312514559335906,0,1,1
"PBANKA_020350",406.098147820141,-0.323690500454977,0.238816042863578,0,1,1
"PBANKA_020360",325.49628290564,-1.26905067788915,0.298558541131845,0,1,NA
"PBANKA_020370",679.205409690033,0.669664647267972,0.23461760914112,0,1,1
"PBANKA_020390",186.892959349296,-0.657330766028279,0.304268785456371,0,1,NA
"PBANKA_020410",966.877410422951,2.42184664240859,0.303455295848486,1.39014427554829,0.164485070804226,1
"PBANKA_020420",143.341340686034,0.8346905968737,0.25210266276897,0,1,NA
"PBANKA_020440",131.155664394597,0.807346258505984,0.283702804833314,0,1,NA
"PBANKA_020460",3156.71545883248,-2.48361318120676,0.594341481547429,-0.813695823397056,0.415819227426367,1
"PBANKA_020470",296.009475996993,0.681266834584086,0.218871571197926,0,1,NA
"PBANKA_020480",795.091041044072,-0.695961875015156,0.217382416670978,0,1,1
"PBANKA_020490",338.860625049348,-0.195477551514604,0.304038409180945,0,1,NA
"PBANKA_020510",245.201745744686,1.42616809303091,0.257337614279627,0,1,NA
"PBANKA_020520",1315.17574346672,-0.473767898687025,0.248065381917808,0,1,1
"PBANKA_020530",110.454575686892,-0.0167029831553615,0.228872118173517,0,1,NA
"PBANKA_020540",313.523161859455,1.83384829291453,0.288253620494871,0,1,NA
"PBANKA_020550",75.2371526722436,-0.59284427835939,0.307460399997159,0,1,NA
"PBANKA_020560",149.679563127744,-0.52059831337884,0.188609018987568,0,1,NA
"PBANKA_020570",52.8515172732006,0.301627626514703,0.4083898251277,0,1,NA
"PBANKA_020590",848.435548054156,-0.755742286375153,0.277655984797898,0,1,1
"PBANKA_020600",146.880875074083,0.601959709407613,0.301946599077181,0,1,NA
"PBANKA_020610",233.459326030386,0.177670075361307,0.241687417591735,0,1,NA
"PBANKA_020620",204.558277629989,-0.114572646619065,0.206098311739537,0,1,NA
"PBANKA_020630",464.84325671203,0.24580301254045,0.2729396345979,0,1,1
"PBANKA_020640",111.882959080163,-0.548029710051321,0.202861445697451,0,1,NA
"PBANKA_020650",264.271368840231,1.36228736172969,0.33594644183252,0,1,NA
"PBANKA_020660",682.422821969591,-0.981126505355506,0.338420206978151,0,1,1
"PBANKA_020680",254.910515098169,-2.02903839891294,0.183471148705595,-0.158272290318162,0.874242242030865,NA
"PBANKA_020690",120.812590879013,2.12113075934305,0.300169177961966,0.403541629975069,0.686549815924936,NA
"PBANKA_020700",507.441641718898,-0.26688999051773,0.255927180866667,0,1,1
"PBANKA_020710",66.2070858500638,-1.00386017996604,0.320233717612542,0,1,NA
"PBANKA_020720",163.08757030592,0.508142066760313,0.235129580693443,0,1,NA
"PBANKA_020730",513.429077011055,0.245328479778052,0.302870473644276,0,1,1
"PBANKA_020740",104.672407333104,-0.403489781242052,0.18564142128858,0,1,NA
"PBANKA_020750",315.409483886065,-1.34495535973951,0.278862415726716,0,1,NA
"PBANKA_020770",334.156478113322,-0.29973841840797,0.271379668187427,0,1,NA
"PBANKA_020780",104.616873263794,1.24436163286398,0.283829201928566,0,1,NA
"PBANKA_020790",62.6087477234603,-0.43003647584672,0.395396726280539,0,1,NA
"PBANKA_020810",392.50234077167,1.52920168557813,0.229985723202181,0,1,1
"PBANKA_020820",684.194408362222,2.80603974205202,0.231274993288321,3.48520058563861,0.000491768245675023,0.00962339069327539
"PBANKA_020850",166.4866206457,0.269301670082438,0.295975524640261,0,1,NA
"PBANKA_020860",99.054178646255,1.26578678400331,0.287162384418711,0,1,NA
"PBANKA_020870",228.179105021704,0.996341310738342,0.220147339809281,0,1,NA
"PBANKA_020880",2222.21480927899,-2.08348885007021,0.370939435217056,-0.225074074481604,0.821921649123841,1
"PBANKA_020890",776.349383797281,-2.14445635913134,0.596166346569228,-0.242308811898966,0.808540886292014,1
"PBANKA_020900",293.252028113831,-1.14542494066058,0.362465055749852,0,1,NA
"PBANKA_020910",1416.887871892,0.850117344344869,0.369907658079982,0,1,1
"PBANKA_020920",237.535484942372,0.776715557897008,0.259129843086879,0,1,NA
"PBANKA_020930",647.999149162305,0.386397772378155,0.341993036720645,0,1,1
"PBANKA_020950",1421.25049499056,0.876252236488461,0.397060223391944,0,1,1
"PBANKA_020960",190.650669726905,-0.883030220062767,0.265421124928527,0,1,NA
"PBANKA_020970",991.78904499717,-0.0559612543876018,0.350339263425798,0,1,1
"PBANKA_020980",203.14770642914,-0.838271307577763,0.272608192023643,0,1,NA
"PBANKA_020990",401.226040168832,3.09075952871909,0.314008544413406,3.47366193731039,0.000513407450584776,0.00985622908041238
"PBANKA_021020",587.873944162204,0.716955451239445,0.235334258713237,0,1,1
"PBANKA_021030",114.463164791562,-1.02220747586058,0.320954799526953,0,1,NA
"PBANKA_021040",837.926720269736,-0.831977019802682,0.228399743145352,0,1,1
"PBANKA_021050",765.362230173222,-0.868384057096922,0.212517456751893,0,1,1
"PBANKA_021060",3971.41612616003,1.47059873442934,0.399142167565293,0,1,1
"PBANKA_021070",142.083004766867,-1.63549801373235,0.178913965982922,0,1,NA
"PBANKA_021080",223.377669138257,1.36654120807228,0.246631436141495,0,1,NA
"PBANKA_021090",176.332843840816,2.00930013226176,0.239087423461475,0.0388984586772191,0.968971345437943,NA
"PBANKA_021100",171.991952625029,0.465531048429068,0.212546706038747,0,1,NA
"PBANKA_021110",210.125578831003,-0.447322857395222,0.227269554252291,0,1,NA
"PBANKA_021120",234.920498103663,-1.06781679506663,0.279263087336419,0,1,NA
"PBANKA_021130",1088.58631399135,1.50204462583213,0.210387749387244,0,1,1
"PBANKA_021140",214.402332794769,-0.529704105051841,0.240960648357258,0,1,NA
"PBANKA_021150",523.221101780166,2.11394704040239,0.317644349348931,0.358725224093992,0.719800656545581,1
"PBANKA_021160",154.095884577428,-0.739639971729229,0.204312371486778,0,1,NA
"PBANKA_021170",118.841351020918,-0.801080231622684,0.247993266386657,0,1,NA
"PBANKA_021180",107.32143292491,-1.12378434007586,0.269327175863965,0,1,NA
"PBANKA_021190",297.249921620591,-0.902315985947106,0.181950952733798,0,1,NA
"PBANKA_021200",485.271078761431,-2.89950670541063,0.302494842745019,-2.97362658235085,0.00294302989451384,0.0441722032349305
"PBANKA_021210",802.279062655482,1.95841301589157,0.253529833188137,0,1,1
"PBANKA_021230",111.819846166587,-0.369827431188446,0.221565142448573,0,1,NA
"PBANKA_021240",243.828554059258,2.33547730221875,0.29943542169733,1.12036612207439,0.262557775436809,NA
"PBANKA_021250",102.22841738487,2.21762847160445,0.287128727839094,0.757947396076672,0.448482474850922,NA
"PBANKA_021270",828.305135032375,-0.209269154730347,0.288380824126971,0,1,1
"PBANKA_021280",204.154090488681,-2.12671524735706,0.284013326507215,-0.446159512708078,0.655482026465315,NA
"PBANKA_021290",310.748133867244,-0.152820484781813,0.216902975206366,0,1,NA
"PBANKA_021300",598.746260365464,1.02371493081685,0.220063336210295,0,1,1
"PBANKA_021320",809.939934038524,-1.69478482580306,0.291981755471292,0,1,1
"PBANKA_021330",103.858932693399,2.01292424202334,0.316236499776453,0.040868913083957,0.967400400497653,NA
"PBANKA_021340",708.472022094757,0.46836048773506,0.311343165528352,0,1,1
"PBANKA_021350",639.480547922704,0.136291057446002,0.354830802568837,0,1,1
"PBANKA_021360",409.973631230323,-0.859594748342741,0.221288676281087,0,1,1
"PBANKA_021370",162.894051073706,0.358165955116936,0.234498452768566,0,1,NA
"PBANKA_021380",193.141799604722,-0.051898010755516,0.207044712719926,0,1,NA
"PBANKA_021390",60.1987452961376,-1.27852163383575,0.389173068855417,0,1,NA
"PBANKA_021400",497.248176424949,-1.27065143183209,0.434542545504297,0,1,1
"PBANKA_021410",90.9039263348496,2.56310458926684,0.370347023493647,1.52047823674894,0.128390824423186,NA
"PBANKA_021420",442.137746362996,2.21446555276465,0.25555812193796,0.839204604957593,0.401354503644421,1
"PBANKA_021440",979.925821936911,-1.32202631076047,0.271258936519852,0,1,1
"PBANKA_021450",115.841685610321,0.265563019818,0.316264207429421,0,1,NA
"PBANKA_021480",422.779071072185,0.415806380820588,0.347993593292395,0,1,1
"PBANKA_030070",526.679440175707,-1.12185327055716,0.229008493156303,0,1,1
"PBANKA_030080",100.288810008411,0.547691970758729,0.256356567859726,0,1,NA
"PBANKA_030100",709.527845887998,-3.81265149908298,0.375120429070522,-4.83218550259818,1.35042335622715e-06,6.02580800305684e-05
"PBANKA_030110",228.082704128383,-0.622422333166294,0.246096184059717,0,1,NA
"PBANKA_030120",77.3000486945346,0.532123646839308,0.254765372176623,0,1,NA
"PBANKA_030130",768.169101341298,-0.454443579004322,0.34054322819667,0,1,1
"PBANKA_030140",100.858903655241,-2.3036876423723,0.358183747903299,-0.847854332168882,0.396519100286007,NA
"PBANKA_030150",585.490526885107,1.01268641363648,0.367338010129801,0,1,1
"PBANKA_030160",1344.07184422851,-0.645778893924359,0.361511061012047,0,1,1
"PBANKA_030170",94.5457568279144,-0.24347369018449,0.251975929104536,0,1,NA
"PBANKA_030180",118.167351417914,-1.85269082854441,0.357250191344104,0,1,NA
"PBANKA_030190",592.629907078291,-2.09796322975062,0.252334698011374,-0.388227344565226,0.697847799024096,1
"PBANKA_030200",453.003369023105,-1.53848634176558,0.319770228239377,0,1,1
"PBANKA_030210",371.868992764,-1.52734346560485,0.272565305993401,0,1,1
"PBANKA_030220",198.5959176613,-1.84782778139829,0.307554298629942,0,1,NA
"PBANKA_030230",218.154324156665,1.0719222411753,0.27468098954123,0,1,NA
"PBANKA_030240",211.370305736106,0.295130644359258,0.295744436910193,0,1,NA
"PBANKA_030250",964.922443803121,0.843845010143726,0.349274205279631,0,1,1
"PBANKA_030260",356.137187969944,0.77965803282214,0.309196513213962,0,1,1
"PBANKA_030270",96.615083106151,0.839350165312301,0.292851811716627,0,1,NA
"PBANKA_030290",69.9789269275497,-2.73059762152971,0.406716395101105,-1.79633186743823,0.0724417525504854,NA
"PBANKA_030300",91.5702799748916,-1.54452021149823,0.347504618327776,0,1,NA
"PBANKA_030310",182.7722065591,0.939204790025371,0.185805570641914,0,1,NA
"PBANKA_030320",122.599069803133,1.24745014352694,0.191649641508386,0,1,NA
"PBANKA_030330",168.796994082748,-2.13640122537855,0.203410625608313,-0.670570797226712,0.502493991229999,NA
"PBANKA_030340",219.892855313965,0.82375057975592,0.220418316305012,0,1,NA
"PBANKA_030350",208.065243157498,-0.329844702639449,0.315647470893328,0,1,NA
"PBANKA_030360",933.868549611616,0.496042174880847,0.282264594072153,0,1,1
"PBANKA_030370",721.995451988041,0.0275935906261936,0.193657197740386,0,1,1
"PBANKA_030380",575.045416708337,0.581508955915153,0.231458379372879,0,1,1
"PBANKA_030390",693.948057173109,-1.47416368028071,0.363740984590213,0,1,1
"PBANKA_030410",381.265828455899,-0.114408725501186,0.333301843767785,0,1,1
"PBANKA_030420",76.4957148194564,1.6099618327582,0.235326108596515,0,1,NA
"PBANKA_030430",204.517043284458,2.01275436311236,0.376434561134123,0.0338820194244007,0.972971231376301,NA
"PBANKA_030450",1239.31061310685,-2.89799174361231,0.321389109716284,-2.79409512165809,0.00520451672427942,0.0728191280659773
"PBANKA_030460",49.0702572277239,0.799238529836924,0.291064064253842,0,1,NA
"PBANKA_030500",1665.60410421808,-1.30724844810189,0.595801696429763,0,1,1
"PBANKA_030510",2676.84915300785,-0.649663861482731,0.538893581727066,0,1,1
"PBANKA_030520",443.202186930234,-0.573849885548978,0.30096444546848,0,1,1
"PBANKA_030530",656.869094049226,1.09367560984237,0.334108098685511,0,1,1
"PBANKA_030540",461.616856089766,-0.145839970914028,0.235572111105658,0,1,1
"PBANKA_030550",386.419539533056,-0.411198617652296,0.269709715493864,0,1,1
"PBANKA_030570",275.679842126127,-0.446359075137825,0.229018501412356,0,1,NA
"PBANKA_030580",234.457232229552,1.68354242562637,0.176163915563797,0,1,NA
"PBANKA_030590",141.825564383628,1.54249177619287,0.248017996531657,0,1,NA
"PBANKA_030600",365.602808758617,0.0546370231937358,0.450695083095177,0,1,1
"PBANKA_030630",441.456540979942,0.821087488011571,0.310614138420685,0,1,1
"PBANKA_030640",74.8758460152924,0.204165408405379,0.227534572261872,0,1,NA
"PBANKA_030650",202.626730781171,0.196097027752968,0.224787660680332,0,1,NA
"PBANKA_030660",1350.04340388508,1.04637539710222,0.481386646735615,0,1,1
"PBANKA_030670",272.496324783216,-1.28813334462272,0.318581098992073,0,1,NA
"PBANKA_030680",1524.79622140551,2.12005466836918,0.265089352925678,0.452883780673136,0.650632430693665,1
"PBANKA_030690",398.13204490854,0.66502934041915,0.288672821717876,0,1,1
"PBANKA_030700",1985.5169555791,3.32190419314545,0.307975713343352,4.2922351856742,1.7688344717997e-05,0.000561604944796405
