"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,0.128489865883591,1.56047782729533,0,1,1
"PBANKA_010080",464.686995921719,-0.425516005953324,0.530607535400022,0,1,1
"PBANKA_010090",918.061686166002,1.45373291992021,0.644259130555164,0,1,1
"PBANKA_010100",208.357029211728,1.51340121364759,0.411786995696977,0,1,1
"PBANKA_010110",105.291743326147,0.647961701741649,0.542585224672984,0,1,1
"PBANKA_010120",191.338754446582,-0.673806027183363,0.437617845344467,0,1,1
"PBANKA_010130",115.649395130954,1.24100016485879,0.475851485560136,0,1,1
"PBANKA_010140",440.920323520482,-1.32610899660547,0.316918166334389,0,1,1
"PBANKA_010150",251.270364955803,0.660206516529225,0.565376377296194,0,1,1
"PBANKA_010160",190.344133628196,-2.4822479932591,0.406062209756931,-1.18762096464917,0.234982774439704,0.963685550675418
"PBANKA_010170",256.792965388713,0.814926901789119,0.363232753221107,0,1,1
"PBANKA_010180",550.74220224868,-2.02646407481567,0.38293374086464,-0.0691087569246632,0.944903050678149,1
"PBANKA_010190",194.714464579416,0.585271988130184,0.442904346350568,0,1,1
"PBANKA_010200",141.825560804924,0.108175796978474,0.389081171940239,0,1,1
"PBANKA_010210",234.572536167893,-0.354675242662268,0.375016295565707,0,1,1
"PBANKA_010230",107.665175690093,0.0713104819397176,0.463186652312131,0,1,1
"PBANKA_010240",176.971718922185,0.825021038063281,0.523236089011163,0,1,1
"PBANKA_010250",84.0747107519478,2.3534283492897,0.385046576265899,0.917884669218902,0.358679248638072,1
"PBANKA_010260",645.040775265828,1.06888967351004,0.357685229096799,0,1,1
"PBANKA_010270",97.4045750805531,0.625729143015039,0.609821964599894,0,1,1
"PBANKA_010280",239.833598421598,1.59391956621092,0.374208313148523,0,1,1
"PBANKA_010290",373.728416286429,2.1504244760027,0.767947156269808,0.195878680941233,0.844705124164833,1
"PBANKA_010300",128.74510505325,-2.19596137963117,0.466981246432608,-0.419634366750628,0.674752578556396,1
