"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,-1.24189114767248,1.79110718079628,0,1,1
"PBANKA_010080",464.686995921719,0.985899178347739,0.641917951679515,0,1,1
"PBANKA_010090",918.061686166002,-0.807963128284342,0.784581796276437,0,1,1
"PBANKA_010100",208.357029211728,-2.96648674846869,0.491362256216996,-1.96695357903492,0.0491885627266541,0.270667915642147
"PBANKA_010110",105.291743326147,0.838282374894933,0.656384935951491,0,1,1
"PBANKA_010120",191.338754446582,0.26399337611061,0.526991596284438,0,1,1
"PBANKA_010130",115.649395130954,-1.31568125574392,0.558505207747764,0,1,1
"PBANKA_010140",440.920323520482,-0.563773849589307,0.383173235357504,0,1,1
"PBANKA_010150",251.270364955803,3.35904154942971,0.655670728820384,2.07275007056478,0.0381955453039298,0.219213823117422
"PBANKA_010160",190.344133628196,-1.93837269746819,0.499666447481779,0,1,1
"PBANKA_010170",256.792965388713,0.0375857959123571,0.429677083499159,0,1,1
"PBANKA_010180",550.74220224868,1.63388946664595,0.464841312755695,0,1,1
"PBANKA_010190",194.714464579416,-0.473814742372459,0.530874461454224,0,1,1
"PBANKA_010200",141.825560804924,-0.817733741724751,0.464134775557113,0,1,1
"PBANKA_010210",234.572536167893,0.949557618100304,0.450085866944492,0,1,1
"PBANKA_010230",107.665175690093,0.262624197138833,0.548093911235261,0,1,1
"PBANKA_010240",176.971718922185,0.156538710273528,0.614127920482815,0,1,1
"PBANKA_010250",84.0747107519478,-0.210073922413524,0.369466203657338,0,1,1
"PBANKA_010260",645.040775265828,2.68564400246187,0.422258466867055,1.62375430278286,0.10442825643954,0.506593347182671
"PBANKA_010270",97.4045750805531,1.07195738952323,0.632959211259321,0,1,1
"PBANKA_010280",239.833598421598,0.294429863098056,0.421854337885881,0,1,1
"PBANKA_010290",373.728416286429,1.10703465583881,0.907009717465639,0,1,1
"PBANKA_010300",128.74510505325,3.35794486180423,0.564720715876976,2.40463086199241,0.0161888089632136,0.108396911795757
"PBANKA_010310",126.093283120564,0.24225686039488,0.400520361648802,0,1,1
"PBANKA_010320",269.429106519927,5.22012571868256,0.810163171073114,3.97466317114525,7.04789292369523e-05,0.000828527866995764
"PBANKA_010330",1299.44964061188,-2.33313609974917,0.511667178777798,-0.651079673597446,0.514995056947778,1
"PBANKA_010340",197.57694170381,1.91497656543395,0.50599593805462,0,1,1
"PBANKA_010350",138.10024568978,3.41895569810584,0.607856865642281,2.3343582647644,0.0195769702121188,0.126379879466065
"PBANKA_010360",38.2967645836935,1.60895587780198,0.764405226003271,0,1,1
"PBANKA_010370",89.1147922168543,1.52910448472676,0.5478367322689,0,1,1
"PBANKA_010380",174.312599726554,1.12840266077647,0.634363077203136,0,1,1
"PBANKA_010390",473.737220297503,0.529644017897984,0.379773926770882,0,1,1
"PBANKA_010400",352.969854183932,2.42280900898295,0.513921061219104,0.822711970550456,0.410671806402307,1
"PBANKA_010410",227.655209787489,2.07897597755323,0.539921028148742,0.146273201886618,0.883705720095881,1
