"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,1.97193741203413,1.89793570429561,0,1,1
"PBANKA_010080",464.686995921719,-2.34107691555242,0.672398246418212,-0.507254320440742,0.611976385296289,1
"PBANKA_010090",918.061686166002,0.547744483808005,0.822003130754108,0,1,1
"PBANKA_010100",208.357029211728,1.25006899089716,0.509953072168961,0,1,1
"PBANKA_010110",105.291743326147,-1.85794856440312,0.684496819922494,0,1,1
"PBANKA_010120",191.338754446582,0.119514386921637,0.552270676831063,0,1,1
"PBANKA_010130",115.649395130954,0.74434178804425,0.583693252547888,0,1,1
"PBANKA_010140",440.920323520482,0.312356638833617,0.401303198634268,0,1,1
"PBANKA_010150",251.270364955803,-3.16432414336792,0.686960377161155,-1.69489272173084,0.0900957734736956,0.778322151637062
"PBANKA_010160",190.344133628196,-0.00902528809243811,0.517913503685895,0,1,1
"PBANKA_010170",256.792965388713,-1.60420420804247,0.449166018806861,0,1,1
"PBANKA_010180",550.74220224868,-0.967507297900027,0.487131473447358,0,1,1
"PBANKA_010190",194.714464579416,-0.172152015458452,0.555418370917869,0,1,1
"PBANKA_010200",141.825560804924,0.373137273567979,0.485136677642188,0,1,1
"PBANKA_010210",234.572536167893,-0.281950680466316,0.471796594517139,0,1,1
"PBANKA_010230",107.665175690093,-0.573522258790604,0.573736326249638,0,1,1
"PBANKA_010240",176.971718922185,-2.22624869468992,0.642123976191408,-0.352344256060738,0.724580101898281,1
"PBANKA_010250",84.0747107519478,-1.11652058085043,0.383157362957551,0,1,1
"PBANKA_010260",645.040775265828,-1.94990485736888,0.442496064529721,0,1,1
"PBANKA_010270",97.4045750805531,-3.69229509474953,0.661410356117227,-2.55861596223569,0.0105089764063643,0.201497658482976
"PBANKA_010280",239.833598421598,-1.30128628950329,0.441102326506927,0,1,1
"PBANKA_010290",373.728416286429,-2.36187991181958,0.950021990768839,-0.380917405424184,0.703264536771713,1
"PBANKA_010300",128.74510505325,-0.958784916323606,0.59316859423898,0,1,1
