"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,2.48600111007207,1.68589160874568,0.288275419102219,0.773135921569788,1
"PBANKA_010080",464.686995921719,-1.36682787669656,0.605934652684466,0,1,1
"PBANKA_010090",918.061686166002,-0.57349269004041,0.740498266859513,0,1,1
"PBANKA_010100",208.357029211728,1.73127245892934,0.458635292645316,0,1,1
"PBANKA_010110",105.291743326147,-1.3187239887916,0.616578539667286,0,1,1
"PBANKA_010120",191.338754446582,0.463128142295279,0.497200430681845,0,1,1
"PBANKA_010130",115.649395130954,1.39621142361002,0.525098166425568,0,1,1
"PBANKA_010140",440.920323520482,0.221672263391518,0.361337424867389,0,1,1
"PBANKA_010150",251.270364955803,-1.04161082093926,0.619274196710755,0,1,1
"PBANKA_010160",190.344133628196,-0.336207606539945,0.465741113201276,0,1,1
"PBANKA_010170",256.792965388713,-0.0979949583392816,0.404815251896875,0,1,1
"PBANKA_010180",550.74220224868,0.896118580143245,0.439013967411408,0,1,1
"PBANKA_010190",194.714464579416,0.230140614185977,0.500063232411113,0,1,1
"PBANKA_010200",141.825560804924,0.414149516461813,0.436121873183858,0,1,1
"PBANKA_010210",234.572536167893,0.880405960786913,0.424971314272193,0,1,1
"PBANKA_010230",107.665175690093,0.544613079211002,0.516790009018052,0,1,1
"PBANKA_010240",176.971718922185,-1.5652372810072,0.578644531171784,0,1,1
"PBANKA_010250",84.0747107519478,-0.71728936115525,0.344661906051321,0,1,1
"PBANKA_010260",645.040775265828,-1.97957148136074,0.398691910136003,0,1,1
"PBANKA_010270",97.4045750805531,-1.29817768438432,0.596525168384256,0,1,1
"PBANKA_010280",239.833598421598,-1.51369366739306,0.39722969804743,0,1,1
"PBANKA_010290",373.728416286429,-3.39420823682057,0.856054413921605,-1.62864441108792,0.103388316913741,1
"PBANKA_010300",128.74510505325,-0.0808960299757826,0.534066074237336,0,1,1
"PBANKA_010310",126.093283120564,-0.415531107036074,0.376905690902134,0,1,1
"PBANKA_010320",269.429106519927,-1.07054232094206,0.765486781646882,0,1,1
"PBANKA_010330",1299.44964061188,0.0725254839215003,0.482785633725334,0,1,1
"PBANKA_010340",197.57694170381,0.757890421449919,0.478098407758735,0,1,1
"PBANKA_010350",138.10024568978,-1.51327051079974,0.57418739876345,0,1,1
"PBANKA_010360",38.2967645836935,-1.64452083053621,0.720197036883801,0,1,1
"PBANKA_010370",89.1147922168543,0.72666428785966,0.517651254964568,0,1,1
"PBANKA_010380",174.312599726554,2.11463653333272,0.599571149354759,0.191197547540583,0.84837082495262,1
"PBANKA_010390",473.737220297503,1.06898314554732,0.358540031867242,0,1,1
"PBANKA_010400",352.969854183932,0.51999185787578,0.485604953834598,0,1,1
"PBANKA_010410",227.655209787489,-1.04444456084799,0.509623877239719,0,1,1
"PBANKA_010420",165.200542600176,-0.351646587505968,0.718908735102732,0,1,1
"PBANKA_010430",74.118296857888,-1.85302137501122,0.52275727804426,0,1,1
"PBANKA_010440",267.118252012223,-3.11389052315504,0.617586136902087,-1.80361970031015,0.0712909455673096,1
"PBANKA_010450",894.531839124969,-0.619770210231009,0.651742153621091,0,1,1
"PBANKA_010460",563.974020003931,-2.00682856470682,0.406884699039565,-0.0167825546719657,0.98661008729342,1
"PBANKA_010470",240.715767926568,0.814277390499524,0.5292633296711,0,1,1
"PBANKA_010480",502.770310339127,-1.97997995385476,0.756783773898573,0,1,1
"PBANKA_010490",398.57115328437,0.723998213480565,0.297294160649761,0,1,1
"PBANKA_010500",317.788076031697,0.583979739888292,0.468088954551927,0,1,1
"PBANKA_010510",227.856952515446,-0.219619154946854,0.801149552821924,0,1,1
"PBANKA_010520",271.597466159548,0.841855088488173,0.483175162657939,0,1,1
"PBANKA_010530",850.132508951516,-0.528969067171945,0.467259612078997,0,1,1
"PBANKA_010540",381.040276518993,0.370538604792185,0.341261043754559,0,1,1
"PBANKA_010550",361.182761661558,2.05394402695346,0.500361607702517,0.107810083993355,0.914146343647078,1
"PBANKA_010560",519.547484245769,2.33792827615077,0.496862930767499,0.680123742837435,0.496426111994303,1
"PBANKA_010570",297.382196225783,-1.69470724710473,0.676446575626545,0,1,1
"PBANKA_010580",387.481189161559,-1.05704237006708,0.671019514609166,0,1,1
"PBANKA_010590",149.760112009728,-0.916470332204028,0.495608537947977,0,1,1
"PBANKA_010600",789.250775877404,-0.953333482640565,0.476460152577425,0,1,1
"PBANKA_010610",118.537502474569,-1.34583481714421,0.368335885404267,0,1,1
"PBANKA_010620",257.80203497904,-1.8987529896094,0.489388597193521,0,1,1
"PBANKA_010640",422.437688037777,-0.515200152990854,0.48014938694821,0,1,1
"PBANKA_010650",391.707091789981,0.144026888827263,0.453179922855498,0,1,1
"PBANKA_010660",237.929037558469,0.371624346732955,0.513706433930517,0,1,1
"PBANKA_010680",93.2538150985508,-0.309252315712214,0.447069536669959,0,1,1
"PBANKA_010690",269.890832810597,-1.57641636005306,0.42353701847035,0,1,1
"PBANKA_010700",733.774726638808,1.02220114943524,0.628176809120801,0,1,1
"PBANKA_010710",288.774746544788,2.19319968265836,0.494369752586732,0.390799966315637,0.69594509987128,1
"PBANKA_010720",344.091789576559,-0.349171898916291,0.559381288206828,0,1,1
"PBANKA_010730",557.173418925922,2.18338215917098,0.475948097450483,0.385298649481538,0.700016162003293,1
"PBANKA_010740",244.101474732357,1.20904994752986,0.473649164454611,0,1,1
"PBANKA_010750",204.595248134404,-1.36658536021879,0.392453303075061,0,1,1
"PBANKA_010760",1645.15283507671,-3.02520827241651,0.464301648755255,-2.20806511276665,0.0272397345336735,0.599563944150749
"PBANKA_010770",693.385860749157,1.09615440351536,0.614708622646815,0,1,1
"PBANKA_010790",649.608923123743,-1.89427776744956,0.373461325892168,0,1,1
"PBANKA_010800",257.387919178176,-1.09601384593263,0.465482513267932,0,1,1
"PBANKA_010810",211.31214976653,-2.0193839476748,0.701863148069475,-0.0276178450572872,0.97796694879636,1
"PBANKA_010820",423.956480341202,-1.05097468895317,0.615706508571956,0,1,1
"PBANKA_010830",228.975674491296,-2.0994395036373,0.810913046018109,-0.122626592488037,0.902402795604656,1
"PBANKA_010840",428.298804762481,-2.62429325831781,0.386781524121327,-1.61407207786373,0.106511793046288,1
"PBANKA_010850",164.868215858205,1.20606552729407,0.472378701709715,0,1,1
"PBANKA_010860",301.283578701335,0.943688408869542,0.312752437062855,0,1,1
"PBANKA_010870",680.855876463506,0.566233024348525,0.45748360126982,0,1,1
"PBANKA_010880",572.654533324418,-1.02381010092582,0.698166215298216,0,1,1
"PBANKA_010890",102.547638202666,2.15506363652559,0.619926996246712,0.250132092108278,0.802485198707604,1
"PBANKA_010910",805.445354787323,2.24891924187849,0.491505536608234,0.506442396552087,0.612546118165388,1
"PBANKA_010920",710.304264734282,-0.999434841330257,0.551376078744296,0,1,1
"PBANKA_010930",99.4925837730619,-0.247464968687948,0.519274430524137,0,1,1
"PBANKA_010940",55.0637591023445,0.580227398259661,0.476972701922015,0,1,1
"PBANKA_010950",309.537027844052,0.797247465755586,0.475491256135816,0,1,1
"PBANKA_010960",370.546512506797,1.05121310017269,0.530430725796374,0,1,1
"PBANKA_010970",379.536169072878,0.302223782202694,0.512039789153351,0,1,1
"PBANKA_010980",256.252932879601,-1.60404136210189,0.893904808615007,0,1,1
"PBANKA_010990",478.230923949824,-2.2091414844059,0.846525659479711,-0.247058647382813,0.804862836432317,1
"PBANKA_011020",159.250806357619,0.663982138049477,0.384880193317859,0,1,1
"PBANKA_011030",50.257591961385,-1.18194695365102,0.746644669648741,0,1,1
"PBANKA_011040",323.810410822471,0.84493193855415,0.368573833017173,0,1,1
"PBANKA_011050",1069.92003407209,-2.74866439551801,0.635703257819308,-1.17769475979437,0.238918316750854,1
"PBANKA_011070",50.9009006941465,-2.83168170086318,0.52941471305744,-1.57094557508632,0.116195291148844,1
"PBANKA_011080",251.077314641652,-0.582713731553474,0.648676574706368,0,1,1
"PBANKA_011090",374.602695258781,-0.034065393014872,0.455015036972601,0,1,1
"PBANKA_011100",219.740051733041,-2.25268290073145,0.781300926101566,-0.323413031125216,0.746382461969805,1
"PBANKA_011110",378.049787271073,-1.48543289039751,0.488766558649811,0,1,1
"PBANKA_011120",894.677709995667,-0.646313402425454,0.651380990178151,0,1,1
"PBANKA_011140",297.030340361456,0.860746125505178,0.407201140874783,0,1,1
"PBANKA_011160",364.936932797918,-3.91318336808164,0.699934759293026,-2.73337385046296,0.00626891322107688,0.242437036530992
"PBANKA_011180",413.425775695657,-1.33239098379394,0.347341010964272,0,1,1
"PBANKA_011190",309.703850930637,-3.20107511197698,0.50768598105377,-2.3657834897942,0.0179919627970657,0.456753018737778
"PBANKA_011200",402.724750112492,-0.535723376685107,0.410412380014601,0,1,1
"PBANKA_011210",1247.29360255429,-3.86635495714601,0.756468851945122,-2.46719339778105,0.0136176785928617,0.390383846302938
"PBANKA_011230",270.160093555038,-2.74754746522075,0.423734008931459,-1.7641903870446,0.077699930647966,1
"PBANKA_011250",398.069774290493,-1.39359606845286,0.669071860191495,0,1,1
"PBANKA_020130",183.496863825099,-2.03610606274299,0.883971386632182,-0.0408452844616981,0.967419237681503,1
"PBANKA_020170",1363.77474722244,-2.56538196472411,0.78201063114728,-0.722985010951377,0.469689093093287,1
"PBANKA_020180",142.956601146717,0.955496190002207,0.518995864720067,0,1,1
"PBANKA_020190",134.469527276994,1.52441092205196,0.444714594669044,0,1,1
"PBANKA_020200",361.312661364898,0.380087181720341,0.406252387728124,0,1,1
"PBANKA_020210",29.9265153840273,-0.482114829164748,0.571872045333662,0,1,1
"PBANKA_020220",80.7348255536976,0.417818752561334,0.423359990777414,0,1,1
"PBANKA_020230",155.664529873999,1.30198137875319,0.42084368423287,0,1,1
"PBANKA_020240",206.755441158779,-0.924305588361109,0.388243432256814,0,1,1
"PBANKA_020250",297.32712773759,-2.05186597207441,0.443088943547311,-0.117055441869466,0.906816119153668,1
"PBANKA_020260",64.8699915729511,-0.69882296313882,0.646732242031061,0,1,1
"PBANKA_020270",332.374869862692,-1.80191130112641,0.603527690937393,0,1,1
"PBANKA_020280",138.720579894011,-0.339667863798708,0.456918724900823,0,1,1
"PBANKA_020290",446.64767638811,0.636125991004857,0.449587592042019,0,1,1
"PBANKA_020300",930.566134139996,2.03897512059382,0.66228634655573,0.0588493493735884,0.953072101425818,1
"PBANKA_020320",511.691600407708,-1.8621584127484,0.538272883310557,0,1,1
"PBANKA_020330",198.883817765773,0.704527171436093,0.416994638715666,0,1,1
"PBANKA_020340",517.83785534736,-0.128383184884516,0.559854789556691,0,1,1
"PBANKA_020350",406.098147820141,-0.488111179836417,0.431678033953154,0,1,1
"PBANKA_020360",325.49628290564,-0.563738911043757,0.530185550487997,0,1,1
"PBANKA_020370",679.205409690033,-1.09920705469011,0.426579503622023,0,1,1
"PBANKA_020390",186.892959349296,-0.809189945865591,0.551007990549178,0,1,1
"PBANKA_020410",966.877410422951,2.02578690519642,0.549961968335995,0.0468885244455006,0.962602074201459,1
"PBANKA_020420",143.341340686034,0.625831381467645,0.45276306470609,0,1,1
"PBANKA_020440",131.155664394597,1.05187369917986,0.511529079696656,0,1,1
"PBANKA_020460",3156.71545883248,-4.4233615245441,1.08305571976998,-2.2375224841237,0.025252211486647,0.580520284065252
"PBANKA_020470",296.009475996993,0.23893384493521,0.394863685882944,0,1,1
"PBANKA_020480",795.091041044072,0.114351808015992,0.394076300697432,0,1,1
"PBANKA_020490",338.860625049348,-0.893119250776289,0.552570439583285,0,1,1
"PBANKA_020510",245.201745744686,0.269254832287959,0.466695203733011,0,1,1
"PBANKA_020520",1315.17574346672,0.771365321410676,0.45146011570257,0,1,1
"PBANKA_020530",110.454575686892,-0.127601660840449,0.410283671095563,0,1,1
