"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,-0.441348752292069,2.06308117352833,0,1,1
"PBANKA_010080",464.686995921719,-0.159056372492152,0.733024862536841,0,1,1
"PBANKA_010090",918.061686166002,0.145984459521796,0.893591148497219,0,1,1
"PBANKA_010100",208.357029211728,1.11214575869084,0.561889573813633,0,1,1
"PBANKA_010110",105.291743326147,-2.58256928091633,0.74838113337687,-0.778439293742809,0.436310081586291,1
"PBANKA_010120",191.338754446582,-0.46722008938191,0.602551452075769,0,1,1
"PBANKA_010130",115.649395130954,0.977456950572461,0.646206490100553,0,1,1
"PBANKA_010140",440.920323520482,-0.366641155921161,0.43708197133502,0,1,1
"PBANKA_010150",251.270364955803,0.862173153495564,0.764933892659126,0,1,1
"PBANKA_010160",190.344133628196,-3.08608327451664,0.561594655579926,-1.93392736865544,0.0531220585723286,0.250363415002615
"PBANKA_010170",256.792965388713,0.137301798854927,0.495746299153746,0,1,1
"PBANKA_010180",550.74220224868,-1.32480530479453,0.529687916535273,0,1,1
"PBANKA_010190",194.714464579416,-0.103190895236266,0.608385592523959,0,1,1
"PBANKA_010200",141.825560804924,-0.305077710355872,0.532118360271077,0,1,1
"PBANKA_010210",234.572536167893,-0.551309824906598,0.515636150933366,0,1,1
"PBANKA_010230",107.665175690093,-0.0207171047597233,0.631874212825114,0,1,1
"PBANKA_010240",176.971718922185,0.596762171057273,0.711499399103255,0,1,1
"PBANKA_010250",84.0747107519478,1.68743386700894,0.479234678606684,0,1,1
"PBANKA_010260",645.040775265828,0.491225302977948,0.488422860978645,0,1,1
"PBANKA_010270",97.4045750805531,1.8173305618102,0.782883609064272,0,1,1
"PBANKA_010280",239.833598421598,1.1880034053041,0.499401217898036,0,1,1
"PBANKA_010290",373.728416286429,1.524083785203,1.04931686275464,0,1,1
"PBANKA_010300",128.74510505325,-3.18015147200872,0.64425384969408,-1.83181128458775,0.0669795414137885,0.299310304935482
"PBANKA_010310",126.093283120564,0.173834811803335,0.46721858687214,0,1,1
"PBANKA_010320",269.429106519927,2.72144179793833,1.02380201896412,0.704669247154132,0.481016093652252,1
"PBANKA_010330",1299.44964061188,1.63682634732917,0.583060206392791,0,1,1
"PBANKA_010340",197.57694170381,-2.49603828036808,0.576614021641774,-0.860260523938925,0.38964544828925,1
"PBANKA_010350",138.10024568978,-0.836774254809111,0.70383353552537,0,1,1
"PBANKA_010360",38.2967645836935,-0.180563138003925,0.907045107969543,0,1,1
"PBANKA_010370",89.1147922168543,-0.557837823785649,0.635125795421056,0,1,1
"PBANKA_010380",174.312599726554,-0.804913431299029,0.724251177812444,0,1,1
"PBANKA_010390",473.737220297503,-1.2382439452034,0.432795122577219,0,1,1
"PBANKA_010400",352.969854183932,-4.01269073200301,0.584650973657508,-3.44255089393225,0.000576255422669073,0.00584447288971721
"PBANKA_010410",227.655209787489,-3.2368008278918,0.614966658043988,-2.01116729128969,0.0443077893996933,0.218009075548075
"PBANKA_010420",165.200542600176,1.70797143390174,0.954198264054966,0,1,1
"PBANKA_010430",74.118296857888,0.411365524496667,0.664312215019899,0,1,1
"PBANKA_010440",267.118252012223,-0.17578168111542,0.756847387377224,0,1,1
"PBANKA_010450",894.531839124969,-0.379337075213256,0.801163658812565,0,1,1
"PBANKA_010460",563.974020003931,2.08860036406231,0.510439450733982,0.173576638590343,0.862198192999348,1
"PBANKA_010470",240.715767926568,3.41561688099979,0.683386242671291,2.07147406928516,0.0383145152756015,0.194058095728812
"PBANKA_010480",502.770310339127,2.16979486577769,0.920799548859866,0.184399379851925,0.853700156283718,1
"PBANKA_010490",398.57115328437,3.33889260377186,0.378896256445739,3.53366543214606,0.000409839514710426,0.00442797888217165
"PBANKA_010500",317.788076031697,-3.62372662632643,0.5636405862795,-2.88078372255694,0.00396687741126092,0.0301191536289866
"PBANKA_010510",227.856952515446,1.91293808881827,1.0262514472588,0,1,1
"PBANKA_010520",271.597466159548,2.35165513012865,0.595605204369418,0.59041648318194,0.55491146249813,1
"PBANKA_010530",850.132508951516,-0.825317083457519,0.563939331745543,0,1,1
"PBANKA_010540",381.040276518993,1.83315291994391,0.420701616656348,0,1,1
"PBANKA_010550",361.182761661558,-0.499568902447316,0.605130940445633,0,1,1
