"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,3.58938913506139,3.00350789582685,0.529177611708539,0.596682245956989,1
"PBANKA_010080",464.686995921719,0.586126378480788,1.00900701493158,0,1,1
"PBANKA_010090",918.061686166002,0.687757217217988,1.23276779874956,0,1,1
"PBANKA_010100",208.357029211728,0.196052620942949,0.76277753767657,0,1,1
"PBANKA_010110",105.291743326147,-0.0339677665552433,1.02752761655562,0,1,1
"PBANKA_010120",191.338754446582,-0.157176200432186,0.827338658223654,0,1,1
"PBANKA_010130",115.649395130954,0.373489704571218,0.873537315193293,0,1,1
"PBANKA_010140",440.920323520482,0.616767612240146,0.601633355606964,0,1,1
"PBANKA_010150",251.270364955803,0.780770008555911,1.03232715173789,0,1,1
"PBANKA_010160",190.344133628196,0.525152018440444,0.77602710234986,0,1,1
"PBANKA_010170",256.792965388713,0.554565131686204,0.674383378472563,0,1,1
"PBANKA_010180",550.74220224868,0.670528238149924,0.730849640833283,0,1,1
"PBANKA_010190",194.714464579416,0.384930167454214,0.832579015743738,0,1,1
"PBANKA_010200",141.825560804924,0.309659286365114,0.726011128852441,0,1,1
"PBANKA_010210",234.572536167893,1.14142707351829,0.708208538565611,0,1,1
"PBANKA_010230",107.665175690093,-0.402840666034226,0.85939879725277,0,1,1
"PBANKA_010240",176.971718922185,0.124082088353965,0.963657205818659,0,1,1
"PBANKA_010250",84.0747107519478,-0.343237400059544,0.573184016475911,0,1,1
"PBANKA_010260",645.040775265828,0.858736854782406,0.664651749295548,0,1,1
"PBANKA_010270",97.4045750805531,0.720353349835766,0.995809312597188,0,1,1
"PBANKA_010280",239.833598421598,-1.12367613669024,0.660666526076934,0,1,1
"PBANKA_010290",373.728416286429,2.0455725921606,1.42844321498224,0.0319036778519486,0.974548865632529,1
"PBANKA_010300",128.74510505325,0.572218281381222,0.890835723001965,0,1,1
"PBANKA_010310",126.093283120564,-0.124330019427867,0.627285173272312,0,1,1
"PBANKA_010320",269.429106519927,2.1228235851624,1.28483092460818,0.0955951345892895,0.923842129539369,1
"PBANKA_010330",1299.44964061188,-0.0669522101716019,0.803625975711579,0,1,1
"PBANKA_010340",197.57694170381,0.0275681762520653,0.795331122013966,0,1,1
"PBANKA_010350",138.10024568978,-0.397102053187556,0.955602275230563,0,1,1
"PBANKA_010360",38.2967645836935,-0.652459963450193,1.19755799504927,0,1,1
"PBANKA_010370",89.1147922168543,-0.44799324475889,0.859699947496407,0,1,1
"PBANKA_010380",174.312599726554,0.236430257470043,0.996940843149532,0,1,1
"PBANKA_010390",473.737220297503,0.468521398248265,0.596759488593381,0,1,1
"PBANKA_010400",352.969854183932,0.37219546396418,0.808399418533089,0,1,1
"PBANKA_010410",227.655209787489,0.566929084020286,0.85031826315719,0,1,1
"PBANKA_010420",165.200542600176,0.572659501532086,1.19938090531857,0,1,1
"PBANKA_010430",74.118296857888,-0.831521927293221,0.869164840445221,0,1,1
"PBANKA_010440",267.118252012223,1.51861351899127,1.03323744426198,0,1,1
"PBANKA_010450",894.531839124969,2.32858850606566,1.0997422510641,0.298786834594852,0.765102696817376,1
"PBANKA_010460",563.974020003931,-1.93790698834855,0.676881179210608,0,1,1
"PBANKA_010470",240.715767926568,0.437094859138455,0.880982291438948,0,1,1
"PBANKA_010480",502.770310339127,1.0233687526992,1.26013328778511,0,1,1
"PBANKA_010490",398.57115328437,-0.108552571837259,0.494722041643742,0,1,1
"PBANKA_010500",317.788076031697,0.611248813267932,0.779659583635691,0,1,1
"PBANKA_010510",227.856952515446,1.62001052220594,1.33961249342526,0,1,1
"PBANKA_010520",271.597466159548,0.780146571878654,0.80442704707966,0,1,1
"PBANKA_010530",850.132508951516,-0.0691161474145759,0.777793604630907,0,1,1
"PBANKA_010540",381.040276518993,-0.656266988992855,0.5678077093859,0,1,1
"PBANKA_010550",361.182761661558,0.266914087569901,0.832032586948853,0,1,1
"PBANKA_010560",519.547484245769,-0.102969487327853,0.826906572167706,0,1,1
"PBANKA_010570",297.382196225783,0.443697518329,1.1282127636936,0,1,1
"PBANKA_010580",387.481189161559,-0.532633043614874,1.11657970572049,0,1,1
"PBANKA_010590",149.760112009728,-0.00756146902782952,0.825380377346592,0,1,1
"PBANKA_010600",789.250775877404,-0.315583611772547,0.793015514752356,0,1,1
"PBANKA_010610",118.537502474569,-1.08797421530719,0.611169975019855,0,1,1
"PBANKA_010620",257.80203497904,1.03608051385752,0.817362651977147,0,1,1
"PBANKA_010640",422.437688037777,0.133932154665292,0.799472455761143,0,1,1
"PBANKA_010650",391.707091789981,-0.977654283740968,0.753827657669744,0,1,1
"PBANKA_010660",237.929037558469,-0.695089361531445,0.854438830936811,0,1,1
"PBANKA_010680",93.2538150985508,-0.757134724414467,0.742552404420699,0,1,1
"PBANKA_010690",269.890832810597,-1.30347903341501,0.704436937240232,0,1,1
"PBANKA_010700",733.774726638808,0.932395771677453,1.04616740101875,0,1,1
"PBANKA_010710",288.774746544788,-0.132054044701755,0.822313641268807,0,1,1
"PBANKA_010720",344.091789576559,1.3048226114899,0.936087019969413,0,1,1
"PBANKA_010730",557.173418925922,0.0541753179385316,0.792021763767376,0,1,1
"PBANKA_010740",244.101474732357,0.392519667851274,0.788285645592318,0,1,1
"PBANKA_010750",204.595248134404,-0.198038633965194,0.653384067493005,0,1,1
"PBANKA_010760",1645.15283507671,-0.797110140001652,0.772813735741914,0,1,1
"PBANKA_010770",693.385860749157,0.787801671635623,1.02329493749086,0,1,1
"PBANKA_010790",649.608923123743,0.489510911609114,0.622483708424379,0,1,1
"PBANKA_010800",257.387919178176,-0.168934802452655,0.774912901530972,0,1,1
"PBANKA_010810",211.31214976653,0.843549581959083,1.17132334075454,0,1,1
"PBANKA_010820",423.956480341202,0.247508578747312,1.02500303371444,0,1,1
"PBANKA_010830",228.975674491296,2.52737957521321,1.36155160796886,0.387337190986062,0.698506595786825,1
"PBANKA_010840",428.298804762481,-1.38248417391619,0.643366838005156,0,1,1
"PBANKA_010850",164.868215858205,-0.00360184341521196,0.785663296280852,0,1,1
"PBANKA_010860",301.283578701335,-0.348052343220883,0.520184548280729,0,1,1
"PBANKA_010870",680.855876463506,-0.453176078212713,0.761397463990026,0,1,1
"PBANKA_010880",572.654533324418,1.75452262147901,1.1641379016326,0,1,1
"PBANKA_010890",102.547638202666,0.154572095639536,1.03063964095775,0,1,1
"PBANKA_010910",805.445354787323,-0.197047364793085,0.817876667318681,0,1,1
"PBANKA_010920",710.304264734282,0.190937583661622,0.917874789940144,0,1,1
"PBANKA_010930",99.4925837730619,0.849534075736808,0.86580623169393,0,1,1
"PBANKA_010940",55.0637591023445,0.256943561442839,0.793689233735375,0,1,1
"PBANKA_010950",309.537027844052,-0.117199377769935,0.791106632039651,0,1,1
"PBANKA_010960",370.546512506797,0.0677042833495107,0.882601517864316,0,1,1
"PBANKA_010970",379.536169072878,0.443858127227307,0.852427069856727,0,1,1
"PBANKA_010980",256.252932879601,3.17531662374894,1.50876897506191,0.778990450609387,0.435985340021978,1
"PBANKA_010990",478.230923949824,2.71238410870632,1.41297343134091,0.504173746586491,0.614139287444806,1
"PBANKA_011020",159.250806357619,0.690337383641925,0.641136455101443,0,1,1
"PBANKA_011030",50.257591961385,2.26735142342155,1.26016006416167,0.212156718043119,0.83198477207361,1
"PBANKA_011040",323.810410822471,0.29455405247626,0.61342399944016,0,1,1
"PBANKA_011050",1069.92003407209,-0.278978524558987,1.05822414938995,0,1,1
"PBANKA_011070",50.9009006941465,-0.792917638382164,0.878974793809693,0,1,1
"PBANKA_011080",251.077314641652,2.1276561280323,1.09158351672474,0.116945818690385,0.906902989167998,1
"PBANKA_011090",374.602695258781,0.158771177111587,0.757512466819223,0,1,1
"PBANKA_011100",219.740051733041,1.00391241057157,1.30327877333328,0,1,1
"PBANKA_011110",378.049787271073,-0.167214583108353,0.813868071880182,0,1,1
"PBANKA_011120",894.677709995667,0.800706843236488,1.08445377148904,0,1,1
"PBANKA_011140",297.030340361456,0.825221641883009,0.678398400160948,0,1,1
"PBANKA_011160",364.936932797918,0.953122014459706,1.16772573971227,0,1,1
"PBANKA_011180",413.425775695657,-0.39741677508244,0.578077182028612,0,1,1
"PBANKA_011190",309.703850930637,-0.70868754742693,0.844813761914012,0,1,1
"PBANKA_011200",402.724750112492,0.0976200733726058,0.683306415964206,0,1,1
"PBANKA_011210",1247.29360255429,2.78831869220736,1.26135820543388,0.624976068504024,0.531986764980662,1
"PBANKA_011230",270.160093555038,-0.377621558236392,0.705470801788784,0,1,1
"PBANKA_011250",398.069774290493,0.717578199946069,1.11417488912753,0,1,1
"PBANKA_020130",183.496863825099,0.852213512247579,1.4724361062926,0,1,1
"PBANKA_020170",1363.77474722244,-0.646297389502756,1.29924296779202,0,1,1
"PBANKA_020180",142.956601146717,-0.511244005272484,0.863221755549259,0,1,1
"PBANKA_020190",134.469527276994,0.19568536580998,0.739253626992184,0,1,1
"PBANKA_020200",361.312661364898,0.0943084689551356,0.676179551180213,0,1,1
"PBANKA_020210",29.9265153840273,-0.110023601712552,0.951662383939999,0,1,1
"PBANKA_020220",80.7348255536976,-0.438130531045769,0.703244205138219,0,1,1
"PBANKA_020230",155.664529873999,0.541556422853167,0.700349302887061,0,1,1
"PBANKA_020240",206.755441158779,1.35083143235376,0.65036183406148,0,1,1
"PBANKA_020250",297.32712773759,0.481508124707216,0.738502396025399,0,1,1
"PBANKA_020260",64.8699915729511,0.085563021221619,1.07777568346157,0,1,1
"PBANKA_020270",332.374869862692,0.15568174842853,1.00506184874257,0,1,1
"PBANKA_020280",138.720579894011,-0.427632431507879,0.759835054504612,0,1,1
"PBANKA_020290",446.64767638811,0.738841428670854,0.748714079830321,0,1,1
"PBANKA_020300",930.566134139996,0.741107766123634,1.10237813942052,0,1,1
"PBANKA_020320",511.691600407708,0.0450330566763669,0.896128362963057,0,1,1
"PBANKA_020330",198.883817765773,0.489686085906516,0.694253566389194,0,1,1
"PBANKA_020340",517.83785534736,0.137394430580763,0.932139651588843,0,1,1
"PBANKA_020350",406.098147820141,-0.285463478834448,0.71841270175483,0,1,1
"PBANKA_020360",325.49628290564,-0.0120301891572228,0.882686632998062,0,1,1
"PBANKA_020370",679.205409690033,-1.02096413171185,0.70956379386462,0,1,1
"PBANKA_020390",186.892959349296,0.341446884276964,0.917610153531297,0,1,1
"PBANKA_020410",966.877410422951,0.133821352544332,0.91460976217369,0,1,1
"PBANKA_020420",143.341340686034,0.563578080897798,0.754030866557836,0,1,1
"PBANKA_020440",131.155664394597,0.472333021813326,0.851351611000771,0,1,1
"PBANKA_020460",3156.71545883248,3.61993052387826,1.82397038605316,0.888134224253268,0.374468554998228,1
"PBANKA_020470",296.009475996993,0.199974381386986,0.657289893169988,0,1,1
"PBANKA_020480",795.091041044072,0.560994409148803,0.656088758284737,0,1,1
"PBANKA_020490",338.860625049348,0.247709543763675,0.920043688533471,0,1,1
"PBANKA_020510",245.201745744686,1.03468270834642,0.778023483395572,0,1,1
"PBANKA_020520",1315.17574346672,0.29557253479946,0.751480068063768,0,1,1
"PBANKA_020530",110.454575686892,-0.535900814748314,0.68219608834691,0,1,1
"PBANKA_020540",313.523161859455,0.487210186374572,0.871022485847336,0,1,1
"PBANKA_020550",75.2371526722436,0.589127464240079,0.919695143252728,0,1,1
"PBANKA_020560",149.679563127744,-0.574229046406988,0.561597374011533,0,1,1
"PBANKA_020570",52.8515172732006,-2.31650344740173,1.22699046093842,-0.257951025275016,0.796444704511048,1
"PBANKA_020590",848.435548054156,0.405494627251219,0.841212772103979,0,1,1
"PBANKA_020600",146.880875074083,-0.00821703184277129,0.908975878225096,0,1,1
"PBANKA_020610",233.459326030386,-0.0703343691464653,0.727752884612467,0,1,1
"PBANKA_020620",204.558277629989,-1.44116527818426,0.617001347774907,0,1,1
"PBANKA_020630",464.84325671203,0.342345188517365,0.825058772719991,0,1,1
"PBANKA_020640",111.882959080163,-1.21856041354966,0.607361628478866,0,1,1
"PBANKA_020650",264.271368840231,0.469390553214122,1.01691177241361,0,1,1
"PBANKA_020660",682.422821969591,0.590215187857219,1.02628372776257,0,1,1
"PBANKA_020680",254.910515098169,-0.473440327076923,0.546868763455706,0,1,1
"PBANKA_020690",120.812590879013,0.414393295390226,0.903895463111771,0,1,1
"PBANKA_020700",507.441641718898,-0.211841710239656,0.772440013634034,0,1,1
"PBANKA_020710",66.2070858500638,0.944485003875605,0.964148826853352,0,1,1
"PBANKA_020720",163.08757030592,0.261365473108329,0.703993896016047,0,1,1
"PBANKA_020730",513.429077011055,0.187353813807559,0.916459771513295,0,1,1
"PBANKA_020740",104.672407333104,-0.726261282783483,0.553015173404072,0,1,1
"PBANKA_020750",315.409483886065,1.41141381968196,0.843619517838542,0,1,1
"PBANKA_020770",334.156478113322,-0.291630281147879,0.816266136450947,0,1,1
"PBANKA_020780",104.616873263794,-0.155828842602829,0.852673348413177,0,1,1
"PBANKA_020790",62.6087477234603,1.5032123874149,1.2206932159908,0,1,1
"PBANKA_020810",392.50234077167,0.438468873325534,0.693956867240922,0,1,1
