"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,-0.514063698037943,1.48788437550119,0,1,1
"PBANKA_010080",464.686995921719,-0.974249038855861,0.487718336207191,0,1,1
"PBANKA_010090",918.061686166002,1.12123717384842,0.596510963110922,0,1,1
"PBANKA_010100",208.357029211728,-0.481203468032188,0.371565074471032,0,1,1
"PBANKA_010110",105.291743326147,-0.53922457561152,0.495745946330339,0,1,1
"PBANKA_010120",191.338754446582,-0.343613755373643,0.401295109417691,0,1,1
"PBANKA_010130",115.649395130954,-0.651869635565774,0.425228945658404,0,1,1
"PBANKA_010140",440.920323520482,0.0906843754420992,0.291437985825205,0,1,1
"PBANKA_010150",251.270364955803,-2.12271332242866,0.498043371758459,-0.246390835391287,0.805379699905736,1
"PBANKA_010160",190.344133628196,0.327182318447506,0.376525527372371,0,1,1
"PBANKA_010170",256.792965388713,-1.50620924970319,0.325972521378749,0,1,1
"PBANKA_010180",550.74220224868,-1.86362587804327,0.353617828422337,0,1,1
"PBANKA_010190",194.714464579416,-0.402292629644429,0.403525453300176,0,1,1
"PBANKA_010200",141.825560804924,-0.0410122428938337,0.353180822780466,0,1,1
"PBANKA_010210",234.572536167893,-1.16235664125323,0.342973713577168,0,1,1
"PBANKA_010230",107.665175690093,-1.11813533800161,0.417019084873945,0,1,1
"PBANKA_010240",176.971718922185,-0.661011413682729,0.465581666990752,0,1,1
"PBANKA_010250",84.0747107519478,-0.399231219695179,0.278277939722307,0,1,1
"PBANKA_010260",645.040775265828,0.0296666239918579,0.320865701475517,0,1,1
"PBANKA_010270",97.4045750805531,-2.3941174103652,0.4790185469354,-0.822760231073794,0.410644356154217,1
"PBANKA_010280",239.833598421598,0.212407377889776,0.31994941598168,0,1,1
"PBANKA_010290",373.728416286429,1.03232832500099,0.68896198845068,0,1,1
"PBANKA_010300",128.74510505325,-0.877888886347824,0.431201699238426,0,1,1
"PBANKA_010310",126.093283120564,-0.0149138297983737,0.304628911519543,0,1,1
"PBANKA_010320",269.429106519927,-2.98451361899201,0.615144439699191,-1.60045926688932,0.109496736293874,1
"PBANKA_010330",1299.44964061188,0.818989773053797,0.388839750424491,0,1,1
"PBANKA_010340",197.57694170381,-1.60242798905002,0.38557811452689,0,1,1
"PBANKA_010350",138.10024568978,-0.288854105162805,0.461994702599946,0,1,1
"PBANKA_010360",38.2967645836935,-0.677150247432439,0.578245921381755,0,1,1
"PBANKA_010370",89.1147922168543,-1.05166426913447,0.419188791948855,0,1,1
"PBANKA_010380",174.312599726554,-0.679240775198439,0.485878152694915,0,1,1
"PBANKA_010390",473.737220297503,-1.05974248932628,0.28915093906897,0,1,1
"PBANKA_010400",352.969854183932,-2.27520921272928,0.391037723360859,-0.703791977827439,0.481562330297813,1
"PBANKA_010410",227.655209787489,-2.58512830204135,0.409184726888101,-1.42998568517285,0.152721127601203,1
"PBANKA_010420",165.200542600176,-2.80387994519719,0.577363244792529,-1.39232961648963,0.163822607049765,1
"PBANKA_010430",74.118296857888,-0.0363005602245048,0.420377138594745,0,1,1
"PBANKA_010440",267.118252012223,-0.888292331742935,0.496218896163032,0,1,1
"PBANKA_010450",894.531839124969,-3.55792468144994,0.523386906231034,-2.9766214303463,0.00291443640903494,0.342343473363701
"PBANKA_010460",563.974020003931,0.441712843810149,0.327566919491156,0,1,1
"PBANKA_010470",240.715767926568,-2.62424728868338,0.426160196355918,-1.46481838055571,0.142970475705495,1
"PBANKA_010480",502.770310339127,2.23849211355611,0.609649044940545,0.39119574702093,0.695652551722828,1
"PBANKA_010490",398.57115328437,0.508660739219208,0.240389101414998,0,1,1
"PBANKA_010500",317.788076031697,-1.32938031666668,0.377753430514593,0,1,1
"PBANKA_010510",227.856952515446,-3.77197259900473,0.644030014528235,-2.75138201486267,0.00593443930363658,0.584683567582099
"PBANKA_010520",271.597466159548,0.0811097397508994,0.390002467593778,0,1,1
"PBANKA_010530",850.132508951516,0.96277623149152,0.376635040428641,0,1,1
"PBANKA_010540",381.040276518993,0.151107219242773,0.275461546467572,0,1,1
"PBANKA_010550",361.182761661558,-0.499699076249323,0.405750512816131,0,1,1
"PBANKA_010560",519.547484245769,-0.261476157401737,0.400547546190525,0,1,1
"PBANKA_010570",297.382196225783,-1.17124408095512,0.543502547142827,0,1,1
"PBANKA_010580",387.481189161559,-0.378425148822987,0.540357037876462,0,1,1
"PBANKA_010590",149.760112009728,-0.480110860609737,0.399257928457689,0,1,1
"PBANKA_010600",789.250775877404,-0.352600817797178,0.383729046135479,0,1,1
"PBANKA_010610",118.537502474569,-0.465705546450163,0.296131357499558,0,1,1
"PBANKA_010620",257.80203497904,-1.65765074767301,0.393228159717258,0,1,1
"PBANKA_010640",422.437688037777,0.404085159989836,0.387822777070221,0,1,1
"PBANKA_010650",391.707091789981,0.334419466286466,0.366163176531082,0,1,1
"PBANKA_010660",237.929037558469,-0.267505478255933,0.414860366106669,0,1,1
"PBANKA_010680",93.2538150985508,-0.943597734891912,0.360551386416285,0,1,1
"PBANKA_010690",269.890832810597,0.700371799106748,0.341388973590928,0,1,1
"PBANKA_010700",733.774726638808,-0.721546388084708,0.507452081125947,0,1,1
"PBANKA_010710",288.774746544788,-1.010540995095,0.399174484434556,0,1,1
"PBANKA_010720",344.091789576559,-3.2906134594505,0.449312743225088,-2.87241677186074,0.00407345360459544,0.443577658310945
"PBANKA_010730",557.173418925922,-0.666461189252734,0.38379878239749,0,1,1
"PBANKA_010740",244.101474732357,-1.24929468480847,0.381855797265691,0,1,1
"PBANKA_010750",204.595248134404,0.48471932035961,0.316587675696235,0,1,1
"PBANKA_010760",1645.15283507671,2.18643000064986,0.373909007398658,0.498597244144722,0.618063146989685,1
"PBANKA_010770",693.385860749157,-0.154976221047482,0.495656842964912,0,1,1
"PBANKA_010790",649.608923123743,1.13014684887223,0.301104572559049,0,1,1
"PBANKA_010800",257.387919178176,0.0896414086201173,0.375269533730773,0,1,1
"PBANKA_010810",211.31214976653,-1.51457373133053,0.564003842814777,0,1,1
"PBANKA_010820",423.956480341202,1.08452007257291,0.496017253338259,0,1,1
"PBANKA_010830",228.975674491296,-1.1915018519458,0.652051145787135,0,1,1
"PBANKA_010840",428.298804762481,1.27646533039881,0.31146436035888,0,1,1
"PBANKA_010850",164.868215858205,-0.444018604712562,0.382492250274171,0,1,1
"PBANKA_010860",301.283578701335,0.136675429955794,0.25340235750605,0,1,1
"PBANKA_010870",680.855876463506,-0.268693081495745,0.368617130411972,0,1,1
"PBANKA_010880",572.654533324418,-1.26428596692984,0.561945014939356,0,1,1
"PBANKA_010890",102.547638202666,-0.827816951283778,0.502257600543787,0,1,1
"PBANKA_010910",805.445354787323,-0.767664074968597,0.396316412876859,0,1,1
"PBANKA_010920",710.304264734282,1.94267739714052,0.444423658561441,0,1,1
"PBANKA_010930",99.4925837730619,-0.0574279178547048,0.419303385349499,0,1,1
"PBANKA_010940",55.0637591023445,-0.540115288561693,0.387666942638248,0,1,1
"PBANKA_010950",309.537027844052,-0.719059880559412,0.383784686621352,0,1,1
"PBANKA_010960",370.546512506797,-0.562303026873005,0.428270545412234,0,1,1
"PBANKA_010970",379.536169072878,-0.0738203618738135,0.412843051817073,0,1,1
"PBANKA_010980",256.252932879601,-2.32783915867807,0.718694386796406,-0.456159342136259,0.648275399964483,1
"PBANKA_010990",478.230923949824,-0.855166456193359,0.681307086629393,0,1,1
"PBANKA_011020",159.250806357619,-0.300846831693171,0.311998741212996,0,1,1
"PBANKA_011030",50.257591961385,0.884649713647528,0.603926746175343,0,1,1
"PBANKA_011040",323.810410822471,0.381886771144285,0.298386767830744,0,1,1
"PBANKA_011050",1069.92003407209,0.578120652475462,0.511708170671197,0,1,1
"PBANKA_011070",50.9009006941465,-0.619325976430917,0.42014872793483,0,1,1
"PBANKA_011080",251.077314641652,-3.23170594161141,0.521074607295328,-2.36378039606394,0.0180895318854419,0.989305779675357
"PBANKA_011090",374.602695258781,-0.643857387337009,0.36717247579597,0,1,1
"PBANKA_011100",219.740051733041,1.5390361256162,0.629791964007858,0,1,1
"PBANKA_011110",378.049787271073,0.654692141015977,0.394502702948145,0,1,1
"PBANKA_011120",894.677709995667,1.35438723148125,0.524809408148374,0,1,1
"PBANKA_011140",297.030340361456,-1.40600476991975,0.328808238359365,0,1,1
"PBANKA_011160",364.936932797918,1.99872436817852,0.56322892145889,0,1,1
"PBANKA_011180",413.425775695657,1.00169581906438,0.280565472728023,0,1,1
"PBANKA_011190",309.703850930637,1.96457436401043,0.408980551230582,0,1,1
"PBANKA_011200",402.724750112492,0.96578254799033,0.331997167686329,0,1,1
"PBANKA_011210",1247.29360255429,2.96463500930985,0.609101246149175,1.5837022422929,0.113261494311861,1
"PBANKA_011230",270.160093555038,1.50835313359392,0.341404686208158,0,1,1
"PBANKA_011250",398.069774290493,1.94448912592697,0.539508012571246,0,1,1
"PBANKA_020130",183.496863825099,2.18500670474178,0.712672958273964,0.259595516560435,0.795175795066168,1
"PBANKA_020170",1363.77474722244,-0.850437700011492,0.618977680137251,0,1,1
"PBANKA_020180",142.956601146717,-0.909728311324579,0.418861754878414,0,1,1
"PBANKA_020190",134.469527276994,-1.4381300762342,0.359862343441268,0,1,1
"PBANKA_020200",361.312661364898,0.121804896944864,0.327826028705407,0,1,1
