"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,-1.2441099623996,1.34896132374853,0,1,1
"PBANKA_010080",464.686995921719,0.380928698348816,0.444756441258603,0,1,1
"PBANKA_010090",918.061686166002,1.38145581832475,0.543787153294264,0,1,1
"PBANKA_010100",208.357029211728,1.23521428953935,0.345608578850241,0,1,1
"PBANKA_010110",105.291743326147,0.480441613896668,0.45614600962061,0,1,1
"PBANKA_010120",191.338754446582,-0.727121518405889,0.365725230058007,0,1,1
"PBANKA_010130",115.649395130954,-0.0805301678661073,0.389935676290815,0,1,1
"PBANKA_010140",440.920323520482,0.342101586197789,0.265920200575176,0,1,1
"PBANKA_010150",251.270364955803,-2.31743072849045,0.453912540418648,-0.699321345468192,0.48435123019424,1
"PBANKA_010160",190.344133628196,2.27458030400813,0.351003682835552,0.782271860482948,0.434054820515297,1
"PBANKA_010170",256.792965388713,0.0604091624269246,0.298547049559134,0,1,1
"PBANKA_010180",550.74220224868,-2.5300080467892,0.322220272673397,-1.64486251095199,0.0999981674992247,0.43703999839503
"PBANKA_010190",194.714464579416,0.243674128186482,0.369013352165609,0,1,1
"PBANKA_010200",141.825560804924,0.403584225262938,0.323728512615721,0,1,1
"PBANKA_010210",234.572536167893,-1.82996357888722,0.312435906582164,0,1,1
"PBANKA_010230",107.665175690093,-0.807237276349835,0.380970349679661,0,1,1
"PBANKA_010240",176.971718922185,1.40869857073367,0.426140910339778,0,1,1
"PBANKA_010250",84.0747107519478,0.927363283568774,0.259102890684856,0,1,1
"PBANKA_010260",645.040775265828,-0.706072521101134,0.292325534531717,0,1,1
"PBANKA_010270",97.4045750805531,0.226220294861099,0.438899012113696,0,1,1
"PBANKA_010280",239.833598421598,1.21926380429501,0.292843683678692,0,1,1
"PBANKA_010290",373.728416286429,2.28717358098176,0.628325484708047,0.457045890976703,0.647638060857311,1
"PBANKA_010300",128.74510505325,-3.27704883182844,0.3911461713599,-3.26488899888377,0.00109506981517279,0.00806298735798041
"PBANKA_010310",126.093283120564,0.173274246641194,0.278556943790472,0,1,1
"PBANKA_010320",269.429106519927,-4.1495833977405,0.560525142411878,-3.83494554497784,0.000125592116558238,0.0011176347920817
"PBANKA_010330",1299.44964061188,2.26061061582767,0.354752113862429,0.734627379637653,0.462566458520048,1
"PBANKA_010340",197.57694170381,-2.67286698688387,0.351086543402318,-1.91652741903245,0.0552979965828979,0.262950245168124
"PBANKA_010350",138.10024568978,-1.9056851873061,0.420262799975663,0,1,1
"PBANKA_010360",38.2967645836935,0.0355649527342313,0.529297844077517,0,1,1
"PBANKA_010370",89.1147922168543,-2.25576877258642,0.38090987055841,-0.671467957003751,0.50192246573285,1
"PBANKA_010380",174.312599726554,-3.24303919410919,0.440684560598395,-2.82070057644248,0.00479189065086028,0.0300437022928179
"PBANKA_010390",473.737220297503,-1.59862716344531,0.26347054265821,0,1,1
"PBANKA_010400",352.969854183932,-2.94280086685873,0.356339604309636,-2.64579310145806,0.00814996475033856,0.0488054329043429
"PBANKA_010410",227.655209787489,-1.03453141670524,0.373860021249476,0,1,1
"PBANKA_010420",165.200542600176,-5.17434326105418,0.525778442689948,-6.03741614968814,1.56601489170608e-09,3.19220178417723e-08
"PBANKA_010430",74.118296857888,0.571255673563608,0.384647055365981,0,1,1
"PBANKA_010440",267.118252012223,3.31600425413242,0.456448450741234,2.88313883417797,0.00393733865024791,0.0250657035918859
"PBANKA_010450",894.531839124969,-6.79702361951659,0.476842036414774,-10.0599847605381,8.30111962825965e-24,8.55641088766548e-22
"PBANKA_010460",563.974020003931,0.509603823981453,0.298619835237192,0,1,1
"PBANKA_010470",240.715767926568,-1.58729452653016,0.388867461419542,0,1,1
"PBANKA_010480",502.770310339127,4.02482687026907,0.557178435428844,3.63407257265909,0.00027898233367274,0.00232279456084064
"PBANKA_010490",398.57115328437,0.054809668064548,0.219024231549988,0,1,1
"PBANKA_010500",317.788076031697,-3.94512540502053,0.3432601885094,-5.66662103597623,1.45640964182706e-08,2.63171314317921e-07
"PBANKA_010510",227.856952515446,-4.79068541931742,0.586921030893453,-4.75478858726401,1.98654188196694e-06,2.49857456157423e-05
"PBANKA_010520",271.597466159548,-1.25728006887318,0.354915891681848,0,1,1
"PBANKA_010530",850.132508951516,-1.46780986511742,0.342806017976782,0,1,1
"PBANKA_010540",381.040276518993,0.565312085967004,0.251609445520481,0,1,1
"PBANKA_010550",361.182761661558,-3.55487034281495,0.367634609770841,-4.22939054564027,2.34325250614959e-05,0.000246100986559569
"PBANKA_010560",519.547484245769,0.646275867013298,0.365690810828035,0,1,1
"PBANKA_010570",297.382196225783,-3.29989474608905,0.494849509522008,-2.62684860968067,0.00861796662084538,0.0510904668725762
"PBANKA_010580",387.481189161559,-1.27385813174965,0.492123924528004,0,1,1
"PBANKA_010590",149.760112009728,-0.223880151754549,0.364794615676744,0,1,1
"PBANKA_010600",789.250775877404,-0.823564534837756,0.349655119895744,0,1,1
"PBANKA_010610",118.537502474569,-0.451938244730181,0.270574464990933,0,1,1
"PBANKA_010620",257.80203497904,1.0370180323251,0.360023471974059,0,1,1
"PBANKA_010640",422.437688037777,-3.58259958659691,0.351854898855704,-4.49787566335957,6.86358152043883e-06,7.95560233377476e-05
"PBANKA_010650",391.707091789981,-3.21239174129583,0.332376027754771,-3.64765097376499,0.000264648808281533,0.00222133218796954
"PBANKA_010660",237.929037558469,-1.88907638667984,0.37721613139576,0,1,1
"PBANKA_010680",93.2538150985508,-1.84796606282982,0.328087138607692,0,1,1
"PBANKA_010690",269.890832810597,1.8098789265528,0.312837670756326,0,1,1
"PBANKA_010700",733.774726638808,-6.52053252287646,0.460702993583035,-9.8122490755244,9.97207590602801e-23,8.59676043732165e-21
"PBANKA_010710",288.774746544788,-0.944460160872412,0.364203325595171,0,1,1
"PBANKA_010720",344.091789576559,-5.0627184083891,0.409365597184424,-7.4816213904006,7.34111849367022e-14,2.43020386614459e-12
"PBANKA_010730",557.173418925922,-0.244780808858819,0.350176336899954,0,1,1
"PBANKA_010740",244.101474732357,-0.52354724203551,0.348687054880239,0,1,1
"PBANKA_010750",204.595248134404,0.682247805255246,0.289264142649914,0,1,1
"PBANKA_010760",1645.15283507671,4.74084532251603,0.342474836364899,8.00305608320876,1.21368627405628e-15,4.8993340260726e-14
"PBANKA_010770",693.385860749157,-3.39461059609942,0.451024490428572,-3.09209505402742,0.00198749196227011,0.0137070695664562
"PBANKA_010790",649.608923123743,-0.918926652778647,0.273730360674665,0,1,1
"PBANKA_010800",257.387919178176,0.851099117151169,0.343661796912235,0,1,1
"PBANKA_010810",211.31214976653,0.0253960722617499,0.514851232259099,0,1,1
"PBANKA_010820",423.956480341202,2.85250813877787,0.453444640538965,1.8800710440961,0.0600983961728657,0.282920549901386
"PBANKA_010830",228.975674491296,-2.17026590130422,0.594097611344193,-0.286595835521003,0.774421803505172,1
"PBANKA_010840",428.298804762481,2.37384823622677,0.284961209561189,1.3119267594437,0.189544847665876,0.760016065543987
"PBANKA_010850",164.868215858205,-2.51584642687029,0.347131226484154,-1.48602714914165,0.137271940018187,0.577854819730678
"PBANKA_010860",301.283578701335,-0.913434059567177,0.230372053527138,0,1,1
"PBANKA_010870",680.855876463506,-1.47358172291683,0.335760011580107,0,1,1
"PBANKA_010880",572.654533324418,-1.25127229586016,0.51214701943111,0,1,1
"PBANKA_010890",102.547638202666,-0.116153720604162,0.461095931000976,0,1,1
"PBANKA_010910",805.445354787323,-2.81407132255254,0.360793828476617,-2.25633383472718,0.0240497319476465,0.128079524838303
"PBANKA_010920",710.304264734282,1.02256839810188,0.404796124444025,0,1,1
"PBANKA_010930",99.4925837730619,-0.555067132161912,0.382014739637714,0,1,1
"PBANKA_010940",55.0637591023445,-0.0920504085839639,0.357007357209695,0,1,1
"PBANKA_010950",309.537027844052,-0.963054439976124,0.349898620970136,0,1,1
"PBANKA_010960",370.546512506797,-3.40446023620557,0.389263924445818,-3.6079897159878,0.000308578718251419,0.00254870007210454
"PBANKA_010970",379.536169072878,-0.113643793738743,0.376407756504381,0,1,1
"PBANKA_010980",256.252932879601,-3.35365385945964,0.65487090865556,-2.06705450122784,0.038729018694547,0.192389771138098
"PBANKA_010990",478.230923949824,-0.618951574250292,0.620893244879928,0,1,1
"PBANKA_011020",159.250806357619,-1.79067645145766,0.283156433001091,0,1,1
"PBANKA_011030",50.257591961385,2.36975190545323,0.561474793329346,0.658536963450723,0.510193153386768,1
"PBANKA_011040",323.810410822471,-0.857193015548127,0.271209439533099,0,1,1
"PBANKA_011050",1069.92003407209,0.627503720432261,0.466333210534158,0,1,1
"PBANKA_011070",50.9009006941465,-0.161106575851087,0.384490947344366,0,1,1
"PBANKA_011080",251.077314641652,-4.59288533221925,0.474796294830311,-5.46104794930197,4.73332173182384e-08,7.74169380485654e-07
"PBANKA_011090",374.602695258781,-4.04192948269885,0.333408834605013,-6.12440124784907,9.10252469644973e-10,1.93160242020046e-08
"PBANKA_011100",219.740051733041,-1.1104091372298,0.572584984900262,0,1,1
"PBANKA_011110",378.049787271073,-3.21605184113831,0.357409003910762,-3.40240964226501,0.000667944382066113,0.00520518616382218
"PBANKA_011120",894.677709995667,-0.0279440836586696,0.478005553232428,0,1,1
"PBANKA_011140",297.030340361456,-3.5862841117765,0.298828721607878,-5.30833884789031,1.10628835175915e-07,1.71453977512336e-06
"PBANKA_011160",364.936932797918,0.2908720376623,0.512811227321259,0,1,1
"PBANKA_011180",413.425775695657,0.894842584352537,0.255989074796087,0,1,1
"PBANKA_011190",309.703850930637,1.02588329155237,0.372209124401743,0,1,1
"PBANKA_011200",402.724750112492,-2.35560573019963,0.300931494551896,-1.18168332872287,0.237331375711748,0.92127320140264
"PBANKA_011210",1247.29360255429,4.95873307545395,0.555994407075743,5.32151589620375,1.02906116985872e-07,1.60084778980278e-06
