"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,1.10338802498932,2.76273259658542,0,1,1
"PBANKA_010080",464.686995921719,1.95295425517734,0.896573918611209,0,1,1
"PBANKA_010090",918.061686166002,1.2612499072584,1.09537770594155,0,1,1
"PBANKA_010100",208.357029211728,-1.5352198379864,0.678113556068732,0,1,1
"PBANKA_010110",105.291743326147,1.28475622223636,0.91271079797128,0,1,1
"PBANKA_010120",191.338754446582,-0.620304342727465,0.73520341181058,0,1,1
"PBANKA_010130",115.649395130954,-1.02272171903881,0.776652564277079,0,1,1
"PBANKA_010140",440.920323520482,0.395095348848628,0.534653644295544,0,1,1
"PBANKA_010150",251.270364955803,1.82238082949517,0.91751394427162,0,1,1
"PBANKA_010160",190.344133628196,0.861359624980389,0.689750020084527,0,1,1
"PBANKA_010170",256.792965388713,0.652560090025486,0.599417121774312,0,1,1
"PBANKA_010180",550.74220224868,-0.225590341993321,0.649530334613741,0,1,1
"PBANKA_010190",194.714464579416,0.154789553268237,0.739953361847244,0,1,1
"PBANKA_010200",141.825560804924,-0.104490230096699,0.645345813666246,0,1,1
"PBANKA_010210",234.572536167893,0.261021112731378,0.629760464141644,0,1,1
"PBANKA_010230",107.665175690093,-0.947453745245228,0.763739330217734,0,1,1
"PBANKA_010240",176.971718922185,1.68931936936116,0.856199849962021,0,1,1
"PBANKA_010250",84.0747107519478,0.374051961095706,0.509086386637617,0,1,1
"PBANKA_010260",645.040775265828,2.83830833614315,0.590689388037386,1.41920331246934,0.155839750528091,1
"PBANKA_010270",97.4045750805531,2.01853103422009,0.885229443009978,0.0209335945233368,0.983298627936313,1
"PBANKA_010280",239.833598421598,0.390017530702821,0.586750883557873,0,1,1
"PBANKA_010290",373.728416286429,5.43978082898116,1.26987255485986,2.70876066721575,0.00675350374861692,0.258759245479415
"PBANKA_010300",128.74510505325,0.653114311357004,0.792258875498026,0,1,1
"PBANKA_010310",126.093283120564,0.291201087608207,0.557372496133316,0,1,1
