"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,1.68323989996455,1.79826862985211,0,1,1
"PBANKA_010080",464.686995921719,-0.826842805855587,0.606611026782694,0,1,1
"PBANKA_010090",918.061686166002,0.661978668762546,0.738831459494388,0,1,1
"PBANKA_010100",208.357029211728,1.85434098977785,0.474150663055005,0,1,1
"PBANKA_010110",105.291743326147,1.7442869060214,0.622875916462534,0,1,1
"PBANKA_010120",191.338754446582,0.2032267132713,0.499614779634667,0,1,1
"PBANKA_010130",115.649395130954,0.338224305171455,0.542129666324369,0,1,1
"PBANKA_010140",440.920323520482,0.930415005510468,0.362200867103123,0,1,1
"PBANKA_010150",251.270364955803,-4.22121470292527,0.638482516421741,-3.47889667421696,0.000503482674527222,0.00332813307858409
"PBANKA_010160",190.344133628196,5.02445597198483,0.470826250345176,6.42371993865576,1.32983770792811e-10,3.3968323675349e-09
"PBANKA_010170",256.792965388713,-0.174887594767284,0.41354485337962,0,1,1
"PBANKA_010180",550.74220224868,-0.309084161851427,0.437792107584064,0,1,1
"PBANKA_010190",194.714464579416,0.577005637608725,0.506202179823227,0,1,1
"PBANKA_010200",141.825560804924,1.12281145208062,0.444688442562401,0,1,1
"PBANKA_010210",234.572536167893,-0.398247793193706,0.427663673833732,0,1,1
"PBANKA_010230",107.665175690093,-0.24190709237911,0.526622744236833,0,1,1
"PBANKA_010240",176.971718922185,-0.7533008813308,0.59413632857663,0,1,1
"PBANKA_010250",84.0747107519478,-1.47735994459541,0.421910364482282,0,1,1
"PBANKA_010260",645.040775265828,-3.17686930543982,0.406270685698497,-2.89676156037801,0.00377036197333561,0.0205016528852336
"PBANKA_010270",97.4045750805531,-2.88928795133342,0.670594371926915,-1.32611902002414,0.184800276979763,0.613503786142364
"PBANKA_010280",239.833598421598,-1.48243326840215,0.421150289680179,0,1,1
"PBANKA_010290",373.728416286429,-2.63111844104181,0.873515674501847,-0.722503853639173,0.469984756939583,1
"PBANKA_010300",128.74510505325,-0.177793389795508,0.53181931007052,0,1,1
"PBANKA_010310",126.093283120564,-0.416091672198215,0.392210758417301,0,1,1
"PBANKA_010320",269.429106519927,-7.94156751662089,0.881129386886488,-6.74312717864932,1.55013407024665e-11,4.78690655423927e-10
"PBANKA_010330",1299.44964061188,0.696309752420008,0.482417141524946,0,1,1
"PBANKA_010340",197.57694170381,0.581061714934133,0.476620817223354,0,1,1
"PBANKA_010350",138.10024568978,-2.58218144329673,0.585073754218057,-0.99505650202137,0.31970878473615,0.957968827833591
