"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,-4.03073788735346,3.00778403684559,-0.675160803593864,0.499573606438451,1
"PBANKA_010080",464.686995921719,-0.74518275097294,0.986921191031532,0,1,1
"PBANKA_010090",918.061686166002,-0.541772757696191,1.20416766943984,0,1,1
"PBANKA_010100",208.357029211728,0.916093137747895,0.751805530988419,0,1,1
"PBANKA_010110",105.291743326147,-2.54860151436109,1.00645229690706,-0.545084467537114,0.585695424888216,1
"PBANKA_010120",191.338754446582,-0.310043888949724,0.810175314895672,0,1,1
"PBANKA_010130",115.649395130954,0.603967246001243,0.863159283714606,0,1,1
"PBANKA_010140",440.920323520482,-0.983408768161307,0.588498457444719,0,1,1
"PBANKA_010150",251.270364955803,0.0814031449396529,1.02149653320981,0,1,1
"PBANKA_010160",190.344133628196,-3.61123529295709,0.757778901036815,-2.12626043131123,0.0334815807750987,0.234412525391383
"PBANKA_010170",256.792965388713,-0.417263332831277,0.66422126647112,0,1,1
"PBANKA_010180",550.74220224868,-1.99533354294445,0.713950755251791,0,1,1
"PBANKA_010190",194.714464579416,-0.48812106269048,0.817068400129568,0,1,1
"PBANKA_010200",141.825560804924,-0.614736996720986,0.71373586170566,0,1,1
"PBANKA_010210",234.572536167893,-1.69273689842489,0.694174520125186,0,1,1
"PBANKA_010230",107.665175690093,0.382123561274503,0.845866935122707,0,1,1
"PBANKA_010240",176.971718922185,0.472680082703307,0.951041578767304,0,1,1
"PBANKA_010250",84.0747107519478,2.03067126706848,0.608311595118868,0.050420322930864,0.95978744162526,1
"PBANKA_010260",645.040775265828,-0.367511551804458,0.654611033407355,0,1,1
"PBANKA_010270",97.4045750805531,1.09697721197443,1.02014490911698,0,1,1
"PBANKA_010280",239.833598421598,2.31167954199434,0.660217193643976,0.472086375506322,0.63686513691395,1
"PBANKA_010290",373.728416286429,-0.5214888069576,1.40741359395604,0,1,1
"PBANKA_010300",128.74510505325,-3.75236975338994,0.870350835582827,-2.01340618259586,0.0440719157219051,0.288103613360574
"PBANKA_010310",126.093283120564,0.298164831231202,0.622012385351178,0,1,1
"PBANKA_010320",269.429106519927,0.598618212775928,1.33071978173507,0,1,1
"PBANKA_010330",1299.44964061188,1.70377855750077,0.785326496074762,0,1,1
"PBANKA_010340",197.57694170381,-2.52360645662015,0.776973041827633,-0.673905564842375,0.500371353974854,1
"PBANKA_010350",138.10024568978,-0.439672201621555,0.941274156233026,0,1,1
"PBANKA_010360",38.2967645836935,0.471896825446268,1.19751119646783,0,1,1
"PBANKA_010370",89.1147922168543,-0.109844579026759,0.848217659704122,0,1,1
"PBANKA_010380",174.312599726554,-1.04134368876907,0.975054674567043,0,1,1
"PBANKA_010390",473.737220297503,-1.70676534345167,0.583156104568184,0,1,1
"PBANKA_010400",352.969854183932,-4.38488619596719,0.78890890863876,-3.02301846240049,0.00250266974332883,0.0319631092527614
"PBANKA_010410",227.655209787489,-3.80372991191209,0.830521066417398,-2.17180512914958,0.029870364648921,0.214962728551713
"PBANKA_010420",165.200542600176,1.13531193236965,1.23734369136415,0,1,1
"PBANKA_010430",74.118296857888,1.24288745178989,0.873680938412455,0,1,1
