"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_010270",97.4045750805531,4.88389651354469,0.443215401697349,6.50676060105412,7.67886368799339e-11,6.61982040435764e-09
"PBANKA_010320",269.429106519927,4.72445021412719,0.563879162948865,4.83162066120583,1.35426102655559e-06,4.75883054094565e-05
"PBANKA_010420",165.200542600176,5.37206588637543,0.544267403892568,6.19560506886619,5.80615449266977e-10,4.14239091218405e-08
"PBANKA_010450",894.531839124969,4.88162946772585,0.481463381509078,5.98514773583361,2.16193538627098e-09,1.29653458382454e-07
"PBANKA_010510",227.856952515446,6.22817508749852,0.597813875657453,7.07272825149555,1.51916810342696e-12,1.88761192998286e-10
"PBANKA_010720",344.091789576559,4.28336434372436,0.413393401618464,5.52346586758479,3.32376885862614e-08,1.56292676556761e-06
"PBANKA_010980",256.252932879601,4.91458582537132,0.658127034846467,4.42860674467089,9.4843775263343e-06,0.000286469738715119
"PBANKA_011080",251.077314641652,6.52507525050813,0.492124247098571,9.19498536637186,3.75045643019895e-20,2.21705552973761e-17
"PBANKA_020270",332.374869862692,4.52538968710206,0.44256459959629,5.70626229347249,1.15483994599766e-08,5.97340962067291e-07
"PBANKA_020360",325.49628290564,3.68094762414356,0.391900507283819,4.28922033246107,1.79301431833131e-05,0.000515242586753817
"PBANKA_021390",60.1987452961376,5.63039416222079,0.503865236976559,7.20508956721236,5.80057084253282e-13,8.00092071546694e-11
"PBANKA_030100",709.527845887998,3.95500998724623,0.497709029437972,3.92801792134228,8.56488300074854e-05,0.00213502926849985
"PBANKA_030130",768.169101341298,3.70293062325347,0.451928017687442,3.76814571481434,0.000164464694889394,0.00384494297995657
"PBANKA_030140",100.858903655241,3.95788852491908,0.469252792302373,4.17235348843161,3.01469448805952e-05,0.000820710907341467
"PBANKA_030160",1344.07184422851,3.7318690134522,0.479893017368087,3.60886479022016,0.000307539837295247,0.00652615306014222
"PBANKA_030220",198.5959176613,3.50100221926929,0.401533330211384,3.73817590305417,0.000185360243957242,0.00421439939283004
"PBANKA_030290",69.9789269275497,6.1526041976228,0.527022985952398,7.87936068882938,3.29060343511439e-15,8.00971589088432e-13
"PBANKA_031200",1650.0445322686,4.43684366341716,0.541690113467414,4.49859357376613,6.84044871458477e-06,0.000216074631915662
"PBANKA_031270",862.358019427344,4.55676389581709,0.517695213935028,4.93874354445542,7.86275357400922e-07,3.06944097068397e-05
"PBANKA_031480",118.560823454943,3.78530358736618,0.424253908124322,4.2081016890551,2.57524978996067e-05,0.00071626589300213
"PBANKA_031560",1992.34492365954,-3.75431495628068,0.378008270506152,-4.64094331568897,3.46822262896533e-06,0.000113900835227449
"PBANKA_040250",310.544463660534,3.86339130772326,0.486761791813983,3.82813799082111,0.000129116364572812,0.00310629951512962
"PBANKA_040270",2133.95634284353,5.15508430144831,0.670072241087043,4.70857335670239,2.49456590731664e-06,8.61906299205657e-05
"PBANKA_041580",135.170702189292,3.61682201862854,0.401858261949563,4.02336388652242,5.73727476766081e-05,0.00151215560436818
"PBANKA_041720",887.497286171245,7.13501294245702,0.609235901975515,8.42861184937751,3.49789735977004e-17,1.44742992747284e-14
"PBANKA_050440",1266.087351845,6.60995590136707,0.609735835126067,7.56057891925268,4.0127932580147e-14,6.64197540066594e-12
"PBANKA_050780",237.924494798499,4.35802866979789,0.37516701328365,6.2852771867101,3.27269235380607e-10,2.5078520296388e-08
"PBANKA_050790",92.9359019527651,4.28701808557557,0.535749858767674,4.26881696401403,1.96512436072504e-05,0.000560805834805531
"PBANKA_051060",104.96840859858,4.13785907177136,0.472788436765137,4.52180913390944,6.13133341512489e-06,0.000195165059013744
"PBANKA_051490",21924.7440650626,8.83167498227293,0.644140137622173,10.6058830730404,2.79808055738715e-26,3.859485782156e-23
"PBANKA_051500",12484.3969776812,7.53162958768243,0.572719396202095,9.65853369794112,4.52291102201741e-22,3.74316116182161e-19
"PBANKA_051760",837.0287962452,5.03027957657616,0.578156331835164,5.24128061861321,1.59465987866563e-07,6.80278616280245e-06
"PBANKA_051850",231.26965891895,3.45588365224711,0.415566404284377,3.50337187327307,0.000459407608975792,0.00902710415713856
"PBANKA_052270",1458.85720644239,5.12825369334708,0.520797895538487,6.00665578748657,1.8938899666022e-09,1.18451004329688e-07
"PBANKA_060060",876.180689133035,7.24216966275019,0.530232036342408,9.88655777744246,4.76118199214942e-23,4.92544277087857e-20
"PBANKA_060070",78.9949205999556,4.29849720814711,0.525415714049626,4.37462593273337,1.21640884730546e-05,0.000362122288500001
"PBANKA_060290",109.438721536833,4.84746609860809,0.40541825724022,7.02352705571643,2.16336233337309e-12,2.49063726115593e-10
"PBANKA_060580",412.408235428528,4.07187787824305,0.492901610299694,4.20343093824203,2.62899389417445e-05,0.000725251782272926
"PBANKA_060620",1033.05096048359,6.00908364744348,0.534069412701846,7.50667151515306,6.06496589233762e-14,9.29512180092336e-12
"PBANKA_060860",1820.57695284934,6.950764092293,0.579104257987806,8.54900309228473,1.24156191423022e-17,5.70842577898292e-15
"PBANKA_061160",2195.78911188117,3.5865886694353,0.450796597035871,3.51952228536687,0.000432324714423782,0.00860076763598851
"PBANKA_061240",2835.75378047682,6.45490826783935,0.568216204787175,7.84016406133284,4.4995815380118e-15,1.03440380023849e-12
"PBANKA_061520",438.081455099409,4.27240586370233,0.466721407729666,4.86887000696258,1.12238207214717e-06,4.14680090584375e-05
"PBANKA_061530",902.1555302688,3.91335764912681,0.441652244757317,4.33227198964691,1.47578467113784e-05,0.000430056124589324
"PBANKA_061920",23538.3886180671,6.13274464297076,0.51704535562114,7.99300215743354,1.31691823567109e-15,3.8924340422907e-13
"PBANKA_062200",433.264186338023,5.62884383194954,0.480523528583624,7.55185462540367,4.29103308286712e-14,6.82934419111699e-12
"PBANKA_070350",666.10718320926,4.63352450434934,0.545106270228606,4.83121300961167,1.35703722530591e-06,4.75883054094565e-05
"PBANKA_070480",1313.48392443155,7.95793895716163,0.629796401809038,9.46010320168223,3.07639424876172e-21,2.121686566896e-18
"PBANKA_070490",721.147638629658,6.92384181896604,0.56110164576324,8.77531166793919,1.70431188320836e-18,8.81555321589526e-16
"PBANKA_070550",88.0930678883619,4.36247474946948,0.434830701778648,5.43309094736394,5.53861601095417e-08,2.51854868717894e-06
"PBANKA_070710",5473.03255883622,6.69385608219575,0.592500690967901,7.92211073125995,2.33512210592959e-15,6.03920954646041e-13
"PBANKA_070720",129.705941229662,3.83124426385075,0.411979614745867,4.44498756323263,8.78969519740128e-06,0.000273471870126665
"PBANKA_070810",182.604711122035,3.44161560172159,0.395914385394303,3.64123066729653,0.000271337888820206,0.00584789679134381
"PBANKA_071400",1462.1147052889,3.94375671929547,0.542731923168493,3.5814306038011,0.000341717909857925,0.00710717785142748
"PBANKA_071650",268.097496480087,4.15678722374246,0.355392182449825,6.06875257884144,1.2890755943871e-09,8.20645355319049e-08
"PBANKA_071980",302.302116164418,3.94744576077652,0.471011446804816,4.13460389123734,3.55567377684183e-05,0.000955414161595552
"PBANKA_072000",156.276577897666,3.89756513247729,0.324603502055345,5.84579377752294,5.04158316867422e-09,2.93831988055971e-07
"PBANKA_080150",165.980007981524,3.89706205301602,0.474398304391626,3.99888034053755,6.36428442619418e-05,0.00165631502865356
