"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_010100",208.357029211728,3.36774220342544,0.308683500529793,4.43088859974046,9.38455640824821e-06,8.72658301513059e-05
"PBANKA_010150",251.270364955803,-3.56100818639605,0.40550054561953,-3.84958344263413,0.000118318872109508,0.000936144345677143
"PBANKA_010320",269.429106519927,-5.88951999287568,0.503731478046537,-7.72141540163258,1.15044948920582e-14,2.55944085286757e-13
"PBANKA_010420",165.200542600176,-7.74252920223242,0.489205097903329,-11.7384901074093,8.09181701788702e-32,6.20072941111417e-30
"PBANKA_010450",894.531839124969,-8.12072840579249,0.430408446200031,-14.2207441787699,6.81246132662229e-46,1.34237928426491e-43
"PBANKA_010510",227.856952515446,-7.2468879078112,0.535801271307922,-9.79260070623432,1.21139196962809e-22,4.64142589844539e-21
"PBANKA_010640",422.437688037777,-3.47293118799147,0.313260297606363,-4.70194020514636,2.57700974542187e-06,2.55111634606595e-05
"PBANKA_010650",391.707091789981,-3.56068411247659,0.296423579977222,-5.26504710791403,1.40153414859828e-07,1.64293153169963e-06
"PBANKA_010700",733.774726638808,-5.6797849104899,0.409990595262125,-8.97529102621794,2.82603691588027e-19,8.53586916635952e-18
"PBANKA_010720",344.091789576559,-6.05546929266296,0.369584007367687,-10.9730648832656,5.14966589590805e-28,2.81768532339904e-26
"PBANKA_010760",1645.15283507671,3.0867329841441,0.304064998720294,3.574015387229,0.000351548256792614,0.00265457424563474
"PBANKA_010830",228.975674491296,-3.83608953248965,0.529432735806927,-3.46803174097499,0.000524285358557681,0.00386718861624186
"PBANKA_010980",256.252932879601,-5.94040052615289,0.587763015611693,-6.70406340904602,2.02702234451073e-11,3.35512738463415e-10
"PBANKA_011080",251.077314641652,-7.88625464111597,0.442830699281755,-13.2923364406829,2.56443674009662e-40,3.65918594155856e-38
"PBANKA_011090",374.602695258781,-3.03418747757939,0.296562657132976,-3.48724781325274,0.00048801893207126,0.00361256232721087
"PBANKA_020170",1363.77474722244,-10.5809622738859,0.514078293062432,-16.6919365973769,1.50024361250527e-62,8.86858295506688e-60
"PBANKA_020190",134.469527276994,-3.22492893079078,0.293267139390108,-4.17683663208295,2.95591162200634e-05,0.000256965594366854
"PBANKA_020340",517.83785534736,-6.00406544519425,0.366870571161242,-10.9141091162486,9.86921418549516e-28,5.23574465379218e-26
"PBANKA_020350",406.098147820141,-3.03255247672852,0.282032128353066,-3.66111649320995,0.000251118539205108,0.00190665782611145
"PBANKA_020360",325.49628290564,-5.71083138059455,0.350174773820791,-10.5970836794019,3.07417371539359e-26,1.49658009815279e-24
"PBANKA_020410",966.877410422951,-4.32604875113044,0.357727627710163,-6.50228992940697,7.91064475802528e-11,1.23993363669351e-09
"PBANKA_020460",3156.71545883248,-7.02872107022851,0.703882251240241,-7.14426462859079,9.04789472098484e-13,1.7660466205394e-11
"PBANKA_020770",334.156478113322,-3.05051800226487,0.320507697393829,-3.27766855775082,0.00104668217324652,0.0073534309556776
"PBANKA_020910",1416.887871892,-3.68558516104559,0.437241801499027,-3.85504120435599,0.000115710138883006,0.000917257767620457
"PBANKA_020930",647.999149162305,-4.03802223275882,0.404334216071318,-5.0404396950649,4.64463472467895e-07,5.15268056051515e-06
"PBANKA_020970",991.78904499717,-4.21356664747027,0.414391063036828,-5.3417335577856,9.20619025875337e-08,1.09784482105825e-06
"PBANKA_021050",765.362230173222,2.87960792713346,0.256274558229283,3.43228736091117,0.000598513019901115,0.0043757011949661
"PBANKA_021090",176.332843840816,3.05514504688909,0.293976836621848,3.58921151412469,0.000331679651569426,0.00250912321424915
"PBANKA_030130",768.169101341298,-3.37672720096972,0.402862676112599,-3.41736100810919,0.000632313718604156,0.00461466343489242
"PBANKA_030140",100.858903655241,-4.02434689460413,0.420306621652574,-4.81635736940032,1.46202582759262e-06,1.493793302365e-05
"PBANKA_030160",1344.07184422851,-4.93670325734714,0.427687996496379,-6.86646172304254,6.58138241440325e-12,1.14427564835297e-10
"PBANKA_030210",371.868992764,-3.55621765023281,0.321801041407005,-4.83596213184578,1.32503147359158e-06,1.3589490710927e-05
"PBANKA_030220",198.5959176613,-5.92113171834914,0.359143061704152,-10.9180216366792,9.45324684785501e-28,5.0801994099252e-26
"PBANKA_030350",208.065243157498,-4.42019429452759,0.370953321743233,-6.52425562104227,6.83400739637349e-11,1.07525181012143e-09
"PBANKA_030390",693.948057173109,-4.89375616445472,0.429770984770968,-6.73325158513633,1.65912813619482e-11,2.786624942129e-10
"PBANKA_030510",2676.84915300785,4.25872301749383,0.639613438763565,3.53138767981512,0.000413385384938747,0.00308770527595042
"PBANKA_030630",441.456540979942,-3.94269076276483,0.366508658753813,-5.30053169649604,1.15465916484254e-07,1.3612477561591e-06
"PBANKA_030690",398.13204490854,-3.49107388993645,0.340663977341984,-4.37696377988213,1.20343963302379e-05,0.000110417587615353
"PBANKA_030760",199.078639914194,-3.55714592542411,0.382827526657133,-4.06748683675171,4.75228921236103e-05,0.000393299455214999
"PBANKA_030840",179.67980083802,-4.09086772750782,0.423130190093109,-4.94142884734301,7.75521183439834e-07,8.24963150918775e-06
"PBANKA_031060",1179.06477136274,-4.39800568873955,0.344795599213707,-6.95486164616982,3.52908206109842e-12,6.32179288693735e-11
"PBANKA_031070",282.530614091803,-4.48868949760426,0.413888557527383,-6.01294588203157,1.82181870011443e-09,2.51289526035783e-08
"PBANKA_031140",1262.02539314935,-4.60312227170651,0.518805160276425,-5.01753350008998,5.23390772517002e-07,5.73351869763909e-06
"PBANKA_031150",1872.86978118992,-7.43118085840455,0.547379340961334,-9.9221516998907,3.33488149506606e-23,1.32689804101763e-21
"PBANKA_031180",2378.95705556659,4.27437411717754,0.53177860110772,4.27691921495131,1.89497530281058e-05,0.000166131521250639
"PBANKA_031200",1650.0445322686,-9.35440891528215,0.484019669402029,-15.1944422514233,3.84925878504538e-52,1.06188219016785e-49
"PBANKA_031270",862.358019427344,-4.9867820964879,0.461622864943359,-6.47017798144463,9.78875492531182e-11,1.5114129806321e-09
"PBANKA_031280",358.871497118317,-3.44660451827812,0.314661165565941,-4.59734049378576,4.27917994808384e-06,4.13720715541377e-05
