"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_010550",361.182761661558,3.09620143301431,0.275934370385344,3.97268898210637,7.10658140243416e-05,0.00192343703203587
"PBANKA_011210",1247.29360255429,-3.96872226469242,0.415531554086915,-4.73784059316138,2.16007617284627e-06,8.79534606434522e-05
"PBANKA_020820",684.194408362222,2.80603974205202,0.231274993288321,3.48520058563861,0.000491768245675023,0.00962339069327539
"PBANKA_020990",401.226040168832,3.09075952871909,0.314008544413406,3.47366193731039,0.000513407450584776,0.00985622908041238
"PBANKA_030100",709.527845887998,-3.81265149908298,0.375120429070522,-4.83218550259818,1.35042335622715e-06,6.02580800305684e-05
"PBANKA_030700",1985.5169555791,3.32190419314545,0.307975713343352,4.2922351856742,1.7688344717997e-05,0.000561604944796405
"PBANKA_031140",1262.02539314935,-3.5858115034259,0.438401178364522,-3.61726104236729,0.000297736989365533,0.00638394505769474
"PBANKA_031450",1120.79469619475,4.02822885129404,0.316611857001663,6.40604199255678,1.49345846685325e-10,3.52242846967817e-08
"PBANKA_031560",1992.34492365954,3.65400406505139,0.283617029022968,5.83182212559404,5.48253466755075e-09,5.32450866830959e-07
"PBANKA_040320",12716.63402268,4.46511023483886,0.549569942930013,4.48552593996718,7.27342965069301e-06,0.000250175674026962
"PBANKA_040540",1469.80371205654,3.63431340781158,0.318930236277872,5.12436019514833,2.98549772632926e-07,1.76037740934629e-05
"PBANKA_041460",1747.84965973397,3.28859428436363,0.301995790899309,4.2669279612353,1.98183119799052e-05,0.000617359114694782
"PBANKA_050360",965.1808949029,3.45129809736873,0.287702200330392,5.04444559583517,4.54838220216016e-07,2.34668094242701e-05
"PBANKA_050440",1266.087351845,-4.66737820732653,0.461653789119179,-5.77787569428554,7.56496639122799e-09,6.93875528439856e-07
"PBANKA_050970",731.537931339653,-3.47165087141566,0.31657455101603,-4.64867080026638,3.34080915592989e-06,0.000128271532940471
"PBANKA_051090",2059.21137370603,3.39758994102422,0.292985309371569,4.77017070931625,1.84069859444153e-06,7.79229071646914e-05
"PBANKA_051490",21924.7440650626,-4.28709924306426,0.486959234367282,-4.69669549656645,2.64404166494118e-06,0.000103936018781378
"PBANKA_051500",12484.3969776812,-3.69610836352686,0.432425420976578,-3.9223141870254,8.77025243351509e-05,0.0022983629790053
"PBANKA_060060",876.180689133035,-4.17357685761213,0.401247758406317,-5.4170442378175,6.05923529486896e-08,4.76371308182317e-06
"PBANKA_060320",1604.88895056841,3.64195118743569,0.323377412743945,5.07750734197324,3.82418733944948e-07,2.04215867142927e-05
"PBANKA_061240",2835.75378047682,-4.11368896973193,0.428609315396434,-4.93150497155413,8.15984907531259e-07,3.84911737809745e-05
"PBANKA_061720",1974.81830781142,3.83853070627355,0.294618697241399,6.2403734843995,4.3652734150794e-10,7.36575199075138e-08
"PBANKA_061910",2159.47110865114,3.71733767302859,0.333313052118478,5.15232650540836,2.5727459699671e-07,1.63369369092911e-05
"PBANKA_070390",1935.68567489017,3.51518553200747,0.281265505641601,5.38702934279533,7.16317433841135e-08,5.37563674214415e-06
"PBANKA_070480",1313.48392443155,-4.84302960133172,0.477582670970457,-5.95295804086575,2.63338830129231e-09,2.717327553396e-07
"PBANKA_070710",5473.03255883622,-3.92720234592134,0.448593079207036,-4.29610360759019,1.73826364342069e-05,0.000561604944796405
"PBANKA_070770",2666.1818290016,-4.46352196437773,0.546133881427715,-4.51083891359667,6.4571743986271e-06,0.000231756411568116
"PBANKA_070910",1000.56925910681,3.05329203747129,0.294469540418984,3.57691337437693,0.000347675325385752,0.00708656743471453
"PBANKA_071190",19020.6503409163,3.36061666342279,0.354583400228983,3.83722605893037,0.000124431918658453,0.00306622533888219
"PBANKA_072070",440.433691037412,-3.55750589927762,0.346930263360013,-4.48939185700667,7.14267974767272e-06,0.000250175674026962
"PBANKA_080180",989.68747539195,-3.80117390964106,0.460296917735122,-3.91306967360045,9.11302268637753e-05,0.00235087507112645
