"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_010150",251.270364955803,4.22121470292527,0.638482516421741,3.47889667421696,0.000503482674527222,0.00332813307858409
"PBANKA_010160",190.344133628196,-5.02445597198483,0.470826250345176,-6.42371993865576,1.32983770792811e-10,3.3968323675349e-09
"PBANKA_010320",269.429106519927,7.94156751662089,0.881129386886488,6.74312717864932,1.55013407024665e-11,4.78690655423927e-10
"PBANKA_010420",165.200542600176,7.23396128246188,0.818600958047385,6.39378836661331,1.6182537043018e-10,4.10818026282261e-09
"PBANKA_010450",894.531839124969,7.03745675453434,0.666688608787877,7.55593644189161,4.15856892422119e-14,2.02448920099145e-12
"PBANKA_010460",563.974020003931,3.58582510478767,0.429146921869635,3.69529646834892,0.000219630360270108,0.00159724153040019
"PBANKA_010470",240.715767926568,4.18863401703044,0.581476557643334,3.7639247674932,0.000167267224888886,0.00124937143788846
"PBANKA_010510",227.856952515446,6.92324266308254,0.869383530738445,5.66291226945694,1.48825258972002e-08,2.54478893233945e-07
"PBANKA_010600",789.250775877404,-3.93059327764786,0.473652856648197,-4.07596671391301,4.58235739426052e-05,0.000383066563584849
"PBANKA_010650",391.707091789981,5.82573034965417,0.490093532043187,7.80612291230371,5.89740686176904e-15,3.2537959458667e-13
"PBANKA_010700",733.774726638808,7.86725364595289,0.668080728821003,8.7822524926099,1.60232887689148e-18,1.70011202373768e-16
"PBANKA_010720",344.091789576559,5.94795992342828,0.588450279476006,6.70907986813056,1.95855454642196e-11,5.91569249130955e-10
"PBANKA_010800",257.387919178176,-4.05000464996438,0.464546182515511,-4.41291894567648,1.01986186082529e-05,9.8602532245211e-05
"PBANKA_010830",228.975674491296,5.62638202098634,0.848782570505371,4.27245109289552,1.93335966325617e-05,0.000174677779182403
"PBANKA_010850",164.868215858205,3.99002750108515,0.515305053639443,3.86184355660824,0.000112534622144328,0.000863948546258308
"PBANKA_010870",680.855876463506,3.61753759065728,0.466194080687488,3.46966565571131,0.000521106607655001,0.00341733620043803
"PBANKA_010960",370.546512506797,4.19058617789882,0.546827782815936,4.00598917380937,6.17584777572755e-05,0.000498160976529446
"PBANKA_010990",478.230923949824,4.70874790100451,0.860416455266388,3.14818235335338,0.00164289170460432,0.00975363826922912
"PBANKA_011020",159.250806357619,3.55290440069166,0.434194857453592,3.57651495413585,0.000348205406069414,0.00241352423838398
"PBANKA_011080",251.077314641652,8.69654364576499,0.834023148157575,8.02920597654657,9.81055280591292e-16,6.2455488478258e-14
"PBANKA_011090",374.602695258781,4.15185090235304,0.465875638885572,4.61893845211677,3.85708235713522e-06,4.05091542990496e-05
"PBANKA_011180",413.425775695657,-3.10888926173584,0.346762935318661,-3.19783099285631,0.00138465405126323,0.00829189358050254
"PBANKA_020170",1363.77474722244,14.4138861682036,1.04433290295431,11.8869051555171,1.38441959410733e-32,8.18389754345159e-30
"PBANKA_020190",134.469527276994,6.67887970410874,0.594164625037022,7.8747194076342,3.41508409017772e-15,1.99036872748668e-13
"PBANKA_020200",361.312661364898,3.6414842040268,0.42373758853215,3.87382249876152,0.00010714146198197,0.00082560776476982
"PBANKA_020350",406.098147820141,3.43344133519225,0.438696301839167,3.26750266456034,0.00108500845076606,0.00673128181299846
"PBANKA_020360",325.49628290564,5.78307617100497,0.559842952009766,6.75738822365129,1.40501356455889e-11,4.43812681690435e-10
