"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_010320",269.429106519927,7.34294930384496,1.17431210809976,4.54985456335861,5.36830064476481e-06,9.65827307305946e-05
"PBANKA_010420",165.200542600176,6.09864935009223,1.09459022352364,3.74446003811188,0.00018078214678782,0.00211321051810169
"PBANKA_010450",894.531839124969,9.74538233581325,1.00600373342311,7.69915863975793,1.36965044388748e-14,2.46417979861147e-12
"PBANKA_010510",227.856952515446,6.63031509647021,1.22360014835725,3.78417336961477,0.000154220296534042,0.00185512670656357
"PBANKA_010570",297.382196225783,5.43829951152278,1.02964076626688,3.33931952207843,0.000839839031889637,0.00831400457885004
"PBANKA_010700",733.774726638808,6.43072714511867,0.955043127682532,4.63929535399107,3.49599125982909e-06,6.57564174235126e-05
"PBANKA_010720",344.091789576559,6.7167129187953,0.854945422537317,5.51697546352957,3.44883563563525e-08,1.08941082902738e-06
"PBANKA_010830",228.975674491296,6.79708498015473,1.24466653556916,3.85411260210441,0.000116150133887341,0.00143471419112184
"PBANKA_010980",256.252932879601,8.13301184531048,1.38064257512538,4.44214306860233,8.90673037864326e-06,0.000149821342710674
"PBANKA_011080",251.077314641652,7.30325519180502,0.998100594628177,5.31334739238448,1.07629574940498e-07,3.0092647371877e-06
"PBANKA_011110",378.049787271073,4.53427014842747,0.742448439723662,3.41339548019081,0.000641587633689348,0.00657150898070921
"PBANKA_020170",1363.77474722244,10.8297557890592,1.17938104595452,7.48677097986846,7.05887180761352e-14,1.04320041213946e-11
"PBANKA_020240",206.755441158779,4.13974617051863,0.594271605467666,3.60061990314133,0.000317459386386715,0.00347525645732335
"PBANKA_020340",517.83785534736,6.35152415668713,0.850482947104957,5.11653310804139,3.1120268034041e-07,8.08565761494897e-06
"PBANKA_020360",325.49628290564,4.99348942459193,0.805387826669504,3.71682973775605,0.000201738296691225,0.00233182422264886
"PBANKA_020410",966.877410422951,4.85592984088694,0.83484161089542,3.42092416527223,0.000624087318044196,0.00642406299021613
"PBANKA_020460",3156.71545883248,12.5883999374441,1.66848807471193,6.34610465482183,2.20835035839613e-10,1.32437011348452e-08
"PBANKA_020730",513.429077011055,4.80886936007277,0.836409179571993,3.35824788712879,0.000784382370127807,0.00784003441446586
"PBANKA_020910",1416.887871892,10.2091599094221,1.08393393195008,7.57348733852551,3.63336137626915e-14,6.0139397500007e-12
"PBANKA_020930",647.999149162305,7.76437382542739,0.951894195495491,6.05568754668879,1.39819165069714e-09,6.50080567481432e-08
"PBANKA_020970",991.78904499717,5.40910549297604,0.967618354353961,3.52319225615781,0.000426381943483221,0.00452402174906043
"PBANKA_021380",193.141799604722,4.01914303011931,0.572001479092969,3.52996120450789,0.000415620606759203,0.00442117755981897
"PBANKA_030160",1344.07184422851,6.95436272752456,0.99994557414709,4.95463238761811,7.24671633251395e-07,1.64763253757927e-05
"PBANKA_030220",198.5959176613,5.34777030421553,0.819991836371302,4.08268735824295,4.45178954016435e-05,0.000618171312657721
"PBANKA_030350",208.065243157498,5.34595846933655,0.861418601744804,3.88424218209278,0.000102649551240914,0.00129107551074439
"PBANKA_030390",693.948057173109,6.0962757801392,1.00214659370183,4.08750157500208,4.36043717016601e-05,0.00060752488249653
"PBANKA_030660",1350.04340388508,9.10738973935837,1.34775884745496,5.27348772577498,1.33855210230392e-07,3.64403197324581e-06
"PBANKA_031060",1179.06477136274,6.27179088262623,0.805888141541083,5.30072433434419,1.1534413813779e-07,3.2033157289542e-06
"PBANKA_031070",282.530614091803,5.97288076588291,0.964907453552716,4.11736975526002,3.8322097294132e-05,0.000544937589701437
"PBANKA_031130",100.256068842555,5.39562211488756,0.957738873602151,3.54545712665529,0.000391932739967469,0.00419074335396741
"PBANKA_031140",1262.02539314935,7.50292800535985,1.21622789798091,4.52458623461558,6.05137759089396e-06,0.000107011113124441
"PBANKA_031150",1872.86978118992,10.8352230254339,1.28910538840184,6.8537631639158,7.19321358859722e-12,6.76489041582166e-10
"PBANKA_031190",309.953340114742,4.30323572362761,0.570050592718975,4.04040580440737,5.33587932523873e-05,0.000719213962470289
"PBANKA_031200",1650.0445322686,11.5293396169958,1.14111956033142,8.35086869795495,6.77627176253547e-17,2.15693942718244e-14
"PBANKA_031330",1416.42056888768,5.38048888598261,0.992081731437699,3.40747014974633,0.000655680798890859,0.00666635662361272
"PBANKA_031350",157.960569524593,6.59109513984393,1.00973517811953,4.54683093085269,5.44597108554099e-06,9.75559668916391e-05
"PBANKA_031360",113.893912395382,6.63299079813782,1.05128375790915,4.40698409281253,1.04819882824469e-05,0.000172806643477152
"PBANKA_040250",310.544463660534,7.78693355348907,1.02460003292601,5.64799274597228,1.62332025296669e-08,5.59774933898014e-07
"PBANKA_040270",2133.95634284353,9.08492673081418,1.39749543684521,5.06973156692956,3.98377168285372e-07,9.87116600218485e-06
"PBANKA_040310",691.322745709531,6.15508993816255,0.840239087412231,4.94512811937778,7.60938021969055e-07,1.72063471852893e-05
"PBANKA_040560",160.538859147049,5.25984398611945,0.805680458953791,4.04607552521814,5.20834353803865e-05,0.000708951498697497
"PBANKA_040690",718.521267082572,8.99195092756318,1.14548572506009,6.10391799268941,1.03499404872001e-09,5.03859455718047e-08
"PBANKA_040730",98.6217339299708,5.28464959033409,0.919387324778945,3.57265050518707,0.000353386257991747,0.00382804276327186
"PBANKA_040740",537.184221652533,4.78575697032912,0.83289204238449,3.34467953656246,0.000823776933656582,0.00817455384045788
"PBANKA_040820",4867.74888017605,11.2900097907701,1.21670865779204,7.63536096441416,2.25188606536371e-14,3.88262689103126e-12
"PBANKA_041290",11944.0880815035,11.8365515616928,1.36497951022007,7.20637305398594,5.74618429106706e-13,7.43053456138609e-11
"PBANKA_041430",843.824960402316,6.75727908902614,0.767501595123771,6.19839635415867,5.70413488994494e-10,2.98781141450534e-08
"PBANKA_041720",887.497286171245,8.3404708307907,1.25968342058885,5.03338436241926,4.81895550825851e-07,1.1593510403008e-05
"PBANKA_041760",464.060337805212,6.65599910155353,1.2686359891166,3.67008278300199,0.000242471930398837,0.00276404641319666
"PBANKA_050180",919.805615437553,8.31480353579414,1.06305566089618,5.94023790858763,2.84608737177272e-09,1.22678224420786e-07
"PBANKA_050350",759.344303400601,5.59376132800769,0.961283111174537,3.73850459477715,0.000185118110179089,0.00215674254189967
"PBANKA_050380",505.642606842531,6.21950936863205,0.745726719144924,5.65825155557023,1.52922882716009e-08,5.34724921347316e-07
