"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_060290",109.438721536833,-4.76671484531237,0.607457680271983,-4.55458040150814,5.24902460292538e-06,0.00543011595172631
"PBANKA_071450",332.987944329959,-5.25985664064783,0.735741564965665,-4.43070881933925,9.39238444278932e-06,0.0055522409748946
"PBANKA_081820",84.5680544854133,-4.46936615564276,0.580566506681511,-4.25337343305857,2.1057397833849e-05,0.0091532569714556
"PBANKA_091050",19.0046359139256,-7.86506217106531,1.33967769013158,-4.37796509882109,1.19792527366738e-05,0.0061962684780445
"PBANKA_093460",379.044430139601,-5.7615803699485,0.848804836162204,-4.43161986088127,9.3527798788365e-06,0.0055522409748946
"PBANKA_100220",309.540023629215,-8.90274744436692,1.43533955262064,-4.80913901645355,1.51581765448291e-06,0.00313622672712515
"PBANKA_100230",1521.42266022642,-5.79522782100982,0.830090822476658,-4.57206334324524,4.8294488665593e-06,0.00543011595172631
"PBANKA_101700",270.112670150483,-5.3393518461785,0.787148337532746,-4.24234122966635,2.21200023476452e-05,0.0091532569714556
"PBANKA_141150",344.554737078864,-5.78860651384293,0.777865689422899,-4.87051500710066,1.11307746492269e-06,0.00313622672712515
"PBANKA_143590",691.014607203684,-6.05399475875084,0.902943922865388,-4.48975252625429,7.13059678852546e-06,0.0055522409748946
