"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_010320",269.429106519927,-5.22012571868256,0.810163171073114,-3.97466317114525,7.04789292369523e-05,0.000828527866995764
"PBANKA_010420",165.200542600176,-5.52598984856014,0.760001759208557,-4.6394495878957,3.49338335853512e-06,5.25658921367939e-05
"PBANKA_010450",894.531839124969,-7.41679382974759,0.689350560645356,-7.85782175135464,3.90870987911001e-15,2.52722523121207e-13
"PBANKA_010510",227.856952515446,-5.01030457426427,0.847673398190269,-3.55125521302318,0.000383398448528301,0.00375059758867638
"PBANKA_010570",297.382196225783,-4.99460199319378,0.71591908969476,-4.18287769707407,2.87842258102946e-05,0.000367359377935972
"PBANKA_010640",422.437688037777,-4.09779973958777,0.508204746866031,-4.12786333170707,3.66149614229029e-05,0.000457742327395686
"PBANKA_010700",733.774726638808,-5.49833137344122,0.664549698171144,-5.26421332079256,1.40790900946526e-07,2.85584680449374e-06
"PBANKA_010720",344.091789576559,-5.41189030730539,0.591566139326781,-5.76755510582168,8.04297902993036e-09,2.04183111815042e-07
"PBANKA_011080",251.077314641652,-5.17559906377272,0.686221517870999,-4.62765882600856,3.6982259452382e-06,5.52464222433057e-05
"PBANKA_011090",374.602695258781,-4.07599487571372,0.481390748125068,-4.3124943381221,1.61423017463132e-05,0.000217579298456821
"PBANKA_011110",378.049787271073,-4.70148473153582,0.517204664793517,-5.2232412339404,1.75818099189957e-07,3.4480345708438e-06
"PBANKA_020170",1363.77474722244,-11.4760531785619,0.82472043122983,-11.4900187017692,1.4807986966661e-30,6.12754500680431e-28
"PBANKA_020340",517.83785534736,-6.21412972610636,0.591917267510267,-7.11945732523045,1.08352828357096e-12,4.92707696419412e-11
"PBANKA_020360",325.49628290564,-5.00551961374915,0.560876000274501,-5.35861689977501,8.38614672873053e-08,1.77958334171728e-06
"PBANKA_020410",966.877410422951,-4.72210848834261,0.58167181955519,-4.67980121578562,2.87153194485918e-06,4.41724876870903e-05
"PBANKA_020460",3156.71545883248,-8.96846941356586,1.14682959459945,-6.07629018851724,1.22994747844932e-09,3.46226031688658e-08
"PBANKA_020730",513.429077011055,-4.62151554626521,0.58242643534201,-4.50102431344109,6.76267688456962e-06,9.7505076475084e-05
"PBANKA_020910",1416.887871892,-7.17551449958111,0.714777022538079,-7.24073989004787,4.46243519326241e-13,2.30819460371498e-11
"PBANKA_020930",647.999149162305,-5.35196031797421,0.657725757164686,-5.09628866052592,3.46376845249182e-07,6.48555378118152e-06
"PBANKA_020970",991.78904499717,-6.4984396101903,0.675081900244152,-6.66354646534499,2.6729748381932e-11,1.01474953031591e-09
"PBANKA_030160",1344.07184422851,-5.2460010187642,0.695395886519555,-4.66784616027912,3.04373660335451e-06,4.64759485781585e-05
"PBANKA_030220",198.5959176613,-4.83019962367085,0.569543162610205,-4.96924519416598,6.72140323000367e-07,1.16373081865084e-05
"PBANKA_030350",208.065243157498,-4.51859204883234,0.597894296441412,-4.21243698731141,2.52630202683803e-05,0.000326682430845492
"PBANKA_030390",693.948057173109,-5.36562992778044,0.697148946939777,-4.82770567545758,1.38115015324122e-06,2.24125464082829e-05
"PBANKA_030660",1350.04340388508,-7.01579689154159,0.929526841113441,-5.39607536833835,6.81143436661872e-08,1.46800601088897e-06
"PBANKA_030840",179.67980083802,-5.84630695380479,0.687324583792037,-5.5960561349113,2.19282727552858e-08,5.21489612996395e-07
"PBANKA_031060",1179.06477136274,-5.41411058827438,0.560818743876882,-6.08772553619194,1.14525981097486e-09,3.24594869713284e-08
"PBANKA_031070",282.530614091803,-4.96514996559989,0.669311277003763,-4.43015091404656,9.41671660414121e-06,0.000131643153067352
"PBANKA_031140",1262.02539314935,-5.67467224078499,0.843696709472953,-4.35544218618622,1.32798564707582e-05,0.00018196041747019
"PBANKA_031150",1872.86978118992,-8.74543895919523,0.889833217412116,-7.580565466878,3.44052102197821e-14,2.00519380125997e-12
"PBANKA_031200",1650.0445322686,-8.60601390914133,0.775946517229352,-8.51349128124089,1.68773190940343e-17,1.42527237573702e-15
"PBANKA_031280",358.871497118317,-3.92709892019073,0.509976302304195,-3.77880091973614,0.000157585341845235,0.00170934084476765
"PBANKA_031330",1416.42056888768,-4.8215540266108,0.691189550467664,-4.08217112758969,4.46169234876186e-05,0.000552768950274748
"PBANKA_031350",157.960569524593,-4.70763986093078,0.691826727172375,-3.91375434712881,9.08720849342169e-05,0.00103875328027014
"PBANKA_031440",239.779767425792,-3.81525784743787,0.533105675452155,-3.40506194367234,0.000661490472550802,0.00610992762369469
"PBANKA_040250",310.544463660534,-4.99075612986223,0.701351766669819,-4.26427403763882,2.00553184535901e-05,0.000266845362575421
"PBANKA_040270",2133.95634284353,-5.4205049503842,0.970745608427008,-3.52358529432522,0.000425750040108523,0.00409710154876528
"PBANKA_040310",691.322745709531,-6.1628966067249,0.5851928652809,-7.11371729511202,1.1295841387698e-12,5.0806730067711e-11
"PBANKA_040320",12716.63402268,-6.08992497984674,1.06628854572,-3.83566436708279,0.000125225324137987,0.00139296341742739
"PBANKA_040560",160.538859147049,-3.93368530242001,0.555416673682558,-3.48150387635857,0.000498606564553635,0.00471999875037346
"PBANKA_040690",718.521267082572,-8.57200259807973,0.794056482440317,-8.27649259644914,1.26856392872138e-16,9.90437271141335e-15
"PBANKA_040730",98.6217339299708,-4.18407359076299,0.630732128994581,-3.46275937178674,0.000534666318143805,0.00501689166548541
