"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_030950",874.641741763682,-5.11697433104815,0.608121363094244,-5.12557939946125,2.96624126621212e-07,0.000245486127191715
"PBANKA_050180",919.805615437553,-4.80420439360351,0.691101999392057,-4.05758396889358,4.95829925357902e-05,0.00892062709187391
"PBANKA_050970",731.537931339653,-4.64616673477229,0.575069668862757,-4.60147157474899,4.19516416207898e-06,0.00144663244189023
"PBANKA_072070",440.433691037412,-5.51798086433629,0.630548130047124,-5.57924240307139,2.41568400540804e-08,9.99610041437846e-05
"PBANKA_080960",504.433217421363,-3.96331722560499,0.460658370758163,-4.26198100421733,2.02622670461449e-05,0.00441290847562882
"PBANKA_081840",341.830923646049,-4.9369196816437,0.650823149010899,-4.51262326195242,6.40306995332789e-06,0.00189256453334792
"PBANKA_081960",613.397860376718,-5.14876830239019,0.595678949787011,-5.28601573635606,1.25009144868337e-07,0.000172429280488393
"PBANKA_082370",791.578577260551,-4.07871987636047,0.424055953734234,-4.90199431951203,9.48685803587085e-07,0.000436184650582595
"PBANKA_091050",19.0046359139256,-7.1892215836243,1.24392635567847,-4.17164694673098,3.0240593865019e-05,0.00595883701968802
"PBANKA_093460",379.044430139601,-5.46066474695196,0.765620169122452,-4.52008043481736,6.18161404494498e-06,0.00189256453334792
"PBANKA_100220",309.540023629215,-8.32949107140732,1.3307772252636,-4.75623639422712,1.97235494597415e-06,0.000816160476644103
"PBANKA_100230",1521.42266022642,-5.72486699422681,0.749156557498897,-4.97208087807774,6.62380592514698e-07,0.000390765066833242
"PBANKA_113590",337.193005700549,-4.43931877348553,0.560656093385196,-4.35082897031784,1.35623810745511e-05,0.00350757080540578
"PBANKA_122050",754.874053844644,-3.64102023277715,0.392824919257485,-4.17748506352141,2.94750012869332e-05,0.00595883701968802
"PBANKA_122060",1043.24963491824,-4.89222824092107,0.531642331367663,-5.44017673212881,5.32277415101963e-08,0.000110128197184596
"PBANKA_122700",424.175683759881,-3.85073922995167,0.430948206123323,-4.29457462324847,1.75028602975721e-05,0.00402371310618629
"PBANKA_122760",667.195279647643,-4.00408248902455,0.390525183066961,-5.13176249809458,2.87041552972166e-07,0.000245486127191715
"PBANKA_134090",547.028606239698,-4.20411914159904,0.478652502606007,-4.60484198786969,4.12779159562743e-06,0.00144663244189023
"PBANKA_140230",1020.7966983939,-4.02278797130991,0.496771720328627,-4.07186618830031,4.66379707053399e-05,0.00877217830812256
"PBANKA_141150",344.554737078864,-5.51811182430854,0.702717499018365,-5.00643833293327,5.5446414083993e-07,0.000382395435799272
"PBANKA_143590",691.014607203684,-5.60714792759657,0.817824325351928,-4.41066353222538,1.03054343655115e-05,0.00284292582696577
"PBANKA_144450",413.841033054134,-4.047888708856,0.475027444917997,-4.31109556040393,1.624476780347e-05,0.00395416759827993
"PBANKA_145270",140.133023960775,-4.79136148913778,0.564306574760949,-4.94653369991348,7.55466538101966e-07,0.000390765066833242
