"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_011210",1247.29360255429,6.65467364935337,1.12120102323158,4.1515067797008,3.30293478512169e-05,0.00997384431208249
"PBANKA_031360",113.893912395382,6.63701894590852,1.02647355601631,4.51742659976995,6.25957156084831e-06,0.00518042142375806
"PBANKA_050180",919.805615437553,6.58224207472191,1.03562161194414,4.42462963487196,9.66078782701592e-06,0.00591249761831183
"PBANKA_070770",2666.1818290016,8.11550274278902,1.47482194491609,4.14660411303884,3.37442775179205e-05,0.00997384431208249
"PBANKA_082550",783.96050660408,6.29972184060958,1.02611235745852,4.19030314697617,2.78582012383025e-05,0.00997384431208249
"PBANKA_083100",6270.8927209057,8.70131797992052,1.51711890662956,4.41713431335993,1.00018084408368e-05,0.00591249761831183
"PBANKA_091510",57.5691515399419,6.126079732078,0.976716820880436,4.22443808058784,2.39537697484455e-05,0.00991206992190677
"PBANKA_122060",1043.24963491824,5.28142095587268,0.787393051264389,4.16744972616078,3.08026417802422e-05,0.00997384431208249
"PBANKA_122700",424.175683759881,4.70680714744426,0.640227856194998,4.22788093528351,2.35902562540477e-05,0.00991206992190677
"PBANKA_134350",334.341001672598,6.59429431048023,0.854721985616766,5.37519145148115,7.65013511725757e-08,0.000158281295576059
"PBANKA_135140",215.414911773006,5.81520036495592,0.888524179222938,4.29386217524493,1.7559150212996e-05,0.00908247044767217
"PBANKA_140640",229.026322507402,6.30696843527239,0.926224705677071,4.65002542997813,3.31894103359283e-06,0.00343344449925178
"PBANKA_144330",619.001367458539,6.63956230986676,0.835217045750975,5.55491812992772,2.77741906329158e-08,0.000114929600839006
"PBANKA_145300",740.326333502993,5.6493956004419,0.755489961174413,4.83050177763963,1.36189398485764e-06,0.00187850576978031
