"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_010270",97.4045750805531,-5.50962565655972,0.697512062403415,-5.03163435549289,4.86316112799287e-07,1.49064894426922e-05
"PBANKA_010320",269.429106519927,-6.7764977378724,0.91684391726348,-5.20971743165281,1.8912844872794e-07,7.31414505454408e-06
"PBANKA_010420",165.200542600176,-4.8634979666049,0.852650291179911,-3.35834983723789,0.00078409309973264,0.00787518749197491
"PBANKA_010460",563.974020003931,-3.65371608495897,0.449770312061229,-3.6768013375099,0.000236176826524282,0.00290863008380202
"PBANKA_010470",240.715767926568,-5.22558677918365,0.60704983772502,-5.31354524576081,1.0751272511242e-07,4.58647068572366e-06
"PBANKA_010510",227.856952515446,-5.90452984276985,0.908914530880976,-4.2958162842719,1.74051684266151e-05,0.000312630458865904
"PBANKA_010600",789.250775877404,4.40155699468844,0.499335824629255,4.80950269584911,1.51306255597594e-06,3.83382932151603e-05
"PBANKA_010720",344.091789576559,-4.17585497448967,0.616907920871419,-3.52703361535081,0.000420243405457428,0.00463724589808756
"PBANKA_010790",649.608923123743,3.50780342304515,0.391978892231145,3.84664443144559,0.000119746553401399,0.00163535062037951
"PBANKA_011080",251.077314641652,-7.33536425515716,0.861209318728361,-6.19520032950319,5.82109446851241e-10,4.91585487973558e-08
"PBANKA_011180",413.425775695657,3.21574249644768,0.365282219172861,3.32822796357454,0.000874003166875196,0.00865642120743165
"PBANKA_020170",1363.77474722244,-6.35365265437728,1.07671527497132,-4.04345768614943,5.2668665032911e-05,0.000810196787755337
"PBANKA_020190",134.469527276994,-4.46529617137163,0.612989187115178,-4.02176126951553,5.77645877988833e-05,0.000869199506588287
"PBANKA_020290",446.64767638811,4.22833265210684,0.472688201250534,4.71417024205727,2.42697692325153e-06,5.83885494675282e-05
"PBANKA_020820",684.194408362222,5.78748645121552,0.439202854936185,8.62354697527142,6.49115305483781e-18,3.83719876298841e-15
"PBANKA_020910",1416.887871892,7.83011497495228,0.705378907685984,8.26522442254213,1.39432184577142e-16,5.76970379780212e-14
"PBANKA_020950",1421.25049499056,4.84421802953815,0.759296247743878,3.74586077303723,0.000179776280845079,0.00226803125041749
"PBANKA_021070",142.083004766867,-3.45620416357074,0.393824010409058,-3.69760127641331,0.000217646395999387,0.00270456692686326
"PBANKA_021080",223.377669138257,3.80687645730491,0.470647691003272,3.83912742343051,0.000123472341514988,0.00166970114114059
"PBANKA_021090",176.332843840816,4.20026472256815,0.455872682871063,4.8264895117448,1.38960708471012e-06,3.57154914070215e-05
