"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_010400",352.969854183932,3.55058679342783,0.422239363515757,3.67229331845553,0.00024038354676096,0.00401091579232601
"PBANKA_010600",789.250775877404,4.64599465284252,0.413497127193111,6.39906417440909,1.56332131438271e-10,1.19796733313253e-08
"PBANKA_010710",288.774746544788,-3.77935327272239,0.475681558447733,-3.74063959622243,0.000183552565208618,0.00317799378591322
"PBANKA_010790",649.608923123743,4.15027172162922,0.325342292915619,6.6092597502745,3.86246494041077e-11,3.40061274966378e-09
"PBANKA_011190",309.703850930637,3.86162524305539,0.442109118625395,4.21078228117881,2.54487916318417e-05,0.000545632641308607
"PBANKA_020290",446.64767638811,3.42485306549661,0.391112799272556,3.64307449959895,0.000269400823469565,0.00445912243006825
"PBANKA_020820",684.194408362222,3.92103272367282,0.362520071292457,5.29910721032343,1.16370292140712e-07,4.96433266884811e-06
"PBANKA_020900",293.252028113831,4.89231532061064,0.569876681464929,5.07533544481173,3.86812989119726e-07,1.44201094502471e-05
"PBANKA_020910",1416.887871892,6.29855994399214,0.582718897247989,7.3767299538302,1.62224579391083e-13,2.51212848849445e-11
"PBANKA_020970",991.78904499717,4.22375675523382,0.552555932160331,4.02449168637026,5.70985110614629e-05,0.00112511256558254
"PBANKA_021040",837.926720269736,3.65513806926307,0.360211545399419,4.59490566141565,4.32945095041522e-06,0.000120236698206833
"PBANKA_021130",1088.58631399135,5.25798605580493,0.329914412845961,9.87524621219292,5.33018997668032e-23,5.51408153087579e-20
"PBANKA_021360",409.973631230323,3.41591383814547,0.34836044267776,4.06450809185363,4.81338691109253e-05,0.000962212320681202
"PBANKA_030260",356.137187969944,5.04051430092171,0.484520549373029,6.27530515445866,3.4894922212531e-10,2.48957220888712e-08
"PBANKA_030380",575.045416708337,5.20793135848699,0.362387105775672,8.85222268496716,8.57933055353646e-19,4.43765872881674e-16
"PBANKA_030390",693.948057173109,4.80884069329811,0.572362093233558,4.90745408632772,9.22662454682664e-07,3.13815962461367e-05
"PBANKA_030550",386.419539533056,3.52275206315141,0.4250698240139,3.5823574789953,0.000340507395290757,0.00533719546103467
"PBANKA_030660",1350.04340388508,5.4978512504107,0.759992027019739,4.60248413937618,4.17481364509529e-06,0.00011672553286084
"PBANKA_030830",693.557862995041,3.19957946100772,0.323583393864685,3.70717250561182,0.000209586185072417,0.00355631809148859
"PBANKA_030950",874.641741763682,6.33663750967525,0.522895105813016,8.29351329064838,1.09951646765072e-16,4.13618103921697e-14
"PBANKA_030960",166.166625930837,3.33806461895581,0.394672132435258,3.39031948037351,0.000698112148827476,0.00978801859605928
"PBANKA_031140",1262.02539314935,5.83809076754127,0.691429018415734,5.55095413313063,2.84114629004929e-08,1.36705387770046e-06
"PBANKA_031410",302.280154874076,3.54170257582166,0.340931512612501,4.52203014032891,6.1249335487444e-06,0.000160411234333572
"PBANKA_031570",143.728851137227,3.88460959889847,0.380744103757779,4.94980639305559,7.42873432143697e-07,2.569726112228e-05
"PBANKA_040320",12716.63402268,7.11590316154418,0.868221878144345,5.89239143855534,3.80646167788941e-09,2.18765811432033e-07
"PBANKA_040380",1030.30472740134,3.86624673758871,0.387393254200136,4.8174476900534,1.45406194101072e-06,4.62839100915566e-05
"PBANKA_040450",549.152790972451,3.29566536086916,0.341399260866662,3.79516158757943,0.000147547327116547,0.00263168465348392
"PBANKA_040490",250.769281034912,-3.85191178572342,0.52568828350316,-3.5228325299213,0.000426961057347555,0.00649545902685362
"PBANKA_040650",499.781431967724,-3.71585637078414,0.497408560952305,-3.44959155407192,0.000561435315014303,0.00809918928442237
"PBANKA_040930",6192.14745912736,5.39857443376459,0.731581771535505,4.64551546525193,3.39228358350689e-06,9.61456812914487e-05
"PBANKA_041130",403.368531779151,3.59291270999173,0.452600296675182,3.51946899216223,0.00043241157879775,0.00653036172651492
"PBANKA_041370",200.832531046707,4.38605936968858,0.492245836583185,4.84729212998708,1.25158062121948e-06,4.07798473276079e-05
"PBANKA_041490",355.306471195472,5.32752548098926,0.362872279308841,9.169963292118,4.73180141595362e-20,2.79717060845944e-17
"PBANKA_050220",666.56345214415,4.31650334499936,0.528173646790429,4.38587453023478,1.1552069983386e-05,0.00028453848566221
"PBANKA_050360",965.1808949029,-3.72157129655885,0.466395289907989,-3.69122787860591,0.000223174077859065,0.00373884345822191
"PBANKA_050510",344.209149144032,-4.72095362299737,0.500951461404128,-5.4315713849217,5.58599617264948e-08,2.56831690693595e-06
"PBANKA_050720",226.858774405929,3.83494764395925,0.441544664118272,4.15574639005882,3.24227319295192e-05,0.00066545887061864
"PBANKA_050830",1489.45530706827,4.75744772418545,0.549136204807547,5.02142765318458,5.128882225142e-07,1.86169426733663e-05
"PBANKA_051190",2231.81026457066,-4.26749114786228,0.524622010226534,-4.32214261632516,1.54521250270264e-05,0.000357211694758856
"PBANKA_051300",1450.28079490688,5.29894362158028,0.582198184883078,5.66635847936009,1.45864197622713e-08,7.27212108147938e-07
"PBANKA_051480",182.902448802098,4.60756129913425,0.397213835321854,6.56462858858226,5.21627138415717e-11,4.32633840634118e-09
"PBANKA_051500",12484.3969776812,4.76427481042846,0.680341712500863,4.06306824884701,4.84318613620388e-05,0.000963514626519792
"PBANKA_051540",442.612066467222,3.35537198074693,0.315304883547544,4.29860763809755,1.71874426694198e-05,0.000392937225226847
"PBANKA_051720",170.443213474543,-4.55319621162392,0.568139031638493,-4.49396374732535,6.99095349589627e-06,0.000180803534787617
