"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_010440",267.118252012223,-5.52079637388925,0.965608468280252,-3.64619459081566,0.000266152462142237,0.00840716708659982
"PBANKA_010450",894.531839124969,-6.50628339774661,1.02888213876875,-4.3797858160306,1.18796014384425e-05,0.00114320443609942
"PBANKA_010980",256.252932879601,-7.1071971445289,1.41203313151884,-3.61691027676907,0.000298140590800144,0.00899196301022621
"PBANKA_011080",251.077314641652,-5.94207580119719,1.02092676275781,-3.86127188060831,0.000112798298521177,0.00479747663233518
"PBANKA_021390",60.1987452961376,-7.95240618261252,1.11381679345104,-5.34415194456681,9.08413447530065e-08,4.17668316208823e-05
"PBANKA_030160",1344.07184422851,-5.74952848362962,1.023362505645,-3.66392990064298,0.000248374787292662,0.00796724705284525
"PBANKA_030290",69.9789269275497,-7.14157671483029,1.12245148038036,-4.58066723123569,4.6349482584001e-06,0.000684979139044986
"PBANKA_031200",1650.0445322686,-6.61177436513077,1.16675018099603,-3.95266650928977,7.7285113852197e-05,0.00372784190765721
"PBANKA_031250",264.137944598828,-4.74533122955215,0.618290604566818,-4.4401956123457,8.98771454398857e-06,0.000978714810079598
"PBANKA_031360",113.893912395382,-7.34528319696816,1.07269026266522,-4.98306303600371,6.25855505484184e-07,0.000180708986600386
"PBANKA_040240",108.475537095906,-5.03590833852933,0.836645718894704,-3.62866655499066,0.000284888925747014,0.00875787603741008
"PBANKA_040250",310.544463660534,-6.56211125076187,1.04783449133004,-4.35384718532321,1.33768971454306e-05,0.00122110216157015
"PBANKA_040270",2133.95634284353,-7.57236428242999,1.43016269443758,-3.89631494661616,9.76673681979075e-05,0.00434567279142948
"PBANKA_041580",135.170702189292,-5.74667924502178,0.861179779401364,-4.35063541276622,1.35743594567972e-05,0.00122110216157015
"PBANKA_041720",887.497286171245,-7.36069323405225,1.28896633289723,-4.1589086520227,3.19771738916355e-05,0.00206752414943106
"PBANKA_050440",1266.087351845,-6.89104279531412,1.29253430474944,-3.78407194094725,0.000154283195364218,0.0058038532947012
"PBANKA_050690",311.376675981482,-6.56043056148283,0.956664666319225,-4.76701055452286,1.86979518357739e-06,0.000336400542158402
"PBANKA_050790",92.9359019527651,-6.9195222749967,1.15515464944884,-4.25875641615949,2.05567323170587e-05,0.00154661378778162
"PBANKA_051060",104.96840859858,-5.88569742484149,1.00949107633776,-3.84916470875409,0.000118521295040605,0.00486521261840434
"PBANKA_051490",21924.7440650626,-7.88107202562953,1.36487351955835,-4.30887693354367,1.6408563608149e-05,0.00138568645327593
"PBANKA_051500",12484.3969776812,-7.31889247217437,1.21589251588243,-4.37447587076742,1.21724585615928e-05,0.0011447643983607
"PBANKA_051760",837.0287962452,-6.56797466757429,1.23161323821454,-3.70893599211101,0.000208132029692533,0.00711777139560082
"PBANKA_060060",876.180689133035,-7.81029614121162,1.12531209125507,-5.16327531390098,2.4266581858599e-07,0.000100415115730883
"PBANKA_060330",431.667742989611,-5.33414259317106,0.903201219728832,-3.69147264235545,0.000222959381651075,0.00734072929775233
"PBANKA_060580",412.408235428528,-5.892746031964,1.05355522543041,-3.69486661733721,0.000220002246838415,0.00734072929775233
"PBANKA_060860",1820.57695284934,-6.4514935025553,1.22701202735317,-3.62791350314453,0.000285720943704776,0.00875787603741008
"PBANKA_061240",2835.75378047682,-6.3983553195472,1.20748215743573,-3.64258410980397,0.000269914740561404,0.0084614181548719
"PBANKA_061520",438.081455099409,-6.02365639047189,0.994792063989178,-4.04472103882371,5.23854631868667e-05,0.00289028062223006
"PBANKA_061920",23538.3886180671,-6.41676822087587,1.09407946661027,-4.03697204423379,5.41455180759017e-05,0.00294808097102738
"PBANKA_062070",139.042969920043,-5.28778750670919,0.910321508586953,-3.61167727632038,0.000304223011462462,0.00899196301022621
"PBANKA_062200",433.264186338023,-8.27805428307864,1.03146147692383,-6.0865620515484,1.15360959972697e-09,3.32200850992563e-06
"PBANKA_070480",1313.48392443155,-7.89226079631422,1.33263747584212,-4.42150314930231,9.80166355840616e-06,0.00100683239520039
"PBANKA_070490",721.147638629658,-7.91473926899166,1.19194643452247,-4.96225257921198,6.9680299853306e-07,0.000180708986600386
"PBANKA_070550",88.0930678883619,-6.26390120213472,0.93304336694811,-4.56988533778608,4.87991131465474e-06,0.000696312862760045
"PBANKA_070710",5473.03255883622,-7.36689282833656,1.25752592621436,-4.2678188309747,1.97393532850821e-05,0.00153668398598378
"PBANKA_071450",332.987944329959,-6.48891427851113,1.04293987771398,-4.30409688461658,1.67668282522764e-05,0.0013876227061584
"PBANKA_071980",302.302116164418,-6.07279900483469,1.01130076685251,-4.0272875669921,5.64240070365512e-05,0.0030322407937305
"PBANKA_072090",1042.44155683331,-6.54098944595181,1.25298670676159,-3.62413218069026,0.000289933308262697,0.00882164727640472
"PBANKA_080680",351.762383200995,-7.27808629657754,0.966049399278691,-5.46357805358449,4.66631949928923e-08,3.78339246153003e-05
"PBANKA_081180",84.1311398075128,-6.09200330472684,1.11001956339398,-3.6864244916686,0.000227426879670473,0.00741017659902692
"PBANKA_081260",496.476639734799,-7.88408989908807,1.49294477962965,-3.94126425797725,8.10532701952463e-05,0.00376852170862842
"PBANKA_081820",84.5680544854133,-5.1482998419928,0.834521052512985,-3.77258288752855,0.000161566266418329,0.00586457202139513
"PBANKA_082140",714.351087014776,-6.49619544535755,1.00312881829483,-4.48217154502689,7.38873107704455e-06,0.000894501045467193
"PBANKA_082290",481.956579937984,-5.30071577162027,0.894301207034278,-3.69083228967817,0.000223521481758529,0.00734072929775233
"PBANKA_082550",783.96050660408,-6.10142659886449,1.07843588141914,-3.80312512735324,0.000142882140235472,0.00561721370992753
"PBANKA_082570",471.739598747371,-7.20959034209647,1.23926755327427,-4.20376562618152,2.62510759154092e-05,0.00184113478199938
"PBANKA_082590",1562.76857315725,-6.83610297303762,1.34745575093004,-3.58906254969757,0.000331869214139228,0.00967094935287412
"PBANKA_082820",220.93199511783,-4.95161476850158,0.692097387463088,-4.26473906991738,2.00135950241948e-05,0.00153668398598378
"PBANKA_082890",229.609707828652,-5.9730581386218,1.00769646096563,-3.94271320037643,8.05649766182791e-05,0.00376852170862842
"PBANKA_083040",2388.86914239756,-6.61836730140734,0.992973263884493,-4.65104899535801,3.30250848685487e-06,0.000525606927638671
"PBANKA_083090",226.198478674899,-6.47536888178662,1.05207501234605,-4.25384961078667,2.10126452241185e-05,0.00155268439173932
"PBANKA_083270",125.53284575686,-7.64632899579692,1.01281281020793,-5.57489887458843,2.47673696225319e-08,3.09892094897655e-05
"PBANKA_090250",174.606837722717,-5.89214330448911,0.984834801170738,-3.95207734318716,7.74756897193137e-05,0.00372784190765721
"PBANKA_090270",31.2119579014289,-7.00302016538725,1.05204566728428,-4.7555161538775,1.97940030990308e-06,0.000341281603432455
"PBANKA_090530",233.478206902543,-5.60190926675063,0.897279315151465,-4.01425643713029,5.96334859343146e-05,0.00316363288200249
"PBANKA_090710",819.798652438516,-6.79475271963118,1.12439504477001,-4.26429549110287,2.00533917938917e-05,0.00153668398598378
"PBANKA_090750",125.507937189103,-6.13282845402667,0.992132592084848,-4.16560093580035,3.10533491582638e-05,0.00205721424536069
"PBANKA_091100",116.993723465206,-7.30410497293527,0.984054265110178,-5.39005333444838,7.04367762205406e-08,3.78339246153003e-05
"PBANKA_091110",83.0862851287855,-6.60878664846491,0.915451577966368,-5.03444066228288,4.79246093456765e-07,0.000180283666793099
"PBANKA_091360",76.5520117568336,-5.71494797333749,0.933643709256865,-3.97897820818009,6.92120837670938e-05,0.00357999503285293
"PBANKA_091670",2024.03235501572,-7.27460814441858,1.17985455799639,-4.47055792484782,7.8015809959877e-06,0.000896748393372142
"PBANKA_091740",180.30303517864,-5.32392827091959,0.752412197591844,-4.41769588738472,9.9758647180319e-06,0.00100683239520039
"PBANKA_092770",443.568937948636,-5.52453577116317,0.950968356736756,-3.70625977846161,0.000210342553863368,0.00713440563841488
"PBANKA_092920",618.531066865572,-4.85925141327746,0.691336547222083,-4.13583141925081,3.53671769167381e-05,0.00218431907584272
"PBANKA_093260",668.643401778063,-5.51582572807841,0.964203771469383,-3.64635135446579,0.000265990226493304,0.00840716708659982
"PBANKA_093360",82.0695732139292,-6.72374734014609,1.05119639095529,-4.4936867941996,7.00005627239145e-06,0.000894501045467193
"PBANKA_094170",197.925669445809,-5.50154726403747,0.942915894485321,-3.71353085096603,0.000204387535871445,0.00710241462644124
"PBANKA_094230",88.9521731157974,-5.82229919170703,1.05750067083696,-3.61446502788679,0.00030096843666886,0.00899196301022621
"PBANKA_094240",110.113143968176,-5.73405535730635,0.978231449364479,-3.81714916212542,0.000135002558774597,0.00542369503115808
"PBANKA_094340",1284.69691300326,-7.15301057347921,1.06013200937607,-4.86072538882395,1.16956399788865e-06,0.000254718727540169
"PBANKA_100210",1035.99723057108,-6.78671653139496,1.19388368715373,-4.00936588957564,6.08820184015201e-05,0.00318898471070241
"PBANKA_100960",547.754355978481,-5.8776761348043,1.05797969799118,-3.66517064757195,0.000247173715969049,0.00796724705284525
"PBANKA_101390",154.243574921169,-6.34597959246349,1.06055448272705,-4.09783718163022,4.17028440386883e-05,0.00250096186423322
"PBANKA_101900",180.120932342882,-6.72455422522712,1.26572217580155,-3.73269451665818,0.000189442297169489,0.00664332394650295
"PBANKA_102030",373.657095374557,-6.05308357315354,1.02423169868959,-3.95719403953137,7.58353273811828e-05,0.00372784190765721
"PBANKA_102770",244.275557791199,-5.03755918721262,0.779213348012738,-3.89823813331669,9.68951070807334e-05,0.00434567279142948
"PBANKA_102960",273.486832538169,-7.31026949900598,1.41442712921143,-3.75436060956111,0.000173784521499644,0.00619931336177179
"PBANKA_103370",114.99009513991,-6.07589548618069,0.842081699304103,-4.8402613304018,1.29668500313962e-06,0.000268284127149587
"PBANKA_103750",408.00705914912,-4.5556726135161,0.676358163217886,-3.77857879523042,0.000157725946698262,0.0058274104235483
"PBANKA_103860",152.356111992402,-5.47298301700314,0.892000937565818,-3.89347462624934,9.8818542831824e-05,0.00435011840678817
"PBANKA_103880",159.01764580215,-7.50624665351267,0.993603299507695,-5.54169521804213,2.99557365778304e-08,3.09892094897655e-05
"PBANKA_110600",367.39523864442,-6.46762944190464,0.900005266405022,-4.96400366605645,6.90546388607471e-07,0.000180708986600386
"PBANKA_111030",228.08313099443,-5.898659358371,0.870797299751438,-4.47711466202737,7.56586191187814e-06,0.000894501045467193
"PBANKA_111500",1171.35061094414,-6.75084925071766,1.14862778511108,-4.13610859174735,3.53245076002609e-05,0.00218431907584272
"PBANKA_112040",1708.74774643283,-6.9126265561276,1.25293832119423,-3.92088459026872,8.82245109593574e-05,0.00401179149834968
"PBANKA_112380",1346.6653053635,-6.53680634284907,0.973853327048778,-4.65861358876051,3.18346130486629e-06,0.000525606927638671
"PBANKA_112520",194.729127103079,-5.09579727001033,0.749632803544784,-4.12975160021181,3.63155387137551e-05,0.00220990734113998
"PBANKA_112580",49.4876641428754,-6.6605616777287,0.939304331624916,-4.96171636903487,6.98729769358671e-07,0.000180708986600386
"PBANKA_113140",549.983114389198,-5.28706881739735,0.777339266831161,-4.22861542913836,2.35133871068133e-05,0.00170698940084199
"PBANKA_113490",2571.84669837315,-6.77538200088348,1.33341179511505,-3.58132575276301,0.000341855100260646,0.00989228255159827
"PBANKA_113750",64.4140411786971,-6.48814530870083,1.00223333260785,-4.47814412340735,7.52947630464952e-06,0.000894501045467193
"PBANKA_113980",159.73950164378,-5.96202192415706,1.00979244632692,-3.9236002790165,8.72354298191309e-05,0.00401089120657293
"PBANKA_120420",2298.20464743593,-6.48778671042001,1.20184620521711,-3.73407736442393,0.000188404578581707,0.00664332394650295
"PBANKA_120450",260.767905128576,-5.73859902098732,0.984656587847266,-3.79685574354501,0.000146543008521282,0.00561912197389365
"PBANKA_120890",284.288408020003,-6.34170387617421,1.09953446035559,-3.94867467343415,7.85850638541291e-05,0.00373775855434927
"PBANKA_120940",1016.27628401707,-7.70647547394564,1.05118660111359,-5.42860370166475,5.67966412258124e-08,3.78339246153003e-05
"PBANKA_121260",128.806451267858,-5.91981737225325,0.988844135421713,-3.96403966190442,7.36920008792798e-05,0.00371874999559097
"PBANKA_121830",453.320962499952,-5.97385337773152,1.0302910662833,-3.85702012545531,0.000114777715466695,0.00479747663233518
"PBANKA_122550",722.338798569124,-6.64987038136439,1.27858032037381,-3.63674483899842,0.000276105195067088,0.0085904007307339
"PBANKA_123320",692.598966873294,-5.51825100395046,0.865637822778275,-4.06434528548972,4.81674764118526e-05,0.00280728193510206
"PBANKA_123360",662.751843685974,-7.16289689291672,1.23999421291432,-4.16364595830051,3.13205648762019e-05,0.00205721424536069
"PBANKA_123900",1315.61578744812,-7.05692286435168,1.06043360703936,-4.76873123482965,1.85389794862053e-06,0.000336400542158402
"PBANKA_124010",714.119978923849,-5.69446569566909,1.00077590182924,-3.69160137540909,0.000222846540385722,0.00734072929775233
"PBANKA_124300",302.255826304429,-5.879227364389,1.00572171744264,-3.85715779734095,0.000114713111906348,0.00479747663233518
"PBANKA_130400",340.181696317279,-5.84245573976218,0.770493855945926,-4.98700373806984,6.13228793109904e-07,0.000180708986600386
"PBANKA_130450",322.229362182109,-4.60605040824731,0.681655925382722,-3.82311707594138,0.000131775171240323,0.00534593782933781
"PBANKA_130810",96.8847083376432,-6.6413213620788,0.96431630797775,-4.81306945001483,1.48629608308743e-06,0.000292871104372181
"PBANKA_131860",3313.08738299683,-7.37963138585306,1.42260731024301,-3.78152941231134,0.000155867801914916,0.00581063931823355
"PBANKA_131870",262.333277256098,-6.38320223379801,1.15480975118642,-3.7956054919824,0.000147283549823546,0.00561912197389365
"PBANKA_132010",685.225025071067,-7.17287931030468,1.20018372549018,-4.31007286671213,1.63200762169252e-05,0.00138568645327593
"PBANKA_132080",1387.28804357798,-6.00299631345937,1.0501949136847,-3.8116698731805,0.000138031145943688,0.0054920469414902
"PBANKA_132990",460.108689561261,-6.31337377488514,0.984365161657931,-4.38188382004528,1.17657548173165e-05,0.00114320443609942
"PBANKA_133160",59.7233759765692,-5.48969350649236,0.906721728738688,-3.84869292957914,0.000118749752165016,0.00486521261840434
"PBANKA_133570",135.763289262845,-6.29823101437897,0.970508783968667,-4.42884297945492,9.47399641252083e-06,0.00100521531166695
"PBANKA_133810",731.88225907002,-6.03487099701266,1.06142243799124,-3.80138091356793,0.000143891893004427,0.00561721370992753
"PBANKA_134040",279.722595154208,-6.83933176150641,1.07125337739456,-4.51744831206633,6.25892995294453e-06,0.000835466198234983
"PBANKA_134420",121.419486384797,-5.95975427852715,0.937759861544202,-4.22256746200104,2.4153507048212e-05,0.00172322779595691
"PBANKA_134940",114.347193199614,-6.18646968680523,1.03193878019537,-4.0568973345615,4.97289281111793e-05,0.00284975268012661
"PBANKA_135250",1580.10870222204,-6.35635327010936,1.05061346144815,-4.146485296414,3.37617850077327e-05,0.00214932717479997
"PBANKA_135490",1560.89669549875,-6.47038299774858,1.09958410232809,-4.06552167158808,4.79251404298896e-05,0.00280728193510206
"PBANKA_135960",218.870220844239,-6.09543299245497,0.981006740639487,-4.17472461991982,2.98346723832507e-05,0.00202386679216215
"PBANKA_136160",282.52300015344,-6.1289300997908,1.06461283969229,-3.87833956707137,0.000105171849248348,0.00456451460803037
"PBANKA_136360",528.543772116993,-7.46275417089214,1.37698327577424,-3.96718991944226,7.27250389080204e-05,0.00371526186421467
"PBANKA_140640",229.026322507402,-5.51203108894091,0.972028288390102,-3.6130955558481,0.000302563137516183,0.00899196301022621
"PBANKA_140960",397.167989193735,-5.91146666320735,0.863125539085533,-4.53174710523741,5.84978561143857e-06,0.000806880428671094
"PBANKA_141360",58.9331795808913,-5.90478331002808,0.934294758134003,-4.17939122106048,2.92290487694897e-05,0.00201583006346914
"PBANKA_141690",407.819394014232,-6.11279634190532,0.831048560009628,-4.94892421431747,7.46247944814192e-07,0.00018164552915536
"PBANKA_141930",877.954974608129,-6.80507992836074,1.27322929580476,-3.77393132893919,0.00016069501113978,0.00586457202139513
"PBANKA_142070",186.962019945793,-5.81065018656945,0.939891391747428,-4.05435161980233,5.02735489727507e-05,0.00284975268012661
"PBANKA_142370",469.676182477657,-5.63833323094321,0.980264380529393,-3.71158363316061,0.000205966591390273,0.00710241462644124
"PBANKA_142580",137.501680142218,-5.14659697640837,0.795098370039395,-3.95749393405556,7.57402102498842e-05,0.00372784190765721
"PBANKA_142920",1039.93457055645,-6.93607634585589,1.21898157606754,-4.04934450427033,5.13612906379208e-05,0.00287206784675292
"PBANKA_143030",450.540985184541,-6.21459984715093,1.0871695837638,-3.87667196552712,0.000105894973990071,0.00456451460803037
"PBANKA_143140",182.597548819773,-6.40593247836414,1.22316889099946,-3.60206387751083,0.000315700760863226,0.00926503367696474
"PBANKA_143150",197.605281499121,-7.57265710365287,1.03518052718034,-5.38327079898989,7.31443685167719e-08,3.78339246153003e-05
"PBANKA_143220",961.489753867171,-8.62312224664242,1.09774581493821,-6.03338419196363,1.60561068628595e-09,3.32200850992563e-06
"PBANKA_143240",289.84703179767,-6.24080685122955,0.92130278094696,-4.60305443436374,4.16339354013837e-06,0.000638078609966391
"PBANKA_144900",471.071456135261,-7.03909161230394,1.03567078611772,-4.86553418310978,1.1414807916236e-06,0.000254718727540169
"PBANKA_144930",479.348843421883,-6.13794133432932,1.10197291491404,-3.75502998152372,0.000173320729723493,0.00619931336177179
"PBANKA_145110",1576.04823440714,-7.19847746300605,1.20218393089755,-4.32419476703939,1.53090002361618e-05,0.0013478434676008
"PBANKA_145290",152.411339222713,-4.90662091119268,0.766033746994325,-3.79437710492174,0.00014801457108613,0.00561912197389365
"PBANKA_145300",740.326333502993,-5.54120949992748,0.793762752415046,-4.46129462380698,8.1465997112669e-06,0.000911098097438444
"PBANKA_146130",2658.48273723507,-6.37630339731732,1.02539343025532,-4.26792611322626,1.97298649852593e-05,0.00153668398598378
