"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_010600",789.250775877404,-5.39190768335363,0.773603387848983,-4.38455639754228,1.16222370665942e-05,0.000316400111720835
"PBANKA_010790",649.608923123743,-4.7614452532316,0.607417425919564,-4.54620683470033,5.46213613897449e-06,0.000160300137184939
"PBANKA_020820",684.194408362222,-6.3557467904316,0.680029334898042,-6.40523366699271,1.50139258559568e-10,1.6349375050513e-08
"PBANKA_020900",293.252028113831,-8.20701716011667,1.07860205638616,-5.75468693330067,8.68025059835681e-09,6.08794525016958e-07
"PBANKA_020910",1416.887871892,-12.8221346923687,1.15034503044277,-9.40772933856477,5.06970304466749e-21,1.0489215599417e-17
"PBANKA_021130",1088.58631399135,-6.18253655381567,0.617203058138718,-6.77659726189438,1.23039242010986e-11,1.95821685939023e-09
"PBANKA_030260",356.137187969944,-6.36008280229935,0.906954852177995,-4.80738681956317,1.52915937834447e-06,5.64969777463342e-05
"PBANKA_030380",575.045416708337,-7.52262466292322,0.681630352068706,-8.1020814964627,5.40267305279368e-16,3.19375158463718e-13
"PBANKA_030390",693.948057173109,-6.01136030898259,1.07107098816453,-3.74518622323696,0.000180260015509117,0.003535146654866
"PBANKA_030530",656.869094049226,-5.39758817577051,0.988954722348135,-3.43553460941408,0.000591385920296848,0.00994778430157869
"PBANKA_030660",1350.04340388508,-10.8157486170282,1.4385488554627,-6.1282233019418,8.88658077157959e-10,7.82397260272263e-08
"PBANKA_030950",874.641741763682,-9.3009822367777,0.985023641474996,-7.41198680860599,1.24421136439557e-13,4.29045552155739e-11
"PBANKA_031140",1262.02539314935,-8.73789650119461,1.2992788742239,-5.18587397583861,2.1500416941333e-07,1.08498445491751e-05
"PBANKA_040320",12716.63402268,-14.1507880074208,1.63514956364833,-7.43099486282467,1.07783898703652e-13,4.05463429850646e-11
"PBANKA_040330",2010.80218835992,-8.10353084821162,1.45599794702158,-4.19199138343371,2.7651650117295e-05,0.000677056379795069
"PBANKA_040450",549.152790972451,-4.59655417284309,0.638704200562263,-4.06534694864586,4.79610601845499e-05,0.00109045531342674
"PBANKA_040690",718.521267082572,-6.46263003526057,1.22334365348827,-3.64789568535033,0.000264396936755667,0.00499577408353858
"PBANKA_041240",662.477168951887,-8.25951436402522,1.56378256727222,-4.00280351950974,6.25962851327733e-05,0.00136328119936535
"PBANKA_041250",273.936279377725,-5.72284330976916,0.994594152781298,-3.74307781657327,0.000181779903395195,0.00354813792570433
"PBANKA_041370",200.832531046707,-6.42298851598025,0.923664855912717,-4.7885209528836,1.68015023562905e-06,5.84240476893531e-05
"PBANKA_041490",355.306471195472,-6.25435288229936,0.678053904158879,-6.2743579178662,3.51080057573363e-10,3.54333970302091e-08
"PBANKA_050180",919.805615437553,-8.99648836020587,1.13426120765621,-6.16832199935951,6.90184859883397e-10,6.49087488681249e-08
"PBANKA_050510",344.209149144032,4.89159449635567,0.813704137589232,3.55361901553385,0.000379969226361683,0.0067192848661737
"PBANKA_050690",311.376675981482,-6.80131589280592,0.99719285539146,-4.81483182199606,1.47323910995993e-06,5.4921292225353e-05
"PBANKA_050720",226.858774405929,-5.24723418429017,0.825965044003793,-3.93144262927821,8.44376475016233e-05,0.00175579389629004
"PBANKA_050830",1489.45530706827,-7.45458047024715,1.03041900740672,-5.29355575842378,1.19960642685512e-07,6.5315413083243e-06
"PBANKA_051300",1450.28079490688,-9.62564389163067,1.1190344399459,-6.81448543442447,9.46017582520022e-12,1.56584830258714e-09
"PBANKA_051370",1023.65652662485,-9.54373897558837,1.66490740844311,-4.5310261323437,5.86978763699196e-06,0.000171050572125864
"PBANKA_051420",171.350956804287,-6.19444058386467,1.0482542634402,-4.00135800077663,6.29799861120189e-05,0.00136368928360197
"PBANKA_051480",182.902448802098,-4.95900141509678,0.739703103049377,-4.00025551183778,6.32741281903282e-05,0.00136368928360197
"PBANKA_052210",306.240364043141,-5.20695353619941,0.89643254509345,-3.5774621902701,0.000346946385771275,0.00624201801878928
"PBANKA_060370",3870.73720827462,-8.86931007518447,1.41127203832869,-4.86745991461682,1.13041750797471e-06,4.46238935025004e-05
"PBANKA_060550",866.772746941959,-8.56901420035773,1.55469948539979,-4.22526299265387,2.38661890908629e-05,0.000598535093684792
"PBANKA_060580",412.408235428528,-6.55925542413493,1.09953845639052,-4.14651747525205,3.37570426421055e-05,0.000793674104846776
"PBANKA_060590",2248.81746625826,-10.3922109179419,1.15238072619612,-7.2824985069333,3.27693568222941e-13,9.03997323537687e-11
"PBANKA_060800",593.781344938264,-6.37778642276821,0.933740000035309,-4.68844263135634,2.75292065537566e-06,9.04094100947973e-05
"PBANKA_060850",289.807567739686,-5.31235380050795,0.709830334335773,-4.66640215313917,3.06519506497747e-06,9.75675167605906e-05
"PBANKA_060910",7587.93833044787,-8.52276577754814,1.34104865349286,-4.86392925458679,1.15078059735964e-06,4.49238689799453e-05
"PBANKA_060950",2201.86911538229,-6.79289506623627,1.35288342143241,-3.54272584784995,0.000396014160963292,0.00694367202570382
"PBANKA_061490",558.688391619703,-6.09482209491233,0.693384712757012,-5.90555577527897,3.51459850070563e-09,2.74206332111455e-07
"PBANKA_061620",976.671315574435,-5.75256317587093,1.03264459901962,-3.6339348304669,0.000279131394766918,0.00522645118346383
"PBANKA_062070",139.042969920043,-5.2728118429047,0.951215221790112,-3.44066386652804,0.000580288935411099,0.00980096169278012
"PBANKA_062080",337.880385973968,-7.33475110101136,0.792423790130164,-6.73219452451708,1.67122999333137e-11,2.38467231462249e-09
"PBANKA_062250",265.281002665142,-4.52566926060076,0.727932008869,-3.4696499533314,0.00052113707067759,0.00892387651659901
"PBANKA_070190",3281.31868659106,-10.9384814026019,1.39923515064423,-6.38811953693881,1.67938044410895e-10,1.78186571223663e-08
"PBANKA_070240",1001.67872949228,-5.29037191871835,0.83049459344886,-3.96194261187682,7.43424116593865e-05,0.00157758409972585
"PBANKA_070300",1987.6853767458,-11.2792912733323,1.45716655496055,-6.36803750521401,1.9146210636098e-10,1.98067549030433e-08
"PBANKA_071100",2126.47901258137,-8.46569077486387,1.43214428976921,-4.51469228418723,6.34087676010545e-06,0.000182212139120252
"PBANKA_071220",2748.9993570739,-6.35327124870769,0.795938052177296,-5.4693593763978,4.51665112255043e-08,2.74851505075201e-06
"PBANKA_071270",246.147239045723,-6.30904771138638,0.900504208594832,-4.78514999736682,1.70859684253308e-06,5.89181144533491e-05
"PBANKA_071320",1455.64934479831,-8.17200072691731,1.00240170887097,-6.15721289408912,7.40362945882239e-10,6.8080486001349e-08
"PBANKA_071430",4270.15951702337,-7.52419966988519,1.27201277280205,-4.34288065969355,1.40626532619357e-05,0.000373020892294166
"PBANKA_071450",332.987944329959,-7.80095074298021,1.08802547286455,-5.33163137045631,9.73343684621771e-08,5.5940224541179e-06
"PBANKA_071660",246.277912523358,-4.69047532104925,0.59155875774012,-4.54811172321654,5.41293991306744e-06,0.000159991038287665
"PBANKA_071920",1400.93727243019,-9.53300267345244,1.35147875580931,-5.57389647530304,2.49103800341146e-08,1.66256697711558e-06
"PBANKA_072100",794.539854336667,-7.83383311525592,1.15706278768183,-5.04193305442305,4.60852527051145e-07,2.05054597520176e-05
"PBANKA_080810",315.924025167012,-6.56677756011173,1.15932305067946,-3.93917601951865,8.17619298257476e-05,0.00170874174555022
"PBANKA_081080",211.492400288685,-6.49985287143202,0.956222286405001,-4.70586487619902,2.52791923490335e-06,8.36842383522405e-05
"PBANKA_081230",236.435619094727,-6.22612371344271,0.793254186186658,-5.32757820511303,9.95309284814531e-08,5.63436630519242e-06
"PBANKA_081580",99.4594930166395,-4.70121376370699,0.613180646531164,-4.40524954430327,1.05662170026913e-05,0.000293442993000916
"PBANKA_081620",359.051125066197,-5.84618695014207,0.759424076720168,-5.06461023299807,4.09236780933289e-07,1.88157977722439e-05
"PBANKA_081730",154.009150396625,-4.9590311332435,0.852928012415991,-3.46926245845976,0.000521889346789985,0.00892387651659901
