id,study,stage
ERR435801,ERP004740,Ookinete
ERR435802,ERP004740,Ookinete
ERR435803,ERP004740,Ookinete
ERR435804,ERP004740,Ookinete
ERR435805,ERP004740,Ookinete
ERR435806,ERP004740,Ookinete
ERR435807,ERP004740,Ookinete
ERR435808,ERP004740,Ookinete
ERR2216044,ERP105548,Sporozoite
ERR2216045,ERP105548,Sporozoite
ERR2216046,ERP105548,Liver_stages
ERR2216047,ERP105548,Liver_stages
ERR2216048,ERP105548,Liver_stages
ERR2216049,ERP105548,Liver_stages
ERR2216050,ERP105548,Liver_stages
ERR2216051,ERP105548,Liver_stages
ERR2216052,ERP105548,Liver_stages
ERR2216053,ERP105548,Liver_stages
ERR2216054,ERP105548,Liver_stages
ERR2216055,ERP105548,Liver_stages
ERR2216056,ERP105548,Liver_stages
ERR2216057,ERP105548,Liver_stages
SRR935544,SRP027529,Ring
SRR935549,SRP027529,Ring
SRR935553,SRP027529,Trophozoite
SRR935554,SRP027529,Trophozoite
SRR935555,SRP027529,Schizont
SRR935557,SRP027529,Schizont
SRR935558,SRP027529,Gametocyte
SRR935559,SRP027529,Gametocyte
SRR935560,SRP027529,Ookinete
SRR3437887,SRP073801,Schizont
SRR3437888,SRP073801,Schizont
SRR3437889,SRP073801,Schizont
SRR3437890,SRP073801,Schizont
SRR3437891,SRP073801,Schizont
SRR3437892,SRP073801,Schizont
SRR3437893,SRP073801,Schizont
SRR3437894,SRP073801,Schizont
SRR3437895,SRP073801,Schizont
SRR3437896,SRP073801,Schizont
SRR3437897,SRP073801,Schizont
SRR3437898,SRP073801,Schizont
SRR5260544,SRP099925,Ring
SRR5260545,SRP099925,Ring
SRR5260546,SRP099925,Ring
SRR5260547,SRP099925,Gametocyte
SRR5260548,SRP099925,Gametocyte
SRR5260549,SRP099925,Gametocyte
SRR5260550,SRP099925,Ookinete
SRR5260551,SRP099925,Ookinete
SRR5260552,SRP099925,Ookinete
SRR9041555,SRP197607,Gametocyte
SRR9041557,SRP197607,Schizont
SRR9041558,SRP197607,Schizont
SRR9041559,SRP197607,Gametocyte
SRR9041560,SRP197607,Gametocyte
SRR9041567,SRP197607,Schizont
SRR9041568,SRP197607,Gametocyte
SRR9041569,SRP197607,Schizont
SRR9041570,SRP197607,Schizont
SRR11142813,SRP250329,Sporozoite
SRR11142814,SRP250329,Liver_stages
SRR11142815,SRP250329,Liver_stages
SRR11142816,SRP250329,Liver_stages
SRR11142817,SRP250329,Sporozoite
SRR11142818,SRP250329,Sporozoite
SRR11142819,SRP250329,Liver_stages
SRR11142820,SRP250329,Liver_stages
SRR11142821,SRP250329,Liver_stages
SRR11142822,SRP250329,Liver_stages
SRR11142823,SRP250329,Liver_stages
SRR11142824,SRP250329,Liver_stages
SRR11142825,SRP250329,Liver_stages
SRR11142826,SRP250329,Liver_stages
SRR11142827,SRP250329,Liver_stages
SRR11142828,SRP250329,Liver_stages
SRR11142829,SRP250329,Liver_stages
SRR11142830,SRP250329,Liver_stages
SRR11142831,SRP250329,Liver_stages
SRR11142832,SRP250329,Liver_stages
SRR11142833,SRP250329,Liver_stages
SRR11142834,SRP250329,Liver_stages
SRR11142835,SRP250329,Liver_stages
SRR11142836,SRP250329,Liver_stages
SRR11142837,SRP250329,Liver_stages
SRR11142838,SRP250329,Liver_stages
SRR11142839,SRP250329,Liver_stages
SRR11142840,SRP250329,Liver_stages
SRR11142841,SRP250329,Sporozoite
SRR11142842,SRP250329,Liver_stages
SRR11142843,SRP250329,Liver_stages
SRR11142844,SRP250329,Liver_stages
SRR11142845,SRP250329,Liver_stages
SRR11142846,SRP250329,Liver_stages
SRR11142847,SRP250329,Liver_stages
