"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,1.10160210294531,2.41265125409369,0,1,NA
"PBANKA_010080",464.686995921719,-2.17519145094841,0.789302022342758,-0.221957433262893,0.824347020133142,1
"PBANKA_010090",918.061686166002,0.441728415208047,0.990608793185168,0,1,1
"PBANKA_010100",208.357029211728,1.09546440351281,0.608559997788501,0,1,NA
"PBANKA_010110",105.291743326147,2.5365782998131,0.790326115760105,0.678932771058743,0.497180460268251,NA
"PBANKA_010120",191.338754446582,2.21457723678363,0.633047558068725,0.338959109862542,0.734640534145417,NA
"PBANKA_010130",115.649395130954,1.77759457743716,0.685846434221032,0,1,NA
"PBANKA_010140",440.920323520482,-0.207080157548282,0.485028672810133,0,1,1
"PBANKA_010150",251.270364955803,-3.02883639117367,0.790937453023269,-1.30078097483063,0.193333435915983,NA
"PBANKA_010160",190.344133628196,2.84541690947453,0.566788874848531,1.49159051454647,0.135806526362938,NA
"PBANKA_010170",256.792965388713,-2.46758809790705,0.48800748427276,-0.958157636872852,0.337983275393046,NA
"PBANKA_010180",550.74220224868,-3.24084613671766,0.516710702588448,-2.401433007874,0.0163309990380133,0.300978786008993
"PBANKA_010190",194.714464579416,-0.197043282239573,0.672191987782496,0,1,NA
"PBANKA_010200",141.825560804924,1.61753392149896,0.564167538837867,0,1,NA
"PBANKA_010210",234.572536167893,-1.00150381885061,0.564149235824439,0,1,NA
"PBANKA_010230",107.665175690093,0.271748340619375,0.693332664507432,0,1,NA
"PBANKA_010240",176.971718922185,0.972631395573385,0.768412330386488,0,1,NA
"PBANKA_010250",84.0747107519478,0.746603249283597,0.456456075293878,0,1,NA
"PBANKA_010260",645.040775265828,-0.218564338668974,0.533675612888197,0,1,1
"PBANKA_010270",97.4045750805531,-2.8616589884,0.752347268060789,-1.14529423443108,0.252087293515444,NA
"PBANKA_010280",239.833598421598,0.869940459790342,0.524264849020174,0,1,NA
"PBANKA_010290",373.728416286429,0.233475250221093,1.14702423650685,0,1,1
"PBANKA_010300",128.74510505325,0.307517968324883,0.717426012320494,0,1,NA
"PBANKA_010310",126.093283120564,1.03245465452248,0.494215210314475,0,1,NA
"PBANKA_010320",269.429106519927,-3.0024219647414,0.953883815616744,-1.0508847601039,0.293311520602407,NA
"PBANKA_010330",1299.44964061188,-1.48744114156793,0.631458403572881,0,1,1
"PBANKA_010340",197.57694170381,-0.317295022989974,0.640982882806933,0,1,NA
"PBANKA_010350",138.10024568978,2.63756403625237,0.726880732471914,0.877123313042283,0.380419663285067,NA
"PBANKA_010360",38.2967645836935,3.4908451290998,0.90966667792853,1.63889165699102,0.101235825576004,NA
"PBANKA_010370",89.1147922168543,0.566116020365049,0.695039820516041,0,1,NA
"PBANKA_010380",174.312599726554,-0.0932314390033249,0.810097311969565,0,1,NA
"PBANKA_010390",473.737220297503,-1.62219353803867,0.455412654137217,0,1,1
"PBANKA_010400",352.969854183932,-2.02831408682114,0.624277621307535,-0.0453549604450595,0.963824380375056,1
"PBANKA_010410",227.655209787489,-2.63742855298265,0.639647841383105,-0.99653045276342,0.318992478359275,NA
"PBANKA_010420",165.200542600176,-2.36553548654238,0.935532670463876,-0.390724448309357,0.696000925452963,NA
"PBANKA_010430",74.118296857888,1.77702709881741,0.674875620903184,0,1,NA
"PBANKA_010440",267.118252012223,-0.935532561524634,0.82071267390576,0,1,NA
"PBANKA_010450",894.531839124969,-3.50416302119706,0.818628832821902,-1.83741759499486,0.0661482713113981,0.672393768175654
"PBANKA_010460",563.974020003931,-0.792961893715412,0.539698884006827,0,1,1
"PBANKA_010470",240.715767926568,-2.80469582135362,0.663049672420073,-1.21362826169049,0.224889709865236,NA
"PBANKA_010480",502.770310339127,0.0386093372263092,1.0138015419868,0,1,1
"PBANKA_010490",398.57115328437,-0.983130352315849,0.387894496630655,0,1,1
"PBANKA_010500",317.788076031697,-1.20857948990968,0.620667643268118,0,1,1
"PBANKA_010510",227.856952515446,-3.49684625294652,1.02604583323605,-1.4588493071753,0.144606588112753,NA
"PBANKA_010520",271.597466159548,0.844360133601314,0.643602047340053,0,1,NA
"PBANKA_010530",850.132508951516,0.662904425625714,0.623103215017548,0,1,1
"PBANKA_010540",381.040276518993,0.55431378591281,0.455006053992259,0,1,1
"PBANKA_010550",361.182761661558,0.0156289653544116,0.676684802862261,0,1,1
"PBANKA_010560",519.547484245769,-0.856446849962535,0.661889779770261,0,1,1
"PBANKA_010570",297.382196225783,0.955045306007159,0.89900876970112,0,1,1
"PBANKA_010580",387.481189161559,-0.124697354473274,0.899058496061581,0,1,1
"PBANKA_010590",149.760112009728,0.352359636517773,0.664034779765179,0,1,NA
"PBANKA_010600",789.250775877404,-0.229227799476958,0.638329572153957,0,1,1
"PBANKA_010610",118.537502474569,0.1266879075358,0.493964143751646,0,1,NA
"PBANKA_010620",257.80203497904,-2.40676255599251,0.617232159924014,-0.659010632308253,0.509888941136813,NA
"PBANKA_010640",422.437688037777,1.31243662856549,0.632546087076708,0,1,1
"PBANKA_010650",391.707091789981,1.35791930964398,0.593653251109944,0,1,1
"PBANKA_010660",237.929037558469,1.59133546940613,0.672562350652848,0,1,NA
"PBANKA_010680",93.2538150985508,-0.654835731613283,0.598906553024211,0,1,NA
"PBANKA_010690",269.890832810597,0.617840443264381,0.564915456819,0,1,NA
"PBANKA_010700",733.774726638808,-0.89594222378187,0.842812309889808,0,1,1
"PBANKA_010710",288.774746544788,-1.17649085494882,0.656603404347175,0,1,NA
"PBANKA_010720",344.091789576559,-3.04475599537053,0.698228750310338,-1.49629472419486,0.134576869341743,1
"PBANKA_010730",557.173418925922,-1.50492545206541,0.624193950574826,0,1,1
"PBANKA_010740",244.101474732357,-1.98156436076154,0.610638719845376,0,1,NA
"PBANKA_010750",204.595248134404,1.99422332401719,0.482421958739703,0,1,NA
"PBANKA_010760",1645.15283507671,2.53227290396486,0.571018860976013,0.932145924313381,0.351261117178475,1
"PBANKA_010770",693.385860749157,-0.23447930231704,0.824473694906004,0,1,1
"PBANKA_010790",649.608923123743,-0.317048723164864,0.501251727983258,0,1,1
"PBANKA_010800",257.387919178176,0.522112640998012,0.622618819964768,0,1,NA
"PBANKA_010810",211.31214976653,0.0406803068755736,0.937585274241547,0,1,NA
"PBANKA_010820",423.956480341202,0.733265014028697,0.822000755181611,0,1,1
"PBANKA_010830",228.975674491296,-2.18353194208129,1.06932960104226,-0.171632714461851,0.863726286658525,NA
"PBANKA_010840",428.298804762481,0.614678721971676,0.513855978228679,0,1,1
"PBANKA_010850",164.868215858205,1.42245735390828,0.619472504651219,0,1,NA
"PBANKA_010860",301.283578701335,-0.0172248921603314,0.423143026377123,0,1,1
"PBANKA_010870",680.855876463506,-2.15572835185175,0.581719694081258,-0.267703420455274,0.788927616743211,1
"PBANKA_010880",572.654533324418,-4.14288290023809,0.884441986994237,-2.42286428250726,0.0153986783149994,0.294817413953192
"PBANKA_010890",102.547638202666,1.03351098768291,0.828905670265079,0,1,NA
"PBANKA_010910",805.445354787323,-1.14309901545702,0.651398220888005,0,1,1
"PBANKA_010920",710.304264734282,0.320893405523001,0.738743722345763,0,1,1
"PBANKA_010930",99.4925837730619,0.292427948101333,0.698033213659441,0,1,NA
"PBANKA_010940",55.0637591023445,-0.357898771357707,0.648841700196937,0,1,NA
"PBANKA_010950",309.537027844052,-0.843987254457463,0.634957705956623,0,1,1
"PBANKA_010960",370.546512506797,-0.0312606530932134,0.713211630304205,0,1,1
"PBANKA_010970",379.536169072878,0.120771087753548,0.686926628418481,0,1,1
"PBANKA_010980",256.252932879601,-2.64217227743675,1.1750252357878,-0.546517860108937,0.584710014222915,NA
"PBANKA_010990",478.230923949824,-3.40196874494666,1.10021956617472,-1.27426269087458,0.20257033413065,1
"PBANKA_011020",159.250806357619,-0.263272645943331,0.521215191298587,0,1,NA
"PBANKA_011030",50.257591961385,2.2583979737185,0.98462331257326,0.262433328988717,0.792987380030407,NA
"PBANKA_011040",323.810410822471,0.29880026718863,0.496676448429905,0,1,1
"PBANKA_011050",1069.92003407209,-1.35095384776047,0.841951658238435,0,1,1
"PBANKA_011070",50.9009006941465,-0.859910290981941,0.696783438748902,0,1,NA
"PBANKA_011080",251.077314641652,-4.15398734530167,0.782869597209688,-2.75139991766053,0.00593411494662145,NA
"PBANKA_011090",374.602695258781,-0.64703691947177,0.609522407458149,0,1,1
"PBANKA_011100",219.740051733041,1.63372890727697,1.03842373656323,0,1,NA
"PBANKA_011110",378.049787271073,0.930456420892559,0.65053355484896,0,1,1
"PBANKA_011120",894.677709995667,-1.1444264338751,0.867516224702683,0,1,1
"PBANKA_011140",297.030340361456,-1.34862859846582,0.534398530602041,0,1,1
"PBANKA_011160",364.936932797918,2.35610334566023,0.91227960728612,0.390344520272222,0.696281806682522,1
"PBANKA_011180",413.425775695657,1.32963049840323,0.446520208688043,0,1,1
"PBANKA_011190",309.703850930637,1.00238286968842,0.674031817631322,0,1,1
"PBANKA_011200",402.724750112492,1.4011219767222,0.534974193017912,0,1,1
"PBANKA_011210",1247.29360255429,0.707828209838781,1.00995780912593,0,1,1
"PBANKA_011230",270.160093555038,1.5916041409729,0.545149519280797,0,1,NA
"PBANKA_011250",398.069774290493,1.33006821654645,0.889202678195657,0,1,1
"PBANKA_020130",183.496863825099,1.99197883917189,1.17268280029912,0,1,NA
"PBANKA_020170",1363.77474722244,0.45140995676945,1.02870683692032,0,1,1
"PBANKA_020180",142.956601146717,1.28096169837998,0.684719102179761,0,1,NA
"PBANKA_020190",134.469527276994,-1.33676765563478,0.585996152291323,0,1,NA
"PBANKA_020200",361.312661364898,-0.118902484558621,0.546151089847524,0,1,1
"PBANKA_020210",29.9265153840273,2.74180015320563,0.719259292857636,1.03133899078096,0.302381879875041,NA
"PBANKA_020220",80.7348255536976,1.0021338054462,0.561025815477844,0,1,NA
"PBANKA_020230",155.664529873999,-0.215439398623923,0.565838642034346,0,1,NA
"PBANKA_020240",206.755441158779,-0.168154226881387,0.52185119636447,0,1,NA
"PBANKA_020250",297.32712773759,-1.75365890944963,0.569188109084651,0,1,1
"PBANKA_020260",64.8699915729511,1.80024595460839,0.848020191448865,0,1,NA
"PBANKA_020270",332.374869862692,-2.43806710778589,0.776925989978929,-0.563846638465227,0.57285850837551,1
"PBANKA_020280",138.720579894011,0.920894832410646,0.610839317255835,0,1,NA
"PBANKA_020290",446.64767638811,-0.400756383804007,0.606239701718632,0,1,1
"PBANKA_020300",930.566134139996,-5.10950689636643,0.801439694384328,-3.8799012803517,0.000104498868665704,0.00942226991255848
"PBANKA_020320",511.691600407708,0.640914844414843,0.719237520148708,0,1,1
"PBANKA_020330",198.883817765773,1.3525521284132,0.548239162354173,0,1,NA
"PBANKA_020340",517.83785534736,0.783579499180849,0.753033645894669,0,1,1
"PBANKA_020350",406.098147820141,0.440600103921804,0.578401329012523,0,1,1
"PBANKA_020360",325.49628290564,-2.98146759810456,0.661995142541654,-1.48259033191139,0.138183287377601,1
"PBANKA_020370",679.205409690033,0.5669129310445,0.568693858714097,0,1,1
"PBANKA_020390",186.892959349296,-1.49603149794955,0.72988996860377,0,1,NA
"PBANKA_020410",966.877410422951,-0.899392157350664,0.738254527765273,0,1,1
"PBANKA_020420",143.341340686034,-2.94423494652249,0.538269622096007,-1.75420441310744,0.0793954873199606,NA
"PBANKA_020440",131.155664394597,-0.944734334359737,0.683388064840064,0,1,NA
"PBANKA_020460",3156.71545883248,-2.88869724328774,1.43224482040817,-0.620492551709473,0.534933556215503,1
"PBANKA_020470",296.009475996993,0.495443123307167,0.528294605236196,0,1,1
"PBANKA_020480",795.091041044072,-0.241158245307663,0.529018408536045,0,1,1
"PBANKA_020490",338.860625049348,-0.342822665067719,0.741113718515628,0,1,1
"PBANKA_020510",245.201745744686,0.379858324453014,0.625342584777404,0,1,NA
