"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,-1.35100711059088,2.28150276588745,0,1,NA
"PBANKA_010080",464.686995921719,0.778040899276915,0.789536903750188,0,1,NA
"PBANKA_010090",918.061686166002,-0.318785922893382,0.990538738868936,0,1,1
"PBANKA_010100",208.357029211728,-0.735762418577392,0.607652717750625,0,1,NA
"PBANKA_010110",105.291743326147,2.7618053479089,0.790876850743345,0.963241429045339,0.335426378833101,NA
"PBANKA_010120",191.338754446582,0.713442964860219,0.6322573514394,0,1,NA
"PBANKA_010130",115.649395130954,-0.010192434956317,0.684431588559307,0,1,NA
"PBANKA_010140",440.920323520482,-0.431586414953298,0.484999311558662,0,1,NA
"PBANKA_010150",251.270364955803,0.847883855812406,0.791736951191027,0,1,NA
"PBANKA_010160",190.344133628196,0.964512563539399,0.564482580770405,0,1,NA
"PBANKA_010170",256.792965388713,-0.214411881093569,0.488526120897193,0,1,NA
"PBANKA_010180",550.74220224868,-1.54445632128367,0.516873007488869,0,1,NA
"PBANKA_010190",194.714464579416,0.05868200009086,0.672280036226766,0,1,NA
"PBANKA_010200",141.825560804924,0.316704547400208,0.563121775392717,0,1,NA
"PBANKA_010210",234.572536167893,-0.359623233432809,0.564324709659358,0,1,NA
"PBANKA_010230",107.665175690093,0.719269230979284,0.693546169388772,0,1,NA
"PBANKA_010240",176.971718922185,2.68621139417488,0.768934919883765,0.892418040110091,0.37216890517465,NA
"PBANKA_010250",84.0747107519478,1.49142448749252,0.457297868975663,0,1,NA
"PBANKA_010260",645.040775265828,1.82415145069575,0.534014710601375,0,1,1
"PBANKA_010270",97.4045750805531,1.52643622572624,0.753991581659809,0,1,NA
"PBANKA_010280",239.833598421598,1.72219389782506,0.524604412040031,0,1,NA
"PBANKA_010290",373.728416286429,2.48698180181996,1.1474005575688,0.424421792901874,0.671258230083326,NA
"PBANKA_010300",128.74510505325,1.12380558754789,0.718274196924043,0,1,NA
"PBANKA_010310",126.093283120564,0.9203507982264,0.494143079363764,0,1,NA
"PBANKA_010320",269.429106519927,1.76302480206886,0.955363425469868,0,1,NA
"PBANKA_010330",1299.44964061188,-1.89377219706057,0.631447462600359,0,1,1
"PBANKA_010340",197.57694170381,0.658591933116621,0.6413338195814,0,1,NA
"PBANKA_010350",138.10024568978,2.71631914369578,0.726990490436818,0.985321201746916,0.324466321616594,NA
"PBANKA_010360",38.2967645836935,3.35039190489562,0.909266124756324,1.48514485267722,0.137505456796547,NA
"PBANKA_010370",89.1147922168543,0.617307188227199,0.6951018950194,0,1,NA
"PBANKA_010380",174.312599726554,-1.4885628018946,0.809441100787859,0,1,NA
"PBANKA_010390",473.737220297503,-1.12020751951531,0.455479203264257,0,1,NA
"PBANKA_010400",352.969854183932,0.313557647920408,0.62485724251801,0,1,NA
"PBANKA_010410",227.655209787489,1.66355357126913,0.641179332127859,0,1,NA
"PBANKA_010420",165.200542600176,1.42695317766471,0.937915855945459,0,1,NA
"PBANKA_010430",74.118296857888,2.61863716409905,0.675885540457166,0.915298711199841,0.360034835522802,NA
"PBANKA_010440",267.118252012223,3.41006691124341,0.821801856759345,1.71582346723309,0.0861943576509169,NA
"PBANKA_010450",894.531839124969,1.42269754377527,0.820399008838558,0,1,1
"PBANKA_010460",563.974020003931,1.07153593598039,0.53997826328338,0,1,NA
"PBANKA_010470",240.715767926568,-0.305079902911372,0.663373038964355,0,1,NA
"PBANKA_010480",502.770310339127,-0.237153034679845,1.01377172842169,0,1,NA
"PBANKA_010490",398.57115328437,-1.86290195085075,0.387750920100838,0,1,NA
"PBANKA_010500",317.788076031697,-0.0496785352168359,0.621169159555431,0,1,NA
"PBANKA_010510",227.856952515446,1.24342574591303,1.02742957157335,0,1,NA
"PBANKA_010520",271.597466159548,-0.512358154186423,0.643284270111188,0,1,NA
"PBANKA_010530",850.132508951516,-0.102282296422899,0.623001864038158,0,1,1
"PBANKA_010540",381.040276518993,-0.238071220450703,0.454855334870905,0,1,NA
"PBANKA_010550",361.182761661558,-1.54545563212601,0.676015070759636,0,1,NA
"PBANKA_010560",519.547484245769,-2.61413416051731,0.661789384625943,-0.927990346754247,0.353412577011684,NA
"PBANKA_010570",297.382196225783,3.31945636549658,0.900483504212123,1.46527544294222,0.142845783627115,NA
"PBANKA_010580",387.481189161559,1.36452790274251,0.899749236518815,0,1,NA
"PBANKA_010590",149.760112009728,1.58355608134177,0.6649628895988,0,1,NA
"PBANKA_010600",789.250775877404,1.17365736114451,0.638701918504587,0,1,1
"PBANKA_010610",118.537502474569,1.88174522403423,0.495780731380316,0,1,NA
"PBANKA_010620",257.80203497904,1.7932344160486,0.618239327603502,0,1,NA
"PBANKA_010640",422.437688037777,0.700034644101819,0.632173644070561,0,1,NA
"PBANKA_010650",391.707091789981,0.125418544611701,0.5931009215256,0,1,NA
"PBANKA_010660",237.929037558469,0.571963360609131,0.671999987850903,0,1,NA
"PBANKA_010680",93.2538150985508,0.849428879468258,0.600140757953283,0,1,NA
"PBANKA_010690",269.890832810597,1.18849099466589,0.565141291644525,0,1,NA
"PBANKA_010700",733.774726638808,-0.868592620826313,0.842828120083293,0,1,1
"PBANKA_010710",288.774746544788,-1.95214693490926,0.656479887548793,0,1,NA
"PBANKA_010720",344.091789576559,1.30764736672244,0.699820906146375,0,1,NA
"PBANKA_010730",557.173418925922,-2.53485361443248,0.624116672838433,-0.856976968745291,0.39145761315577,NA
"PBANKA_010740",244.101474732357,-1.36287082776376,0.610722966797498,0,1,NA
"PBANKA_010750",204.595248134404,1.66893987767002,0.482138130803126,0,1,NA
"PBANKA_010760",1645.15283507671,1.72859278393586,0.570875567279215,0,1,1
"PBANKA_010770",693.385860749157,-1.07655130316097,0.824356719473633,0,1,1
"PBANKA_010790",649.608923123743,0.57828541852852,0.501537702827689,0,1,1
"PBANKA_010800",257.387919178176,1.27530694085469,0.623055129630553,0,1,NA
