"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,0,3.12319787272879,0,1,1
"PBANKA_010080",464.686995921719,1.36412681386145,1.01916258923238,0,1,1
"PBANKA_010090",918.061686166002,0.368971884329235,1.27848819341849,0,1,1
"PBANKA_010100",208.357029211728,-0.53968903638222,0.782564045670314,0,1,1
"PBANKA_010110",105.291743326147,2.72840545368182,1.02162633687656,0.712986174484104,0.475854312384683,1
"PBANKA_010120",191.338754446582,0.556322335064107,0.815449919145938,0,1,1
"PBANKA_010130",115.649395130954,0.363384045294518,0.882139203353853,0,1,1
"PBANKA_010140",440.920323520482,0.185179111777466,0.625507476112633,0,1,1
"PBANKA_010150",251.270364955803,1.62834150184626,1.02221538150628,0,1,1
"PBANKA_010160",190.344133628196,1.48893225388174,0.728482412827808,0,1,1
"PBANKA_010170",256.792965388713,0.340055606619092,0.628932990736237,0,1,1
"PBANKA_010180",550.74220224868,-0.874119767322119,0.665145517807605,0,1,1
"PBANKA_010190",194.714464579416,0.443604037609497,0.866717671716756,0,1,1
"PBANKA_010200",141.825560804924,0.626664315955361,0.725670649467778,0,1,1
"PBANKA_010210",234.572536167893,0.781791338861241,0.727741918545836,0,1,1
"PBANKA_010230",107.665175690093,0.316413503607624,0.893738817796374,0,1,1
"PBANKA_010240",176.971718922185,2.81031494708547,0.992952783240906,0.816065940659006,0.414462422557816,1
"PBANKA_010250",84.0747107519478,1.14842922322491,0.588250383154363,0,1,1
"PBANKA_010260",645.040775265828,2.68288704905324,0.690010688141867,0.989676045297487,0.322332487219925,1
"PBANKA_010270",97.4045750805531,2.24644722105476,0.974720121104943,0.252838959326483,0.800392660390818,1
"PBANKA_010280",239.833598421598,0.598430127285318,0.676115080225684,0,1,1
"PBANKA_010290",373.728416286429,4.53255235988383,1.4843747316501,1.70614084562631,0.0879818592651473,1
"PBANKA_010300",128.74510505325,1.69598329230712,0.927326224329232,0,1,1
"PBANKA_010310",126.093283120564,0.796132411225778,0.636540759376848,0,1,1
"PBANKA_010320",269.429106519927,3.88547029765201,1.24331967631598,1.51648070369059,0.129397845960902,1
"PBANKA_010330",1299.44964061188,-1.96073171699152,0.814713053749627,0,1,1
"PBANKA_010340",197.57694170381,0.686148494608278,0.826802489995975,0,1,1
"PBANKA_010350",138.10024568978,2.31904498970761,0.937948639696251,0.340151876344674,0.733742156705811,1
"PBANKA_010360",38.2967645836935,2.69719921318851,1.17243210082893,0.594660631260077,0.552070342611415,1
"PBANKA_010370",89.1147922168543,0.169316566304348,0.893910935982219,0,1,1
"PBANKA_010380",174.312599726554,-1.2521414049815,1.0410800305202,0,1,1
"PBANKA_010390",473.737220297503,-0.651740844904943,0.586522613112771,0,1,1
"PBANKA_010400",352.969854183932,0.68597402056225,0.805452837675368,0,1,1
"PBANKA_010410",227.655209787489,2.23129038336831,0.828642648568329,0.279119574364068,0.780153061694001,1
"PBANKA_010420",165.200542600176,1.99965112051255,1.21173638853684,0,1,1
"PBANKA_010430",74.118296857888,1.78743008975406,0.870835262235096,0,1,1
"PBANKA_010440",267.118252012223,4.92869396826927,1.06578026150733,2.74793414181572,0.00599720539209242,0.468234639858083
"PBANKA_010450",894.531839124969,3.7519839436269,1.07288844089911,1.63296003278653,0.102477402756877,1
"PBANKA_010460",563.974020003931,-0.866367179940882,0.696111413107647,0,1,1
"PBANKA_010470",240.715767926568,0.132339908452294,0.855133679488886,0,1,1
"PBANKA_010480",502.770310339127,0.78621780148662,1.30852105922453,0,1,1
"PBANKA_010490",398.57115328437,-1.97151349059423,0.498283358361576,0,1,1
"PBANKA_010500",317.788076031697,0.561647892980997,0.800047359433374,0,1,1
"PBANKA_010510",227.856952515446,2.863354037355,1.33127978902258,0.648514342720447,0.516652337239383,1
"PBANKA_010520",271.597466159548,0.267788983099518,0.829799950203665,0,1,1
"PBANKA_010530",850.132508951516,-0.171400722314502,0.803773640646745,0,1,1
"PBANKA_010540",381.040276518993,-0.894334732758301,0.586259453749159,0,1,1
"PBANKA_010550",361.182761661558,-1.27854535561265,0.8692777960006,0,1,1
"PBANKA_010560",519.547484245769,-2.71710649472452,0.853380157557561,-0.840313063731094,0.40073287864292,1
"PBANKA_010570",297.382196225783,3.76317957174391,1.16456973513399,1.51401802618634,0.130021267619402,1
"PBANKA_010580",387.481189161559,0.831888074106736,1.16010830652653,0,1,1
"PBANKA_010590",149.760112009728,1.57597759049049,0.857619623225383,0,1,1
"PBANKA_010600",789.250775877404,0.858067265171457,0.823755106286996,0,1,1
"PBANKA_010610",118.537502474569,0.793742161748271,0.636546848963312,0,1,1
"PBANKA_010620",257.80203497904,2.82957791091167,0.800073460482018,1.0368771767681,0.299793101797769,1
"PBANKA_010640",422.437688037777,0.833966711202594,0.815120210404207,0,1,1
"PBANKA_010650",391.707091789981,-0.852250861279203,0.764116422211663,0,1,1
"PBANKA_010660",237.929037558469,-0.123075280622139,0.866088529468832,0,1,1
"PBANKA_010680",93.2538150985508,0.0923116531384391,0.770632260840741,0,1,1
"PBANKA_010690",269.890832810597,-0.11499874781346,0.728129002405722,0,1,1
"PBANKA_010700",733.774726638808,0.0638175140348012,1.0855971503357,0,1,1
"PBANKA_010710",288.774746544788,-2.08418211590052,0.844984279326899,-0.099625659269748,0.920641522014601,1
"PBANKA_010720",344.091789576559,2.61226913440922,0.907204625673961,0.674896398322886,0.499741588951184,1
"PBANKA_010730",557.173418925922,-2.48066521135403,0.804107614780566,-0.597762292656808,0.549998554124316,1
"PBANKA_010740",244.101474732357,-0.970259859496603,0.786435703158564,0,1,1
"PBANKA_010750",204.595248134404,1.47122390230191,0.621622509113945,0,1,1
"PBANKA_010760",1645.15283507671,0.931263908220614,0.736745484046872,0,1,1
"PBANKA_010770",693.385860749157,-0.288749325290638,1.06334967722016,0,1,1
"PBANKA_010790",649.608923123743,1.06780027897421,0.646884943530711,0,1,1
"PBANKA_010800",257.387919178176,1.10637127454733,0.803244861570271,0,1,1
"PBANKA_010810",211.31214976653,4.39998801414182,1.21488403886648,1.97548732007465,0.0482128721617598,0.818101484850993
"PBANKA_010820",423.956480341202,0.575800193009545,1.06082818311007,0,1,1
"PBANKA_010830",228.975674491296,4.24787581255353,1.39229907208715,1.61450643587934,0.10641762199037,1
"PBANKA_010840",428.298804762481,0.275831808644541,0.662721605083311,0,1,1
"PBANKA_010850",164.868215858205,-0.136769771126529,0.796688241249327,0,1,1
"PBANKA_010860",301.283578701335,-1.43814487947165,0.543586897604151,0,1,1
"PBANKA_010870",680.855876463506,-2.29868048384626,0.749507256221224,-0.398502457937649,0.690259846841487,1
"PBANKA_010880",572.654533324418,0.682756839008218,1.14131363709612,0,1,1
"PBANKA_010890",102.547638202666,-0.683825579863474,1.06602250721573,0,1,1
"PBANKA_010910",805.445354787323,-2.42136189251408,0.839523484956814,-0.501906021766325,0.615733629221344,1
"PBANKA_010920",710.304264734282,-0.582378090431806,0.952939155126667,0,1,1
"PBANKA_010930",99.4925837730619,1.31101078645637,0.900973392729479,0,1,1
"PBANKA_010940",55.0637591023445,0.00205891631489798,0.832346424446017,0,1,1
"PBANKA_010950",309.537027844052,-0.726353071081456,0.81768562593674,0,1,1
"PBANKA_010960",370.546512506797,-0.438776382765753,0.918972295885454,0,1,1
"PBANKA_010970",379.536169072878,0.281551558978166,0.88611147107602,0,1,1
"PBANKA_010980",256.252932879601,5.13865061249331,1.5380695413213,2.04064285012562,0.0412863397164931,0.798024198933724
"PBANKA_010990",478.230923949824,3.1171337939989,1.42373774985355,0.784648573175652,0.432659642645819,1
"PBANKA_011020",159.250806357619,0.172965664717604,0.670312158893927,0,1,1
"PBANKA_011030",50.257591961385,3.4171665434834,1.28235828693868,1.10512526640783,0.26910531380574,1
"PBANKA_011040",323.810410822471,-0.772068012428367,0.638837177529515,0,1,1
"PBANKA_011050",1069.92003407209,0.994698816768256,1.08692942931039,0,1,1
"PBANKA_011070",50.9009006941465,2.11526204665557,0.904273927555384,0.127463640323202,0.898573449225769,1
"PBANKA_011080",251.077314641652,2.56966166852121,1.0216237416909,0.55760417977205,0.577114701670589,1
"PBANKA_011090",374.602695258781,0.439509963909614,0.785564843669622,0,1,1
"PBANKA_011100",219.740051733041,2.40477711745895,1.34179141837084,0.3016691804084,0.762904264803372,1
"PBANKA_011110",378.049787271073,1.11285452443718,0.838639339430677,0,1,1
"PBANKA_011120",894.677709995667,-0.650571547105069,1.11908199439712,0,1,1
"PBANKA_011140",297.030340361456,0.469052812393166,0.688533725019897,0,1,1
"PBANKA_011160",364.936932797918,3.72555740306005,1.1802438414545,1.4620346596628,0.143731712284397,1
"PBANKA_011180",413.425775695657,0.528779159744713,0.574881863410404,0,1,1
"PBANKA_011190",309.703850930637,1.00195712776987,0.869242895803732,0,1,1
"PBANKA_011200",402.724750112492,0.287906870141297,0.688396612863568,0,1,1
"PBANKA_011210",1247.29360255429,4.04038212006463,1.30575506140127,1.56260709253924,0.118145039030813,1
"PBANKA_011230",270.160093555038,1.53869388772052,0.703139033125077,0,1,1
"PBANKA_011250",398.069774290493,0.75754932011153,1.14705005116173,0,1,1
"PBANKA_020130",183.496863825099,1.48300634676061,1.51299029640723,0,1,1
"PBANKA_020170",1363.77474722244,3.00571160072883,1.34051913132893,0.750240393609161,0.453109934777851,1
"PBANKA_020180",142.956601146717,0.019241310646139,0.882492091455246,0,1,1
"PBANKA_020190",134.469527276994,-0.781594786601173,0.752288789417449,0,1,1
"PBANKA_020200",361.312661364898,-0.4752381885368,0.703896430398875,0,1,1
"PBANKA_020210",29.9265153840273,1.9469438355326,0.92252659641687,0,1,1
"PBANKA_020220",80.7348255536976,0.233546503963796,0.720591128903905,0,1,1
"PBANKA_020230",155.664529873999,0.274973829991441,0.729316364504969,0,1,1
"PBANKA_020240",206.755441158779,2.41415630443032,0.676988545103222,0.611762647131904,0.540694806459136,1
"PBANKA_020250",297.32712773759,1.9083355170015,0.735761320869356,0,1,1
"PBANKA_020260",64.8699915729511,2.4674663824722,1.0971321163123,0.426080301106722,0.670049333712077,1
"PBANKA_020270",332.374869862692,2.50687299270798,1.00396747958994,0.504869931558943,0.613650194335322,1
"PBANKA_020280",138.720579894011,0.0797577187743172,0.784477494740883,0,1,1
"PBANKA_020290",446.64767638811,-0.256801905889947,0.7800794127111,0,1,1
"PBANKA_020300",930.566134139996,-2.51755082328067,1.03329285074364,-0.500875258072485,0.616458916326902,1
"PBANKA_020320",511.691600407708,0.304158543316982,0.927867485699909,0,1,1
"PBANKA_020330",198.883817765773,0.30774017047905,0.703671438813164,0,1,1
"PBANKA_020340",517.83785534736,0.500908774565484,0.968417274845881,0,1,1
"PBANKA_020350",406.098147820141,0.202221961795831,0.745507896889567,0,1,1
"PBANKA_020360",325.49628290564,0.688296260468773,0.85405606168727,0,1,1
"PBANKA_020370",679.205409690033,0.722991833928125,0.733709690259466,0,1,1
"PBANKA_020390",186.892959349296,-0.266713949687865,0.940218472398806,0,1,1
"PBANKA_020410",966.877410422951,-1.62993008183583,0.948871367866817,0,1,1
"PBANKA_020420",143.341340686034,0.175528901420385,0.692752030325872,0,1,1
"PBANKA_020440",131.155664394597,-0.199382277207265,0.880043157783226,0,1,1
"PBANKA_020460",3156.71545883248,4.63215741927087,1.86911959157721,1.40823381828114,0.159061845394231,1
"PBANKA_020470",296.009475996993,0.874957215708343,0.681239748579982,0,1,1
"PBANKA_020480",795.091041044072,-0.39864597429927,0.68199308962311,0,1,1
"PBANKA_020490",338.860625049348,0.277649695158555,0.955893601799242,0,1,1
"PBANKA_020510",245.201745744686,1.77268329961495,0.807868080844559,0,1,1
"PBANKA_020520",1315.17574346672,-1.5090272140973,0.750655720563498,0,1,1
"PBANKA_020530",110.454575686892,0.558978928175136,0.675878778364805,0,1,1
"PBANKA_020540",313.523161859455,-1.04118825928322,0.906641498398029,0,1,1
"PBANKA_020550",75.2371526722436,1.15405758404069,0.933425344149532,0,1,1
"PBANKA_020560",149.679563127744,1.10090715018829,0.542717711590092,0,1,1
"PBANKA_020570",52.8515172732006,1.6756064076971,1.1527888970426,0,1,1
