"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,-3.01405622969593,1.68663597125636,-0.601230050216806,0.547686772148284,1
"PBANKA_010080",464.686995921719,3.22044106448327,0.556193195042411,2.19427543407864,0.028215614405159,0.262373511030444
"PBANKA_010090",918.061686166002,-2.06826272556521,0.697340253203695,-0.0978901264506155,0.922019540282043,1
"PBANKA_010100",208.357029211728,-2.2324996652565,0.427293069417358,-0.544122247462451,0.586357351971691,1
"PBANKA_010110",105.291743326147,-3.00728012819636,0.557307935291327,-1.80740316871645,0.0706994402571237,0.587458401172646
"PBANKA_010120",191.338754446582,-1.29244787450084,0.44685408642057,0,1,1
"PBANKA_010130",115.649395130954,-2.05152539395839,0.482891728624374,-0.106701753010299,0.915025591847474,1
"PBANKA_010140",440.920323520482,0.734982437245465,0.341545405375335,0,1,1
"PBANKA_010150",251.270364955803,4.07846121139078,0.557334686770716,3.72928737565879,0.000192022058736144,0.00311602854529476
"PBANKA_010160",190.344133628196,-2.48601478100639,0.400770418290734,-1.21270123448536,0.22524406769597,1
"PBANKA_010170",256.792965388713,1.57211031445742,0.341076627275327,0,1,1
"PBANKA_010180",550.74220224868,2.4002304546705,0.361588565444952,1.10686701106821,0.268351430556348,1
"PBANKA_010190",194.714464579416,-0.432552804260349,0.472178136547678,0,1,1
"PBANKA_010200",141.825560804924,-1.71505480482811,0.397156720688869,0,1,1
"PBANKA_010210",234.572536167893,0.445136504051315,0.395608754896288,0,1,1
"PBANKA_010230",107.665175690093,0.355596271512537,0.488330951652418,0,1,1
"PBANKA_010240",176.971718922185,1.48548662739829,0.542660279827725,0,1,1
"PBANKA_010250",84.0747107519478,0.0781700612802707,0.321559670885379,0,1,1
"PBANKA_010260",645.040775265828,1.46507410181946,0.376239448467322,0,1,1
"PBANKA_010270",97.4045750805531,5.5903998183925,0.534590835538275,6.7161641758736,1.86570580261393e-11,1.40368920203936e-09
"PBANKA_010280",239.833598421598,0.446959837538302,0.369957526241143,0,1,1
"PBANKA_010290",373.728416286429,1.62723735130934,0.808577877492975,0,1,1
"PBANKA_010300",128.74510505325,-0.167877345859986,0.504085035520943,0,1,1
"PBANKA_010310",126.093283120564,0.00151742177146883,0.348746056159535,0,1,1
"PBANKA_010320",269.429106519927,5.44600204051417,0.675223095441096,5.10350144090233,3.33425972800519e-07,1.05321883622027e-05
"PBANKA_010330",1299.44964061188,1.17024986082607,0.444481956221489,0,1,1
"PBANKA_010340",197.57694170381,1.13650002302633,0.451547700428641,0,1,1
"PBANKA_010350",138.10024568978,-1.02829250770235,0.514147435966162,0,1,1
"PBANKA_010360",38.2967645836935,-1.06537536368504,0.646867451881189,0,1,1
"PBANKA_010370",89.1147922168543,-0.953518568689295,0.487553965343899,0,1,1
"PBANKA_010380",174.312599726554,-1.53446878314286,0.566585828043174,0,1,1
"PBANKA_010390",473.737220297503,1.30139141194724,0.319496045129307,0,1,1
"PBANKA_010400",352.969854183932,1.87905866318227,0.438309567144182,0,1,1
"PBANKA_010410",227.655209787489,2.62511941418931,0.449414778185154,1.3909631915392,0.164236588822714,1
"PBANKA_010420",165.200542600176,6.02051404002329,0.671824625219604,5.98446959086842,2.17096142490843e-09,1.09554126539891e-07
"PBANKA_010430",74.118296857888,0.640881059824091,0.478836533932691,0,1,1
"PBANKA_010440",267.118252012223,3.21820706513764,0.579148740234843,2.10344421131548,0.035426957181387,0.321484098281972
"PBANKA_010450",894.531839124969,5.63411467594839,0.579474080519414,6.27140160038037,3.5781239645759e-10,2.08539112188945e-08
"PBANKA_010460",563.974020003931,1.71938375277637,0.380310682536039,0,1,1
"PBANKA_010470",240.715767926568,2.70868622973183,0.465900532114704,1.52111058237072,0.128232089292926,0.963020663328723
"PBANKA_010480",502.770310339127,-0.0595407795699538,0.713881011597534,0,1,1
"PBANKA_010490",398.57115328437,0.604206984427762,0.271488756772825,0,1,1
"PBANKA_010500",317.788076031697,0.450279204479862,0.434202267582556,0,1,1
"PBANKA_010510",227.856952515446,6.99768243812276,0.731709024057277,6.83015006485905,8.48258523905006e-12,6.88253680768415e-10
"PBANKA_010520",271.597466159548,-0.444391800665721,0.453344836621642,0,1,1
"PBANKA_010530",850.132508951516,-0.40097569487693,0.438860845113801,0,1,1
"PBANKA_010540",381.040276518993,-0.0151547042647382,0.320504868763888,0,1,1
"PBANKA_010550",361.182761661558,-2.60325515958403,0.472652727673301,-1.27631794817653,0.201843148062177,1
"PBANKA_010560",519.547484245769,0.460383115702924,0.465593063561468,0,1,1
"PBANKA_010570",297.382196225783,0.361184432562763,0.633946639879458,0,1,1
"PBANKA_010580",387.481189161559,-0.984809130878694,0.631999638511498,0,1,1
"PBANKA_010590",149.760112009728,-0.829968616085416,0.466575160466752,0,1,1
"PBANKA_010600",789.250775877404,0.34144236219631,0.449292355972522,0,1,1
"PBANKA_010610",118.537502474569,0.699402038436646,0.34776094205017,0,1,1
"PBANKA_010620",257.80203497904,3.32218355506227,0.434840773398536,3.04061540671228,0.00236095191985457,0.0297854239157263
"PBANKA_010640",422.437688037777,-1.23782619319596,0.445385495215527,0,1,1
"PBANKA_010650",391.707091789981,-0.741449261974304,0.418499097457404,0,1,1
"PBANKA_010660",237.929037558469,-1.87247600529592,0.473536480106817,0,1,1
"PBANKA_010680",93.2538150985508,1.46543437724548,0.421036638217128,0,1,1
"PBANKA_010690",269.890832810597,-0.15460671549238,0.397887842660547,0,1,1
"PBANKA_010700",733.774726638808,0.208657485565183,0.590505849547066,0,1,1
"PBANKA_010710",288.774746544788,-0.548153365465662,0.45979790337343,0,1,1
"PBANKA_010720",344.091789576559,4.99981272845163,0.493987377945557,6.07265056230292,1.25816040090303e-09,6.50783467367091e-08
