"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,-1.20767987760233,1.8960989218239,0,1,1
"PBANKA_010080",464.686995921719,1.96715652930246,0.625708418066572,0,1,1
"PBANKA_010090",918.061686166002,0.0474550790349009,0.785783923694945,0,1,1
"PBANKA_010100",208.357029211728,1.13392402664949,0.486367385527542,0,1,1
"PBANKA_010110",105.291743326147,-0.615447177896387,0.630257319219042,0,1,1
"PBANKA_010120",191.338754446582,-1.76542218396321,0.502169552813905,0,1,1
"PBANKA_010130",115.649395130954,-0.4725856800528,0.545077029633347,0,1,1
"PBANKA_010140",440.920323520482,0.339294759242641,0.384128079166419,0,1,1
"PBANKA_010150",251.270364955803,0.517201725672841,0.624997453768835,0,1,1
"PBANKA_010160",190.344133628196,0.0498498478282572,0.456060281169171,0,1,1
"PBANKA_010170",256.792965388713,2.21609434644521,0.384353296857947,0.562228419039893,0.573960401109094,1
"PBANKA_010180",550.74220224868,0.0619952230178853,0.40621225138503,0,1,1
"PBANKA_010190",194.714464579416,0.729578988955666,0.532337026048009,0,1,1
"PBANKA_010200",141.825560804924,-0.483461298095287,0.448050550509695,0,1,1
"PBANKA_010210",234.572536167893,-0.307795085113716,0.444743983161807,0,1,1
"PBANKA_010230",107.665175690093,0.184906323311633,0.54914737894097,0,1,1
"PBANKA_010240",176.971718922185,1.55696731939995,0.61073149244525,0,1,1
"PBANKA_010250",84.0747107519478,0.953933428103155,0.363950042366352,0,1,1
"PBANKA_010260",645.040775265828,-0.642927378629242,0.422930155784133,0,1,1
"PBANKA_010270",97.4045750805531,3.31502510478221,0.595410548195858,2.20860229763621,0.0272023154019856,0.241551890844241
"PBANKA_010280",239.833598421598,0.557812247768492,0.416287046237848,0,1,1
"PBANKA_010290",373.728416286429,1.14651144086156,0.910222392127392,0,1,1
"PBANKA_010300",128.74510505325,-2.54169335865726,0.564954642848832,-0.958826280151844,0.33764626764166,1
"PBANKA_010310",126.093283120564,-0.354118580996014,0.391547411667287,0,1,1
"PBANKA_010320",269.429106519927,-0.45543617980751,0.75432601904935,0,1,1
"PBANKA_010330",1299.44964061188,1.92663811314079,0.500722278689805,0,1,1
"PBANKA_010340",197.57694170381,-0.939105268018925,0.506568360309006,0,1,1
"PBANKA_010350",138.10024568978,-3.34003569127142,0.576310767286254,-2.32519634776461,0.0200614635596494,0.186969225697814
"PBANKA_010360",38.2967645836935,-1.74844533798342,0.724634533017618,0,1,1
"PBANKA_010370",89.1147922168543,-1.47790469376016,0.547604511533427,0,1,1
"PBANKA_010380",174.312599726554,-2.52375914771838,0.637027519826658,-0.822192340859787,0.410967437177343,1
