"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,1.91245412675063,1.87792838687042,0,1,NA
"PBANKA_010080",464.686995921719,-1.04524961353486,0.616577796568778,0,1,1
"PBANKA_010090",918.061686166002,1.62653431035717,0.772425729620587,0,1,1
"PBANKA_010100",208.357029211728,1.13703526174369,0.476251773099958,0,1,NA
"PBANKA_010110",105.291743326147,0.470701828383265,0.616611413301846,0,1,NA
"PBANKA_010120",191.338754446582,-0.92212936228279,0.494702135466367,0,1,NA
"PBANKA_010130",115.649395130954,0.273930816521231,0.53641114147432,0,1,NA
"PBANKA_010140",440.920323520482,-0.527902279697182,0.379713260840647,0,1,1
"PBANKA_010150",251.270364955803,-1.04962482021711,0.620514209465844,0,1,NA
"PBANKA_010160",190.344133628196,-0.359402128468147,0.442336921997683,0,1,NA
"PBANKA_010170",256.792965388713,0.895477783449636,0.384055659384325,0,1,NA
"PBANKA_010180",550.74220224868,0.840615682047165,0.40613735889757,0,1,1
"PBANKA_010190",194.714464579416,0.629596086499922,0.526259356958584,0,1,NA
"PBANKA_010200",141.825560804924,0.0975208833291492,0.441823293648786,0,1,NA
"PBANKA_010210",234.572536167893,0.556367314799297,0.442802141153869,0,1,NA
"PBANKA_010230",107.665175690093,-0.627344612131912,0.543488265430007,0,1,NA
"PBANKA_010240",176.971718922185,-2.45811802297168,0.600746916138997,-0.762580731859606,0.445713479330134,NA
"PBANKA_010250",84.0747107519478,-0.824773310563867,0.360199656504705,0,1,NA
"PBANKA_010260",645.040775265828,-1.24650976315048,0.417102055806786,0,1,1
"PBANKA_010270",97.4045750805531,-2.7287408299925,0.595427838497354,-1.22389445517291,0.220992045607989,NA
"PBANKA_010280",239.833598421598,-1.31690029732864,0.410516576125247,0,1,NA
"PBANKA_010290",373.728416286429,-1.86071260153043,0.895001252872039,0,1,NA
"PBANKA_010300",128.74510505325,-0.139640622464896,0.563918855290257,0,1,NA
"PBANKA_010310",126.093283120564,-1.03397207629395,0.388564842060401,0,1,NA
"PBANKA_010320",269.429106519927,-2.44358007577277,0.750109270188246,-0.591353944554572,0.554283292071265,NA
"PBANKA_010330",1299.44964061188,0.317191280741858,0.49285155360348,0,1,1
"PBANKA_010340",197.57694170381,-0.819205000036354,0.502844649241032,0,1,NA
"PBANKA_010350",138.10024568978,-1.60927152855001,0.568309231647195,0,1,NA
"PBANKA_010360",38.2967645836935,-2.42546976541476,0.711523335059419,-0.597970220300966,0.549859803705594,NA
"PBANKA_010370",89.1147922168543,0.387402548324245,0.546080343126965,0,1,NA
"PBANKA_010380",174.312599726554,1.62770022214618,0.635744254213005,0,1,NA
"PBANKA_010390",473.737220297503,0.320802126091431,0.357565500156782,0,1,1
"PBANKA_010400",352.969854183932,0.149255423638868,0.489905876840023,0,1,NA
"PBANKA_010410",227.655209787489,0.0123091387933441,0.501647474223053,0,1,NA
"PBANKA_010420",165.200542600176,-3.65497855348091,0.748365753434141,-2.21145682560494,0.0270042184815737,NA
"PBANKA_010430",74.118296857888,-2.4179081586415,0.530411204817386,-0.78789466520675,0.430758321905798,NA
"PBANKA_010440",267.118252012223,-2.282674503613,0.641355782556659,-0.440745232679069,0.659397446356826,NA
"PBANKA_010450",894.531839124969,-2.12995165475133,0.646191733913355,-0.201103864273131,0.840617360470165,1
"PBANKA_010460",563.974020003931,-0.926421859060961,0.422125734616448,0,1,1
"PBANKA_010470",240.715767926568,0.0960095916217943,0.519677694796981,0,1,NA
"PBANKA_010480",502.770310339127,0.0209314423436446,0.791083621847001,0,1,1
"PBANKA_010490",398.57115328437,0.378923367888087,0.305546312847352,0,1,1
"PBANKA_010500",317.788076031697,0.758300285429817,0.488239581392627,0,1,NA
"PBANKA_010510",227.856952515446,-3.50083618517624,0.812734088546964,-1.84665096041375,0.064797743337695,NA
"PBANKA_010520",271.597466159548,-0.399968332935593,0.503310395392116,0,1,NA
"PBANKA_010530",850.132508951516,-0.261928730748784,0.486535947424203,0,1,1
"PBANKA_010540",381.040276518993,-0.539159081648072,0.356177899089744,0,1,NA
"PBANKA_010550",361.182761661558,2.58762619422962,0.530784827213319,1.10708928383413,0.268255328218652,NA
"PBANKA_010560",519.547484245769,0.396063734259611,0.517252310056176,0,1,1
"PBANKA_010570",297.382196225783,-1.31622973856992,0.702276252001045,0,1,NA
"PBANKA_010580",387.481189161559,1.10950648535197,0.702461035721558,0,1,NA
"PBANKA_010590",149.760112009728,0.477608979567643,0.520018922357352,0,1,NA
"PBANKA_010600",789.250775877404,-0.112214562719352,0.499067185071707,0,1,1
"PBANKA_010610",118.537502474569,-0.826089945972446,0.389602240074801,0,1,NA
"PBANKA_010620",257.80203497904,-0.915420999069757,0.483599009401708,0,1,NA
"PBANKA_010640",422.437688037777,-0.0746104353695285,0.494988809381978,0,1,1
"PBANKA_010650",391.707091789981,-0.61647004766968,0.46478426678887,0,1,NA
"PBANKA_010660",237.929037558469,0.281140535889794,0.525522687023939,0,1,NA
"PBANKA_010680",93.2538150985508,-0.810598645632201,0.47383229884603,0,1,NA
"PBANKA_010690",269.890832810597,-0.463233727772002,0.442094736168355,0,1,NA
"PBANKA_010700",733.774726638808,0.687284738216687,0.661958884519494,0,1,1
"PBANKA_010710",288.774746544788,1.72464422041449,0.514603847979681,0,1,NA
"PBANKA_010720",344.091789576559,-1.9550567330811,0.551655460847576,0,1,NA
"PBANKA_010730",557.173418925922,1.83362244942721,0.488309636127239,0,1,1
"PBANKA_010740",244.101474732357,-0.111140709733204,0.479657185588327,0,1,NA
"PBANKA_010750",204.595248134404,-0.650029378495038,0.377597417236115,0,1,NA
"PBANKA_010760",1645.15283507671,-0.357408975599728,0.445170199009695,0,1,1
"PBANKA_010770",693.385860749157,1.62369044694345,0.643794392843289,0,1,1
"PBANKA_010790",649.608923123743,-0.45662954522897,0.393297966912767,0,1,1
"PBANKA_010800",257.387919178176,-0.176340156940255,0.48766163811356,0,1,NA
"PBANKA_010810",211.31214976653,-1.7366024846953,0.732103252514271,0,1,NA
"PBANKA_010820",423.956480341202,-0.924383320740399,0.64158220031631,0,1,1
"PBANKA_010830",228.975674491296,-1.28662057222243,0.836726038529762,0,1,NA
"PBANKA_010840",428.298804762481,-1.13564580333428,0.402089536342544,0,1,1
"PBANKA_010850",164.868215858205,-0.0180734185859868,0.485150555978252,0,1,NA
"PBANKA_010860",301.283578701335,0.047199317245635,0.333002505762457,0,1,NA
"PBANKA_010870",680.855876463506,0.981912503240391,0.455337991942953,0,1,1
"PBANKA_010880",572.654533324418,2.76118654900728,0.692624493147382,1.09898878329922,0.271772958471356,1
"PBANKA_010890",102.547638202666,0.958221021635012,0.648787161593946,0,1,NA
"PBANKA_010910",805.445354787323,1.76184403848927,0.509131429222828,0,1,1
"PBANKA_010920",710.304264734282,0.478117022515205,0.57662410827106,0,1,1
"PBANKA_010930",99.4925837730619,-0.602055918704341,0.547900529569659,0,1,NA
"PBANKA_010940",55.0637591023445,0.882739033656906,0.514084897541951,0,1,NA
"PBANKA_010950",309.537027844052,1.71818864414589,0.497396621411181,0,1,NA
"PBANKA_010960",370.546512506797,1.25450561971027,0.557886218370903,0,1,NA
"PBANKA_010970",379.536169072878,0.0908986279993727,0.53675374542267,0,1,NA
"PBANKA_010980",256.252932879601,-2.95046330168978,0.921945607363806,-1.03093207896235,0.302572672079727,NA
"PBANKA_010990",478.230923949824,-0.833728977542874,0.85951844797601,0,1,1
"PBANKA_011020",159.250806357619,0.725500987509306,0.410766543477243,0,1,NA
"PBANKA_011030",50.257591961385,0.243551612896778,0.769436267752685,0,1,NA
"PBANKA_011040",323.810410822471,0.944674643543547,0.389415417307307,0,1,NA
"PBANKA_011050",1069.92003407209,-1.37691003223835,0.657104441173453,0,1,1
"PBANKA_011070",50.9009006941465,-1.00203855019094,0.55086537254354,0,1,NA
"PBANKA_011080",251.077314641652,-3.18962868272323,0.630356912479604,-1.88723032804327,0.0591293527884466,NA
"PBANKA_011090",374.602695258781,0.761044349131038,0.478434010674971,0,1,NA
"PBANKA_011100",219.740051733041,0.500241819152387,0.810573712611954,0,1,NA
"PBANKA_011110",378.049787271073,0.780398606882805,0.509480308020809,0,1,NA
"PBANKA_011120",894.677709995667,1.98312409217332,0.67719975370271,0,1,1
"PBANKA_011140",297.030340361456,0.815836117584157,0.421028703484253,0,1,NA
"PBANKA_011160",364.936932797918,-1.63652967122986,0.712189031219091,0,1,NA
"PBANKA_011180",413.425775695657,-0.0849609955274958,0.349706152531536,0,1,1
"PBANKA_011190",309.703850930637,-1.01921474850749,0.528160070277571,0,1,NA
"PBANKA_011200",402.724750112492,0.305006146822956,0.418739082187833,0,1,1
"PBANKA_011210",1247.29360255429,-1.35443127589595,0.78773381879708,0,1,1
"PBANKA_011230",270.160093555038,-0.74803835733545,0.426910601529766,0,1,NA
"PBANKA_011250",398.069774290493,0.51285016898381,0.693921527098386,0,1,1
"PBANKA_020130",183.496863825099,-0.0145840590616741,0.914924374002584,0,1,NA
"PBANKA_020170",1363.77474722244,-2.75671272446812,0.816605196670838,-0.926656758434933,0.354104775483869,1
"PBANKA_020180",142.956601146717,-0.764291045500292,0.535519115763029,0,1,NA
"PBANKA_020190",134.469527276994,-0.118415185715352,0.464378796887452,0,1,NA
"PBANKA_020200",361.312661364898,-0.553757338176292,0.427875040539737,0,1,NA
"PBANKA_020210",29.9265153840273,-0.247108268385884,0.561999777659364,0,1,NA
"PBANKA_020220",80.7348255536976,-0.282474197378555,0.441714697434533,0,1,NA
"PBANKA_020230",155.664529873999,-0.250133227587234,0.443866568809746,0,1,NA
"PBANKA_020240",206.755441158779,-0.544117407796174,0.41021864592782,0,1,NA
"PBANKA_020250",297.32712773759,-1.15604350376196,0.446031455767102,0,1,NA
"PBANKA_020260",64.8699915729511,-0.860372399628431,0.664865199448506,0,1,NA
"PBANKA_020270",332.374869862692,-2.73999554454595,0.608023769539991,-1.21705035496524,0.223585057660567,NA
"PBANKA_020280",138.720579894011,0.642438739598613,0.479904683444882,0,1,NA
"PBANKA_020290",446.64767638811,1.04246042059786,0.476149882237869,0,1,1
"PBANKA_020300",930.566134139996,1.47941307986443,0.626393957481264,0,1,1
"PBANKA_020320",511.691600407708,0.209820632082759,0.561510552957134,0,1,1
"PBANKA_020330",198.883817765773,1.26085864660068,0.429806131361796,0,1,NA
"PBANKA_020340",517.83785534736,-0.15335933094182,0.592742381264869,0,1,1
"PBANKA_020350",406.098147820141,-0.323259605233493,0.452973768748798,0,1,1
"PBANKA_020360",325.49628290564,-1.4097273474537,0.523606748303539,0,1,NA
"PBANKA_020370",679.205409690033,0.0249511867933429,0.44425936345384,0,1,1
"PBANKA_020390",186.892959349296,0.75989487630068,0.572840265925258,0,1,NA
"PBANKA_020410",966.877410422951,2.15979969424407,0.579627388115926,0.275693829381493,0.782783235468858,1
"PBANKA_020420",143.341340686034,0.608146990150953,0.426295830388512,0,1,NA
"PBANKA_020440",131.155664394597,0.427554859008238,0.536834750250275,0,1,NA
"PBANKA_020460",3156.71545883248,0.927796234223234,1.11838408871654,0,1,1
"PBANKA_020470",296.009475996993,-0.232637756468227,0.414064960297345,0,1,NA
"PBANKA_020480",795.091041044072,0.149369565602149,0.413862525851095,0,1,1
"PBANKA_020490",338.860625049348,0.667687857663208,0.579381524466249,0,1,NA
"PBANKA_020510",245.201745744686,0.418873181118726,0.48910804909618,0,1,NA
"PBANKA_020520",1315.17574346672,0.559635215004566,0.454328279056534,0,1,1
"PBANKA_020530",110.454575686892,-0.983617971889839,0.412312568200764,0,1,NA
"PBANKA_020540",313.523161859455,1.63291495215149,0.550976070983171,0,1,NA
"PBANKA_020550",75.2371526722436,-0.55485914715372,0.569229629999504,0,1,NA
"PBANKA_020560",149.679563127744,-1.42483491384395,0.330981570302414,0,1,NA
"PBANKA_020570",52.8515172732006,-1.67413236231166,0.699666385848377,0,1,NA
