"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,0.561447016159749,1.49301764541994,0,1,NA
"PBANKA_010080",464.686995921719,-0.267208714257947,0.556526468943879,0,1,1
"PBANKA_010090",918.061686166002,1.30774838746379,0.697240733534307,0,1,1
"PBANKA_010100",208.357029211728,0.401272843166296,0.425999906970117,0,1,1
"PBANKA_010110",105.291743326147,3.23250717629216,0.558088666554923,2.20844329970078,0.0272133862283481,1
"PBANKA_010120",191.338754446582,-0.208686397422571,0.445733913149627,0,1,1
"PBANKA_010130",115.649395130954,0.263738381564914,0.480880117724278,0,1,1
"PBANKA_010140",440.920323520482,-0.95948869465048,0.341503708153295,0,1,1
"PBANKA_010150",251.270364955803,-0.201740964404705,0.558468710077497,0,1,1
"PBANKA_010160",190.344133628196,0.605110435071251,0.397502052395837,0,1,1
"PBANKA_010170",256.792965388713,0.681065902356067,0.341818273412852,0,1,1
"PBANKA_010180",550.74220224868,-0.703840639236506,0.361820461641864,0,1,1
"PBANKA_010190",194.714464579416,0.688278086590782,0.472303473863444,0,1,1
"PBANKA_010200",141.825560804924,0.414225430729357,0.395669789082526,0,1,1
"PBANKA_010210",234.572536167893,0.196744081366488,0.395858945513583,0,1,1
"PBANKA_010230",107.665175690093,0.0919246188473724,0.488634038991358,0,1,1
"PBANKA_010240",176.971718922185,0.228093371203202,0.543400020136947,0,1,1
"PBANKA_010250",84.0747107519478,0.666651176928657,0.322753488901292,0,1,NA
"PBANKA_010260",645.040775265828,0.577641687545272,0.376720286366127,0,1,1
"PBANKA_010270",97.4045750805531,-1.20230460426626,0.536902466041442,0,1,NA
"PBANKA_010280",239.833598421598,0.405293600496411,0.370438562591043,0,1,1
"PBANKA_010290",373.728416286429,0.626269200289526,0.809111628190059,0,1,1
"PBANKA_010300",128.74510505325,0.984164965082992,0.505291463670348,0,1,1
"PBANKA_010310",126.093283120564,-0.11362127806755,0.348643830326509,0,1,1
"PBANKA_010320",269.429106519927,-0.680555273703914,0.677311726896043,0,1,1
"PBANKA_010330",1299.44964061188,-1.57658091631871,0.444466412652104,0,1,1
"PBANKA_010340",197.57694170381,-0.160613066919734,0.452045725854832,0,1,1
"PBANKA_010350",138.10024568978,1.10704761514577,0.51430259579801,0,1,1
"PBANKA_010360",38.2967645836935,0.924922139480857,0.646304045837052,0,1,NA
"PBANKA_010370",89.1147922168543,1.00470973655144,0.487642452595098,0,1,NA
"PBANKA_010380",174.312599726554,0.139137420251579,0.565647186638528,0,1,1
"PBANKA_010390",473.737220297503,-0.799405393423875,0.319590897773192,0,1,1
"PBANKA_010400",352.969854183932,0.462813071559276,0.439134720041158,0,1,1
"PBANKA_010410",227.655209787489,1.67586271006247,0.451591872837764,0,1,1
"PBANKA_010420",165.200542600176,-2.22802537581621,0.675139327225232,-0.337745657260662,0.735554864908023,1
"PBANKA_010430",74.118296857888,0.200729005457549,0.480258875735723,0,1,NA
"PBANKA_010440",267.118252012223,1.12739240763041,0.580691195611629,0,1,1
"PBANKA_010450",894.531839124969,-0.707254110976061,0.58197214893241,0,1,1
"PBANKA_010460",563.974020003931,0.145114076919432,0.380707045991155,0,1,1
"PBANKA_010470",240.715767926568,-0.209070311289578,0.466360619023313,0,1,1
"PBANKA_010480",502.770310339127,-0.2162215923362,0.713838671825431,0,1,1
"PBANKA_010490",398.57115328437,-1.48397858296267,0.271283579559954,0,1,1
"PBANKA_010500",317.788076031697,0.708621750212981,0.434918855763424,0,1,1
"PBANKA_010510",227.856952515446,-2.25741043926321,0.733648127662861,-0.350863621888092,0.725690664120261,1
"PBANKA_010520",271.597466159548,-0.912326487122016,0.452893582804829,0,1,1
"PBANKA_010530",850.132508951516,-0.364211027171683,0.438716932992792,0,1,1
"PBANKA_010540",381.040276518993,-0.777230302098775,0.320290863636276,0,1,1
"PBANKA_010550",361.182761661558,1.0421705621036,0.47169338930185,0,1,1
"PBANKA_010560",519.547484245769,-2.2180704262577,0.465450330052391,-0.468514924531586,0.639416400681326,1
"PBANKA_010570",297.382196225783,2.00322662692666,0.636036257101231,0.00507302357473535,0.995952330174651,1
"PBANKA_010580",387.481189161559,2.47403438809448,0.632981875409299,0.748890934338295,0.45392294486997,1
"PBANKA_010590",149.760112009728,2.06116506090941,0.467895113661399,0.130723871918172,0.895993747332072,1
"PBANKA_010600",789.250775877404,1.06144279842516,0.449821208462779,0,1,1
"PBANKA_010610",118.537502474569,1.05565527806179,0.350336455567608,0,1,1
"PBANKA_010620",257.80203497904,0.87781341697884,0.436269213010232,0,1,1
"PBANKA_010640",422.437688037777,0.62542420873229,0.444856384588215,0,1,1
"PBANKA_010650",391.707091789981,-0.491051503057979,0.417715231489301,0,1,1
"PBANKA_010660",237.929037558469,0.853103896498925,0.472737416950763,0,1,1
"PBANKA_010680",93.2538150985508,0.0388302338360573,0.422790399635615,0,1,NA
"PBANKA_010690",269.890832810597,0.725257266893891,0.398208414887892,0,1,1
"PBANKA_010700",733.774726638808,-0.181307882609626,0.590528414805993,0,1,1
"PBANKA_010710",288.774746544788,-0.227502714494768,0.459621500742957,0,1,1
"PBANKA_010720",344.091789576559,-0.647409366358661,0.496235271749144,0,1,1
"PBANKA_010730",557.173418925922,-0.701231165005263,0.437777529186712,0,1,1
"PBANKA_010740",244.101474732357,-1.47401153749696,0.428996515685608,0,1,1
"PBANKA_010750",204.595248134404,1.01891049917499,0.340087902717688,0,1,1
"PBANKA_010760",1645.15283507671,1.37118380833614,0.402196223367287,0,1,1
"PBANKA_010770",693.385860749157,0.547139143782482,0.579437184999764,0,1,1
"PBANKA_010790",649.608923123743,0.121655873299549,0.353116875971246,0,1,1
"PBANKA_010800",257.387919178176,1.09896678391444,0.438771577205723,0,1,1
"PBANKA_010810",211.31214976653,1.81984960332065,0.662900777962201,0,1,1
"PBANKA_010820",423.956480341202,-0.596090571301002,0.579195436127599,0,1,1
"PBANKA_010830",228.975674491296,0.433781707950622,0.75539385430215,0,1,1
"PBANKA_010840",428.298804762481,0.522678215514689,0.362842337795325,0,1,1
"PBANKA_010850",164.868215858205,-0.151191050678343,0.43469609369837,0,1,1
"PBANKA_010860",301.283578701335,-1.04290206311862,0.296398997932833,0,1,1
"PBANKA_010870",680.855876463506,-0.863530920386466,0.408397756187436,0,1,1
"PBANKA_010880",572.654533324418,1.68909325564682,0.619604910328009,0,1,1
"PBANKA_010890",102.547638202666,0.119811129466123,0.580493205292948,0,1,1
"PBANKA_010910",805.445354787323,-0.46247614951957,0.4573224116518,0,1,1
"PBANKA_010920",710.304264734282,-0.295199595998079,0.519804553965075,0,1,1
"PBANKA_010930",99.4925837730619,-0.140577227978897,0.491640397316801,0,1,1
"PBANKA_010940",55.0637591023445,0.6278854584614,0.450930243670735,0,1,NA
"PBANKA_010950",309.537027844052,1.10901779391456,0.444965610012422,0,1,1
"PBANKA_010960",370.546512506797,0.74803289492354,0.500600976192957,0,1,1
"PBANKA_010970",379.536169072878,-0.0714077915197691,0.483412062706724,0,1,1
"PBANKA_010980",256.252932879601,-0.987226075917784,0.833395918560386,0,1,1
"PBANKA_010990",478.230923949824,-0.428936169980959,0.775512587200762,0,1,1
"PBANKA_011020",159.250806357619,0.208135132690197,0.363973808890761,0,1,1
"PBANKA_011030",50.257591961385,1.39340225369577,0.690739156528171,0,1,NA
"PBANKA_011040",323.810410822471,-0.121948001397731,0.347691908070933,0,1,1
"PBANKA_011050",1069.92003407209,-0.103215021262069,0.593623709123146,0,1,1
"PBANKA_011070",50.9009006941465,1.90621526621168,0.500815043911687,0,1,NA
"PBANKA_011080",251.077314641652,-2.74519155265322,0.564393152899795,-1.32034123522673,0.186721114045408,1
"PBANKA_011090",374.602695258781,1.04178716254472,0.427772812378677,0,1,1
"PBANKA_011100",219.740051733041,1.90111876306162,0.730910805908924,0,1,1
"PBANKA_011110",378.049787271073,2.06052285657201,0.457339303527614,0.132336880091383,0.894717837794444,1
"PBANKA_011120",894.677709995667,0.531848178607538,0.60988027189123,0,1,1
"PBANKA_011140",297.030340361456,0.459534528257586,0.373804544533432,0,1,1
"PBANKA_011160",364.936932797918,1.13596973243831,0.644152733127213,0,1,1
"PBANKA_011180",413.425775695657,0.841411221931725,0.314033596203876,0,1,1
"PBANKA_011190",309.703850930637,0.691496307611796,0.476188445649309,0,1,1
"PBANKA_011200",402.724750112492,0.495375219625343,0.375359903468159,0,1,1
"PBANKA_011210",1247.29360255429,-0.1023675932748,0.711773958685049,0,1,1
"PBANKA_011230",270.160093555038,1.16836231373265,0.384964533850546,0,1,1
"PBANKA_011250",398.069774290493,0.552828568874587,0.625525473230349,0,1,1
"PBANKA_020130",183.496863825099,0.616207210989955,0.825279344814126,0,1,1
"PBANKA_020170",1363.77474722244,0.895315991217321,0.750346540736956,0,1,1
"PBANKA_020180",142.956601146717,-0.233847750000912,0.482332053446197,0,1,1
"PBANKA_020190",134.469527276994,-1.09582482324693,0.409818768770014,0,1,1
"PBANKA_020200",361.312661364898,-1.12330403439145,0.384456843154127,0,1,1
"PBANKA_020210",29.9265153840273,1.80838549922553,0.505064875458914,0,1,NA
"PBANKA_020220",80.7348255536976,0.389095266687721,0.393937306429115,0,1,NA
"PBANKA_020230",155.664529873999,-0.516714718955631,0.397935887281651,0,1,1
"PBANKA_020240",206.755441158779,0.519233912958338,0.368087060041345,0,1,1
"PBANKA_020250",297.32712773759,0.270755704665892,0.402159533575387,0,1,1
"PBANKA_020260",64.8699915729511,1.52123393113473,0.600645156118285,0,1,NA
"PBANKA_020270",332.374869862692,-0.388896952543803,0.549833181952905,0,1,1
"PBANKA_020280",138.720579894011,1.14981582004729,0.427515478568069,0,1,1
"PBANKA_020290",446.64767638811,0.0468169989332432,0.424021200788304,0,1,1
"PBANKA_020300",930.566134139996,-1.77928322061653,0.563004544542558,0,1,1
"PBANKA_020320",511.691600407708,0.468947544243565,0.506255747210259,0,1,1
"PBANKA_020330",198.883817765773,1.07897130790898,0.382102673373482,0,1,1
"PBANKA_020340",517.83785534736,0.210140702846644,0.528303463755491,0,1,1
"PBANKA_020350",406.098147820141,0.164426306376594,0.407204467665813,0,1,1
"PBANKA_020360",325.49628290564,-0.709150366289675,0.468766724813348,0,1,1
"PBANKA_020370",679.205409690033,1.76890129442537,0.400896436615382,0,1,1
"PBANKA_020390",186.892959349296,0.151787806250344,0.511900963636072,0,1,1
"PBANKA_020410",966.877410422951,0.396047144629297,0.515134521289048,0,1,1
"PBANKA_020420",143.341340686034,0.218783530189943,0.375831171704215,0,1,1
"PBANKA_020440",131.155664394597,-0.244174027730382,0.479275878796225,0,1,1
"PBANKA_020460",3156.71545883248,1.93997468557302,1.00852661167726,0,1,1
"PBANKA_020470",296.009475996993,0.442343579093254,0.371864069000723,0,1,1
"PBANKA_020480",795.091041044072,-0.810273110573863,0.371969530659201,0,1,1
"PBANKA_020490",338.860625049348,0.697625104144706,0.521166329122997,0,1,1
"PBANKA_020510",245.201745744686,1.15687208244638,0.439948477613414,0,1,1
"PBANKA_020520",1315.17574346672,-1.24495602257522,0.40942644289164,0,1,1
"PBANKA_020530",110.454575686892,0.111076076856156,0.370358816899515,0,1,1
"PBANKA_020540",313.523161859455,0.104520255663968,0.49343510627387,0,1,1
"PBANKA_020550",75.2371526722436,0.0102178311641085,0.509456440856722,0,1,NA
"PBANKA_020560",149.679563127744,0.250400467464065,0.298096699072827,0,1,1
"PBANKA_020570",52.8515172732006,2.31812968195348,0.638282764284334,0.49841496552109,0.618191590717625,NA
"PBANKA_020590",848.435548054156,-0.439166147196914,0.476405913076776,0,1,1
"PBANKA_020600",146.880875074083,0.142587832461891,0.499999119504674,0,1,1
"PBANKA_020610",233.459326030386,0.982163853190864,0.405388716300077,0,1,1
"PBANKA_020620",204.558277629989,1.05184393317167,0.351083863754827,0,1,1
"PBANKA_020630",464.84325671203,0.165861051526633,0.417359963379598,0,1,1
"PBANKA_020640",111.882959080163,1.86340858148676,0.331634208565713,0,1,1
"PBANKA_020650",264.271368840231,0.90234642448119,0.576153884449003,0,1,1
"PBANKA_020660",682.422821969591,0.140080909832986,0.577028690091126,0,1,1
"PBANKA_020680",254.910515098169,0.206543530623084,0.312480531214101,0,1,1
"PBANKA_020690",120.812590879013,1.34567650312213,0.498631089665583,0,1,1
"PBANKA_020700",507.441641718898,-1.29884221460488,0.427832907818258,0,1,1
"PBANKA_020710",66.2070858500638,0.936666781533218,0.537219152995818,0,1,NA
"PBANKA_020720",163.08757030592,-0.403359384757808,0.392560224467193,0,1,1
"PBANKA_020730",513.429077011055,1.53022850747587,0.511097640460172,0,1,1
"PBANKA_020740",104.672407333104,1.44361730609354,0.308199130173819,0,1,1
"PBANKA_020750",315.409483886065,0.405255536335175,0.477471928037639,0,1,1
"PBANKA_020770",334.156478113322,-0.139219747937901,0.455957758274476,0,1,1
"PBANKA_020780",104.616873263794,0.648289368190313,0.466423001353173,0,1,1
"PBANKA_020790",62.6087477234603,2.37135865733842,0.677253132371478,0.548330660410628,0.583464878337571,NA
"PBANKA_020810",392.50234077167,0.266157175135223,0.370493799851497,0,1,1
"PBANKA_020820",684.194408362222,1.53625688591003,0.376447713701467,0,1,1
"PBANKA_020850",166.4866206457,0.601403831215567,0.49319193001228,0,1,1
"PBANKA_020860",99.054178646255,0.0152541736015326,0.48773292748621,0,1,1
"PBANKA_020870",228.179105021704,-0.730004488225713,0.373205737325267,0,1,1
"PBANKA_020880",2222.21480927899,-0.610447284068019,0.636752978586638,0,1,1
"PBANKA_020890",776.349383797281,2.93413290272392,1.02319665680796,0.91295538986426,0.361266004092068,1
"PBANKA_020900",293.252028113831,1.30971184038593,0.6070260179073,0,1,1
"PBANKA_020910",1416.887871892,3.48987650437867,0.635179857814088,2.34559784295734,0.0189965918996561,0.977662968879621
"PBANKA_020920",237.535484942372,1.04746144503723,0.436699913840551,0,1,1
"PBANKA_020930",647.999149162305,1.31478347860753,0.572516718783587,0,1,1
"PBANKA_020950",1421.25049499056,1.16176259964028,0.681995685996488,0,1,1
"PBANKA_020960",190.650669726905,1.63485543625021,0.439100720664926,0,1,1
"PBANKA_020970",991.78904499717,2.28485660935192,0.599552357995409,0.475115485000058,0.634704661902786,1
