"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,0.106077774657025,2.06810432228955,0,1,1
"PBANKA_010080",464.686995921719,0.208034921645949,0.679947218129032,0,1,1
"PBANKA_010090",918.061686166002,-0.489183494242948,0.853120253765464,0,1,1
"PBANKA_010100",208.357029211728,-2.2293884301623,0.529895813495869,-0.432893456260702,0.665092174162353,1
"PBANKA_010110",105.291743326147,-1.92113112191671,0.683258127224706,0,1,1
"PBANKA_010120",191.338754446582,-0.44915505282042,0.545184226892384,0,1,1
"PBANKA_010130",115.649395130954,-1.30500889738436,0.593010448681093,0,1,1
"PBANKA_010140",440.920323520482,-0.132214601694359,0.418429517946344,0,1,1
"PBANKA_010150",251.270364955803,2.51163466550083,0.681936680556971,0.75026711436456,0.453093844601538,1
"PBANKA_010160",190.344133628196,-2.89526675730279,0.492986785509801,-1.81600558801386,0.0693695149447687,0.380704314113332
"PBANKA_010170",256.792965388713,0.251493751461838,0.422957354501862,0,1,1
"PBANKA_010180",550.74220224868,3.17885091369978,0.446329067133373,2.64121474604187,0.00826093393122016,0.0665053397030915
"PBANKA_010190",194.714464579416,-0.532535706716093,0.580843667709471,0,1,1
"PBANKA_010200",141.825560804924,-1.13407262340367,0.488081578455658,0,1,1
"PBANKA_010210",234.572536167893,1.30929890396433,0.487200811029756,0,1,1
"PBANKA_010230",107.665175690093,-0.456654663931009,0.598727945124194,0,1,1
"PBANKA_010240",176.971718922185,-2.52959871497333,0.662879725641098,-0.798936359776484,0.424327314490281,1
"PBANKA_010250",84.0747107519478,-1.70053667738675,0.398500677922421,0,1,1
"PBANKA_010260",645.040775265828,0.861491717298215,0.459660630653628,0,1,1
"PBANKA_010270",97.4045750805531,-0.453366116382209,0.650584800827342,0,1,1
"PBANKA_010280",239.833598421598,-1.42775270755883,0.452714226180881,0,1,1
"PBANKA_010290",373.728416286429,-1.37998669108265,0.987792159639557,0,1,1
"PBANKA_010300",128.74510505325,2.23417539033238,0.618931680793892,0.378354182859091,0.705167499545558,1
"PBANKA_010310",126.093283120564,-0.678336073526467,0.427396985299522,0,1,1
"PBANKA_010320",269.429106519927,3.45785814454891,0.822037226465437,1.773469737882,0.0761509021152698,0.41299139312318
"PBANKA_010330",1299.44964061188,-0.439196971572865,0.544115059197964,0,1,1
"PBANKA_010340",197.57694170381,1.2564002910089,0.55278284225771,0,1,1
"PBANKA_010350",138.10024568978,0.70247165501905,0.625109444638046,0,1,1
"PBANKA_010360",38.2967645836935,-1.74239979111638,0.782893969334214,0,1,1
"PBANKA_010370",89.1147922168543,0.91178867339511,0.600304510643986,0,1,1
"PBANKA_010380",174.312599726554,2.61699058672171,0.699253310225159,0.882356333104865,0.377584141780449,1
"PBANKA_010390",473.737220297503,1.64986903320933,0.393232309219442,0,1,1
"PBANKA_010400",352.969854183932,2.10896814965692,0.53876386355658,0.202255862034964,0.839716703819526,1
"PBANKA_010410",227.655209787489,0.415384674224668,0.552434978730232,0,1,1
"PBANKA_010420",165.200542600176,4.0988518798031,0.807284560131362,2.59989102165111,0.00932533696601077,0.0733616813029517
"PBANKA_010430",74.118296857888,-1.33853223044008,0.58263616434181,0,1,1
"PBANKA_010440",267.118252012223,-3.6121441958558,0.709409402967649,-2.27251596766517,0.0230553646797277,0.153134990440952
"PBANKA_010450",894.531839124969,5.9949620757744,0.706070182114212,5.65802405620944,1.53125676592946e-08,8.80047291307793e-07
"PBANKA_010460",563.974020003931,0.425687104374828,0.465120134266498,0,1,1
"PBANKA_010470",240.715767926568,1.07807319713484,0.572191730828443,0,1,1
"PBANKA_010480",502.770310339127,-1.80771699133502,0.87413894867317,0,1,1
"PBANKA_010490",398.57115328437,1.08410554794206,0.335623205311138,0,1,1
"PBANKA_010500",317.788076031697,3.41071886355371,0.5361041541913,2.63142684593024,0.00850271700834954,0.0681865174041674
"PBANKA_010510",227.856952515446,3.76726356198702,0.884499445774932,1.99803806596925,0.0457125333757857,0.267550867198021
"PBANKA_010520",271.597466159548,0.927757404997256,0.554477844883855,0,1,1
"PBANKA_010530",850.132508951516,2.09906311663955,0.536508796873926,0.184643974556912,0.853508292224635,1
"PBANKA_010540",381.040276518993,-0.697740535818855,0.392732109427717,0,1,1
"PBANKA_010550",361.182761661558,3.0463973403356,0.584039309901567,1.79165566871169,0.0731881398767653,0.399015181567925
"PBANKA_010560",519.547484245769,-0.370007786205834,0.570870040968475,0,1,1
"PBANKA_010570",297.382196225783,1.67512564730628,0.773982346755756,0,1,1
"PBANKA_010580",387.481189161559,0.966383277778912,0.774864477126954,0,1,1
"PBANKA_010590",149.760112009728,-0.44319850448469,0.57372659077362,0,1,1
"PBANKA_010600",789.250775877404,0.603258690100816,0.550172338089728,0,1,1
"PBANKA_010610",118.537502474569,-0.0838596554761213,0.427671373304872,0,1,1
"PBANKA_010620",257.80203497904,-0.931418411594205,0.533152217506636,0,1,1
"PBANKA_010640",422.437688037777,3.39770583913159,0.544558569550115,2.56667678609172,0.0102678270335337,0.0798651659112075
"PBANKA_010650",391.707091789981,2.94291644185691,0.511068134869918,1.84499165086257,0.065038753147951,0.361248806075465
"PBANKA_010660",237.929037558469,0.945320543695478,0.579157506078627,0,1,1
"PBANKA_010680",93.2538150985508,1.30773136138808,0.518155309130319,0,1,1
"PBANKA_010690",269.890832810597,-1.42189922382004,0.488219094271265,0,1,1
"PBANKA_010700",733.774726638808,6.36691432912404,0.727256688407746,6.00463962550135,1.91757335600425e-09,1.49715444285766e-07
"PBANKA_010710",288.774746544788,0.703389480873757,0.56730599626691,0,1,1
"PBANKA_010720",344.091789576559,4.10397464343556,0.602472988125189,3.49223066412127,0.000479004402211703,0.0063466889555552
"PBANKA_010730",557.173418925922,0.596274118324828,0.538704748044719,0,1,1
"PBANKA_010740",244.101474732357,0.677624826904671,0.527616151701934,0,1,1
"PBANKA_010750",204.595248134404,-0.984480798137241,0.416347257694844,0,1,1
"PBANKA_010760",1645.15283507671,-3.44299953295231,0.492699106853347,-2.92876425566938,0.00340312420236997,0.032597518401405
"PBANKA_010770",693.385860749157,3.37500942263019,0.710148654959127,1.9362275954875,0.0528398321001983,0.301587896869821
"PBANKA_010790",649.608923123743,2.23491892859808,0.43223985643527,0.543492056784131,0.586791058439551,1
