"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,1.23869911519395,1.30774992680693,0,1,1
"PBANKA_010080",464.686995921719,-0.380784491365174,0.433734815034339,0,1,1
"PBANKA_010090",918.061686166002,-1.3814613795164,0.544558326692042,0,1,1
"PBANKA_010100",208.357029211728,-1.23381525888965,0.341417812362086,0,1,1
"PBANKA_010110",105.291743326147,-0.477631724323023,0.438572723929622,0,1,1
"PBANKA_010120",191.338754446582,0.727612907196216,0.347873500855148,0,1,1
"PBANKA_010130",115.649395130954,0.0813250058417125,0.37948054150545,0,1,1
"PBANKA_010140",440.920323520482,-0.342130639775536,0.266554835179794,0,1,1
"PBANKA_010150",251.270364955803,2.3175669674007,0.433351024745638,0.732816929617521,0.463670094238786,1
"PBANKA_010160",190.344133628196,-2.26766896380223,0.319225823478425,-0.838494081981172,0.401753270058066,1
"PBANKA_010170",256.792965388713,-0.0609554732744709,0.267707248586097,0,1,1
"PBANKA_010180",550.74220224868,2.53032235020556,0.281779165060317,1.88204954788634,0.0598292885675621,0.276927959835092
"PBANKA_010190",194.714464579416,-0.243724834869824,0.370099931919733,0,1,1
"PBANKA_010200",141.825560804924,-0.402886825118913,0.311755011526907,0,1,1
"PBANKA_010210",234.572536167893,1.83009442038744,0.308896953768731,0,1,1
"PBANKA_010230",107.665175690093,0.807201287392139,0.381883797480055,0,1,1
"PBANKA_010240",176.971718922185,-1.40860428361094,0.424246547889169,0,1,1
"PBANKA_010250",84.0747107519478,-0.926147686173847,0.256043820894018,0,1,1
"PBANKA_010260",645.040775265828,0.70607351210689,0.29308767332456,0,1,1
"PBANKA_010270",97.4045750805531,-0.225299146021734,0.414349662539224,0,1,1
"PBANKA_010280",239.833598421598,-1.21933342607991,0.289290537637447,0,1,1
"PBANKA_010290",373.728416286429,-2.28719863919853,0.630879451674913,-0.455235367764871,0.648939918594683,1
"PBANKA_010300",128.74510505325,3.27704432057477,0.392054141005861,3.25731624029875,0.00112471053872433,0.00799665328048328
"PBANKA_010310",126.093283120564,-0.173416976373188,0.272302795950228,0,1,1
"PBANKA_010320",269.429106519927,4.14968561414386,0.523090387884481,4.10958729874156,3.96366853403503e-05,0.000377049664226137
"PBANKA_010330",1299.44964061188,-2.26045209522983,0.347167268537874,-0.750220769160502,0.453121752045882,1
"PBANKA_010340",197.57694170381,2.67286201957437,0.351789496491753,1.91268365395937,0.0557885630414123,0.260850930921315
"PBANKA_010350",138.10024568978,1.90548657598801,0.398461765141649,0,1,1
"PBANKA_010360",38.2967645836935,-0.0368011514753485,0.50138755796775,0,1,1
"PBANKA_010370",89.1147922168543,2.25576649478863,0.380803979514899,0.671648692102564,0.501807372125786,1
"PBANKA_010380",174.312599726554,3.24304117112741,0.441948519728305,2.8126379332407,0.00491369442052279,0.0300337777136238
"PBANKA_010390",473.737220297503,1.59863042549202,0.249136773990381,0,1,1
"PBANKA_010400",352.969854183932,2.94285556491594,0.341895536629121,2.75772996106329,0.00582042579146943,0.0350581105168857
"PBANKA_010410",227.655209787489,1.03493033142369,0.351332075141089,0,1,1
"PBANKA_010420",165.200542600176,5.17447033401903,0.511843815805224,6.2020292831418,5.57397028064557e-10,1.15325445106557e-08
"PBANKA_010430",74.118296857888,-0.572583610684068,0.372388776219454,0,1,1
"PBANKA_010440",267.118252012223,-3.31597624748154,0.455206750684286,-2.89094185335193,0.00384089177955533,0.0239361599153614
"PBANKA_010450",894.531839124969,6.79721798469629,0.448023821222132,10.70750651519,9.38557153299767e-27,1.14227926481013e-24
"PBANKA_010460",563.974020003931,-0.509602381265682,0.296383965368297,0,1,1
"PBANKA_010470",240.715767926568,1.58762097405731,0.363716419257465,0,1,1
"PBANKA_010480",502.770310339127,-4.02484827406244,0.558579264043018,-3.62499721061342,0.000288964570655651,0.00231283441658237
"PBANKA_010490",398.57115328437,-0.054889323868493,0.211706123898327,0,1,1
"PBANKA_010500",317.788076031697,3.94514902104189,0.338411581056717,5.74787959374205,9.03695527651689e-09,1.57540471545759e-07
"PBANKA_010510",227.856952515446,4.79088822982598,0.562494264880248,4.96162966287335,6.99041813483169e-07,9.12503162206105e-06
"PBANKA_010520",271.597466159548,1.25725674187188,0.353065862452783,0,1,1
"PBANKA_010530",850.132508951516,1.46780926964295,0.341910985618506,0,1,1
"PBANKA_010540",381.040276518993,-0.565269163683571,0.250455718436998,0,1,1
"PBANKA_010550",361.182761661558,3.55488242971317,0.368723575899861,4.2169324972468,2.47648067736539e-05,0.000251168554973971
"PBANKA_010560",519.547484245769,-0.646218061948482,0.363981124745232,0,1,1
"PBANKA_010570",297.382196225783,3.29989749341582,0.493810311881541,2.63238223694213,0.00847884112682056,0.0493466168534226
"PBANKA_010580",387.481189161559,1.27386341862602,0.493369000319651,0,1,1
"PBANKA_010590",149.760112009728,0.223868298464546,0.365530153545681,0,1,1
"PBANKA_010600",789.250775877404,0.823575114030083,0.350479165119564,0,1,1
"PBANKA_010610",118.537502474569,0.452016972639584,0.271509323338446,0,1,1
"PBANKA_010620",257.80203497904,-1.03683016930183,0.340187803288259,0,1,1
"PBANKA_010640",422.437688037777,3.58257131267525,0.345770943634555,4.57693551702212,4.71836820768901e-06,5.30559990310247e-05
"PBANKA_010650",391.707091789981,3.21234530504002,0.324713969940142,3.733579141247,0.00018877783867303,0.00156545630546894
"PBANKA_010660",237.929037558469,1.88899884344494,0.368714428498856,0,1,1
"PBANKA_010680",93.2538150985508,1.84793545907475,0.327116271035645,0,1,1
"PBANKA_010690",269.890832810597,-1.80983553415605,0.311924239393296,0,1,1
"PBANKA_010700",733.774726638808,6.5205335601029,0.459561205288036,9.83663004641481,7.82893653493031e-23,5.78502488956101e-21
"PBANKA_010710",288.774746544788,0.944463637750679,0.359974402987133,0,1,1
"PBANKA_010720",344.091789576559,5.06284821768038,0.382049806122812,8.01688201013197,1.08463219023225e-15,4.04343063349646e-14
"PBANKA_010730",557.173418925922,0.244794428729965,0.342462586836359,0,1,1
"PBANKA_010740",244.101474732357,0.523883289316943,0.334776047727379,0,1,1
"PBANKA_010750",204.595248134404,-0.681918448612044,0.265661867927741,0,1,1
"PBANKA_010760",1645.15283507671,-4.73983657427478,0.315653730434225,-8.6798802298511,3.96185808067059e-18,1.74406050402286e-16
"PBANKA_010770",693.385860749157,3.39461205315803,0.45206919624347,3.08495262394949,0.00203584579020608,0.0136316017473669
"PBANKA_010790",649.608923123743,0.918929483666308,0.274078737496248,0,1,1
"PBANKA_010800",257.387919178176,-0.851095782794938,0.34349760355606,0,1,1
"PBANKA_010810",211.31214976653,-0.0254086269930292,0.516246922848794,0,1,1
"PBANKA_010820",423.956480341202,-2.85249885496015,0.453137359925452,-1.88132546630098,0.0599276588586537,0.277073354588948
"PBANKA_010830",228.975674491296,2.17027455879401,0.586726341771757,0.290211205244047,0.771654664385141,1
"PBANKA_010840",428.298804762481,-2.37385564267688,0.283340213928415,-1.31945846123817,0.187015888374076,0.745496273534722
"PBANKA_010850",164.868215858205,2.5156789396951,0.338930810095604,1.5214873488475,0.128137583705942,0.535048760217141
"PBANKA_010860",301.283578701335,0.913462632594943,0.231153416258066,0,1,1
"PBANKA_010870",680.855876463506,1.47357211831245,0.318387013591945,0,1,1
"PBANKA_010880",572.654533324418,1.25122498172047,0.483179733313118,0,1,1
"PBANKA_010890",102.547638202666,0.116339252716591,0.459032780013429,0,1,1
"PBANKA_010910",805.445354787323,2.81406532448759,0.356952883958024,2.28059601441214,0.0225723633665974,0.118684167231233
"PBANKA_010920",710.304264734282,-1.02257122193286,0.405587327714899,0,1,1
"PBANKA_010930",99.4925837730619,0.555059841524419,0.382941188722149,0,1,1
"PBANKA_010940",55.0637591023445,0.0920208727228418,0.357528349323674,0,1,1
"PBANKA_010950",309.537027844052,0.962993540774578,0.348048330907586,0,1,1
"PBANKA_010960",370.546512506797,3.40446318871199,0.390481920440445,3.59674319140776,0.000322226324879316,0.00254946946912163
"PBANKA_010970",379.536169072878,0.113616171430752,0.377475685544629,0,1,1
"PBANKA_010980",256.252932879601,3.35367659884593,0.644985785896518,2.09876966042646,0.0358372105532225,0.176121588205742
"PBANKA_010990",478.230923949824,0.618989897351554,0.603954899401148,0,1,1
"PBANKA_011020",159.250806357619,1.79068245080902,0.283845142257129,0,1,1
"PBANKA_011030",50.257591961385,-2.3692319933679,0.551241933934453,-0.669818405745239,0.502973558898776,1
"PBANKA_011040",323.810410822471,0.857200686300051,0.27159211303914,0,1,1
"PBANKA_011050",1069.92003407209,-0.627489910367664,0.462607417864399,0,1,1
"PBANKA_011070",50.9009006941465,0.161163861967642,0.382586381722687,0,1,1
"PBANKA_011080",251.077314641652,4.59286039645692,0.425937501957191,6.08741983164826,1.14744798593905e-09,2.23968856878104e-08
"PBANKA_011090",374.602695258781,4.04192326617636,0.332644145328199,6.13846146055485,8.33245211189376e-10,1.67377120577749e-08
"PBANKA_011100",219.740051733041,1.11039590844739,0.569024313554103,0,1,1
"PBANKA_011110",378.049787271073,3.21603546670306,0.354824873742507,3.42714267429157,0.000609968493996536,0.00458085231970538
"PBANKA_011120",894.677709995667,0.0279417643148649,0.475900163623554,0,1,1
"PBANKA_011140",297.030340361456,3.58628021861181,0.291030900302718,5.45055599581293,5.02125892426034e-08,7.75297366738406e-07
"PBANKA_011160",364.936932797918,-0.290911993512956,0.500759995774925,0,1,1
"PBANKA_011180",413.425775695657,-0.89504906355444,0.245387835427261,0,1,1
"PBANKA_011190",309.703850930637,-1.0258881381293,0.369505439819754,0,1,1
"PBANKA_011200",402.724750112492,2.35552175258044,0.291933388949631,1.21781805726162,0.223293120767531,0.866779487557265
"PBANKA_011210",1247.29360255429,-4.95873327736951,0.556006952058703,-5.32139619192591,1.02973865081947e-07,1.50567439473179e-06
"PBANKA_011230",270.160093555038,-0.167864208029663,0.298466917937723,0,1,1
"PBANKA_011250",398.069774290493,-2.43622952670447,0.489284479632221,-0.891566245944224,0.372625469024208,1
"PBANKA_020130",183.496863825099,-3.06333000084574,0.645985630248494,-1.64605828838128,0.099751759029011,0.43086928900005
"PBANKA_020170",1363.77474722244,8.91066182700789,0.561645043827533,12.304322637502,8.585364748178e-35,2.36841595519737e-32
"PBANKA_020180",142.956601146717,0.499258855702034,0.377372740695096,0,1,1
"PBANKA_020190",134.469527276994,3.65163446489,0.318258891933305,5.1895940907006,2.10752989835726e-07,2.9167086018068e-06
"PBANKA_020200",361.312661364898,1.51606359738373,0.299231030554969,0,1,1
"PBANKA_020210",29.9265153840273,-0.816238675408182,0.410217159753344,0,1,1
"PBANKA_020220",80.7348255536976,1.27475719632528,0.307792100018609,0,1,1
"PBANKA_020230",155.664529873999,0.261773293719471,0.312324352926083,0,1,1
"PBANKA_020240",206.755441158779,1.86462128247843,0.285336336731404,0,1,1
"PBANKA_020250",297.32712773759,-2.2585168750335,0.314687646084015,-0.82150309441917,0.411359762221779,1
"PBANKA_020260",64.8699915729511,2.89155043785042,0.464430703512595,1.91966300054545,0.0549004806347488,0.257571642705885
"PBANKA_020270",332.374869862692,-2.63535981253834,0.430554662271302,-1.47567746493937,0.140030498354319,0.579446202190171
"PBANKA_020280",138.720579894011,1.15160663460326,0.333171844372222,0,1,1
"PBANKA_020290",446.64767638811,2.92035267055016,0.330227717991039,2.78702428781322,0.00531944919522993,0.0322282295312759
"PBANKA_020300",930.566134139996,0.143113497003104,0.439576496491261,0,1,1
"PBANKA_020320",511.691600407708,-3.59110671708923,0.397095235309499,-4.0068642874778,6.15301937231573e-05,0.000562057266283498
"PBANKA_020330",198.883817765773,2.06825280554652,0.298405059381137,0.228725363062121,0.819082380420138,1
"PBANKA_020340",517.83785534736,6.08574470444026,0.408943973329641,9.99096446188933,1.66949375621459e-23,1.3816730326432e-21
"PBANKA_020350",406.098147820141,2.70886280127433,0.316582410982833,2.23910987055047,0.0251487681904726,0.130251242628706
"PBANKA_020360",325.49628290564,4.4418784636526,0.361084495141989,6.76262342057192,1.35515148349306e-11,3.29859814040839e-10
"PBANKA_020370",679.205409690033,2.3610091488022,0.312045857217401,1.15691056443249,0.2473089020578,0.951082004382133
"PBANKA_020390",186.892959349296,-0.913876535407891,0.399927302158022,0,1,1
"PBANKA_020410",966.877410422951,6.74790188544505,0.401988871994202,11.8110281558081,3.42349032315935e-32,7.87022386512967e-30
"PBANKA_020420",143.341340686034,2.17874538615163,0.292696988761129,0.610684062409342,0.541408759107233,1
"PBANKA_020440",131.155664394597,1.65672204931775,0.373991221774461,0,1,1
"PBANKA_020460",3156.71545883248,4.54510690032686,0.785492998152817,3.24013951277986,0.00119471229865509,0.00840768621060334
"PBANKA_020470",296.009475996993,2.63566280587118,0.289347377216598,2.19688463046042,0.0280286867922327,0.143188525859579
"PBANKA_020480",795.091041044072,1.6603145991654,0.289767195636647,0,1,1
"PBANKA_020490",338.860625049348,0.755753563742689,0.406248844927445,0,1,1
"PBANKA_020510",245.201745744686,1.51540308767715,0.343375781409054,0,1,1
"PBANKA_020520",1315.17574346672,0.0160351829581488,0.319490365676583,0,1,1
"PBANKA_020530",110.454575686892,0.324745043127988,0.289248521577342,0,1,1
"PBANKA_020540",313.523161859455,1.83716050255029,0.385471088933902,0,1,1
"PBANKA_020550",75.2371526722436,0.522472194014588,0.396213740796084,0,1,1
"PBANKA_020560",149.679563127744,-0.73198587240657,0.233814343530615,0,1,1
"PBANKA_020570",52.8515172732006,1.03978942336128,0.492406986332291,0,1,1
"PBANKA_020590",848.435548054156,-1.45460583887352,0.372081164185312,0,1,1
"PBANKA_020600",146.880875074083,1.00109669164114,0.390244669640855,0,1,1
"PBANKA_020610",233.459326030386,1.73965624097727,0.315125718315261,0,1,1
"PBANKA_020620",204.558277629989,-0.614998498218034,0.274688968755355,0,1,1
"PBANKA_020630",464.84325671203,1.56708584087983,0.325304417010526,0,1,1
"PBANKA_020640",111.882959080163,-0.688832344073334,0.257052035787463,0,1,1
"PBANKA_020650",264.271368840231,1.12377793448187,0.449839185039587,0,1,1
"PBANKA_020660",682.422821969591,-2.58075543409213,0.450987554797535,-1.28774159711093,0.197835928389016,0.783392413084928
"PBANKA_020680",254.910515098169,-0.819628279401601,0.242377921020191,0,1,1
"PBANKA_020690",120.812590879013,0.861675199948958,0.391576219638498,0,1,1
"PBANKA_020700",507.441641718898,0.340860183345915,0.333849470028622,0,1,1
"PBANKA_020710",66.2070858500638,-0.72264118589035,0.41768289437356,0,1,1
"PBANKA_020720",163.08757030592,-0.137341548411628,0.308469798827119,0,1,1
"PBANKA_020730",513.429077011055,3.33649704197693,0.397435693798176,3.36280073187291,0.000771560359748976,0.00567090012192054
"PBANKA_020740",104.672407333104,-0.185475575806748,0.238808045883702,0,1,1
"PBANKA_020750",315.409483886065,-1.32980480969697,0.372530655573536,0,1,1
"PBANKA_020770",334.156478113322,2.75077041438524,0.354613041436666,2.11715398662045,0.0342467810951649,0.16991988030191
"PBANKA_020780",104.616873263794,-0.785825747456056,0.370025428573887,0,1,1
"PBANKA_020790",62.6087477234603,0.908581280902102,0.52202198197807,0,1,1
"PBANKA_020810",392.50234077167,1.72966981924961,0.289408314693422,0,1,1
"PBANKA_020820",684.194408362222,2.57948442210066,0.294568213664366,1.96723337827933,0.0491563116108376,0.232999790888483
"PBANKA_020850",166.4866206457,0.576942779072322,0.384685986365728,0,1,1
"PBANKA_020860",99.054178646255,1.5627103567665,0.381389056777383,0,1,1
"PBANKA_020870",228.179105021704,-0.277701856449301,0.293668075975294,0,1,1
"PBANKA_020880",2222.21480927899,-3.09154202605152,0.497069792345092,-2.19595325014985,0.028095289710581,0.143351798794555
"PBANKA_020890",776.349383797281,-1.38686697606693,0.797772797199985,0,1,1
"PBANKA_020900",293.252028113831,0.597444557958532,0.470951634098791,0,1,1
"PBANKA_020910",1416.887871892,4.53570192199188,0.491449274862768,5.15964119125,2.47423571066449e-07,3.37900573291408e-06
"PBANKA_020920",237.535484942372,1.46907519829622,0.340158731489078,0,1,1
"PBANKA_020930",647.999149162305,4.42443841600814,0.445463481017586,5.44250767867642,5.25356951890895e-08,8.08151325994247e-07
"PBANKA_020950",1421.25049499056,-0.158294999931615,0.532384251028835,0,1,1
"PBANKA_020960",190.650669726905,-0.187925161642296,0.340606879688987,0,1,1
"PBANKA_020970",991.78904499717,4.15760672091562,0.465821250560354,4.6318340314448,3.62440654196195e-06,4.13736624833135e-05
"PBANKA_020980",203.14770642914,2.03059253363599,0.330986038437805,0.0924284715463555,0.926357619221611,1
"PBANKA_020990",401.226040168832,0.463532335778365,0.415949508274091,0,1,1
"PBANKA_021020",587.873944162204,1.27611669366058,0.310455217434018,0,1,1
"PBANKA_021030",114.463164791562,2.15927267797429,0.422152205586284,0.377287328756439,0.705960087791469,1
"PBANKA_021040",837.926720269736,-0.498033630924682,0.282248769225946,0,1,1
"PBANKA_021050",765.362230173222,-3.7450539519636,0.26356274713963,-6.62101898277419,3.56731152236509e-11,8.33985032742753e-10
"PBANKA_021060",3971.41612616003,-0.648496533879445,0.534577183311044,0,1,1
"PBANKA_021070",142.083004766867,-1.52253255187694,0.235890402987622,0,1,1
"PBANKA_021080",223.377669138257,-0.128408450449279,0.331106382981016,0,1,1
"PBANKA_021090",176.332843840816,-1.04585852328202,0.318921891321525,0,1,1
"PBANKA_021100",171.991952625029,-0.0542486649238951,0.282891606288124,0,1,1
"PBANKA_021110",210.125578831003,-0.336582206850222,0.271061008481997,0,1,1
"PBANKA_021120",234.920498103663,-0.918645865975583,0.366120007648015,0,1,1
"PBANKA_021130",1088.58631399135,2.7346446341843,0.27977480005481,2.62584276368129,0.00864347347789208,0.0499829282157872
"PBANKA_021140",214.402332794769,1.65718534043489,0.307593323058719,0,1,1
"PBANKA_021150",523.221101780166,3.49583562903209,0.422097378929638,3.54381643597327,0.000394379727203915,0.00307333956905801
"PBANKA_021160",154.095884577428,-0.00451613739812321,0.269152388792173,0,1,1
"PBANKA_021170",118.841351020918,-0.946852681314015,0.318814172330179,0,1,1
"PBANKA_021180",107.32143292491,-2.70909136213048,0.331144839397985,-2.14133296904036,0.0322471962377265,0.160769756664714
"PBANKA_021190",297.249921620591,-2.22936652112657,0.228853366508929,-1.0022422856411,0.316226589490858,1
"PBANKA_021200",485.271078761431,-3.87137818758515,0.382891889260953,-4.88748453564067,1.02132514966714e-06,1.30859333828527e-05
"PBANKA_021210",802.279062655482,1.54658944262235,0.309389294928881,0,1,1
"PBANKA_021230",111.819846166587,-0.244216954861116,0.29339275513509,0,1,1
"PBANKA_021240",243.828554059258,1.74655063049657,0.400801393940063,0,1,1
"PBANKA_021250",102.22841738487,2.54396362517459,0.381368432331963,1.42634675305558,0.153768275425643,0.628748145959791
"PBANKA_021270",828.305135032375,0.0886270497543037,0.380946437824772,0,1,1
"PBANKA_021280",204.154090488681,-1.17037480032761,0.377082580206485,0,1,1
"PBANKA_021290",310.748133867244,0.988105465842804,0.288144034547358,0,1,1
"PBANKA_021300",598.746260365464,1.64711636855779,0.293292510968565,0,1,1
"PBANKA_021320",809.939934038524,-2.91086482155797,0.386420722809167,-2.35718419792873,0.0184141103539266,0.0984464969567808
"PBANKA_021330",103.858932693399,-0.647915573912004,0.421205161810315,0,1,1
"PBANKA_021340",708.472022094757,0.316494332673013,0.413241094187829,0,1,1
"PBANKA_021350",639.480547922704,0.630978742762038,0.473775836916717,0,1,1
"PBANKA_021360",409.973631230323,-0.920356530723689,0.295437746744557,0,1,1
"PBANKA_021370",162.894051073706,2.58713822965457,0.308268692041821,1.90463139725819,0.0568280023072482,0.265111920572033
"PBANKA_021380",193.141799604722,1.62286623091156,0.273251441288212,0,1,1
"PBANKA_021390",60.1987452961376,1.13598170854783,0.442305830431846,0,1,1
"PBANKA_021400",497.248176424949,-0.31927452380666,0.574271438582945,0,1,1
"PBANKA_021410",90.9039263348496,-0.226791834763917,0.492177564577727,0,1,1
"PBANKA_021420",442.137746362996,-0.184504352597135,0.342199588775825,0,1,1
"PBANKA_021440",979.925821936911,-2.39081609298223,0.361594648054099,-1.08081271414104,0.279780431705591,1
"PBANKA_021450",115.841685610321,0.13519104258886,0.415934557660978,0,1,1
"PBANKA_021480",422.779071072185,1.35308079378143,0.459158078388461,0,1,1
"PBANKA_030070",526.679440175707,0.628437150759174,0.305092662414781,0,1,1
"PBANKA_030080",100.288810008411,-0.400310704367449,0.337362761138219,0,1,1
"PBANKA_030100",709.527845887998,-2.03641041889632,0.483759136103604,-0.075265594340166,0.940003395547629,1
"PBANKA_030110",228.082704128383,0.562832291935665,0.311143231046955,0,1,1
"PBANKA_030120",77.3000486945346,0.439563490797027,0.31937735929648,0,1,1
"PBANKA_030130",768.169101341298,2.9221892746923,0.385701514920013,2.39094024529186,0.0168052877556623,0.090902327755465
"PBANKA_030140",100.858903655241,1.7206138780743,0.460432159200418,0,1,1
"PBANKA_030150",585.490526885107,-0.305938734189183,0.492486011063084,0,1,1
"PBANKA_030160",1344.07184422851,4.29093819987631,0.450390324425105,5.08656175685069,3.64613029132985e-07,4.88274664903654e-06
"PBANKA_030170",94.5457568279144,0.686723599391925,0.33331964361324,0,1,1
"PBANKA_030180",118.167351417914,-0.345620593720151,0.468708769928301,0,1,1
"PBANKA_030190",592.629907078291,-0.860748659574291,0.33465920600606,0,1,1
"PBANKA_030200",453.003369023105,-0.743295279752768,0.423693954801151,0,1,1
"PBANKA_030210",371.868992764,2.02882871765701,0.353960501996768,0.081446142985964,0.935087154176519,1
"PBANKA_030220",198.5959176613,4.07327462845433,0.383954637215654,5.39979056768064,6.67187392990777e-08,1.00759906284519e-06
"PBANKA_030230",218.154324156665,2.02073417228215,0.365698097564188,0.0566975120194942,0.954786155950283,1
"PBANKA_030240",211.370305736106,0.291050056832457,0.390630437731236,0,1,1
"PBANKA_030250",964.922443803121,3.37445666568676,0.445767358760574,3.08334973091872,0.00204684453037001,0.0136610365591469
"PBANKA_030260",356.137187969944,2.5615236866059,0.406154259525831,1.38253797279254,0.166806579390642,0.670792638987831
"PBANKA_030270",96.615083106151,0.729714340161044,0.381633618015955,0,1,1
"PBANKA_030290",69.9789269275497,-1.27555677069791,0.506193737999927,0,1,1
"PBANKA_030300",91.5702799748916,-0.597812054731065,0.457053028259745,0,1,1
"PBANKA_030310",182.7722065591,1.0570705220729,0.247202656217241,0,1,1
"PBANKA_030320",122.599069803133,1.79461990341363,0.253501197493824,0,1,1
"PBANKA_030330",168.796994082748,-2.54767209247304,0.248281072041485,-2.20585519455759,0.0273941402499498,0.140641380092174
"PBANKA_030340",219.892855313965,0.483513249655379,0.28663990094077,0,1,1
"PBANKA_030350",208.065243157498,4.09036019835495,0.408248477139476,5.1203135232781,3.05028109097385e-07,4.11142122294781e-06
"PBANKA_030360",933.868549611616,2.43782271424591,0.37564345363337,1.16552733718935,0.243805601208558,0.938481467721874
"PBANKA_030370",721.995451988041,-0.86764791811144,0.250124428850612,0,1,1
"PBANKA_030380",575.045416708337,2.28348229001183,0.304539071681775,0.930856879698038,0.351927602303905,1
"PBANKA_030390",693.948057173109,3.41958955734607,0.472816238077261,3.0024128678806,0.00267848637385041,0.0171042848996805
"PBANKA_030410",381.265828455899,2.39499756026296,0.441309025771797,0.895058875290756,0.370755616196167,1
"PBANKA_030420",76.4957148194564,1.86592954789846,0.303594093280092,0,1,1
"PBANKA_030430",204.517043284458,0.903331726718325,0.492419868954609,0,1,1
"PBANKA_030450",1239.31061310685,-0.859449046300923,0.429809442244877,0,1,1
"PBANKA_030460",49.0702572277239,1.63291995553837,0.377881281516107,0,1,1
"PBANKA_030500",1665.60410421808,-5.25812629319353,0.801312323885129,-4.06598800003055,4.78293968981035e-05,0.00044981373719171
"PBANKA_030510",2676.84915300785,-4.90839756442788,0.723128438682416,-4.0219654059342,5.77145359178402e-05,0.000530717221395606
"PBANKA_030520",443.202186930234,1.37264337986895,0.392189403800317,0,1,1
"PBANKA_030530",656.869094049226,1.6501806341164,0.447511073900654,0,1,1
"PBANKA_030540",461.616856089766,-1.0320113462228,0.299875438916388,0,1,1
"PBANKA_030550",386.419539533056,-1.5243429466392,0.344859989473128,0,1,1
"PBANKA_030570",275.679842126127,1.27841302431447,0.303367994351979,0,1,1
"PBANKA_030580",234.457232229552,1.75958736736859,0.230645761557819,0,1,1
