"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,2.45260921353618,2.12682923063683,0.212809381691947,0.831475645825361,1
"PBANKA_010080",464.686995921719,-2.95323235022532,0.743338113409004,-1.28236711266388,0.199713895253107,1
"PBANKA_010090",918.061686166002,0.760514338101429,0.933171877902269,0,1,1
"PBANKA_010100",208.357029211728,1.83122682209021,0.570092588336026,0,1,1
"PBANKA_010110",105.291743326147,-0.225227048095796,0.745566250125003,0,1,1
"PBANKA_010120",191.338754446582,1.50113427192341,0.595565167198823,0,1,1
"PBANKA_010130",115.649395130954,1.78778701239348,0.643346172769387,0,1,1
"PBANKA_010140",440.920323520482,0.224506257405016,0.45573619950102,0,1,1
"PBANKA_010150",251.270364955803,-3.87672024698607,0.743257564605617,-2.52499313341249,0.0115700549957309,0.157287795955745
"PBANKA_010160",190.344133628196,1.88090434593513,0.532536991429855,0,1,1
"PBANKA_010170",256.792965388713,-2.25317621681348,0.455513266621963,-0.555804266011857,0.578344668881288,1
"PBANKA_010180",550.74220224868,-1.69638981543399,0.482655678313759,0,1,1
"PBANKA_010190",194.714464579416,-0.255725282330433,0.630843804766194,0,1,1
"PBANKA_010200",141.825560804924,1.30082937409875,0.528802286901441,0,1,1
"PBANKA_010210",234.572536167893,-0.641880585417803,0.528105118571577,0,1,1
"PBANKA_010230",107.665175690093,-0.447520890359909,0.651225085780844,0,1,1
"PBANKA_010240",176.971718922185,-1.71357999860149,0.724461548814111,0,1,1
"PBANKA_010250",84.0747107519478,-0.744821238208928,0.427525680658607,0,1,1
"PBANKA_010260",645.040775265828,-2.04271578936473,0.50274623749305,-0.0849649110806486,0.932289286702978,1
"PBANKA_010270",97.4045750805531,-4.38809521412624,0.706934669854408,-3.37809887668696,0.000729888312585677,0.0288421266785661
"PBANKA_010280",239.833598421598,-0.852253438034713,0.493512478546597,0,1,1
"PBANKA_010290",373.728416286429,-2.25350655159887,1.08134198526339,-0.234436982059026,0.814645750941065,1
"PBANKA_010300",128.74510505325,-0.816287619223006,0.672320830168307,0,1,1
"PBANKA_010310",126.093283120564,0.112103856296081,0.463485284644651,0,1,1
"PBANKA_010320",269.429106519927,-4.76544676681025,0.897765168559397,-3.0803676324933,0.00206745229297744,0.0477939530074897
"PBANKA_010330",1299.44964061188,0.406331055492642,0.59446412165683,0,1,1
"PBANKA_010340",197.57694170381,-0.975886956106595,0.601956641588815,0,1,1
"PBANKA_010350",138.10024568978,-0.0787551074434181,0.685483491864135,0,1,1
"PBANKA_010360",38.2967645836935,0.140453224204187,0.859614748780515,0,1,1
"PBANKA_010370",89.1147922168543,-0.0511911678621495,0.650132273860829,0,1,1
"PBANKA_010380",174.312599726554,1.39533136289128,0.756335911245385,0,1,1
"PBANKA_010390",473.737220297503,-0.501986018523361,0.426246381430551,0,1,1
"PBANKA_010400",352.969854183932,-2.34187173474155,0.585281311579113,-0.584115241641943,0.559142781015708,1
"PBANKA_010410",227.655209787489,-4.30098212425178,0.601194258733828,-3.82735212591328,0.000129529152127986,0.01177583486714
"PBANKA_010420",165.200542600176,-3.79248866420708,0.878056836411041,-2.04142669344012,0.0412084334490195,0.397483677417349
"PBANKA_010430",74.118296857888,-0.84161006528164,0.636215232411866,0,1,1
"PBANKA_010440",267.118252012223,-4.34559947276805,0.774231690797523,-3.02958339299168,0.00244891285253276,0.0533812792466005
"PBANKA_010450",894.531839124969,-4.92686056497233,0.768948223836396,-3.80631682894044,0.000141051669853804,0.01177583486714
"PBANKA_010460",563.974020003931,-1.86449782969581,0.507959327019917,0,1,1
"PBANKA_010470",240.715767926568,-2.49961591844225,0.622143356209592,-0.803055941135752,0.421942401781052,1
"PBANKA_010480",502.770310339127,0.275762371906154,0.954749621049356,0,1,1
"PBANKA_010490",398.57115328437,0.879771598534903,0.36152232460654,0,1,1
"PBANKA_010500",317.788076031697,-1.15890095469284,0.579659359833133,0,1,1
"PBANKA_010510",227.856952515446,-4.74027199885955,0.964610725874997,-2.8408060633722,0.00449996690506827,0.0806097967669805
"PBANKA_010520",271.597466159548,1.35671828778774,0.604991724949895,0,1,1
"PBANKA_010530",850.132508951516,0.765186722048614,0.586526271166901,0,1,1
"PBANKA_010540",381.040276518993,0.792385006363513,0.427497471060698,0,1,1
"PBANKA_010550",361.182761661558,1.56108459748043,0.631398942845262,0,1,1
"PBANKA_010560",519.547484245769,1.75768731055477,0.622247784089454,0,1,1
"PBANKA_010570",297.382196225783,-2.36441105948942,0.848273258429756,-0.429591591940535,0.667492754402189,1
"PBANKA_010580",387.481189161559,-1.48922525721578,0.845884918556144,0,1,1
"PBANKA_010590",149.760112009728,-1.231196444824,0.624058102166934,0,1,1
"PBANKA_010600",789.250775877404,-1.40288516062147,0.600612896206972,0,1,1
"PBANKA_010610",118.537502474569,-1.75505731649843,0.463623071718238,0,1,1
"PBANKA_010620",257.80203497904,-4.19999697204111,0.580894559137111,-3.78725697708219,0.000152319544360529,0.01189242027479
"PBANKA_010640",422.437688037777,0.612401984463671,0.594136324724749,0,1,1
"PBANKA_010650",391.707091789981,1.23250076503228,0.557571421264832,0,1,1
"PBANKA_010660",237.929037558469,1.019372108797,0.632176291866122,0,1,1
"PBANKA_010680",93.2538150985508,-1.50426461108154,0.559395962427245,0,1,1
"PBANKA_010690",269.890832810597,-0.570650551401511,0.531273702924619,0,1,1
"PBANKA_010700",733.774726638808,-0.0273496029555572,0.787951311272427,0,1,1
"PBANKA_010710",288.774746544788,0.77565607996043,0.614461549127332,0,1,1
"PBANKA_010720",344.091789576559,-4.35240336209297,0.655323802350871,-3.58968093887952,0.000331082954270295,0.017125265809631
"PBANKA_010730",557.173418925922,1.02992816236707,0.585509252000979,0,1,1
"PBANKA_010740",244.101474732357,-0.618693532997784,0.571705134345123,0,1,1
"PBANKA_010750",204.595248134404,0.325283446347165,0.453663934109972,0,1,1
"PBANKA_010760",1645.15283507671,0.803680120028996,0.538189491038961,0,1,1
"PBANKA_010770",693.385860749157,0.842072000843927,0.775263508120342,0,1,1
"PBANKA_010790",649.608923123743,-0.895334141693383,0.470384509204233,0,1,1
"PBANKA_010800",257.387919178176,-0.753194299856682,0.585116183812629,0,1,1
"PBANKA_010810",211.31214976653,-3.51577178114037,0.88460674122254,-1.7134978861291,0.0866209819185001,0.724116410462128
"PBANKA_010820",423.956480341202,0.4049722645893,0.774290173001769,0,1,1
"PBANKA_010830",228.975674491296,-3.90393422225434,1.00696392088505,-1.89076706996704,0.0586554448096308,0.525359806541672
"PBANKA_010840",428.298804762481,-1.04364529687729,0.483762951763936,0,1,1
"PBANKA_010850",164.868215858205,1.55557498600064,0.580806287170757,0,1,1
"PBANKA_010860",301.283578701335,1.07287648820392,0.394983221687852,0,1,1
"PBANKA_010870",680.855876463506,-0.310284928224891,0.545759967543784,0,1,1
"PBANKA_010880",572.654533324418,-3.07078960687763,0.828504505941044,-1.29243667258199,0.196205963528022,1
"PBANKA_010890",102.547638202666,1.8719208798518,0.776616121359697,0,1,1
"PBANKA_010910",805.445354787323,1.08122117255182,0.611758755365069,0,1,1
"PBANKA_010920",710.304264734282,1.09421002403628,0.695301343762197,0,1,1
"PBANKA_010930",99.4925837730619,-0.169050742624111,0.654802154517145,0,1,1
"PBANKA_010940",55.0637591023445,-0.103045196162201,0.600042086684951,0,1,1
"PBANKA_010950",309.537027844052,-0.23481640422613,0.594779307370979,0,1,1
"PBANKA_010960",370.546512506797,0.475212071693514,0.669354434545226,0,1,1
"PBANKA_010970",379.536169072878,0.28307750727269,0.646104500353075,0,1,1
"PBANKA_010980",256.252932879601,-4.60540950320874,1.10691056198762,-2.35376695523651,0.0185842581654756,0.221648047769219
"PBANKA_010990",478.230923949824,-3.80676155250857,1.03592093158498,-1.74411144462946,0.0811396588065062,0.68661739906201
"PBANKA_011020",159.250806357619,0.254093208875779,0.485193898686199,0,1,1
"PBANKA_011030",50.257591961385,1.10854733291951,0.924430795112999,0,1,1
"PBANKA_011040",323.810410822471,1.36542291212991,0.464685746268696,0,1,1
"PBANKA_011050",1069.92003407209,-2.62464885873675,0.793401470418791,-0.787304891692522,0.43110340682362,1
"PBANKA_011070",50.9009006941465,-3.76816410738456,0.657928878927121,-2.68746997436545,0.00719955747560421,0.109127358366484
"PBANKA_011080",251.077314641652,-4.59842447537167,0.730804282622964,-3.55556821047291,0.000377163073864522,0.0183611858782517
"PBANKA_011090",374.602695258781,-0.927779732885453,0.570620855598586,0,1,1
"PBANKA_011100",219.740051733041,0.232851963367736,0.977509964672645,0,1,1
"PBANKA_011110",378.049787271073,-0.349667828796646,0.610559673913651,0,1,1
"PBANKA_011120",894.677709995667,0.306849479690675,0.816051060393793,0,1,1
"PBANKA_011140",297.030340361456,-0.992327009139253,0.498042696914981,0,1,1
"PBANKA_011160",364.936932797918,-0.416396058007936,0.860217536796177,0,1,1
"PBANKA_011180",413.425775695657,0.403258280944011,0.419169461615392,0,1,1
"PBANKA_011190",309.703850930637,-0.708328186430865,0.634130463713718,0,1,1
"PBANKA_011200",402.724750112492,1.21075290391981,0.501747044134829,0,1,1
"PBANKA_011210",1247.29360255429,-0.544235472782365,0.951899827327795,0,1,1
"PBANKA_011230",270.160093555038,-0.324796530095201,0.512965013633426,0,1,1
"PBANKA_011250",398.069774290493,1.29008981665568,0.836921130742533,0,1,1
"PBANKA_020130",183.496863825099,1.36118756912026,1.10416755207625,0,1,1
"PBANKA_020170",1363.77474722244,-3.20061875891599,0.976941436385175,-1.22895673599275,0.219088027491016,1
"PBANKA_020180",142.956601146717,0.750518402880604,0.64397509703804,0,1,1
"PBANKA_020190",134.469527276994,-0.359358018103199,0.543778766322845,0,1,1
"PBANKA_020200",361.312661364898,0.450644211656535,0.512846081885937,0,1,1
"PBANKA_020210",29.9265153840273,0.686306385594212,0.675707732425958,0,1,1
"PBANKA_020220",80.7348255536976,0.330564341379924,0.524237329713302,0,1,1
"PBANKA_020230",155.664529873999,0.0511420927444732,0.530574119875905,0,1,1
"PBANKA_020240",206.755441158779,-1.2315055476359,0.489425664517972,0,1,1
"PBANKA_020250",297.32712773759,-3.18045811787749,0.535502964453992,-2.20439137826456,0.027496831492569,0.296576710988805
"PBANKA_020260",64.8699915729511,-0.581360376154773,0.798666112995169,0,1,1
"PBANKA_020270",332.374869862692,-4.78916569978803,0.732282685803223,-3.80886473743219,0.00013960629801755,0.01177583486714
"PBANKA_020280",138.720579894011,0.413517751961973,0.570601236171983,0,1,1
