"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,1.24492933593385,1.72613785989132,0,1,1
"PBANKA_010080",464.686995921719,-0.986075820922864,0.626004684377864,0,1,1
"PBANKA_010090",918.061686166002,0.80796941713633,0.785695606770642,0,1,1
"PBANKA_010100",208.357029211728,2.96515084873969,0.485231684117327,1.98905158160761,0.046695509826109,0.255169009351684
"PBANKA_010110",105.291743326147,-0.840674225992184,0.630947789779427,0,1,1
"PBANKA_010120",191.338754446582,-0.264287912039799,0.501173030553554,0,1,1
"PBANKA_010130",115.649395130954,1.31520133234068,0.54329571531772,0,1,1
"PBANKA_010140",440.920323520482,0.563801016647657,0.384091004780809,0,1,1
"PBANKA_010150",251.270364955803,-3.35951852131323,0.626008917089315,-2.17172389114589,0.0298764953632189,0.174370857282087
"PBANKA_010160",190.344133628196,1.93075419376339,0.453190835677506,0,1,1
"PBANKA_010170",256.792965388713,-0.0370818703682692,0.385011588359369,0,1,1
"PBANKA_010180",550.74220224868,-1.63439459241611,0.40641868679662,0,1,1
"PBANKA_010190",194.714464579416,0.473853706625233,0.532448202261476,0,1,1
"PBANKA_010200",141.825560804924,0.817368076003464,0.446733048941216,0,1,1
"PBANKA_010210",234.572536167893,-0.949675670531519,0.444966547451787,0,1,1
"PBANKA_010230",107.665175690093,-0.262614567048276,0.549416917756441,0,1,1
"PBANKA_010240",176.971718922185,-0.156612679201546,0.611388876613349,0,1,1
"PBANKA_010250",84.0747107519478,0.209112189894227,0.365005241053486,0,1,1
"PBANKA_010260",645.040775265828,-2.68564316799397,0.423357967030707,-1.61953529020097,0.105332139801239,0.506230423342077
"PBANKA_010270",97.4045750805531,-1.07307010934403,0.597486918269147,0,1,1
"PBANKA_010280",239.833598421598,-0.294441190266221,0.416714605332576,0,1,1
"PBANKA_010290",373.728416286429,-1.1069951107373,0.9106965718786,0,1,1
"PBANKA_010300",128.74510505325,-3.35798097788027,0.56603134957211,-2.39912679555086,0.0164342228610755,0.106925808489199
"PBANKA_010310",126.093283120564,-0.242014724699933,0.391456363240225,0,1,1
"PBANKA_010320",269.429106519927,-5.22088294661777,0.756196197946462,-4.25932179421748,2.05048098420241e-05,0.000261879330636715
"PBANKA_010330",1299.44964061188,2.33296916863343,0.500708481000331,0.664996063114845,0.506053011131383,1
"PBANKA_010340",197.57694170381,-1.91499222412552,0.507012343210088,0,1,1
"PBANKA_010350",138.10024568978,-3.41879079871484,0.576449195180341,-2.46125905036778,0.0138450359395062,0.0916652139482824
"PBANKA_010360",38.2967645836935,-1.60799211377923,0.724131635687699,0,1,1
"PBANKA_010370",89.1147922168543,-1.52909586162231,0.54768329671642,0,1,1
"PBANKA_010380",174.312599726554,-1.12842778482711,0.636192816863894,0,1,1
"PBANKA_010390",473.737220297503,-0.529661513694027,0.359050019550774,0,1,1
"PBANKA_010400",352.969854183932,-2.42252579757733,0.493049773193018,-0.856963780433424,0.391464901967324,1
"PBANKA_010410",227.655209787489,-2.0789382454938,0.507414511094523,-0.155569546727235,0.876372330822402,1
"PBANKA_010420",165.200542600176,-5.5258050574678,0.739912394576271,-4.76516555650746,1.88698647272613e-06,2.82911232758722e-05
"PBANKA_010430",74.118296857888,-1.28010493365897,0.537380219702938,0,1,1
"PBANKA_010440",267.118252012223,0.202077284612387,0.655077753900175,0,1,1
"PBANKA_010450",894.531839124969,-7.41765961954967,0.647814054336038,-8.36298561799863,6.11506713043472e-17,4.43932417293665e-15
"PBANKA_010460",563.974020003931,-1.49722304035522,0.42788372617358,0,1,1
"PBANKA_010470",240.715767926568,-0.772993294223466,0.524243029356537,0,1,1
"PBANKA_010480",502.770310339127,2.04487002601487,0.804904696635481,0.0557457624516596,0.955544342993961,1
