"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,-1.13262134053693,1.98391767450775,0,1,1
"PBANKA_010080",464.686995921719,0.588819413011123,0.647775292853737,0,1,1
"PBANKA_010090",918.061686166002,0.892277885273451,0.812646219598409,0,1,1
"PBANKA_010100",208.357029211728,-0.995573171272651,0.500358131032747,0,1,1
"PBANKA_010110",105.291743326147,-1.44349939759369,0.647871437451394,0,1,1
"PBANKA_010120",191.338754446582,-1.17676796001664,0.5192215717223,0,1,1
"PBANKA_010130",115.649395130954,-1.38633390322608,0.56327791117789,0,1,1
"PBANKA_010140",440.920323520482,0.209916038081177,0.398434376790909,0,1,1
"PBANKA_010150",251.270364955803,0.194067698100121,0.650195072255589,0,1,1
"PBANKA_010160",190.344133628196,-0.627597793500565,0.46385757573113,0,1,1
"PBANKA_010170",256.792965388713,0.312449224736309,0.402605340022768,0,1,1
"PBANKA_010180",550.74220224868,0.648528563494218,0.425888608001648,0,1,1
"PBANKA_010190",194.714464579416,-0.288810871846269,0.55266035398154,0,1,1
"PBANKA_010200",141.825560804924,-0.73118579828476,0.463386422936721,0,1,1
"PBANKA_010210",234.572536167893,-0.520795516423116,0.464633781638726,0,1,1
"PBANKA_010230",107.665175690093,-1.26385595132315,0.570072576167839,0,1,1
"PBANKA_010240",176.971718922185,-1.1209944313624,0.630436309698024,0,1,1
"PBANKA_010250",84.0747107519478,-0.774388991212904,0.376099700817543,0,1,1
"PBANKA_010260",645.040775265828,0.155418205191325,0.437995646507903,0,1,1
"PBANKA_010270",97.4045750805531,-0.228066970360475,0.619030343207199,0,1,1
"PBANKA_010280",239.833598421598,-0.208419281478922,0.430404225292148,0,1,1
"PBANKA_010290",373.728416286429,0.907211948115875,0.940834702854066,0,1,1
"PBANKA_010300",128.74510505325,-1.04286893024239,0.590959368854995,0,1,1
"PBANKA_010310",126.093283120564,-0.504919097153279,0.406310416458921,0,1,1
"PBANKA_010320",269.429106519927,-0.691827469594951,0.783907357519799,0,1,1
"PBANKA_010330",1299.44964061188,1.82125512365697,0.518210520007648,0,1,1
"PBANKA_010340",197.57694170381,-1.41646172856547,0.527260395256319,0,1,1
"PBANKA_010350",138.10024568978,-1.20301492096896,0.59581329336512,0,1,1
"PBANKA_010360",38.2967645836935,-1.70559863964103,0.744169498726929,0,1,1
"PBANKA_010370",89.1147922168543,-1.34397782139352,0.572906179248329,0,1,1
"PBANKA_010380",174.312599726554,-0.626050584405698,0.667661889884632,0,1,1
"PBANKA_010390",473.737220297503,0.0512386077173123,0.374984734883688,0,1,1
"PBANKA_010400",352.969854183932,-0.833887415259013,0.514043931106522,0,1,1
"PBANKA_010410",227.655209787489,-0.61954565719902,0.526379900736567,0,1,1
"PBANKA_010420",165.200542600176,-1.07561845421594,0.770843988599342,0,1,1
"PBANKA_010430",74.118296857888,-0.765948619756011,0.553820653536706,0,1,1
"PBANKA_010440",267.118252012223,-0.296167948374257,0.673383209348949,0,1,1
"PBANKA_010450",894.531839124969,-0.802255908921895,0.673882154639376,0,1,1
"PBANKA_010460",563.974020003931,0.93528948564051,0.443097685049133,0,1,1
"PBANKA_010470",240.715767926568,-0.509547776922472,0.545456514376229,0,1,1
"PBANKA_010480",502.770310339127,2.21713128272742,0.831789101478953,0.261041269164684,0.794060682057656,1
"PBANKA_010490",398.57115328437,1.13899487181055,0.319829800890608,0,1,1
"PBANKA_010500",317.788076031697,-0.534430157488175,0.512044335498302,0,1,1
"PBANKA_010510",227.856952515446,-1.02362466783896,0.843782969174775,0,1,1
"PBANKA_010520",271.597466159548,-0.329499336874629,0.528425307915103,0,1,1
"PBANKA_010530",850.132508951516,0.631253846996604,0.511309594813942,0,1,1
"PBANKA_010540",381.040276518993,-0.132471372135284,0.373710328572695,0,1,1
"PBANKA_010550",361.182761661558,-0.508485089377565,0.557753982006867,0,1,1
"PBANKA_010560",519.547484245769,0.276210275742648,0.543563124117374,0,1,1
"PBANKA_010570",297.382196225783,-1.62477184610954,0.737780858562631,0,1,1
"PBANKA_010580",387.481189161559,-0.307480140847113,0.738466273488631,0,1,1
"PBANKA_010590",149.760112009728,-0.667066802949236,0.54600335455838,0,1,1
"PBANKA_010600",789.250775877404,-0.220316423929268,0.524228187160286,0,1,1
"PBANKA_010610",118.537502474569,-0.535876628115706,0.407022533824018,0,1,1
"PBANKA_010620",257.80203497904,0.105411757707627,0.507181979045873,0,1,1
"PBANKA_010640",422.437688037777,-0.184865473543655,0.519397549620321,0,1,1
"PBANKA_010650",391.707091789981,-0.269428863183115,0.487396841658825,0,1,1
"PBANKA_010660",237.929037558469,-0.943678299749459,0.552090947289035,0,1,1
"PBANKA_010680",93.2538150985508,-0.540204097686666,0.494423344319092,0,1,1
