"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,-0.0310192375916214,1.80390147625718,0,1,1
"PBANKA_010080",464.686995921719,-1.58637203793729,0.590589176802596,0,1,1
"PBANKA_010090",918.061686166002,1.3340063004815,0.74164407796386,0,1,1
"PBANKA_010100",208.357029211728,0.0998912322401629,0.454006491806513,0,1,1
"PBANKA_010110",105.291743326147,1.09307890221941,0.591709349320282,0,1,1
"PBANKA_010120",191.338754446582,1.03780927676699,0.473855921587525,0,1,1
"PBANKA_010130",115.649395130954,0.391260674211087,0.512571502442073,0,1,1
"PBANKA_010140",440.920323520482,0.00283588053289488,0.362244480620247,0,1,1
"PBANKA_010150",251.270364955803,-2.83476869307355,0.590201451808023,-1.41437926070211,0.157250576092545,1
"PBANKA_010160",190.344133628196,2.21781911597397,0.424404099973802,0.513235183136577,0.607786817771117,1
"PBANKA_010170",256.792965388713,-2.15513887317074,0.361836404806301,-0.428754185897332,0.668102122801268,1
"PBANKA_010180",550.74220224868,-2.59231757322344,0.383640264692226,-1.54394005983347,0.122602854171255,1
"PBANKA_010190",194.714464579416,-0.485854154085841,0.501434719108506,0,1,1
"PBANKA_010200",141.825560804924,0.886348123214199,0.421013810733127,0,1,1
"PBANKA_010210",234.572536167893,-1.52229933527373,0.419901316928092,0,1,1
"PBANKA_010230",107.665175690093,-0.992107610703772,0.517755152182088,0,1,1
"PBANKA_010240",176.971718922185,-0.148363035789011,0.57535494319554,0,1,1
"PBANKA_010250",84.0747107519478,-0.0277857419293073,0.339275433599461,0,1,1
"PBANKA_010260",645.040775265828,-0.0631461334776486,0.399277090902866,0,1,1
"PBANKA_010270",97.4045750805531,-3.08972595876047,0.560759888709791,-1.94330225948889,0.0519796486744626,0.755297687776978
"PBANKA_010280",239.833598421598,0.66152117831142,0.391908815096433,0,1,1
"PBANKA_010290",373.728416286429,1.14068719833697,0.859034996730766,0,1,1
"PBANKA_010300",128.74510505325,-0.73535096191751,0.534163139368171,0,1,1
"PBANKA_010310",126.093283120564,0.527535557369202,0.368414627075509,0,1,1
"PBANKA_010320",269.429106519927,-3.69424943433635,0.712582038776692,-2.37762017864625,0.0174247638816824,0.358724741006973
"PBANKA_010330",1299.44964061188,0.333813982089042,0.472444410841777,0,1,1
"PBANKA_010340",197.57694170381,-1.73375675155545,0.478587642994929,0,1,1
"PBANKA_010350",138.10024568978,1.43454911528341,0.544394821130791,0,1,1
"PBANKA_010360",38.2967645836935,1.78524648945877,0.682612901872116,0,1,1
"PBANKA_010370",89.1147922168543,-0.777861801028474,0.517423086871567,0,1,1
"PBANKA_010380",174.312599726554,-0.719282023409023,0.60218037538622,0,1,1
"PBANKA_010390",473.737220297503,-1.57095493032136,0.338877844211692,0,1,1
"PBANKA_010400",352.969854183932,-2.86220150208015,0.465132984000287,-1.85366665392111,0.0637868652164311,0.849861794789805
"PBANKA_010410",227.655209787489,-3.25697421018167,0.476864003347062,-2.63591758102748,0.00839101098181201,0.221159257597058
"PBANKA_010420",165.200542600176,-3.44115394075832,0.696776541007815,-2.06831581711094,0.0386103353813133,0.62409987424951
"PBANKA_010430",74.118296857888,1.0110784790614,0.504644153913583,0,1,1
"PBANKA_010440",267.118252012223,-1.23170050989889,0.614427402749035,0,1,1
"PBANKA_010450",894.531839124969,-4.30641893011896,0.610199693812131,-3.77977726555376,0.000156968712395367,0.0135320110810839
"PBANKA_010460",563.974020003931,0.142327591925098,0.40346207964291,0,1,1
"PBANKA_010470",240.715767926568,-3.31424359827609,0.494490885137746,-2.6577711294112,0.00786592910025358,0.212739964816008
"PBANKA_010480",502.770310339127,2.25574061995373,0.758739785728399,0.337059720294242,0.736071881041827,1
"PBANKA_010490",398.57115328437,0.155864519494701,0.287469477225469,0,1,1
"PBANKA_010500",317.788076031697,-1.74300964739785,0.460807055686967,0,1,1
"PBANKA_010510",227.856952515446,-4.52047092078547,0.766049095970596,-3.29022112817978,0.00100108677683322,0.051141939290566
"PBANKA_010520",271.597466159548,0.514860796726685,0.481075375352774,0,1,1
"PBANKA_010530",850.132508951516,1.29415827262232,0.466175006155175,0,1,1
"PBANKA_010540",381.040276518993,0.421842413777526,0.339882466008059,0,1,1
"PBANKA_010550",361.182761661558,-0.492856124023154,0.502750040210712,0,1,1
"PBANKA_010560",519.547484245769,-0.580236574219887,0.494659322936589,0,1,1
"PBANKA_010570",297.382196225783,-0.669726540102385,0.673065446545979,0,1,1
"PBANKA_010580",387.481189161559,-0.432177495320386,0.67179205642824,0,1,1
"PBANKA_010590",149.760112009728,-0.314707166431464,0.495370963312556,0,1,1
"PBANKA_010600",789.250775877404,-0.449544223406225,0.477085717189481,0,1,1
"PBANKA_010610",118.537502474569,-0.409188720579906,0.367171782703078,0,1,1
"PBANKA_010620",257.80203497904,-2.30135079828489,0.460925239144648,-0.653795393899697,0.513243634428248,1
"PBANKA_010640",422.437688037777,1.12757115502184,0.472364429873907,0,1,1
"PBANKA_010650",391.707091789981,1.08849044646087,0.443478046935833,0,1,1
"PBANKA_010660",237.929037558469,0.647657169656671,0.502858972644326,0,1,1
"PBANKA_010680",93.2538150985508,-1.19503982929995,0.444082495585805,0,1,1
"PBANKA_010690",269.890832810597,1.00577675360039,0.421981490133074,0,1,1
"PBANKA_010700",733.774726638808,-1.04956145476073,0.626599625358904,0,1,1
"PBANKA_010710",288.774746544788,-1.41756501182575,0.488746983537269,0,1,1
"PBANKA_010720",344.091789576559,-4.00362956961535,0.520107563068267,-3.85233692391503,0.000116995891590645,0.0107584222089353
"PBANKA_010730",557.173418925922,-1.15344576247055,0.465506168062925,0,1,1
"PBANKA_010740",244.101474732357,-1.82782282317381,0.454506241942194,0,1,1
"PBANKA_010750",204.595248134404,1.69166097449199,0.36050265763491,0,1,1
"PBANKA_010760",1645.15283507671,3.82910994528732,0.427723587848741,4.27638315316425,1.89954184275371e-05,0.00327512672721453
"PBANKA_010770",693.385860749157,-0.254081932844878,0.616289368496391,0,1,1
"PBANKA_010790",649.608923123743,0.99894072176691,0.373552127468572,0,1,1
"PBANKA_010800",257.387919178176,0.342820075833391,0.464672879719966,0,1,1
"PBANKA_010810",211.31214976653,-1.49637714389644,0.702090147433587,0,1,1
"PBANKA_010820",423.956480341202,1.45594774314936,0.615351726997368,0,1,1
"PBANKA_010830",228.975674491296,-1.80447597272612,0.79948025039857,0,1,1
"PBANKA_010840",428.298804762481,1.58065505750953,0.384128203731813,0,1,1
"PBANKA_010850",164.868215858205,0.349476954491755,0.462500843543542,0,1,1
"PBANKA_010860",301.283578701335,0.129177208182203,0.31424964042716,0,1,1
"PBANKA_010870",680.855876463506,-0.876435473265843,0.433761682834515,0,1,1
"PBANKA_010880",572.654533324418,-2.04707650724937,0.658219926082246,-0.0715209391024778,0.942983160236112,1
"PBANKA_010890",102.547638202666,-0.283191415264576,0.618633936500641,0,1,1
"PBANKA_010910",805.445354787323,-1.16770086679842,0.48637725270243,0,1,1
"PBANKA_010920",710.304264734282,2.09364406109113,0.5526200063016,0.169454706712189,0.865438995884594,1
"PBANKA_010930",99.4925837730619,0.0784238746333221,0.520408262556428,0,1,1
"PBANKA_010940",55.0637591023445,-0.683247797774541,0.477528470432531,0,1,1
"PBANKA_010950",309.537027844052,-1.03207534999747,0.472875518788085,0,1,1
"PBANKA_010960",370.546512506797,-0.575990104274668,0.532268222570525,0,1,1
"PBANKA_010970",379.536169072878,-0.0191467141710897,0.513561231106496,0,1,1
"PBANKA_010980",256.252932879601,-3.00124846162904,0.878888021956141,-1.13922187652594,0.254610623280869,1
"PBANKA_010990",478.230923949824,-1.59755759521191,0.823042239808109,0,1,1
"PBANKA_011020",159.250806357619,-0.40987763809594,0.385998271847273,0,1,1
"PBANKA_011030",50.257591961385,2.29051254134288,0.735586798953733,0.394939851770164,0.692887278230936,1
"PBANKA_011040",323.810410822471,0.520489665061233,0.369659914212449,0,1,1
"PBANKA_011050",1069.92003407209,0.124032523712253,0.630383709414054,0,1,1
"PBANKA_011070",50.9009006941465,-0.936402275394687,0.51703756303242,0,1,1
"PBANKA_011080",251.077314641652,-4.01445760001449,0.579919022940767,-3.47368773971094,0.000513358086505623,0.0348241928190208
"PBANKA_011090",374.602695258781,-0.893712488224396,0.453414388453929,0,1,1
"PBANKA_011100",219.740051733041,2.4855553968323,0.776680167597479,0.625167755131793,0.531860962496556,1
"PBANKA_011110",378.049787271073,1.13581494930745,0.484787163796487,0,1,1
"PBANKA_011120",894.677709995667,0.953165407901608,0.648540952480788,0,1,1
"PBANKA_011140",297.030340361456,-1.85329942218023,0.396064322269442,0,1,1
"PBANKA_011160",364.936932797918,3.49690238292117,0.683181232515674,2.19107655725427,0.0284462528463519,0.497524381813794
"PBANKA_011180",413.425775695657,1.73582501593621,0.333128890291759,0,1,1
"PBANKA_011190",309.703850930637,2.49281247330613,0.503311481960924,0.979140136811727,0.327510742276782,1
"PBANKA_011200",402.724750112492,1.74657392149031,0.399100896524657,0,1,1
"PBANKA_011210",1247.29360255429,3.32211934287988,0.756416137939847,1.74787299816311,0.0804860214078773,0.952363943254736
"PBANKA_011230",270.160093555038,2.42280516551245,0.407135495853379,1.03848760380429,0.29904310349258,1
"PBANKA_011250",398.069774290493,2.68369083907597,0.665258341958498,1.02770727694027,0.304087543756069,1
"PBANKA_020130",183.496863825099,3.39729475298155,0.877745240007085,1.59191379148951,0.111404076270091,1
"PBANKA_020170",1363.77474722244,-0.635204651783848,0.766560557443146,0,1,1
"PBANKA_020180",142.956601146717,-0.205060783979809,0.512208871470018,0,1,1
"PBANKA_020190",134.469527276994,-1.88395960613059,0.432883246171855,0,1,1
"PBANKA_020200",361.312661364898,0.070555731486622,0.407680806173619,0,1,1
"PBANKA_020210",29.9265153840273,1.16584704630466,0.53883167912669,0,1,1
"PBANKA_020220",80.7348255536976,-0.0874050084937631,0.417320639231641,0,1,1
"PBANKA_020230",155.664529873999,-1.25082709075093,0.422035127362122,0,1,1
"PBANKA_020240",206.755441158779,-0.307184197202583,0.388540290494135,0,1,1
"PBANKA_020250",297.32712773759,-1.12851005481739,0.425090289649368,0,1,1
"PBANKA_020260",64.8699915729511,0.117076812382976,0.633952619716863,0,1,1
"PBANKA_020270",332.374869862692,-2.98734202653038,0.58152188770249,-1.69785875202604,0.0895344239479241,1
"PBANKA_020280",138.720579894011,0.75318881514125,0.453786853005545,0,1,1
"PBANKA_020290",446.64767638811,-0.0412390605104443,0.450282086481179,0,1,1
"PBANKA_020300",930.566134139996,-3.88980182379512,0.598429284271261,-3.15793674117474,0.00158890032817375,0.0684882245623228
"PBANKA_020320",511.691600407708,2.24394748021881,0.537994489565424,0.453438622421329,0.650232930586056,1
"PBANKA_020330",198.883817765773,0.829949110766156,0.407798224258179,0,1,1
"PBANKA_020340",517.83785534736,0.548446511085243,0.559483685341052,0,1,1
"PBANKA_020350",406.098147820141,0.441025843690634,0.431773343051602,0,1,1
"PBANKA_020360",325.49628290564,-3.11797633844421,0.491701420006799,-2.27368946469334,0.0229846640563462,0.428425855248472
"PBANKA_020370",679.205409690033,-0.0778371554796099,0.425319415971657,0,1,1
"PBANKA_020390",186.892959349296,-0.0786858439097864,0.542728548561233,0,1,1
"PBANKA_020410",966.877410422951,-1.1614368210231,0.548091156572253,0,1,1
"PBANKA_020420",143.341340686034,-3.18217644403963,0.39681200862541,-2.97918515151491,0.00289016080588215,0.101351571311359
"PBANKA_020440",131.155664394597,-1.32489631067021,0.508287636184174,0,1,1
"PBANKA_020460",3156.71545883248,0.522528767920851,1.07076266151309,0,1,1
"PBANKA_020470",296.009475996993,-0.418477722987615,0.394245510692945,0,1,1
"PBANKA_020480",795.091041044072,0.604130443757471,0.394996897350663,0,1,1
"PBANKA_020490",338.860625049348,0.520356417031087,0.553490482086943,0,1,1
"PBANKA_020510",245.201745744686,-0.627395602754757,0.467150431499152,0,1,1
"PBANKA_020520",1315.17574346672,-0.719696444796886,0.435170648996183,0,1,1
"PBANKA_020530",110.454575686892,0.629883860143751,0.392225549526526,0,1,1
"PBANKA_020540",313.523161859455,-0.523786294749741,0.524880647796019,0,1,1
"PBANKA_020550",75.2371526722436,1.77645683091209,0.540799201936134,0,1,1
"PBANKA_020560",149.679563127744,0.667545122195512,0.314612439631638,0,1,1
"PBANKA_020570",52.8515172732006,3.0365453519679,0.683460827398784,1.51661267246717,0.12936450398725,1
"PBANKA_020590",848.435548054156,1.01693089335719,0.506428720308886,0,1,1
"PBANKA_020600",146.880875074083,-1.27343462982449,0.530282039582299,0,1,1
"PBANKA_020610",233.459326030386,0.839068321236516,0.429841296463465,0,1,1
"PBANKA_020620",204.558277629989,0.635915720190882,0.371053527904936,0,1,1
"PBANKA_020630",464.84325671203,-2.45101040561959,0.442866898036784,-1.01838816045838,0.308493526468917,1
"PBANKA_020640",111.882959080163,1.03480572044513,0.346599949090969,0,1,1
"PBANKA_020650",264.271368840231,-0.239228006772575,0.612468958154404,0,1,1
"PBANKA_020660",682.422821969591,2.93792428527713,0.613815212728489,1.52802385119771,0.126506616201679,1
"PBANKA_020680",254.910515098169,0.31844561775078,0.328708474776088,0,1,1
"PBANKA_020690",120.812590879013,0.413207142958535,0.531564812372047,0,1,1
"PBANKA_020700",507.441641718898,-1.42958419558839,0.454237912612324,0,1,1
"PBANKA_020710",66.2070858500638,-1.78356568856696,0.561807743076805,0,1,1
"PBANKA_020720",163.08757030592,-1.35984741924628,0.415903018031621,0,1,1
"PBANKA_020730",513.429077011055,1.12115328821752,0.542492096535782,0,1,1
"PBANKA_020740",104.672407333104,0.559008722625809,0.32179133883459,0,1,1
"PBANKA_020750",315.409483886065,1.16389500253811,0.506417336040896,0,1,1
"PBANKA_020770",334.156478113322,0.12038679004501,0.483501831234663,0,1,1
"PBANKA_020780",104.616873263794,0.966587403678005,0.497161820978821,0,1,1
"PBANKA_020790",62.6087477234603,1.15862455592144,0.711584552991592,0,1,1
"PBANKA_020810",392.50234077167,-2.22829273201093,0.39344008716217,-0.580247766966434,0.561747545700014,1
"PBANKA_020820",684.194408362222,-1.47945323789342,0.400247924709,0,1,1
"PBANKA_020850",166.4866206457,0.126773406753634,0.523157146547666,0,1,1
"PBANKA_020860",99.054178646255,-0.581621018988604,0.518025446532615,0,1,1
"PBANKA_020870",228.179105021704,-0.918824483443646,0.396378142379085,0,1,1
"PBANKA_020880",2222.21480927899,2.37849057147219,0.677214476075383,0.558893208641421,0.576234604610616,1
"PBANKA_020890",776.349383797281,5.07258192527136,1.08801929051993,2.82401419905254,0.00474262837778205,0.149809131505818
"PBANKA_020900",293.252028113831,1.43646282072131,0.641970786839829,0,1,1
"PBANKA_020910",1416.887871892,1.13915873734769,0.67119680148379,0,1,1
"PBANKA_020920",237.535484942372,0.264121608011686,0.463189677583832,0,1,1
"PBANKA_020930",647.999149162305,-2.54806844902905,0.607031936673498,-0.902865921737888,0.366597059027478,1
"PBANKA_020950",1421.25049499056,0.670605346191772,0.72534895611019,0,1,1
"PBANKA_020960",190.650669726905,0.653439936974376,0.462959374024717,0,1,1
"PBANKA_020970",991.78904499717,-0.397583586456829,0.635047662271391,0,1,1
"PBANKA_020980",203.14770642914,2.14039359132251,0.453645158844496,0.309478870401964,0.75695728276529,1
"PBANKA_020990",401.226040168832,0.35733848942454,0.565136277247605,0,1,1
"PBANKA_021020",587.873944162204,-0.215266515046861,0.422873939995002,0,1,1
"PBANKA_021030",114.463164791562,-0.235649687311299,0.575167142876931,0,1,1
"PBANKA_021040",837.926720269736,-1.1064192644185,0.38377170715126,0,1,1
"PBANKA_021050",765.362230173222,1.84869282740958,0.353326954795814,0,1,1
"PBANKA_021060",3971.41612616003,-0.0879469846667287,0.728407450903135,0,1,1
"PBANKA_021070",142.083004766867,-0.158110098551683,0.315460198403862,0,1,1
"PBANKA_021080",223.377669138257,0.290815412426405,0.447581358926869,0,1,1
"PBANKA_021090",176.332843840816,0.956455937836136,0.421924844514641,0,1,1
"PBANKA_021100",171.991952625029,0.188532093028518,0.382296054101586,0,1,1
"PBANKA_021110",210.125578831003,2.00550251460157,0.368934502072098,0.0149146110506609,0.988100303286508,1
"PBANKA_021120",234.920498103663,1.39088575867699,0.49735145091381,0,1,1
"PBANKA_021130",1088.58631399135,-0.543878611753045,0.381132819996066,0,1,1
"PBANKA_021140",214.402332794769,1.07652151808706,0.419727450549162,0,1,1
"PBANKA_021150",523.221101780166,-0.969443359647602,0.575257685796561,0,1,1
"PBANKA_021160",154.095884577428,0.301152507795722,0.364982993284357,0,1,1
"PBANKA_021170",118.841351020918,0.408219197272946,0.429684463134461,0,1,1
"PBANKA_021180",107.32143292491,2.25776378209273,0.440403747783836,0.585289710611745,0.5583529322427,1
"PBANKA_021190",297.249921620591,1.45031573512657,0.307136461083935,0,1,1
"PBANKA_021200",485.271078761431,4.18135990171257,0.51969053255652,4.19742089774423,2.69971907697121e-05,0.00391587520130898
"PBANKA_021210",802.279062655482,-1.89105952654776,0.4210990109538,0,1,1
"PBANKA_021230",111.819846166587,-0.226337448690874,0.396082960702777,0,1,1
"PBANKA_021240",243.828554059258,-0.458899111117066,0.545404668418063,0,1,1
"PBANKA_021250",102.22841738487,-1.32132534694813,0.51773231683695,0,1,1
"PBANKA_021270",828.305135032375,-1.34094729472486,0.518618581535365,0,1,1
"PBANKA_021280",204.154090488681,1.30465427921298,0.512629460710239,0,1,1
"PBANKA_021290",310.748133867244,0.177432861857748,0.392209891769133,0,1,1
"PBANKA_021300",598.746260365464,-0.748563051833858,0.399267629896559,0,1,1
"PBANKA_021320",809.939934038524,-0.126918216265922,0.525106618322872,0,1,1
"PBANKA_021330",103.858932693399,0.266099127172637,0.564071689549055,0,1,1
"PBANKA_021340",708.472022094757,2.16137139986236,0.563509812914229,0.286368393529513,0.774595979781341,1
"PBANKA_021350",639.480547922704,1.47763078447695,0.64583394444655,0,1,1
"PBANKA_021360",409.973631230323,0.787214472208306,0.400965521290891,0,1,1
"PBANKA_021370",162.894051073706,-1.26458907978454,0.419376253442258,0,1,1
"PBANKA_021380",193.141799604722,-1.2808646714857,0.371408679878697,0,1,1
"PBANKA_021390",60.1987452961376,-5.15031628773164,0.595201605547054,-5.29285582964138,1.20420853445423e-07,6.22876864446452e-05
"PBANKA_021400",497.248176424949,0.856487081347294,0.782523455022024,0,1,1
"PBANKA_021410",90.9039263348496,0.36522254706733,0.658572444749998,0,1,1
"PBANKA_021420",442.137746362996,-0.376200648015384,0.463306751370196,0,1,1
"PBANKA_021440",979.925821936911,0.950149387748439,0.491487013781877,0,1,1
"PBANKA_021450",115.841685610321,-1.24246629146306,0.564008732493059,0,1,1
"PBANKA_021480",422.779071072185,-1.05879846178631,0.625509862417868,0,1,1
"PBANKA_030070",526.679440175707,0.44507693022775,0.415567486691966,0,1,1
"PBANKA_030080",100.288810008411,0.00208048756800627,0.454026953737597,0,1,1
"PBANKA_030100",709.527845887998,-0.83091733920444,0.658741236741031,0,1,1
"PBANKA_030110",228.082704128383,-1.11094717912973,0.422949521239444,0,1,1
"PBANKA_030120",77.3000486945346,-2.26306269322531,0.429127520301586,-0.613017531572976,0.539864747640523,1
"PBANKA_030130",768.169101341298,-4.07629357998678,0.525488977559838,-3.95116485530916,7.77717267583463e-05,0.00766236679347707
"PBANKA_030140",100.858903655241,-2.05483415493925,0.62646509644993,-0.0875294653285388,0.930250665358953,1
"PBANKA_030150",585.490526885107,2.12129440082301,0.671242988988101,0.180701180962588,0.856602131773673,1
"PBANKA_030160",1344.07184422851,-3.86252797375634,0.613808358837175,-3.03438027022765,0.00241030406147942,0.0882640549239102
"PBANKA_030170",94.5457568279144,-0.390117755582616,0.452090045363233,0,1,1
"PBANKA_030180",118.167351417914,-1.94054471209123,0.636399320773563,0,1,1
"PBANKA_030190",592.629907078291,1.83556401745668,0.455847745520327,0,1,1
"PBANKA_030200",453.003369023105,1.32636781207847,0.577123544024112,0,1,1
"PBANKA_030210",371.868992764,-0.702709259936898,0.482283635432406,0,1,1
"PBANKA_030220",198.5959176613,-2.18123168274782,0.522875125315874,-0.346606051757268,0.728887298808304,1
"PBANKA_030230",218.154324156665,0.275776937922105,0.498486950199116,0,1,1
"PBANKA_030240",211.370305736106,0.451835836896262,0.531428362028838,0,1,1
"PBANKA_030250",964.922443803121,-2.31790915067276,0.607483146916875,-0.523321761741411,0.60075035956008,1
"PBANKA_030260",356.137187969944,-2.24487831606821,0.552472411927076,-0.443240804032272,0.657591567767074,1
"PBANKA_030270",96.615083106151,0.0615400966797181,0.517753761298574,0,1,1
"PBANKA_030290",69.9789269275497,-4.10276699285055,0.675500987422005,-3.11289995426297,0.00185258806597326,0.0730255826867874
"PBANKA_030300",91.5702799748916,-2.07737152291281,0.618869363584599,-0.125020767653871,0.900507109120973,1
"PBANKA_030310",182.7722065591,-0.377865829513289,0.33514852354747,0,1,1
"PBANKA_030320",122.599069803133,-0.183752168318298,0.344323973876779,0,1,1
"PBANKA_030330",168.796994082748,-1.15158807609314,0.328844875221596,0,1,1
"PBANKA_030340",219.892855313965,-0.905196692490923,0.38854398595004,0,1,1
"PBANKA_030350",208.065243157498,-1.75586971689998,0.556098360658113,0,1,1
"PBANKA_030360",933.868549611616,-0.396461461970774,0.511992848935381,0,1,1
"PBANKA_030370",721.995451988041,-0.458165983449703,0.339578272600449,0,1,1
"PBANKA_030380",575.045416708337,-1.06717895117297,0.414413077050726,0,1,1
