"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,-3.04507546728755,0.979673235946579,-1.06675923046707,0.286080573011871,NA
"PBANKA_010080",464.686995921719,1.63406902654598,0.325523786450316,0,1,1
"PBANKA_010090",918.061686166002,-0.734256425083716,0.406658118288901,0,1,1
"PBANKA_010100",208.357029211728,-2.13260843301634,0.250184444091384,-0.530042679103988,0.596082340188976,NA
"PBANKA_010110",105.291743326147,-1.91420122597695,0.325136710453495,0,1,NA
"PBANKA_010120",191.338754446582,-0.254638597733845,0.261763800733892,0,1,NA
"PBANKA_010130",115.649395130954,-1.66026471974731,0.282985750032007,0,1,NA
"PBANKA_010140",440.920323520482,0.737818317778359,0.200375554613442,0,1,1
"PBANKA_010150",251.270364955803,1.24369251831723,0.328318818388995,0,1,NA
"PBANKA_010160",190.344133628196,-0.268195665032418,0.233518895364592,0,1,NA
"PBANKA_010170",256.792965388713,-0.583028558713327,0.200681289146436,0,1,NA
"PBANKA_010180",550.74220224868,-0.192087118552947,0.212455631479445,0,1,1
"PBANKA_010190",194.714464579416,-0.918406958346191,0.276664856711105,0,1,NA
"PBANKA_010200",141.825560804924,-0.828706681613909,0.23275599280885,0,1,NA
"PBANKA_010210",234.572536167893,-1.07716283122241,0.23265082084437,0,1,NA
"PBANKA_010230",107.665175690093,-0.636511339191235,0.287644762375036,0,1,NA
"PBANKA_010240",176.971718922185,1.33712359160928,0.318547259969616,0,1,NA
"PBANKA_010250",84.0747107519478,0.0503843193509633,0.191048231657479,0,1,NA
"PBANKA_010260",645.040775265828,1.40192796834181,0.220423660631531,0,1,1
"PBANKA_010270",97.4045750805531,2.50067385963203,0.320872690307174,1.56035049026057,0.118677077868049,NA
"PBANKA_010280",239.833598421598,1.10848101584972,0.217399819511411,0,1,NA
"PBANKA_010290",373.728416286429,2.76792454964631,0.472548688905432,1.62506968631118,0.104147711153334,0.989710208943461
"PBANKA_010300",128.74510505325,-0.903228307777497,0.297715340618389,0,1,NA
