"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,-2.4836284511278,1.62432180495343,-0.297741771152097,0.76590025970064,1
"PBANKA_010080",464.686995921719,1.36686031228804,0.590903051422164,0,1,1
"PBANKA_010090",918.061686166002,0.573491962380069,0.741550504106179,0,1,1
"PBANKA_010100",208.357029211728,-1.73133558985004,0.452789629043001,0,1,1
"PBANKA_010110",105.291743326147,1.31830595031521,0.592444747695008,0,1,1
"PBANKA_010120",191.338754446582,-0.463324995156417,0.472799726315995,0,1,1
"PBANKA_010130",115.649395130954,-1.39652633818239,0.510676816748522,0,1,1
"PBANKA_010140",440.920323520482,-0.221670376872121,0.362205166292919,0,1,1
"PBANKA_010150",251.270364955803,1.04195155391253,0.591272442089186,0,1,1
"PBANKA_010160",190.344133628196,0.336914770038834,0.421319111311777,0,1,1
"PBANKA_010170",256.792965388713,0.0980373436427402,0.362535584748009,0,1,1
"PBANKA_010180",550.74220224868,-0.895927757789453,0.383858839282509,0,1,1
"PBANKA_010190",194.714464579416,-0.230128871755409,0.5015527452993,0,1,1
"PBANKA_010200",141.825560804924,-0.414481250884552,0.419611427432933,0,1,1
"PBANKA_010210",234.572536167893,-0.880418749855924,0.420137041631038,0,1,1
"PBANKA_010230",107.665175690093,-0.544586720343863,0.518041024756098,0,1,1
"PBANKA_010240",176.971718922185,1.56521696281248,0.576052700055883,0,1,1
"PBANKA_010250",84.0747107519478,0.71703549627962,0.340407127572479,0,1,1
"PBANKA_010260",645.040775265828,1.97956965588708,0.399730217642647,0,1,1
"PBANKA_010270",97.4045750805531,1.29836925536577,0.562964074684777,0,1,1
"PBANKA_010280",239.833598421598,1.51377461634613,0.392362940123481,0,1,1
"PBANKA_010290",373.728416286429,3.39419374993583,0.859537415421545,1.62202799426954,0.104797354225154,1
"PBANKA_010300",128.74510505325,0.0809366573054955,0.535301783745984,0,1,1
"PBANKA_010310",126.093283120564,0.415431701073121,0.368317860252659,0,1,1
"PBANKA_010320",269.429106519927,1.07119733247391,0.714561480042824,0,1,1
"PBANKA_010330",1299.44964061188,-0.0725170734036001,0.472429787275296,0,1,1
"PBANKA_010340",197.57694170381,-0.757869795448852,0.479057558680239,0,1,1
"PBANKA_010350",138.10024568978,1.51330422272682,0.544541362440006,0,1,1
"PBANKA_010360",38.2967645836935,1.64479326525458,0.682079022668453,0,1,1
"PBANKA_010370",89.1147922168543,-0.726670633166325,0.517506466894959,0,1,1
"PBANKA_010380",174.312599726554,-2.1146133863003,0.601297300603455,-0.19061017933271,0.84883101446349,1
"PBANKA_010390",473.737220297503,-1.06896891179799,0.338967273322618,0,1,1
"PBANKA_010400",352.969854183932,-0.520329767338605,0.465910633598889,0,1,1
"PBANKA_010410",227.655209787489,1.04400791407011,0.478916333455118,0,1,1
"PBANKA_010420",165.200542600176,0.351334723448769,0.699973093921111,0,1,1
"PBANKA_010430",74.118296857888,1.85268854434304,0.505993956064124,0,1,1
"PBANKA_010440",267.118252012223,3.11389896286915,0.615881510190217,1.80862543271533,0.0705092145902892,1
"PBANKA_010450",894.531839124969,0.620441634853374,0.612572476093732,0,1,1
"PBANKA_010460",563.974020003931,2.0068254216209,0.40383572071582,0.0169014806535816,0.986515211545742,1
"PBANKA_010470",240.715767926568,-0.814627679833844,0.494924394867899,0,1,1
"PBANKA_010480",502.770310339127,1.97997824804757,0.758699949335148,0,1,1
"PBANKA_010490",398.57115328437,-0.723907079040202,0.287275713942359,0,1,1
"PBANKA_010500",317.788076031697,-0.584108692705011,0.461482333893319,0,1,1
"PBANKA_010510",227.856952515446,0.219801078074076,0.767901488977419,0,1,1
"PBANKA_010520",271.597466159548,-0.841857491061052,0.480650156792967,0,1,1
"PBANKA_010530",850.132508951516,0.528971550573704,0.466039528671527,0,1,1
"PBANKA_010540",381.040276518993,-0.370542592585987,0.339680669345834,0,1,1
"PBANKA_010550",361.182761661558,-2.05394072150358,0.501848239476764,-0.107484130182101,0.914404914663487,1
"PBANKA_010560",519.547484245769,-2.33792388477466,0.494524978820496,-0.683330264895114,0.494398174137241,1
"PBANKA_010570",297.382196225783,1.69468451938704,0.675033979490682,0,1,1
"PBANKA_010580",387.481189161559,1.0570477618954,0.672716194689924,0,1,1
"PBANKA_010590",149.760112009728,0.916489278392532,0.496614385934246,0,1,1
"PBANKA_010600",789.250775877404,0.953340937215246,0.477583793688372,0,1,1
"PBANKA_010610",118.537502474569,1.34586859591853,0.369612063246601,0,1,1
"PBANKA_010620",257.80203497904,1.89864617375622,0.462273083892283,0,1,1
"PBANKA_010640",422.437688037777,0.515169170558164,0.471865572139586,0,1,1
"PBANKA_010650",391.707091789981,-0.144010318571413,0.442738408272334,0,1,1
"PBANKA_010660",237.929037558469,-0.371714939140328,0.50210657609937,0,1,1
"PBANKA_010680",93.2538150985508,0.309224781781592,0.44574559357169,0,1,1
"PBANKA_010690",269.890832810597,1.5764273050019,0.422283772320691,0,1,1
"PBANKA_010700",733.774726638808,-1.02221185180517,0.62662089084541,0,1,1
"PBANKA_010710",288.774746544788,-2.19322109178618,0.488581033110564,-0.395473992422567,0.692493111663488,1
"PBANKA_010720",344.091789576559,0.348773792477615,0.522243039703959,0,1,1
"PBANKA_010730",557.173418925922,-2.18337392483761,0.465402541678874,-0.394011438304824,0.693572594390008,1
"PBANKA_010740",244.101474732357,-1.20912929017603,0.454619423309416,0,1,1
