"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,-2.92589552928708,1.63984276400852,-0.564624578410047,0.572329143971747,NA
"PBANKA_010080",464.686995921719,1.20811122853986,0.554488656058765,0,1,1
"PBANKA_010090",918.061686166002,0.719473106468508,0.692816523066916,0,1,1
"PBANKA_010100",208.357029211728,-0.619201311221957,0.434849361438726,0,1,1
"PBANKA_010110",105.291743326147,-1.26474225108828,0.558527925967158,0,1,1
"PBANKA_010120",191.338754446582,-0.93059012320139,0.445590476369071,0,1,1
"PBANKA_010130",115.649395130954,-0.418740627629553,0.494671169097442,0,1,1
"PBANKA_010140",440.920323520482,-0.588341095642808,0.339819825139392,0,1,1
"PBANKA_010150",251.270364955803,1.89866866871538,0.575855598884085,0,1,1
"PBANKA_010160",190.344133628196,-2.74940878467957,0.393343616479952,-1.90522676174602,0.0567506008901032,0.299670855919691
"PBANKA_010170",256.792965388713,0.232861858192321,0.349332450677795,0,1,1
"PBANKA_010180",550.74220224868,-2.22040745723184,0.359053603688385,-0.613856691501482,0.539310031019579,1
"PBANKA_010190",194.714464579416,-0.333303711811853,0.475154987471399,0,1,1
"PBANKA_010200",141.825560804924,-0.718765469712754,0.400314877043618,0,1,1
"PBANKA_010210",234.572536167893,-1.43154809213053,0.396701629821003,0,1,1
"PBANKA_010230",107.665175690093,-0.565425648255087,0.495097012362753,0,1,1
"PBANKA_010240",176.971718922185,2.16177823394786,0.555037577949952,0.291472578389002,0.770689913143156,1
"PBANKA_010250",84.0747107519478,2.40492301469917,0.396828978780253,1.02039678640354,0.307540317357059,1
"PBANKA_010260",645.040775265828,2.47082442264639,0.382661607898892,1.23039367662614,0.218549720126112,0.868183750592721
"PBANKA_010270",97.4045750805531,3.09857478081134,0.607127872460601,1.80946194474481,0.0703792671477182,0.354809837095288
"PBANKA_010280",239.833598421598,2.70014783236723,0.3921792719946,1.78527495552307,0.0742167290894095,0.367500118502451
"PBANKA_010290",373.728416286429,4.91850956797684,0.823646653638694,3.54340001878657,0.000395003054655799,0.00434838108472782
"PBANKA_010300",128.74510505325,-3.09925129157468,0.500295851459053,-2.19720249202316,0.0280059877119119,0.168946337636719
"PBANKA_010310",126.093283120564,0.59119187704374,0.360416418117774,0,1,1
"PBANKA_010320",269.429106519927,3.76453092597928,0.795685362399153,2.21762396213857,0.0265804826719489,0.161324640124934
"PBANKA_010330",1299.44964061188,1.564166979962,0.442060641307385,0,1,1
"PBANKA_010340",197.57694170381,-3.25391258836668,0.447784057282675,-2.80026179577697,0.00510611771594188,0.0394173767328265
"PBANKA_010350",138.10024568978,0.671933881768142,0.523069336504624,0,1,1
"PBANKA_010360",38.2967645836935,1.45827831022756,0.686495229887017,0,1,NA
"PBANKA_010370",89.1147922168543,-1.28452527012145,0.498218157818565,0,1,1
"PBANKA_010380",174.312599726554,-2.91957832394443,0.564026217487758,-1.63038223301098,0.103020737325437,0.473433742166541
"PBANKA_010390",473.737220297503,-2.3067807723112,0.317252305329845,-0.966993043572181,0.333547511232864,1
"PBANKA_010400",352.969854183932,-4.53300122983344,0.434065662825977,-5.83552546714334,5.36213052818206e-09,1.91708464847023e-07
"PBANKA_010410",227.655209787489,-2.19418551486741,0.447310017770065,-0.434118412629047,0.664202455410482,1
"PBANKA_010420",165.200542600176,2.05684749038569,0.764490040845405,0.0743600143212168,0.940723924630057,1
"PBANKA_010430",74.118296857888,2.25731344767454,0.515457372098366,0.499194427323929,0.617642420056739,1
"PBANKA_010440",267.118252012223,2.93790684333707,0.589785094801003,1.59025185886314,0.111778045298497,0.507100165923449
"PBANKA_010450",894.531839124969,0.240445600090192,0.592382148387544,0,1,1
"PBANKA_010460",563.974020003931,4.09561740086942,0.402121457469855,5.21140407193147,1.87416745045082e-07,4.89260655816289e-06
"PBANKA_010470",240.715767926568,2.60418940176338,0.522127221586993,1.15716893658016,0.247203346319909,0.954758613090869
"PBANKA_010480",502.770310339127,4.14989098202373,0.718490465099521,2.99223314219757,0.00276944673907846,0.023411136534032
"PBANKA_010490",398.57115328437,2.61290953630593,0.294763790946809,2.07932437813073,0.0375875459203754,0.215093489650078
"PBANKA_010500",317.788076031697,-4.20774653848371,0.430250440005677,-5.13130570756552,2.87739137174215e-07,7.05232338093029e-06
"PBANKA_010510",227.856952515446,2.12512629367882,0.795116896305784,0.157368425020488,0.874954496553972,1
"PBANKA_010520",271.597466159548,1.50957623238308,0.46542752303158,0,1,1
"PBANKA_010530",850.132508951516,-0.296347502055125,0.435523724873379,0,1,1
"PBANKA_010540",381.040276518993,1.46264893987635,0.328924201041355,0,1,1
"PBANKA_010550",361.182761661558,-2.55353476273605,0.471634432846263,-1.17365214281648,0.240534386506249,0.936426078136715
"PBANKA_010560",519.547484245769,0.148640903810641,0.464949518661918,0,1,1
"PBANKA_010570",297.382196225783,-2.90658936134231,0.628045484960964,-1.44350908182814,0.148877116012598,0.637553979231971
"PBANKA_010580",387.481189161559,-4.37654026270889,0.625916682695834,-3.79689554282703,0.000146519492534584,0.00183008481540793
"PBANKA_010590",149.760112009728,1.25574806752301,0.493781825349833,0,1,1
"PBANKA_010600",789.250775877404,-4.75415177478406,0.444447322177131,-6.19680136960398,5.76221433228864e-10,2.52307294976729e-08
"PBANKA_010610",118.537502474569,-1.4013427418569,0.348039304217509,0,1,1
"PBANKA_010620",257.80203497904,1.86917125926715,0.447051035636812,0,1,1
"PBANKA_010640",422.437688037777,-0.551181359125436,0.444856337635686,0,1,1
"PBANKA_010650",391.707091789981,2.61372059866999,0.455129024680259,1.3484540984859,0.17751237413027,0.732134563295828
"PBANKA_010660",237.929037558469,-0.827563712953181,0.474314125913188,0,1,1
"PBANKA_010680",93.2538150985508,-2.07233493042006,0.419528996669738,-0.172419382198268,0.863107835568158,1
"PBANKA_010690",269.890832810597,0.446195726996079,0.39808984651568,0,1,1
"PBANKA_010700",733.774726638808,1.34701127330566,0.630559859017165,0,1,1
"PBANKA_010710",288.774746544788,1.81655499696222,0.499432708153122,0,1,1
"PBANKA_010720",344.091789576559,0.883406701959816,0.523384303459539,0,1,1
"PBANKA_010730",557.173418925922,0.588802133902764,0.442545768677002,0,1,1
"PBANKA_010740",244.101474732357,-2.33614460935317,0.425256325453089,-0.790451756349603,0.429263986286285,1
