"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,1.68719641409312,1.74075123896948,0,1,1
"PBANKA_010080",464.686995921719,-0.827326737174688,0.59175427195827,0,1,1
"PBANKA_010090",918.061686166002,0.661988273047891,0.739875104996178,0,1,1
"PBANKA_010100",208.357029211728,1.85301657011161,0.468535277483039,0,1,1
"PBANKA_010110",105.291743326147,1.74237397541131,0.599214300931913,0,1,1
"PBANKA_010120",191.338754446582,0.202977216005174,0.475589842175556,0,1,1
"PBANKA_010130",115.649395130954,0.33741562178784,0.528279271460106,0,1,1
"PBANKA_010140",440.920323520482,0.930471735418344,0.363057613915502,0,1,1
"PBANKA_010150",251.270364955803,-4.21623563611608,0.61146850635775,-3.62444772391832,0.000289579582887943,0.0019938108385862
"PBANKA_010160",190.344133628196,5.01707774848179,0.42730707999173,7.06067811593523,1.65692008019658e-12,5.48506823348276e-11
"PBANKA_010170",256.792965388713,-0.17190638491785,0.372605735408055,0,1,1
"PBANKA_010180",550.74220224868,-0.309914892973723,0.383077055961056,0,1,1
"PBANKA_010190",194.714464579416,0.577028546681677,0.507659525561334,0,1,1
"PBANKA_010200",141.825560804924,1.12165229483167,0.42865915103548,0,1,1
"PBANKA_010210",234.572536167893,-0.39854632825691,0.422909301982498,0,1,1
"PBANKA_010230",107.665175690093,-0.241775639137052,0.527838514923992,0,1,1
"PBANKA_010240",176.971718922185,-0.753173950336923,0.591630254585928,0,1,1
"PBANKA_010250",84.0747107519478,-1.47877532852532,0.418120857999389,0,1,1
"PBANKA_010260",645.040775265828,-3.17689793475328,0.407280772332185,-2.88964766987179,0.00385673818223151,0.0204604905103512
"PBANKA_010270",97.4045750805531,-2.8732756347896,0.639270147618053,-1.36605101621508,0.171922951375823,0.571419415898117
"PBANKA_010280",239.833598421598,-1.48081440628732,0.41654167486262,0,1,1
"PBANKA_010290",373.728416286429,-2.63131092877831,0.876902210951783,-0.719933101882697,0.471566185889933,1
"PBANKA_010300",128.74510505325,-0.177793029000093,0.533047303720722,0,1,1
"PBANKA_010310",126.093283120564,-0.417774900670552,0.384031291158692,0,1,1
"PBANKA_010320",269.429106519927,-7.91421654012314,0.833276530909123,-7.09754363736922,1.26993715657024e-12,4.34297516850221e-11
"PBANKA_010330",1299.44964061188,0.696285115267834,0.472161719788649,0,1,1
"PBANKA_010340",197.57694170381,0.58105056879231,0.477572961541217,0,1,1
"PBANKA_010350",138.10024568978,-2.57742045775615,0.556210310950304,-1.03813332185376,0.299207990000375,0.903041250619745
"PBANKA_010360",38.2967645836935,-1.42147715875221,0.728292889775137,0,1,1
"PBANKA_010370",89.1147922168543,-0.971241224667187,0.529495404138873,0,1,1
"PBANKA_010380",174.312599726554,-0.323462847182978,0.601089369835939,0,1,1
"PBANKA_010390",473.737220297503,0.708150346819177,0.338625352554623,0,1,1
"PBANKA_010400",352.969854183932,1.59014566491751,0.46307489673888,0,1,1
"PBANKA_010410",227.655209787489,1.15925518344372,0.477697481275185,0,1,1
"PBANKA_010420",165.200542600176,-7.23131782440473,0.801219721415974,-6.52919253555012,6.61252040454346e-11,1.64834996590367e-09
"PBANKA_010430",74.118296857888,-1.68472983699047,0.546300209962533,0,1,1
"PBANKA_010440",267.118252012223,0.378069404144473,0.630605492451618,0,1,1
"PBANKA_010450",894.531839124969,-7.03766358478649,0.628756407725547,-8.01210695094089,1.12759739496009e-15,6.05973768875952e-14
"PBANKA_010460",563.974020003931,-3.58601501960373,0.426266184860824,-3.72071507413043,0.000198659473463182,0.00141246202953719
"PBANKA_010470",240.715767926568,-4.19181037582069,0.549997666100243,-3.98512668492161,6.74441334702502e-05,0.000526573253396029
"PBANKA_010480",502.770310339127,-0.125042707961291,0.767120920053443,0,1,1
"PBANKA_010490",398.57115328437,-2.55802021243744,0.311829328929991,-1.7895052218219,0.0735334872751389,0.275654987073229
"PBANKA_010500",317.788076031697,0.262597517441819,0.458621549530813,0,1,1
"PBANKA_010510",227.856952515446,-6.9160145235048,0.838200820255156,-5.86496028721174,4.49240205824512e-09,8.01274125733548e-08
"PBANKA_010520",271.597466159548,-2.76683297425496,0.494808225160812,-1.54975793703863,0.121199626372504,0.425020384685952
"PBANKA_010530",850.132508951516,-1.17146176758782,0.464849572587747,0,1,1
"PBANKA_010540",381.040276518993,-0.897379776192776,0.350385839989045,0,1,1
"PBANKA_010550",361.182761661558,-1.00134766697712,0.502445499829522,0,1,1
"PBANKA_010560",519.547484245769,0.49757715813784,0.496598246506687,0,1,1
"PBANKA_010570",297.382196225783,-0.393308132073513,0.670200945587536,0,1,1
"PBANKA_010580",387.481189161559,3.10267684408287,0.668471625363475,1.64954921382534,0.0990351695897295,0.355735704654775
"PBANKA_010590",149.760112009728,-1.47961636598756,0.524273840151408,0,1,1
"PBANKA_010600",789.250775877404,3.93057666075398,0.474771373319302,4.06632912017548,4.77594751991144e-05,0.000384491650532949
"PBANKA_010610",118.537502474569,0.949325769217312,0.371976917642212,0,1,1
"PBANKA_010620",257.80203497904,-0.832341089965323,0.476311220352114,0,1,1
"PBANKA_010640",422.437688037777,-3.03138995354981,0.473990934695272,-2.17596978771944,0.0295575197384126,0.124297781176373
"PBANKA_010650",391.707091789981,-5.82606590371001,0.480392969264173,-7.96445024907519,1.65959934238474e-15,8.58427759848507e-14
"PBANKA_010660",237.929037558469,-1.06143513049176,0.505561987980225,0,1,1
"PBANKA_010680",93.2538150985508,0.224399471345308,0.44725281388562,0,1,1
"PBANKA_010690",269.890832810597,1.36363980715997,0.426183108603434,0,1,1
"PBANKA_010700",733.774726638808,-7.86754483340856,0.666624838122433,-8.80186950419467,1.3455559191935e-18,1.21041530296146e-16
"PBANKA_010710",288.774746544788,-2.7610186347129,0.528197459576361,-1.44078435235805,0.149645615449073,0.507568489121529
"PBANKA_010720",344.091789576559,-5.94625491964019,0.553256540597486,-7.13277590063095,9.83646393751382e-13,3.39194064778602e-11
"PBANKA_010730",557.173418925922,-0.833596562632729,0.471861151854597,0,1,1
"PBANKA_010740",244.101474732357,1.81226132003623,0.454433670728541,0,1,1
"PBANKA_010750",204.595248134404,0.779747201716847,0.365140036147116,0,1,1
