"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,0.442267078159271,1.98957943569326,0,1,NA
"PBANKA_010080",464.686995921719,0.158749083748176,0.714992059248186,0,1,1
"PBANKA_010090",918.061686166002,-0.145981144088439,0.894856720354376,0,1,1
"PBANKA_010100",208.357029211728,-1.11213427862809,0.554957324320423,0,1,1
"PBANKA_010110",105.291743326147,2.58304820140349,0.719515478177932,0.810334480753594,0.417747963055546,1
"PBANKA_010120",191.338754446582,0.467265128044973,0.573331759619,0,1,1
"PBANKA_010130",115.649395130954,-0.97778571055284,0.629177493587882,0,1,1
"PBANKA_010140",440.920323520482,0.366670718770687,0.438123194265687,0,1,1
"PBANKA_010150",251.270364955803,-0.856717114802851,0.731917839920117,0,1,1
"PBANKA_010160",190.344133628196,3.0863235547184,0.508129912317824,2.13788546665785,0.0325260400792745,0.155991380919345
"PBANKA_010170",256.792965388713,-0.134824514549581,0.445645501853229,0,1,1
"PBANKA_010180",550.74220224868,1.32447969944238,0.463353149808018,0,1,1
"PBANKA_010190",194.714464579416,0.103174840056444,0.610163413032453,0,1,1
"PBANKA_010200",141.825560804924,0.304284218828203,0.512475590234904,0,1,1
"PBANKA_010210",234.572536167893,0.551129342274609,0.509853001762464,0,1,1
"PBANKA_010230",107.665175690093,0.0208389279112234,0.633359902732798,0,1,1
"PBANKA_010240",176.971718922185,-0.596561271135376,0.708433439348507,0,1,1
"PBANKA_010250",84.0747107519478,-1.68788751841955,0.474493020157598,0,1,NA
"PBANKA_010260",645.040775265828,-0.491254766759311,0.489654459954497,0,1,1
"PBANKA_010270",97.4045750805531,-1.80020552544557,0.744250783120086,0,1,1
"PBANKA_010280",239.833598421598,-1.1863732160211,0.49372728151595,0,1,1
"PBANKA_010290",373.728416286429,-1.52431581804101,1.05344823011645,0,1,1
"PBANKA_010300",128.74510505325,3.18018794888017,0.645740643142191,1.82765009669725,0.0676020821116404,0.278457969976944
"PBANKA_010310",126.093283120564,-0.175760175970619,0.457153438232497,0,1,1
"PBANKA_010320",269.429106519927,-2.69333359350537,0.965051465895728,-0.718442091440007,0.472484741568282,1
"PBANKA_010330",1299.44964061188,-1.6366840533656,0.570615002602187,0,1,1
"PBANKA_010340",197.57694170381,2.49604279291783,0.57776831713238,0.858549661185688,0.390589020706051,1
"PBANKA_010350",138.10024568978,0.841370340958681,0.668672885001042,0,1,1
"PBANKA_010360",38.2967645836935,0.186514955027021,0.862700900182875,0,1,NA
"PBANKA_010370",89.1147922168543,0.557854636955122,0.634954057761568,0,1,NA
"PBANKA_010380",174.312599726554,0.80496493764413,0.726325257823701,0,1,1
"PBANKA_010390",473.737220297503,1.2378118605132,0.409263740908203,0,1,1
"PBANKA_010400",352.969854183932,4.01267146249484,0.560908656131562,3.58823391383492,0.000332925534732419,0.0032645926450402
"PBANKA_010410",227.655209787489,3.23819342893752,0.578032448089025,2.14208291079677,0.0321868108091654,0.155028696548926
"PBANKA_010420",165.200542600176,-1.70551276693692,0.9327010680926,0,1,1
"PBANKA_010430",74.118296857888,-0.404624903331501,0.644825869769723,0,1,NA
"PBANKA_010440",267.118252012223,0.175992119532086,0.754824572888105,0,1,1
"PBANKA_010450",894.531839124969,0.379996034763183,0.754886954676647,0,1,1
"PBANKA_010460",563.974020003931,-2.08879197924851,0.50689515163831,-0.17516833404607,0.860947365370275,1
"PBANKA_010470",240.715767926568,-3.41881708159722,0.644327522082962,-2.20201222665534,0.0276644448195631,0.13824515854528
"PBANKA_010480",502.770310339127,-2.16991273397616,0.923086845798219,-0.184070149790976,0.853958423352153,1
"PBANKA_010490",398.57115328437,-3.33681661534613,0.367349129992118,-3.63909019023623,0.000273602970955302,0.00274043082972924
"PBANKA_010500",317.788076031697,3.6236378457787,0.555677309232929,2.92190776697362,0.00347894546775965,0.0239559279741717
"PBANKA_010510",227.856952515446,-1.90532521560474,0.987852981888808,0,1,1
"PBANKA_010520",271.597466159548,-2.35143372344413,0.592624881086132,-0.593012096960967,0.553173056540992,1
"PBANKA_010530",850.132508951516,0.82531905262883,0.562472084047519,0,1,1
"PBANKA_010540",381.040276518993,-1.83319153246233,0.418837829110824,0,1,1
"PBANKA_010550",361.182761661558,0.499594041232472,0.60691520028787,0,1,1
"PBANKA_010560",519.547484245769,-2.4865647885853,0.598901088611555,-0.812429293981273,0.416545342828099,1
"PBANKA_010570",297.382196225783,4.60127388072935,0.813013872460238,3.19954427451245,0.0013764504404943,0.0106910994712821
"PBANKA_010580",387.481189161559,5.43358802460429,0.809931121786076,4.23935805433983,2.24159879875677e-05,0.000311323907515067
"PBANKA_010590",149.760112009728,-0.339258789130477,0.622797410586139,0,1,1
"PBANKA_010600",789.250775877404,5.70749271199931,0.575029122509767,6.44748686086997,1.13720027054867e-10,4.88342552962051e-09
"PBANKA_010610",118.537502474569,2.74721133777542,0.448622995282571,1.66556628980817,0.0957998300568328,0.368597492371089
"PBANKA_010620",257.80203497904,0.0294749144890684,0.569948279424104,0,1,1
"PBANKA_010640",422.437688037777,1.0663505296836,0.572509370125915,0,1,1
"PBANKA_010650",391.707091789981,-2.7577309172414,0.566882298897811,-1.33666356969455,0.181332478515954,0.608990308925384
"PBANKA_010660",237.929037558469,0.455848773812853,0.609716005751441,0,1,1
"PBANKA_010680",93.2538150985508,2.38155971220165,0.540110321083487,0.706447733559728,0.479909745257112,1
"PBANKA_010690",269.890832810597,1.13023157800583,0.512502580777098,0,1,1
"PBANKA_010700",733.774726638808,-2.36922312511083,0.791104237278351,-0.466718679678766,0.640701163466594,1
"PBANKA_010710",288.774746544788,-4.0097760887484,0.622994712186501,-3.22599221058355,0.00125536773523031,0.00997883799749029
"PBANKA_010720",344.091789576559,-0.534632909482202,0.657927456392129,0,1,1
"PBANKA_010730",557.173418925922,-2.77217605874038,0.567425633055151,-1.36084098736041,0.17356394596209,0.590560020140591
"PBANKA_010740",244.101474732357,1.12701531917715,0.548738352049524,0,1,1
"PBANKA_010750",204.595248134404,1.46420628124963,0.438679170746175,0,1,1
