"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,4.02928058474776,2.91677828740735,0.695726717902695,0.486599990010355,NA
"PBANKA_010080",464.686995921719,0.744834998332711,0.9625684817265,0,1,1
"PBANKA_010090",918.061686166002,0.541776663134178,1.20587521908022,0,1,1
"PBANKA_010100",208.357029211728,-0.916060896432914,0.742389718157982,0,1,1
"PBANKA_010110",105.291743326147,2.54964830717642,0.967438516496834,0.568148050551815,0.569934442744022,1
"PBANKA_010120",191.338754446582,0.310144498248861,0.770661245447885,0,1,1
"PBANKA_010130",115.649395130954,-0.604209230302005,0.839992629899185,0,1,1
"PBANKA_010140",440.920323520482,0.983436245501452,0.589904471775327,0,1,1
"PBANKA_010150",251.270364955803,-0.0762594687689973,0.976617220823032,0,1,1
"PBANKA_010160",190.344133628196,3.61074324506074,0.6857420803045,2.34890535570677,0.0188286920920313,0.138141115320745
"PBANKA_010170",256.792965388713,0.41964297316308,0.596237313383467,0,1,1
"PBANKA_010180",550.74220224868,1.99481625340394,0.624465452207077,0,1,1
"PBANKA_010190",194.714464579416,0.488096877575081,0.819474690698072,0,1,1
"PBANKA_010200",141.825560804924,0.614243987383356,0.687112172226438,0,1,1
"PBANKA_010210",234.572536167893,1.69254391456866,0.686364448811692,0,1,1
"PBANKA_010230",107.665175690093,-0.382016799460437,0.847884363239312,0,1,1
"PBANKA_010240",176.971718922185,-0.472457718224788,0.946875269107344,0,1,1
"PBANKA_010250",84.0747107519478,-2.03088278268716,0.601714934796837,-0.0513246072205031,0.959066860215168,NA
"PBANKA_010260",645.040775265828,0.367480831598175,0.656280923012161,0,1,1
"PBANKA_010270",97.4045750805531,-1.08019453011706,0.967205108484187,0,1,1
"PBANKA_010280",239.833598421598,-2.31013698656083,0.65244812254411,-0.475343519039504,0.634542144999024,1
"PBANKA_010290",373.728416286429,0.521254740022862,1.41300957983763,0,1,1
"PBANKA_010300",128.74510505325,3.7523656536394,0.872351695513957,2.00878345585948,0.0445601035301945,0.2597138015426
"PBANKA_010310",126.093283120564,-0.29997856297124,0.608273055180136,0,1,1
"PBANKA_010320",269.429106519927,-0.570888097922214,1.25077982152421,0,1,1
"PBANKA_010330",1299.44964061188,-1.70364357329655,0.768526628367686,0,1,1
"PBANKA_010340",197.57694170381,2.52359935440949,0.778530518359507,0.672548271470202,0.50123472039684,1
"PBANKA_010350",138.10024568978,0.444096186970511,0.893507871814562,0,1,1
"PBANKA_010360",38.2967645836935,-0.466677736680082,1.13669960477283,0,1,NA
"PBANKA_010370",89.1147922168543,0.109864015032271,0.847984148389396,0,1,NA
"PBANKA_010380",174.312599726554,1.04138633455724,0.977855688922259,0,1,1
"PBANKA_010390",473.737220297503,1.70627853512357,0.551402162117491,0,1,1
"PBANKA_010400",352.969854183932,4.38508783513668,0.75691904903667,3.1510474444687,0.00162686061200237,0.0198592240451938
"PBANKA_010410",227.655209787489,3.8059302410367,0.780806933223868,2.31290241440378,0.0207280050565152,0.148352158795289
"PBANKA_010420",165.200542600176,-1.13281482408908,1.20770499842057,0,1,1
"PBANKA_010430",74.118296857888,-1.2358319776765,0.846955428897581,0,1,NA
"PBANKA_010440",267.118252012223,1.69461917655795,1.01503206856288,0,1,1
"PBANKA_010450",894.531839124969,2.70928243461481,1.02366503610802,0.69288527945773,0.488381548401409,1
"PBANKA_010460",563.974020003931,-4.02669509516979,0.67077372844739,-3.02142885032318,0.00251584758658562,0.0284824441923754
"PBANKA_010470",240.715767926568,-2.98139727023355,0.840445157988972,-1.16771125504709,0.242923255310946,0.879419846745829
"PBANKA_010480",502.770310339127,-1.14654189780969,1.23959071313005,0,1,1
"PBANKA_010490",398.57115328437,-3.44542815508961,0.482577398774078,-2.99522555088887,0.00274241969918373,0.0302232448264024
"PBANKA_010500",317.788076031697,4.23496427397653,0.750334689164594,2.97862314811127,0.00289546650575436,0.03163000837865
"PBANKA_010510",227.856952515446,-0.28539692416278,1.30098022827176,0,1,1
"PBANKA_010520",271.597466159548,-1.57128658615819,0.791174954579189,0,1,1
"PBANKA_010530",850.132508951516,0.756200626737227,0.757823073793767,0,1,1
"PBANKA_010540",381.040276518993,-2.48945504476993,0.558777202286635,-0.875939538633607,0.381062903492626,1
"PBANKA_010550",361.182761661558,0.766504317745838,0.816696932411848,0,1,1
"PBANKA_010560",519.547484245769,-2.58953712279251,0.805590033131892,-0.731807865721188,0.464285847447796,1
"PBANKA_010570",297.382196225783,5.04499708697667,1.09833722715743,2.77236991671249,0.00556497567073684,0.0533411979846242
"PBANKA_010580",387.481189161559,4.90094819596852,1.0919212353215,2.65673759436904,0.00789008307204705,0.0695220527291693
"PBANKA_010590",149.760112009728,-0.346837279981755,0.825356091546563,0,1,1
"PBANKA_010600",789.250775877404,5.39190261602625,0.775429604969845,4.37422377774467,1.21865320664162e-05,0.000289992890446694
"PBANKA_010610",118.537502474569,1.65920827548946,0.600546448522488,0,1,1
"PBANKA_010620",257.80203497904,1.06581840935215,0.763373392773492,0,1,1
"PBANKA_010640",422.437688037777,1.20028259678438,0.769769222961348,0,1,1
"PBANKA_010650",391.707091789981,-3.7354003231323,0.743949545977621,-2.33268550604708,0.0196646574562427,0.142707054150903
"PBANKA_010660",237.929037558469,-0.239189867418418,0.818705848247904,0,1,1
"PBANKA_010680",93.2538150985508,1.62444248587183,0.724861711480833,0,1,1
"PBANKA_010690",269.890832810597,-0.173258164473527,0.688074276599038,0,1,1
"PBANKA_010700",733.774726638808,-1.43681299024972,1.04594865837278,0,1,1
"PBANKA_010710",288.774746544788,-4.14181126973966,0.819240669914933,-2.61438591660989,0.00893880070129046,0.0764195867735038
"PBANKA_010720",344.091789576559,0.769988858204579,0.875294142096063,0,1,1
"PBANKA_010730",557.173418925922,-2.71798765566193,0.760946455546247,-0.943545568060397,0.34540191892157,1
"PBANKA_010740",244.101474732357,1.5196262874443,0.739332508263006,0,1,1
"PBANKA_010750",204.595248134404,1.26649030588151,0.588554892406396,0,1,1
"PBANKA_010760",1645.15283507671,0.854685969907495,0.694952514968517,0,1,1
"PBANKA_010770",693.385860749157,0.361826855760412,1.00292722960401,0,1,1
"PBANKA_010790",649.608923123743,4.76144491655067,0.608187215971502,4.54045209112067,5.61337334261194e-06,0.000145635852833321
"PBANKA_010800",257.387919178176,4.12598286086218,0.755694609640777,2.81328308253089,0.00490384594075041,0.0487254479644774
"PBANKA_010810",211.31214976653,4.52684817491137,1.14645491902418,2.20405367274462,0.0275205696665221,0.181334829407631
"PBANKA_010820",423.956480341202,0.369754774894676,1.00099712531226,0,1,1
"PBANKA_010830",228.975674491296,1.17148824875398,1.33949321717949,0,1,1
"PBANKA_010840",428.298804762481,-1.02793088842375,0.628700679820502,0,1,1
"PBANKA_010850",164.868215858205,-2.68395089263682,0.777797744506624,-0.8793428593325,0.37921540394214,1
"PBANKA_010860",301.283578701335,0.266583747553982,0.511139251343037,0,1,1
"PBANKA_010870",680.855876463506,-3.1635251695432,0.711724722597053,-1.63479661813284,0.102091689966071,0.479849094347472
"PBANKA_010880",572.654533324418,4.87259924622096,1.072355470223,2.67877520653071,0.00738919822353718,0.0665205893087588
"PBANKA_010890",102.547638202666,-3.71986539104887,1.05600837206603,-1.62864749612169,0.103387663452836,0.484637779999741
"PBANKA_010910",805.445354787323,-0.914708031052632,0.790870334975737,0,1,1
"PBANKA_010920",710.304264734282,-1.33134939946363,0.900657393164728,0,1,1
"PBANKA_010930",99.4925837730619,-1.34417661299866,0.88078584755608,0,1,1
"PBANKA_010940",55.0637591023445,-1.65547293281031,0.826727939852411,0,1,NA
"PBANKA_010950",309.537027844052,-1.05797818227681,0.775403466036368,0,1,1
"PBANKA_010960",370.546512506797,-1.76955560059368,0.876039009938036,0,1,1
"PBANKA_010970",379.536169072878,2.20597185348486,0.834798397823829,0.246732449441431,0.805115291760895,1
"PBANKA_010980",256.252932879601,5.30131573050454,1.45384636076071,2.27074594648168,0.0231623618492926,0.159363874528466
"PBANKA_010990",478.230923949824,0.832101333209554,1.35325568650274,0,1,1
"PBANKA_011020",159.250806357619,-1.73599002540448,0.65981365237797,0,1,1
"PBANKA_011030",50.257591961385,1.01538936694174,1.25090795333448,0,1,NA
"PBANKA_011040",323.810410822471,-2.06280977095818,0.612533888462586,-0.10254089143676,0.91832735721473,1
"PBANKA_011050",1069.92003407209,3.06246793717506,1.02453969852826,1.03701978430049,0.299726636903654,1
"PBANKA_011070",50.9009006941465,-1.58209484433286,0.944424147441443,0,1,NA
"PBANKA_011080",251.077314641652,-1.381307870883,1.08803672946379,0,1,1
"PBANKA_011090",374.602695258781,0.0828284664623618,0.746075952567106,0,1,1
"PBANKA_011100",219.740051733041,0.694143446452445,1.27608643046867,0,1,1
"PBANKA_011110",378.049787271073,3.85157522296126,0.78846325752737,2.34833418714757,0.0188575933655193,0.138141115320745
"PBANKA_011120",894.677709995667,1.74804265436572,1.05413793032773,0,1,1
"PBANKA_011140",297.030340361456,3.27900437873814,0.645744338379456,1.9806668099451,0.0476286511736852,0.272915093228356
"PBANKA_011160",364.936932797918,0.887305740991866,1.12295773513134,0,1,1
"PBANKA_011180",413.425775695657,3.14873361225038,0.54068522663031,2.12458849561987,0.0336209646494825,0.209346539884111
"PBANKA_011190",309.703850930637,3.84435846990156,0.81809789470805,2.25444715336879,0.0241680517067942,0.163856317005266
"PBANKA_011200",402.724750112492,0.76316412176494,0.650051868314899,0,1,1
"PBANKA_011210",1247.29360255429,1.83552297553622,1.23417938279358,0,1,1
"PBANKA_011230",270.160093555038,1.92233130512972,0.664057134012452,0,1,1
"PBANKA_011250",398.069774290493,2.68580397542339,1.08085351995496,0.634502236206775,0.52575310789541,1
"PBANKA_020130",183.496863825099,-1.8455038288564,1.45312273739969,0,1,1
"PBANKA_020170",1363.77474722244,-3.58335507385417,1.45035299038742,-1.09170325041438,0.274963556043912,0.955594274772145
"PBANKA_020180",142.956601146717,-3.46078415192369,0.860875973035667,-1.69685784907273,0.0897235386935462,0.439327838216368
"PBANKA_020190",134.469527276994,-4.35141146926338,0.805593157193589,-2.91885730193501,0.00351317003827553,0.0370768453756988
"PBANKA_020200",361.312661364898,-2.41125700778233,0.674150124926898,-0.610037723907455,0.541836818429652,1
"PBANKA_020210",29.9265153840273,-1.33221217491504,0.957781199937521,0,1,NA
"PBANKA_020220",80.7348255536976,-2.08459337151873,0.714041572048622,-0.118471213484148,0.905694302753473,NA
"PBANKA_020230",155.664529873999,-2.34355848094767,0.711644460203935,-0.482767027862784,0.629261164752394,1
"PBANKA_020240",206.755441158779,1.2381952732208,0.647929280098126,0,1,1
"PBANKA_020250",297.32712773759,0.374502465515368,0.700194834144193,0,1,1
"PBANKA_020260",64.8699915729511,2.68976478857183,1.03785115226027,0.664608587724394,0.506300875058892,NA
"PBANKA_020270",332.374869862692,1.03095703970376,0.949600492819974,0,1,1
"PBANKA_020280",138.720579894011,2.00182467293575,0.737136030025529,0.00247535442771635,0.998024954936585,1
"PBANKA_020290",446.64767638811,4.21047869531558,0.731473542020451,3.02195304181457,0.00251149505472453,0.0284824441923754
"PBANKA_020300",930.566134139996,0.702693151803323,0.972535196166666,0,1,1
"PBANKA_020320",511.691600407708,-2.23020505708674,0.885107253268478,-0.260087188571386,0.79479651999492,1
"PBANKA_020330",198.883817765773,-0.308350788613882,0.672249595076622,0,1,1
"PBANKA_020340",517.83785534736,3.3965740352875,0.908583546463788,1.5370892866407,0.124271446116472,0.547984711683331
"PBANKA_020350",406.098147820141,-0.521925696521124,0.707105400567484,0,1,1
"PBANKA_020360",325.49628290564,-0.781310000439678,0.823524104784851,0,1,1
"PBANKA_020370",679.205409690033,2.78513443651899,0.691226860465405,1.13585637570617,0.256016678319875,0.910931724002906
"PBANKA_020390",186.892959349296,1.2911529819214,0.885036175887362,0,1,1
"PBANKA_020410",966.877410422951,-0.525674649259152,0.893943026535454,0,1,1
"PBANKA_020420",143.341340686034,-0.951204321539534,0.672959324670891,0,1,1
"PBANKA_020440",131.155664394597,-3.0570614784699,0.875115241438407,-1.20791117377002,0.227081431124362,0.84309050353831
"PBANKA_020460",3156.71545883248,4.9661607982567,1.76590477894059,1.67968331793981,0.093018947218673,0.449571522391931
"PBANKA_020470",296.009475996993,2.01395166568686,0.642124167889127,0.0217273642459569,0.982665435410736,1
"PBANKA_020480",795.091041044072,1.98334182762749,0.642041640489753,0,1,1
"PBANKA_020490",338.860625049348,-1.87877558010163,0.915259623530614,0,1,1
"PBANKA_020510",245.201745744686,-0.888555825628599,0.781563265463375,0,1,1
"PBANKA_020520",1315.17574346672,0.954020103679346,0.707168270545686,0,1,1
"PBANKA_020530",110.454575686892,-2.48053054023695,0.669617292460747,-0.717619669693823,0.472991826139935,1
"PBANKA_020540",313.523161859455,-3.07125311157712,0.873912790007756,-1.22581237375827,0.220269289676691,0.827061373097604
"PBANKA_020550",75.2371526722436,0.355897525521,0.890605255246388,0,1,NA
"PBANKA_020560",149.679563127744,-1.05472846359934,0.525117864297255,0,1,1
"PBANKA_020570",52.8515172732006,-0.361875755140727,1.10067240071708,0,1,NA
"PBANKA_020590",848.435548054156,1.62904869838384,0.822953655272813,0,1,1
"PBANKA_020600",146.880875074083,-3.33519792486715,0.907461330522491,-1.47135517509973,0.141195089064666,0.602174489435608
"PBANKA_020610",233.459326030386,1.28737340662276,0.701527397663383,0,1,1
"PBANKA_020620",204.558277629989,2.04390396241277,0.602559054210249,0.0728625055187603,0.941915530865553,1
"PBANKA_020630",464.84325671203,-0.140626814379038,0.724003271464495,0,1,1
"PBANKA_020640",111.882959080163,-1.00712312038938,0.591900796518233,0,1,1
"PBANKA_020650",264.271368840231,-1.63153830251562,1.0093578033469,0,1,1
"PBANKA_020660",682.422821969591,-1.36196420032241,1.00093325695336,0,1,1
"PBANKA_020680",254.910515098169,-1.50099579604496,0.555486812057035,0,1,1
"PBANKA_020690",120.812590879013,-0.587181570477036,0.879701450026485,0,1,1
"PBANKA_020700",507.441641718898,0.259904646387995,0.738555340170599,0,1,1
"PBANKA_020710",66.2070858500638,3.95332448658208,0.931636104923301,2.09666035511032,0.0360236523463219,NA
"PBANKA_020720",163.08757030592,1.10014192480325,0.678119422762434,0,1,1
"PBANKA_020730",513.429077011055,4.10142251742441,0.882090697140598,2.38232023559076,0.0172039293378675,0.128845778145873
"PBANKA_020740",104.672407333104,0.748429909744605,0.535793172636395,0,1,1
"PBANKA_020750",315.409483886065,3.52612950432952,0.825923718680571,1.84778505546195,0.0646334436885257,0.34348584014272
"PBANKA_020770",334.156478113322,-1.89988427290037,0.79893235187527,0,1,1
"PBANKA_020780",104.616873263794,-1.34436668237916,0.82108009425172,0,1,1
"PBANKA_020790",62.6087477234603,2.17549136003002,1.21803934100776,0.144076922741122,0.885439727558848,NA
"PBANKA_020810",392.50234077167,-0.302222583669239,0.643755436739091,0,1,1
"PBANKA_020820",684.194408362222,6.35571056981576,0.650482002500602,6.69612772232193,2.14014689581617e-11,2.16096994669438e-09
"PBANKA_020850",166.4866206457,-2.29900408924712,0.869698035952713,-0.343802189825085,0.730995053270127,1
"PBANKA_020860",99.054178646255,-2.41198437326303,0.875292542323247,-0.470681918721164,0.637867898394432,1
"PBANKA_020870",228.179105021704,-3.75883004650111,0.674848445435046,-2.60625931407054,0.0091537131630328,0.0779003926585206
"PBANKA_020880",2222.21480927899,-2.47048102317175,1.10158441254627,-0.427094844310883,0.669310248014336,1
"PBANKA_020890",776.349383797281,4.17367095930439,1.78227253365928,1.21960638356554,0.222614125329005,0.833353078385936
"PBANKA_020900",293.252028113831,8.20759106249406,1.0571289526789,5.87212283493254,4.30249748856754e-09,2.71415236998604e-07
"PBANKA_020910",1416.887871892,12.8222251912745,1.14811406282679,9.42608887189213,4.25665751696924e-21,7.95143624169853e-18
"PBANKA_020920",237.535484942372,2.8826579911593,0.751204673408633,1.17499001590897,0.239998710204266,0.873062493985527
"PBANKA_020930",647.999149162305,1.96635275578451,1.00536816714103,0,1,1
"PBANKA_020950",1421.25049499056,4.31124577527623,1.17818165040091,1.96170579849869,0.0497967463665083,0.280604290234201
"PBANKA_020960",190.650669726905,1.00691963988073,0.756554754029393,0,1,1
"PBANKA_020970",991.78904499717,5.41929547917472,1.03253764326411,3.31154559011087,0.00092782120581399,0.0125627531749702
"PBANKA_020980",203.14770642914,2.89967148731637,0.735708454688734,1.22286414079203,0.221381014540244,0.830401074620835
"PBANKA_020990",401.226040168832,0.978303859913681,0.918173641890465,0,1,1
"PBANKA_021020",587.873944162204,-1.97298527775352,0.693855279020364,0,1,1
"PBANKA_021030",114.463164791562,0.325145677591514,0.958543495340947,0,1,1
"PBANKA_021040",837.926720269736,4.01337161188865,0.624111877354907,3.22597868257476,0.0012554270723537,0.0160625874736762
"PBANKA_021050",765.362230173222,2.30564927883437,0.574091693021131,0.532404984343013,0.594445533767763,1
"PBANKA_021060",3971.41612616003,3.34672878086736,1.18322192950347,1.13818781353428,0.255042066223763,0.90919576279769
"PBANKA_021070",142.083004766867,-3.5102350999903,0.554388305236748,-2.72414675007505,0.00644678541020863,0.0591773717261411
"PBANKA_021080",223.377669138257,2.42077281173227,0.72575176724098,0.579775111443241,0.56206628350879,1
"PBANKA_021090",176.332843840816,3.91940252821515,0.681018022514501,2.81843132598488,0.00482589331650948,0.0482073193328327
"PBANKA_021100",171.991952625029,2.27409795909965,0.622412963813572,0.44037957921093,0.659662212538351,1
"PBANKA_021110",210.125578831003,3.31428989318672,0.597891654001069,2.19820745847771,0.0279343254217,0.182984142595881
"PBANKA_021120",234.920498103663,3.37721259535047,0.808425558916966,1.70357379249055,0.0884607410694615,0.436653716269628
"PBANKA_021130",1088.58631399135,6.18253696638481,0.618413405104261,6.76333490164181,1.34851026417147e-11,1.62517236998214e-09
"PBANKA_021140",214.402332794769,-0.655882776283095,0.687121008961599,0,1,1
"PBANKA_021150",523.221101780166,-3.50998510200369,0.950828999954327,-1.58807220023392,0.112270013716146,0.511513135662831
"PBANKA_021160",154.095884577428,-2.21210808547881,0.621978188248697,-0.34102174237982,0.733087213744857,1
"PBANKA_021170",118.841351020918,1.74110872879949,0.702056366182301,0,1,1
"PBANKA_021180",107.32143292491,-1.91423599959744,0.736770840974091,0,1,1
"PBANKA_021190",297.249921620591,-2.22243981421309,0.514880670607578,-0.432022072125193,0.665725371213225,1
"PBANKA_021200",485.271078761431,1.87455296501972,0.847391329092292,0,1,1
"PBANKA_021210",802.279062655482,-2.22048861007672,0.687546824075817,-0.320688864170233,0.748446187048742,1
"PBANKA_021230",111.819846166587,-1.05197850207322,0.664584722201207,0,1,1
