"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,-1.13440429305231,3.01207101895001,0,1,1
"PBANKA_010080",464.686995921719,-3.53931826480986,0.983806885558197,-1.56465490067847,0.117663848525417,0.819772122748358
"PBANKA_010090",918.061686166002,0.0727565308788122,1.23457533092796,0,1,1
"PBANKA_010100",208.357029211728,1.63515343989503,0.75377080142804,0,1,1
"PBANKA_010110",105.291743326147,-0.191827153868723,0.986966966615095,0,1,1
"PBANKA_010120",191.338754446582,1.65825490171952,0.787341931455463,0,1,1
"PBANKA_010130",115.649395130954,1.41421053214265,0.85065715647635,0,1,1
"PBANKA_010140",440.920323520482,-0.392259269325749,0.603101016416479,0,1,1
"PBANKA_010150",251.270364955803,-4.65717789301993,0.985144293470876,-2.69724740896393,0.00699153038947231,0.077981004721392
"PBANKA_010160",190.344133628196,1.35648465559279,0.704018352139616,0,1,1
"PBANKA_010170",256.792965388713,-2.80764370452614,0.603648371667918,-1.33793735299008,0.180916859438047,1
"PBANKA_010180",550.74220224868,-2.36672636939554,0.638918980287556,-0.573979457036154,0.565981702749993,1
"PBANKA_010190",194.714464579416,-0.640647319849069,0.834986996367706,0,1,1
"PBANKA_010200",141.825560804924,0.990869605543598,0.699373837991751,0,1,1
"PBANKA_010210",234.572536167893,-1.78329515771185,0.700029348990368,0,1,1
"PBANKA_010230",107.665175690093,-0.0446651629882492,0.861311348692381,0,1,1
"PBANKA_010240",176.971718922185,-1.83768355151208,0.958926156161189,0,1,1
"PBANKA_010250",84.0747107519478,-0.401825973941318,0.565416169031176,0,1,1
"PBANKA_010260",645.040775265828,-2.90145138772221,0.666105801708542,-1.35331562254828,0.175954820369668,1
"PBANKA_010270",97.4045750805531,-5.10810620945476,0.938793439019067,-3.31074555943038,0.000930477724449506,0.0136536057580569
"PBANKA_010280",239.833598421598,0.271510332505024,0.652285589737662,0,1,1
"PBANKA_010290",373.728416286429,-4.29907710966274,1.43392586568155,-1.60334447176596,0.108858623167348,0.764782653084017
"PBANKA_010300",128.74510505325,-1.38846532398224,0.892206142737521,0,1,1
"PBANKA_010310",126.093283120564,0.236322243296703,0.613046044479953,0,1,1
"PBANKA_010320",269.429106519927,-6.88789226239341,1.19962832910171,-4.07450553127026,4.61122173389282e-05,0.00140425200571792
"PBANKA_010330",1299.44964061188,0.473290575423589,0.786396394481006,0,1,1
"PBANKA_010340",197.57694170381,-1.00344351759825,0.796646306768578,0,1,1
"PBANKA_010350",138.10024568978,0.318519046544752,0.906156999353426,0,1,1
"PBANKA_010360",38.2967645836935,0.79364591591129,1.13435914270365,0,1,1
"PBANKA_010370",89.1147922168543,0.396799454060702,0.859408188212825,0,1,1
"PBANKA_010380",174.312599726554,1.15890996597817,1.00034862865118,0,1,1
"PBANKA_010390",473.737220297503,-0.970452693133724,0.564121895026513,0,1,1
"PBANKA_010400",352.969854183932,-2.71428810738339,0.775152978421047,-0.921480181677639,0.356799783545537,1
"PBANKA_010410",227.655209787489,-4.86871893635096,0.798105564860425,-3.59441039212982,0.000325127016944171,0.00617144768860083
"PBANKA_010420",165.200542600176,-4.36518660705493,1.16602053530686,-2.02842620300207,0.0425167680402026,0.361261573204022
"PBANKA_010430",74.118296857888,-0.0104029909366447,0.840418299519767,0,1,1
"PBANKA_010440",267.118252012223,-5.86422652979391,1.02954585881858,-3.75333113789431,0.000174500096264971,0.00362854974042437
"PBANKA_010450",894.531839124969,-7.25614696482397,1.03407792876078,-5.082931197577,3.71654352939148e-07,4.00904056910128e-05
"PBANKA_010460",563.974020003931,0.0734052862254701,0.671578273864867,0,1,1
"PBANKA_010470",240.715767926568,-2.93703572980592,0.823560843866005,-1.13778567398522,0.25520998844447,1
"PBANKA_010480",502.770310339127,-0.747608464260311,1.26334581571568,0,1,1
"PBANKA_010490",398.57115328437,0.988383138278377,0.478156829597263,0,1,1
"PBANKA_010500",317.788076031697,-1.77022738289068,0.768264178007492,0,1,1
"PBANKA_010510",227.856952515446,-6.36020029030151,1.28342116742737,-3.39732614745755,0.000680478112237055,0.0109140249164222
"PBANKA_010520",271.597466159548,0.576571150501796,0.800480197337119,0,1,1
"PBANKA_010530",850.132508951516,0.834305147940217,0.77584407751198,0,1,1
"PBANKA_010540",381.040276518993,1.44864851867111,0.565297198351719,0,1,1
"PBANKA_010550",361.182761661558,1.29417432096706,0.835052360092802,0,1,1
"PBANKA_010560",519.547484245769,1.86065964476198,0.823094825852745,0,1,1
"PBANKA_010570",297.382196225783,-2.80813426573675,1.12468690252622,-0.718541546026321,0.472423440668487,1
"PBANKA_010580",387.481189161559,-0.95658542858001,1.11884979221924,0,1,1
"PBANKA_010590",149.760112009728,-1.22361795397272,0.826307798644315,0,1,1
"PBANKA_010600",789.250775877404,-1.08729506464841,0.794586956612964,0,1,1
"PBANKA_010610",118.537502474569,-0.667054254212471,0.61183314520065,0,1,1
"PBANKA_010620",257.80203497904,-5.23634046690419,0.77158044584548,-4.19443038548998,2.73558146289584e-05,0.000927855417496966
"PBANKA_010640",422.437688037777,0.478469917362895,0.785987054660552,0,1,1
"PBANKA_010650",391.707091789981,2.21017017092319,0.73687941752225,0.285216503440797,0.775478277335746,1
"PBANKA_010660",237.929037558469,1.71441075002827,0.835567185978134,0,1,1
"PBANKA_010680",93.2538150985508,-0.747147384751722,0.739343752668481,0,1,1
"PBANKA_010690",269.890832810597,0.732839191077841,0.702167403283102,0,1,1
"PBANKA_010700",733.774726638808,-0.959759737816671,1.04356597810009,0,1,1
"PBANKA_010710",288.774746544788,0.90769126095169,0.812770483707604,0,1,1
"PBANKA_010720",344.091789576559,-5.65702512977975,0.873338756291435,-4.18740735302876,2.8215913940065e-05,0.000941696479224393
"PBANKA_010730",557.173418925922,0.975739759288618,0.774524850046205,0,1,1
"PBANKA_010740",244.101474732357,-1.01130450126494,0.756535220198643,0,1,1
"PBANKA_010750",204.595248134404,0.522999421715281,0.599806978653207,0,1,1
"PBANKA_010760",1645.15283507671,1.60100899574425,0.711718399635822,0,1,1
"PBANKA_010770",693.385860749157,0.0542700229735975,1.02575958505361,0,1,1
"PBANKA_010790",649.608923123743,-1.38484900213907,0.623042328654417,0,1,1
"PBANKA_010800",257.387919178176,-0.584258633549316,0.774187176630075,0,1,1
"PBANKA_010810",211.31214976653,-4.35930770726625,1.17347863374364,-2.0105246396686,0.0443756910762856,0.374492280340079
"PBANKA_010820",423.956480341202,0.157464821019152,1.02434269005309,0,1,1
"PBANKA_010830",228.975674491296,-6.43140775463482,1.34416180758858,-3.29678148093253,0.000977995601185083,0.0143001618293423
"PBANKA_010840",428.298804762481,0.338846913327135,0.639409633021719,0,1,1
"PBANKA_010850",164.868215858205,1.55922712503481,0.767802703168412,0,1,1
"PBANKA_010860",301.283578701335,1.42091998731132,0.522223333717369,0,1,1
"PBANKA_010870",680.855876463506,0.142952131994513,0.721935811555068,0,1,1
