"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,-4.14846052274824,2.60351127069698,-0.825216524671729,0.409248673449688,1
"PBANKA_010080",464.686995921719,-0.318877200326589,0.851496416821947,0,1,1
"PBANKA_010090",918.061686166002,-1.9955061946864,1.06747886842247,0,1,1
"PBANKA_010100",208.357029211728,-0.597346225361468,0.651644675071002,0,1,1
"PBANKA_010110",105.291743326147,-3.19910728206509,0.854223459992295,-1.40373958129867,0.160396411300163,1
"PBANKA_010120",191.338754446582,0.365807027218684,0.681093363628799,0,1,1
"PBANKA_010130",115.649395130954,-0.637314861815749,0.735505939792478,0,1,1
"PBANKA_010140",440.920323520482,0.342723167919716,0.522168684573691,0,1,1
"PBANKA_010150",251.270364955803,-0.578716681629148,0.854379758509407,0,1,1
"PBANKA_010160",190.344133628196,-1.12953012541359,0.608320700426304,0,1,1
"PBANKA_010170",256.792965388713,-1.23553339006873,0.52320048985802,0,1,1
"PBANKA_010180",550.74220224868,0.0335040852749535,0.553330828732616,0,1,1
"PBANKA_010190",194.714464579416,-1.07320012410942,0.722710142114273,0,1,1
"PBANKA_010200",141.825560804924,-0.724185199284511,0.605017758935848,0,1,1
"PBANKA_010210",234.572536167893,-1.33815865366054,0.606506700646854,0,1,1
"PBANKA_010230",107.665175690093,0.310931108524288,0.746006937700397,0,1,1
"PBANKA_010240",176.971718922185,-0.35219692411379,0.830649396042003,0,1,1
"PBANKA_010250",84.0747107519478,-0.323655912661047,0.491006162056293,0,1,1
"PBANKA_010260",645.040775265828,-1.43637728590276,0.576941360899146,0,1,1
"PBANKA_010270",97.4045750805531,0.482293608937744,0.818437995051929,0,1,1
"PBANKA_010280",239.833598421598,0.718470170043326,0.564930661898201,0,1,1
"PBANKA_010290",373.728416286429,-2.6718397583534,1.24157340743573,-0.541119642487327,0.588425120198347,1
"PBANKA_010300",128.74510505325,-1.55634266984223,0.774167918295898,0,1,1
"PBANKA_010310",126.093283120564,0.237839665068171,0.531563132652308,0,1,1
"PBANKA_010320",269.429106519927,-1.44189022187924,1.04492918683347,0,1,1
"PBANKA_010330",1299.44964061188,1.64354043624966,0.680133876006323,0,1,1
