"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,-2.34208417065464,2.74385151901383,-0.12467298914833,0.900782442064661,1
"PBANKA_010080",464.686995921719,-1.5721617355074,0.898446605029163,0,1,1
"PBANKA_010090",918.061686166002,0.120211609913713,1.12724623775263,0,1,1
"PBANKA_010100",208.357029211728,2.76907746654452,0.691819809691198,1.1116730914193,0.266278733464786,1
"PBANKA_010110",105.291743326147,-0.80727433176511,0.903509752737414,0,1,1
"PBANKA_010120",191.338754446582,-0.107167282243687,0.718598535485376,0,1,1
"PBANKA_010130",115.649395130954,0.941624852089846,0.777749017440756,0,1,1
"PBANKA_010140",440.920323520482,-0.0529645100831076,0.550963930235452,0,1,1
"PBANKA_010150",251.270364955803,-4.13997616734709,0.899980353057908,-2.37780320434328,0.0174161180374166,0.117950730669116
"PBANKA_010160",190.344133628196,1.40633450342105,0.646086779349579,0,1,1
"PBANKA_010170",256.792965388713,-0.59154935808093,0.55238839933486,0,1,1
"PBANKA_010180",550.74220224868,-2.30473114637766,0.583469886575712,-0.522273991149869,0.601479575384782,1
"PBANKA_010190",194.714464579416,0.088931669106596,0.76337439450299,0,1,1
"PBANKA_010200",141.825560804924,0.507408307448311,0.639579802410497,0,1,1
"PBANKA_010210",234.572536167893,-2.09109024282557,0.639641541441424,-0.142408266073992,0.886757533549037,1
"PBANKA_010230",107.665175690093,0.140241160323384,0.787160769190813,0,1,1
"PBANKA_010240",176.971718922185,-0.280716232112134,0.876636296138017,0,1,1
"PBANKA_010250",84.0747107519478,0.552107454161837,0.519755772046645,0,1,1
"PBANKA_010260",645.040775265828,-3.54437876635146,0.608420190332921,-2.53834240035063,0.011137895500491,0.0807156069720344
"PBANKA_010270",97.4045750805531,-1.79308110467255,0.859399273449747,0,1,1
"PBANKA_010280",239.833598421598,0.829322580273516,0.596299410024611,0,1,1
"PBANKA_010290",373.728416286429,-3.15256566880117,1.31004242114901,-0.879792631287683,0.37897165722925,1
"PBANKA_010300",128.74510505325,-3.9301586826395,0.815112256783608,-2.36796670222554,0.0178861455666278,0.120542134128185
"PBANKA_010310",126.093283120564,-0.117796337699312,0.560575532726548,0,1,1
"PBANKA_010320",269.429106519927,-7.34332844220092,1.09770602617186,-4.86772260951801,1.12891635279498e-06,2.22450279422173e-05
